12:22:001:1	Josáíyah áádóó bee haz'áanii naaltsoos bee si'áanii
12:22:001:0	Josáíyah éí tseebíí binááhaigo aláahgo naat'áanii silį́į́' , áádóó Jerúsalemgi aláahgo naat'áanii nilį́įgo tádiindóó ba'aan t'ááłá'í nááhai . Bimá éí Jedáídah wolyé , éí Báskathdóó diné Adéíyah yitsi' nilį́ .
12:22:002:0	Bóhólníihii binááł t'áá ákogi át'éego ááníiłgo bizhé'é David yę́ę níyá nít'é'ígi át' éego naayá ; nish'náajigo , doodaii' nishtł'ajigoda t'áadoo nahjį' hááyáa da .
12:22:003:0	Áádóó Josáíyah aláahgo naat'áanii nilį́įgo tseebííts'áadah nááhaigo naaltsoos ííł'íní Miishálam binálí , éí Azaláíyah biye' Shéífan éí Bóhólníihii bikin bii' sohodizingóó ayííł'a' go ííłní ,
12:22:004:0	Nílááh , aláahgo náá'iiłniihii Hilkáíyah bich'į' góde dínááh , áko éí Bóhólníihii bikin bii' sohodizin góne' béeso yah aajaa'ígíí , yah e'etiin yaa ádahalyáanii éí dine'é bits'ą́ą́dóó áłah ádayiilaaígíí yíídóołtah .
12:22:005:0	Áko bíni' Bóhólníihii bikin bii' sohodizingi diné bá nida'anishígíí yaa deidoonił ; éí Bóhólníihii bikin bii' sohodizin dááchxǫ'góó hasht'éédeidléehgo yindaalnishígíí yich'į' nideidiyoolééł ,
12:22:006:0	éí tsin nidayiich'iishígíí áádóó kin ádeiléhígíí índa tsé deitł'inígíí yich'į' nideidiyoolééł áádóó tsin neheeshjíí' índa tsé hasht'edaalyaaígíí bee kin bii' sohodizin hasht'éédoolnííł biniyé nidahizhdoołnih .
12:22:007:0	Áko béeso haa daas'nilígíí doo baa ch'ínídahojiit'aah da , háálá hada'ahódlíigo chodajooł'į́į́ nít'éé' .
12:22:008:0	Aláahgo náá'iiłniihii Hilkáíyah éí naaltsoos ííł'íní Shéífan ííłní , Bóhólníihii bikin bii' sohodizin góne' bee haz'áanii naaltsoos bee si'ánígíí bik'íníyá . Áko Hilkáíyah éí naaltsoos Shéífan yeiní'ą́ągo yiyííłta' .
12:22:009:0	Áádóó naaltsoos ííł'íní Shéífan éí aláahgo naat'áanii yaa níyáago yił nahasne'go ání , Ná nidaal'a'í éí Bóhólníihii bikin bii' sohodizin góne' béeso yik'ídaaskaígíí áłah ádayiilaago ákwe'é bá nida'anishígíí yaa deiznil .
12:22:010:0	Nít'éé' naaltsoos ííł'íní Shéífan éí aláahgo naat'áanii yił hoolne'go ání , Alą́ąjį' náá'iiłniihii Hilkáíyah éí naaltsoos léi' sheiní'ą́ . Áádóó Shéífan éí aláahgo naat'áanii yich'į' yiyííłta' .
12:22:011:0	Áko aláahgo naat'áanii éí bee haz'áanii naaltsoos bee si'ánígíí yidiizts'ą́ą'go ák'ina'ooldláád .
12:22:012:0	Áádóó aláahgo naat'áanii bá naal'a'í Eisaháíyah áádóó náá'iiłniihii Hilkáíyah áádóó Shéífan biye' Aháíkam áádóó Maikéíyah biye' Ákbor índa naaltsoos ííł'íní Shéífan éí aláahgo naat'áanii hach'į' haadzíi'go ádahodííniid ,
12:22:013:0	Nílááh , díí naaltsoos nídiit'ánígíí biyi'dóó ánínígíí dine'é áádóó Júdah dine'é t'áá ałtso índa shí ałdó' nihá Bóhólníihii nidabídółkid , háálá danihizhé'é yę́ę díí naaltsoos nihídéét'i'go bik'ináháasdzooígíí t'áá át'é doo dayíists'ą́ą́'góó índa doo yik'eh dahół'į́į́góó t'áadoo yik'ehgo ádaadzaaígíí biniinaa Bóhólníihii t'óó báhádzidgo nihich'į' báhóóchįįd .
12:22:014:0	Kót'éego náá'iiłniihii Hilkáíyah áádóó Aháíkam áádóó Ákbor áádóó Shéífan índa Eisaháíyah , éí éé' ninádaa'nił yaa áhályáanii Hárhas binálí , Tíkvah biye' Shálam be'asdzą́ą́ Húldah wolyéii , éí Diyin God yá halne'ii nilíinii yich'į' eekaigo bił ahił nidahodzisne' , ( áko díí asdzání éí Jerúsalemgi ná'áyaaígi kin yíl'áhídi kééhat'į́ ) .
12:22:015:0	Húldah áháłní , Ízrel biDiyin God Bóhólníihii kóní , Diné shich'į' nihííł'aadígíí éí bił hólne' ,
12:22:016:0	Bóhólníihii kóní , Jó , t'áá Júdah dine'é aláahgo binanit'a'í éí naaltsoos biyi'dóó yaa ííłta'ígíí t'áá át'é ánínígi át'éego díí kéyah nahós'a'gi índa ákwii kéédahat'ínígíí bik'ijį' doo yá'át'éehii bi'deeshnih ,
12:22:017:0	háálá t'áá bí ádayiilaii t'áá át'é yee shá dahodoołchįįłgo yiniyé yóó'adashideez'ą́ągo diyin dabidi'níinii bich'į' tsin bijeeh dilidgo łikání halchinii nááhániihii deidiłid ; éí bąą díí kéyah nahós'a'gi kéédahat'ínígíí bich'į' hashké niisdzį́'ígíí doo dínóoltsis da .
12:22:018:0	Nidi Júdah dine'é aláahgo binanit'a'í éí Bóhólníihii nidabídídóołkiłgo yich'į' nihííł'aadígíí éí kódabidohní , Hada'iisdzíi'go baa hosidíníts'ą́'ígíí éí bídadéét'i'gi Ízrel biDiyin God Bóhólníihii kóní ,
12:22:019:0	Díí kéyah nahós'a'gi índa yikáá' kéédahat'ínígíí yóó'aho'doot'ą́ągo házhi'ígíí yee diné nida'ódziih dooleełgo bik'ijį' hahásdzí'ígíí disíníts'ą́ą'go , ni'éé' ak'i néíníldláadgo nijéí jooba'go Bóhólníihii binááł a'ohgo ádi'nilyaago shidááhdę́ę́' yíníchago , éí biniinaa shí ałdó' nidiséts'ą́ą́' , ní Bóhólníihii .
