12:1:001:1	Eihazáíyah daaztsą́
12:1:001:0	Nít'éé' Éíhab daaztsą́ą́dóó bik'ijį' Mó'ab dine'é éí Ízrel dine'é yich'į' nidaastee' .
12:1:002:0	Áko Eihazáíyah éí Samériyadi adeídi haghangi tsin yistł'ǫ́ǫgo tsésǫ'gi dáádiníbaalígíí bigházhnítłizh , áko bits'ą́ą́dóó hatah doo hóóts'íid da , áádóó hane' yił nidaal'a'íii ajííł'a'go ábijiní , Nílááh , Ékran kin haal'áagi diyin Béíyalzííbab shá nidabídółkid , Díí naałniih daats'í bits'ą́ą́dóó náádideeshdááł , dooda daats'í .
12:1:003:0	Áádóó Bóhólníihii bidiyingo naal'a'í éí Tíshbeh dine'é Iiláíjah ííłní , Nídiidááh ; nílááh , Samériyadóó aláahgo naat'áanii bá nidaal'a'í bidááhgóó dínáahgo ábidiní , Da' Ízrel dine'é bitahdiísh Diyin God ádingo biniinaa Ékran kin haal'áagi diyin bidi'níinii Béíyalzííbab nidabídídóołkił biniyé wohkah ?
12:1:004:0	Díí bąą k'ad Bóhólníihii kóní , Tsásk'eh bikáá' sínítínídóó doo nídidíí'nah da , nidi t'áá aaníí dadíítsaał . Áko Iiláíjah dah nídiidzá .
12:1:005:0	Áádóó nidaal'a'í éí Eihazáíyah yaa nákai , áko ííłní , Haash yit'éego t'óó nánoohkai ?
12:1:006:0	Áko ádahałní , Diné léi' nihidááh níyáago ánihiłní , Nílááh , aláahgo naat'áanii nanihił'a'ígíí bich'į' nídóhkáahgo ádabidohní , Bóhólníihii kóní , Da' Ízrel dine'é bitahdiísh Diyin God ádingo biniinaa Ékran kin haal'áagi diyin bidi'níinii Béíyalzííbab nabídídííłkił biniyé bich'į' i'ííníł'a' ? Díí bąą tsásk'eh bikáá' sínítínídóó doo nídidíí'nah da , nidi t'áá aaníí dadíítsaał .
12:1:007:0	Eihazáíyah áháłní , Diné haashą' yit'éé léi' nihidááh níyáago díí saad yee nihił hoolne' ?
12:1:008:0	Áko hach'į' hádaasdzíí' , Diné ditł'oii léi' akałsis biníí' gónaa yee ákászaaz . Áko Eihazáíyah ání , Éí lá Tíshbeh dine'é Iiláíjah át'į́ ni .
12:1:009:0	Nít'éé' aláahgo naat'áanii éí siláo yinanit'a'í nilíinii bisiláo ashdladiingo yił hach'į' ayííł'a' . Áko ákóde hach'į' haayá ; jó , wók'ą́ągi dah dzizdá . Áko hach'į' haadzíi'go ání , Diyin God yá naal'a'í nílíinii , aláahgo naat'áanii ání , Wóshdę́ę́' , hadaninááh , niłní .
12:1:010:0	Áádóó Iiláíjah éí ashdladiin siláo yinanit'a'í yich'į' haadzíi'go ííłní , Diyin God yá naal'a'í nishłį́į́ ládą́ą́' bíni' yá'ąąshdę́ę́' kǫ' hadadidoonołgo ni áádóó ashdladiingo nisiláo ánihidoołdįįł . Áko yá'ąąshdę́ę́' kǫ' hadadíínóodgo hó áádóó ashdladiin siláo hoł naakaígíí bił áho'disdįįd .
