12:2:001:1	Iiláíjah yá'ąąshgóó anábi'dooltį́
12:2:001:0	Nít'éé' Bóhólníihii nááts'ó'oołdísii bee Iiláíjah yá'ąąshgóó yił dah didoo'ashjį' ahoolzhiizh , áko Gílgal kin shijaa'dóó Iiláíjah éí Iiláísha yił dah dii'áázh .
12:2:002:0	Áko Iiláíjah éí Iiláísha ííłní , T'áá kwe'é sínídá , baa nánooshkąąh , háálá Bóhólníihii Béthel kin haal'áágóó shííł'aad . Nít'éé' Iiláísha áháłní , Ts'ídá t'áá aaníí Bóhólníihii hiná índa hiníná ; ákót'éego ts'ídá t'áá aaníí doo nits'ádeesháał da . Áko Béthel góyaa jiní'áázh .
12:2:003:0	Nít'éé' Diyin God yá dahalne'ii bídahooł'aahígíí éí Béthelgi Iiláísha yaa yíkaigo ádeiłní , Bóhólníihii díí jį́ bóhoníłníihii nits'ą́ą́' néididoołtéełgoósh nił bééhózin ? Aoo' , shił bééhózin ; t'áadoo ádadohníní .
12:2:004:0	Áko Iiláíjah áháłní , Iiláísha , t'áá kǫ́ǫ́ sínídá , baa nánooshkąąh , háálá Bóhólníihii Jériko kin haal'áágóó shííł'aad . Áko ání , Ts'ídá t'áá aaníí Bóhólníihii hiná índa hiníná ; ákót'éego ts'ídá t'áá aaníí doo nits'ádeesháał da . Áko Jérikogóó jiní'áázh .
12:2:005:0	Nít'éé' Diyin God yá dahalne'ii bídahooł'aahígíí éí Jérikogi Iiláísha yaa yíkaigo ádeiłní , Bóhólníihii díí jį́ bóhoníłníihii nits'ą́ą́' néididoołtéełgoósh nił bééhózin ? Áko hadzoodzíi'go ájíní , Aoo' , shił bééhózin ; t'áadoo ádadohníní .
12:2:006:0	Áádóó Iiláíjah áháłní , T'áá kǫ́ǫ́ sínídá , baa nánooshkąąh , háálá Bóhólníihii éí Jórdan toohgóó shííł'aad . Áko ání , Ts'ídá t'áá aaníí Bóhólníihii hiná índa hiníná ; ákót'éego ts'ídá t'áá aaníí doo nits'ádeesháał da . Áádóó t'áá ájíłah náás dashdii'áázh .
12:2:007:0	Áko t'áá ájíłah Jórdan tooh bibąąhdóó dzizį́įgo Diyin God yá dahalne'ii bídahooł'aahígíí éí ashdladiingo ákǫ́ǫ́ yíkaigo t'áá nízaadę́ę́' dadéez'į́į́' .
12:2:008:0	Áko Iiláíjah bibeeldládí éé' ádeidiiltsoozgo yizdisgo yee tooh néidíí'ahgo tó ałts'áálk'ol , áko t'áá ájíłah hóółtseigóó ha'naa nizhní'áázh .
12:2:009:0	Nít'éé' ákódzaa ha'naa nizhní'áazhgo Iiláíjah éí Iiláísha ííłní , T'ah doo nits'ą́ą́' náshi'diilteehdą́ą́' ha'át'íishą' ná ádeeshłííł éí yíníkeed . Áko Iiláísha ání , Bíni' niníłch'i naakidi ahą́ą́h náneel'ą́ągo shik'iidooldoh , baa nánooshkąąh .
12:2:010:0	Áádóó ání , Nantł'ago la' í'dííníkeed , ákót'ée nidi , ííshją́ą́ nits'ą́ą́' náshi'diiltį́įgo shiiniłtsą́ą́ ládą́ą́' t'áá ná ákódoonííł , nidi dooda ládą́ą́' , éí doo ákódooníił da .
12:2:011:0	T'áá yájíłti'go t'áá náás joo'ashgo , jó , tsinaabąąs bijáád naakiígíí kǫ'go índa łį́į́' daakǫ'go jiiłtsą́ ; éí ałts'á honínil , áko Iiláíjah yá'ąąsh góde nááts'ó'oołdísii yee ííyá .
12:2:002:1	Iiláísha éí Iiláíjah yitsásk'ehjį' ííyá
12:2:012:0	Áko Iiláísha éí yiyiiłtsą́ągo hadoolghaazh , Shizhé'é , shizhé'é , tsinaabąąs bijáád naakiígíí Ízrel dine'é bee bich'ą́ą́h na'abaahii índa łį́į́' yee nida'ałbąąsii ! Áádóó t'áadoo náádziiłtsą́ą da . Áko t'áá hó ha'éé' dziiłtsoodgo ałts'á dzíízǫ́ǫ́z .
12:2:013:0	Áádóó Iiláíjah bibeeldládí éé' bidáána'ígíí ałdó' nízhdiiłtsoozgo nát'ą́ą́' níjídzáago Jórdan tooh bibąąhdóó jiizį' ,
12:2:014:0	áko Iiláíjah bibeeldládí éé' bidáána'go nízhdiiłtsoozígíí bee tooh nízhdíí'ahgo ájíní , Iiláíjah biBóhólníihii Diyin Godshą' háájí ? Áko hó ałdó' tooh nízhdíí'ahgo tó ałts'áálk'ol , áko Iiláísha ha'naa nizhníyá .
12:2:015:0	Nít'éé' Diyin God yá dahalne'ii bídahooł'aahígíí éí Jérikodę́ę́' dadéez'į́'ígíí ádaaní , Iiláíjah biníłch'i Iiláísha bik'i hoole' lá . Áko ákǫ́ǫ́ hadááh yíkaigo ni'jį' hach'į' yaa ádaadzaa .
12:2:016:0	Áko ádahałní , Shoo , k'ad ná nidaal'a'í ashdladiin diné dahayóígíí yił naakai ; bíni' ákǫ́ǫ́ dookah , baa nídaniikąąh , áko bóhoníłníihii hadeidínóotaał ; Bóhólníihii biníłch'i dego abííłtį́įgo haa'í shį́į́ daadził bikáa'jį' , doodaii' deildzis góyaa abiyííłhan dó'óshłí . Áko Iiláísha ání , Doo ákǫ́ǫ́ ada'dooł'aał da .
12:2:017:0	Nít'éé' yídahoniyodgo wónáásdóó baa yázniizį́į'go ájíní , Da'doł'á . Éí bąą diné ashdladiingo adeis'a'go , ch'ééh hadeintáago táá' yiską́ , nidi t'áadoo yik'ídaneeztą́ą' da .
12:2:018:0	Áádóó haa nínáánákai , áko Jériko kin haal'áagi nijighá , áko ádabizhdííniid , Da' doósh t'áá íídą́ą́' ánihidííniid da , Doo ákǫ́ǫ́ dohkah da ?
12:2:019:0	Nít'éé' kin haal'áádóó hastóí éí Iiláísha ádeiłní , Nánooshkąąh , shinanit'a'í nílíinii , jó , yíní'į́įgo díí yá'áhoot'éehgi kin haal'á , nidi tó éí t'óó baa'ih áádóó náhodiniichii'go haz'ą́ .
