12:18:001:1	Heziikáíyah nant'áá nít'éé'
12:18:001:0	Íídą́ą́' Íílah biye' Hoshíya éí Ízrel dine'é aláahgo yinanit'a'í nilį́įgo táá' náhááh góne' Júdah dine'é aláahgo binanit'a'í Éíhaz yę́ę biye' Heziikáíyah aláahgo nant'á silį́į́' .
12:18:002:0	Naadiin ashdla' binááhaigo nant'áago hahoolzhiizh , áko Jerúsalemgi naadiin náhást'éí nááhaijį' aláahgo naat'áanii nilį́į́ nít'éé' . Bimá éí Éíbai wolyéego Zakaráíyah yitsi' nilį́ .
12:18:003:0	Áádóó hazhé'é yę́ę David áát'įįdii bik'ehgo Bóhólníihii binááł t' áá ákogi át'éego ádzaa .
12:18:004:0	Nít'éé' ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí áádóó eda'alyaii niyiizti' , índa asdzání bida'alyaii niyiisne' áádóó Mózes éí béésh łitsoii yee tł'iish yi'iilaaígíí yidííséí ; jó , Heziikáíyah bíyoołkáałjį' Ízrel dine'é tsin bijeeh dilidgo łikání halchinii éí tł'iish yich'į' náádayiiłniih nít'éé' , áko éí Nehúshtan yee yiyíízhi' .
12:18:005:0	Ízrel dine'é biDiyin God Bóhólníihii yaadzólíí nít'éé' ; Júdah dine'é aláahgo binanit'a'í nídaadleełii índa hakéédę́ę́' aláahgo naat'áanii nídaadleełii t'áá ałtso bitahdóó doo ła' hógi ádaat'ée da nít'éé' .
12:18:006:0	Áko Bóhólníihii yąąh dah sitį́įgo yikéé' níyá , nidi Bóhólníihii bibik'eh ó'oo'níiłii yee Mózes yich'į' haadzí'ígíí yik'eh hół'į́į́ nít'éé' .
12:18:007:0	Áko t'áá hidighááhgóó Bóhólníihii bił hólǫ́ǫgo t'áá ałtsoní yá'át'éehgo bá áánííł nít'éé' , áádóó Asíriya dine'é aláahgo binanit'a'í yich'į' yistee'go t'áadoo yá naas'a' da .
12:18:002:1	Samériya kin haal'áii bik'eh hodeesdlį́į́'
12:18:008:0	Áko Géíza kin haal'áhígíí índa kéyah nidanees'ą́ąjį' t'áá éí yaa'ii'áago bikáá'dóó ha'alzídídóó kin haal'á ditą́ągo binaa ahééda'astł'inígóó Filístiya dine'é yich'į' naabaahgo yik'eh deesdlį́į́' .
12:18:009:0	Nít'éé' Heziikáíyah aláahgo naat'áanii nilį́įgo dį́į́' náhááh góne' índa Íílah biye' Hoshíya éí Ízrel dine'é aláahgo yinanit'a'í nilį́įgo tsosts'id náhááh góne' Asíriya dine'é aláahgo binanit'a'í Shalmaníízer éí Samériya kin haal'áii yich'į' nídiidzáago yináshzhiizh .
12:18:010:0	Áko táá' nááhaijį' nihoolzhiizhgo deisná ; Heziikáíyah aláahgo naat'áanii nilį́įgo hastą́ą́h náhááh góne' índa Hoshíya éí Ízrel dine'é aláahgo yinanit'a'í nilį́įgo náhást'éí náhááh góne' Samériya kéyah yisná .
12:18:011:0	Áádóó Asíriya dine'é aláahgo binanit'a'í éí Asíriya kéyahgóó Ízrel dine'é ayiizh'eezhgo Héílah kin haal'áadi áádóó Gózan kéyahgi Héíbar tooh nílíní bibąąhgóó índa Míídiya dine'é bikin hadaas'áhígóó niyiizh'eezh .
12:18:003:1	Senákerib anaa' hasłį́į́'
12:18:012:0	Háálá Bóhólníihii haDiyin God ánínígíí doo bik'eh dahojíł'į́į da nít'éé' , nidi bibee ałha'deet'áanii t'óó bik'i nidziskai índa Bóhólníihii bá naal'a'í Mózes yee hach'į' haadzí'ígíí t'áá át'é doo dayíists'ą́ą' dago doo yik'ehgo ádaanéeh da nít'éé' .
12:18:013:0	Nít'éé' Heziikáíyah aláahgo naat'áanii nilį́įgo dį́į́'ts'áadah náhááh góne' Asíriya dine'é aláahgo binanit'a'í Senákerib éí Júdah kéyahgi kin hadaas'á ditą́ągo binaa ahééda'astł'inígíí t'áá át'é yich'į' naabaahgo yisná .
