12:5:001:1	Néíyaman éí łóód ats'íís yiyáanii naałdzidii bits'ą́ą́dóó hadaałt'é ánábi'diilyaa
12:5:001:0	K'ad Síriya dine'é aláahgo binanit'a'í bisiláo dah deínéehii binanit'a'í Néíyaman éí bóhojíłníihii bich'į'go diné ayóó át'éii índa diné ílíinii jílį́ , háálá hó hwee Bóhólníihii éí Síriya dine'é yisdáyíínil ; diné bíiyisii bidziilii ałdó' jílį́ , nidi łóód ats'íís yiyáanii naałdzidii bee hąąh dah haz'ą́ .
12:5:002:0	Síriyadóó siláo dah naazhjaa'go ch'ídahaazná yę́ędą́ą́' Ízrel dine'é bikéyahdóó at'ééd yázhí léi' deisnáago yił nídaaskaigo éí Néíyaman be'asdzą́ą́ yá naal'a' .
12:5:003:0	Áko at'ééd éí yá naal'a'í ííłní , Dooládó' shinanit'a'í Samériyadi Diyin God yá halne'ii naagháhígíí yił naa'aash laanaa nisin ! Háálá éí łóód ats'íís yiyáanii naałdzidii bee hąąh dah haz'ánígíí há néidoołdzih .
12:5:004:0	Nít'éé' ła' yah ajííyáago honanit'a'í bił hojoolne'go ábijiní , Ízrel dine'é bikéyahdę́ę́' at'ééd naagháhígíí kóníigo ga' haadzíí' .
12:5:005:0	Áádóó Síriya dine'é aláahgo binanit'a'í ání , K'ad ákǫ́ǫ́ dínááh , áko Ízrel dine'é aláahgo binanit'a'í éí bich'į' naaltsoos ádeeshłííł . Áko neeznáago béésh łigaii tálent wolyéii , áádóó hastą́ądi mííl óola shékel wolyéii índa éé' neeznáá ałnááhoo'nił bíighahgo nízhdiinilgo ákǫ́ǫ́ dashdiiyá .
12:5:006:0	Áko Ízrel dine'é aláahgo binanit'a'í naaltsoos baazhníłtsoozígíí bii'dóó kóní , K'ad díí naaltsoos neíltsoozgo , jó , shá naal'a'í Néíyaman éí łóód ats'íís yiyáanii naałdzidii bee bąąh dahaz'ánígíí nídííłdzih biniyé bił naa níł'a' .
12:5:007:0	Nít'éé' Ízrel dine'é aláahgo binanit'a'í naaltsoos yiyííłta'go , bi'éé' ádąąh nayooldláadgo ání , Da' shíísh Diyin God nishłį́įgo adiyeeshxééł índa iináago áńdeeshdlíiłgo díí diné léi' łóód ats'íís yiyáanii naałdzidii bee bąąh dahaz'áanii hadaałt'é áńdeeshdlííł biniyé shich'į' ayííł'a' lá ? Shoo , baa nitsídaahkees , eii shinídidooltłiłígíí yiniyé shíka'iiłhil .
12:5:008:0	Áádóó Diyin God yá naal'a'í Iiláísha éí Ízrel dine'é aláahgo binanit'a'í bi'éé' ák'iyooldláadgo yaa hodiizts'ą́ą'go aláahgo naat'áanii yich'į' i'ííł'a'go ání , Ha'át'íí lá biniyé ni'éé' ák'inéíníldláád ? K'ad bíni'dii shaa yíghááh , áko Ízrel dine' é bikéyahgi Diyin God yá halne'ii hólǫ́ǫgo hoł bééhodoozįįł .
12:5:009:0	Kót'éego Néíyaman bilį́į́' áádóó tsinaabąąs bijáád naakiígíí yee níyáago Iiláísha bighan bich'éédą́ą́'dóó sizį́ .
12:5:010:0	Áádóó Iiláísha éí hane' yił naal'a'í hach'į' ayííł'a'go ání , Nílááh , Jórdan tooh bii' tsosts'idi ninádííbeełgo nitsį' nąąh náhodoodleełgo doo ánít'éhí da nídíídleeł .
12:5:011:0	Nidi Néíyaman báhóóchįįdgo dah nídiidzáago ání , Shą́ą́' hanii shich'į' ch'ízhdoogáałgo shidááhdóó yizdoozįįłgo Bóhólníihii haDiyin God yízhdóozhiiłgo hála' bee shikáá' tázhdidoolnihgo shilóód nízhdoołdzih nisin nít'éé' .
12:5:012:0	Damáskas kéyahdi Abána áádóó Fárpar tooh nílínígíí éí Ízrel dine'é bikéyahgi tooh danílígíí t'áá ałtso biláahdi yá'át'ééh . Éí bii' tá'ádísgizgoósh doo nídeesdzih da ? Áádóó t'áá íiyisí báháchį'go dah nídiidzá .
12:5:013:0	Nidi há nidaal'a'í hwíighahjį' niikaigo hach'į' hadaasdzíi'go ádaaní , Nihizhé'é nílíinii , Diyin God yá halne'ii t'áadoo le'é ayóó át'éii ádíílííł niłníigoósh doo ádíílíił da ? Tá'ádidíígisgo nídíídzih , niłnínígíí yee' doo nantł'a da .
12:5:014:0	Áádóó ákóyaa dah diiyáago Diyin God yá naal'a'í ádííniidígíí bik'ehgo Jórdan tooh bii' tsosts'idi ninázbį́į́' , áádóó halóód náádzíi'go áłchíní bits'ísígi át'éego hats'íís náhásdlį́į́' índa ho'déédee' .
12:5:015:0	Áádóó bił nijikaígíí bił nát'ą́ą́' níjíkaigo Diyin God yá naal'a'í baazhníyáago bidááhdę́ę́' dziizį'go ájíní , Jó , Ízrel dine'é bikéyahgi Diyin God hólónígi át'éego nihokáá'góó t'áá át'éé nít'éé' doo ła' hólǫ́ǫ dago shił bééhoozin ; éí bąą k'ad , ná naal'a'í neidooléłígíí nídiilé , baa nánooshkąąh .
12:5:016:0	Nidi Iiláísha ání , Bóhólníihii bidááhdóó sézínígíí ts'ídá t'áá aaníí hiná ; ákót'éego ts'ídá t'áá aaníí doo ła' nídideeshłéeł da . Nidi nízhdidoolééł biniyé ch'ééh yíhoniyodgo doo íiznízin da .
12:5:017:0	Áádóó Néíyaman ání , Éí doodago bíni'dii dzaanééz naaki hééł yooyééł bíighahgo ná naal'a'í bá łeezh hééł ádoolnííł , baa nánooshkąąh ? Háálá ná naal'a'í kodóó doo diyin dabidi'níinii yich'į' didlidgo nínáádi'yoołnih da , nidi Bóhólníihii bich'į'go t'éiyá .
12:5:018:0	Díí kósdzaaígíí bee Bóhólníihii éí ná naal'a'í yaa jooba' le' , jó , shinanit'a'í bidiyin Ríman yich'į' nahodoołaał biniyé bikin góne' shigaan yótą'go bił yah anásht'ashgo áádóó Ríman bikin góne' yaa ánásht'įįhgo díí kósdzaaígíí Bóhólníihii ná naal'a'í yá yóó'anéididoo'ááł .
12:5:019:0	Iiláísha áháłní , Nich'į' hózhǫ́ǫgo náádáał le' . Nít'éé' bits'ą́ą́' dah nízhdiidzáago t'áá áhą́díjį' nizhníyáago
12:5:020:0	Diyin God yá naal'a'í Iiláísha bá naal'a'í Giihéízai ání , Shoo , shinanit'a'í díí Síriya diné Néíyaman yiníjaa'ígíí t'áadoo bá nízhdiinilgóó bá baa hą́ą́s niizį́į'go t'óó bił béézhníłnii' ; ts'ídá t'áá aaníí Bóhólníihii hiná ; ákót'éego ts'ídá t'áá aaníí éí diné bikéé' nídideeshwołgo t'áadoo le'é sheidoolééł .
12:5:021:0	Áko Giihéízai éí Néíyaman bikéé' jiníyá . Áádóó Néíyaman bikéé' joolwołgo hoołtsą́ índa bitsinaabąąs bijáád naakiígíí yii'dę́ę́' hadááyáago hadááh níyáago ání , Yá'ádahoot'ééhésh ?
12:5:022:0	Áádóó ájíní , Aoo' , yá'ádahoot'ééh . Shinanit'a'í shííł'aadgo ání , Jó , áníídíyee' Íífreiyim kéyah daadziłdę́ę́' Diyin God yá dahalne'ii bídahooł'aahígíí ła' dinééh nidilt'éego shaa ní'áázh ; béésh łigaii tálent wolyéii áádóó éé' naaki ałnááhoo'nił bíighahgo baa díínił , baa nánooshkąąh , niłní .
12:5:023:0	Áádóó Néíyaman ání , Tálent wolyéii naakigo nídiiníiłgo nił sih le' . Áko bízhníyodgo béésh łigaii tálent wolyéii naaki azis bee índa éé' naaki ałnááhoo'nił bíighahgo ałch'į' be'estł'ǫ́ǫgo há naal'a'í naakigo éí biné'ézhdéenilgo Giihéízai yilą́ąjį' dah yidiiłjid .
12:5:024:0	Nít'éé' yílk'id léi'gi jíkaigo bílák'ee hajíínilgo kin góne' yah ajííjaa' , áádóó diné béézhníłnii'go dah nídiit'áázh .
12:5:025:0	Áko yah ajííyáago hananit'a'í bidááhdóó nizhníyá . Áádóó Iiláísha áháłní , Giihéízai , háádę́ę'go lá yínááł ? Áko ájíní , Ná naal'a'í doo háájída naayáa da .
12:5:026:0	Nidi ábijiní , Éí diné bitsinaabąąs bijáád naakiígíí yii'dę́ę́' hadááyáago nidááh níyáádą́ą́' da' doósh shiníłch'i nił hólǫ́ǫ da nít'éé' ? Da' béeso áádóó éé' áádóó áliv yíl'áhígíí áádóó ch'il na'atł'o'ii yíl'áhígíí áádóó dibé áádóó béégashiida áádóó diné nidaal'a'í índa asdzání nidaal'a'í nídidoolyééłísh baa hoolzhiizh ?
12:5:027:0	Éí bąą Néíyaman éí łóód at'íís yiyáanii naałdzidii bee bąąh dah haz'ánígíí nididoolnah k'ad áádóó na'áłchíní náás ahoolchíiłii ałdó' hool'áágóó bitah yiłnih doo . Índa yasgi át'éego łigaigo łóód ats'íís yiyáanii naałdzidii hodoolna'go Iiláísha bits'ą́ąjį' dashdiiyá .
