12:6:001:1	Tsénił bitsiits'iin hanáz'éél
12:6:001:0	Áko Diyin God yá dahalne'ii bídahooł'aahígíí éí Iiláísha ádeiłní , Shoo , díí nił kééhwiit'ínígi t'áá íiyisí doo nihihóoghah da .
12:6:002:0	Haa'íyee' , baa nániikąąh , Jórdan toohgóó diikahgo diné t'ááłá'í nítínígo tsin bik'eh nítą́ągo ákǫ́ǫ́ deidoojih ; éí bee áadi hooghan ádadiilníiłgo ákwii kééhwiit'į́į doo . Áko , Nihílááh dohkááh , bizhdííniid .
12:6:003:0	Nít'éé' ła' áháłní , Nił t'áá ákogo ná nidaal'a'í bił díkááh , baa nánooshkąąh . Áko hadzoodzíi'go ájíní , Deeshááł lą́ą .
12:6:004:0	Áko bił dashdiikaigo Jórdan toohgi jíkaigo ákwii tsin dadzitseeł .
12:6:005:0	Nidi ła' tsin k'íjíłne' nít'éé' tsénił bitsiits'iin hats'ą́ą́' baa diilts'idgo taah yilts'id , áko hazhdoolghaazhgo ájíní , Héi' , bóhonishníihii , tsénił t'óó sha'ít'ą́ą́ nít'éé' .
12:6:006:0	Áko Diyin God yá naal'a'í ání , Háá góyaashą' eelts'id ? Kóyaa eelts'id , bijiní . Iiláísha tsints'ósí ła' k'íinígizhgo ákóyaa ayiyííłhango tsénił táłkáá' haaz'éél .
12:6:002:1	Iiláísha áádóó Síriya dine'é
12:6:007:0	Nídii'aah , hozhdííniidgo bíká azhdoolnii'go nízhdii'ą́ .
12:6:008:0	Nít'éé' Síriya dine'é aláahgo binanit'a'í éí Ízrel dine'é yich'į' anaa' dahasłį́į́' , áko bá nidaal'a'í yił yaa nídaast'įįdgo ání , Ts'ídá ákwe'é haz'ą́ą́ léi'gi nideeshnééł .
12:6:009:0	Áádóó Diyin God yá naal'a'í éí Ízrel dine'é aláahgo binanit'a'í yich'į' i'ííł'a'go ání , T'ááká ákǫ́ǫ́ dóónééł yíila' , háálá Síriya dine'é ákóyaa deezná .
12:6:010:0	Áko Ízrel dine'é aláahgo binanit'a'í éí Diyin God yá naal'a'í éí nahós'a'ígi yee hoł hoolne'ígóó i'jííł'a' . Ákót'éego doo t'ááłáhídi , doodaii' doo naakidi hoł náhóóni'go biniit'aa yisdánídzoodzá , nidi díkwíidi shį́į́ yisdájííyá .
12:6:011:0	Díí biniinaa Síriya dine'é aláahgo binanit'a'í t'áá íiyisí bi'diił'áago bá nidaal' a'í hágo yidííniidgo ííłní , Nihitahdóoshą' háí Ízrel dine'é aláahgo binanit'a'í yich'ijí nilínígíísh doo bee shił dahołne' da ?
12:6:012:0	Áko há nidaal'a'í ła' ání , Ádin , doo ła' da , shinanit'a'í aláahgo naat'áanii nílíinii , nidi Ízrel dine'é bitahgi Diyin God yá halne'ii Iiláísha éí nítéhí góne' bee hahídziihígíí Ízrel dine'é aláahgo binanit'a'í yee yił halne' .
12:6:013:0	Áádóó ájíní , Nílááh , sidáhígi hada'doohsił , áko ákǫ́ǫ́ adeesh'aałgo hwiideestsoł . Nít'éé' , jó , Dóthan kin haal'áadi naaghá , daaníigo hoł dahoolne' .
12:6:014:0	Áko siláo dah deínéehii t'óó ahayóí éí łį́į́' áádóó tsindaabąąs bijáád naakiígíí yee yinéełgo ákǫ́ǫ́ ayiis'a' , áádóó tł'ée'go áá nínáago kin haal'á yináshzhiizh .
12:6:015:0	Diyin God yá naal'a'í bá naal'a'í t'ah abíínídą́ą́' nídii'na'go ch'íníyá , nít'éé' , shoo , siláo t'óó ahayóí áádóó łį́į́' índa tsindaabąąs bijáád naakiígíí éí kin haal'á yinás'áago yiyiiłtsą́ . Áko naal'a'í áháłní , Héii' , bóhonishníihii , haashą' dii'nííł ?
12:6:016:0	Áádóó hadzoodzíí' , T'áadoo nił yé'í , háálá nihí nihich'ijí danilínígíí áájí yich'ijí danilínígíí yiláahgo ánéelą́ą́' .
12:6:017:0	Áko Iiláísha sodoolzingo ání , Bóhólníihii , baa nánooshkąąh , díí dinééh iidoołtsééł biniyé bináá' ąą ánílééh . Nít'éé' Bóhólníihii dinééh bináá' ąą áyiilaago , shoo , dził bąąh łį́į́' áádóó tsindaabąąs bijáád naakiígíí daakǫ'go yíl'áago Iiláísha yinás'áago yiyiiłtsą́ .
12:6:018:0	Áádóó Síriya diné hach'į' hadaakaigo Iiláísha éí Bóhólníihii yich'į' sodoolzingo ání , Díí diné doo da'oo'į́į́góó ádanile' baa nánooshkąąh . Áko Iiláísha sodoolzinígíí bik'ehgo diné doo da'oo'į́į da daazlį́į́' .
12:6:019:0	Áádóó Iiláísha áháłní , Kojigo dooda , doo nidi kwe'é kin haal'áhígíí át'ée da ; wóshdę́ę́' shikéé' wohkahgo diné hadanohtáhígíí baa nihideesh'ish . Nidi Samériya kin haal'áágóoda bił jíkai .
12:6:020:0	Áko Samériya kin haal'áagi yah ajookaigo Iiláísha ání , Bóhólníihii , díí diné da'oo'į́ áńdandle' , áko da'oo'į́į doo . Nít'éé' Bóhólníihii éí da'joo'į́ áńdahoodlaago , shoo , Samériya kin haal'á ałníi'gi ádajit'į́į́ lágo baa ákodazniizį́į́' .
12:6:021:0	Áádóó Ízrel dine'é aláahgo binanit'a'í éí yiyiiłtsą́ągo Iiláísha ííłní , Shizhé'é , da' díí siláo naastseedísh ? Naastseedísh ?
