60:2:001:1	Jesus , Kii K'it T'inchy'aa
60:2:001:0	Jidii tr'agwaanduu nakhwagwitr'it gwanlii datthak akhagohnyąą ; ohts'it kwaa , nizįį adoo'įį kwaa , ch'izhii dinjii nąįį jidii gii'įį ąįį khit ts'ą' dinjinooghit shrǫ' , nakhwaghit gwats'an ginjik iizųų haa gohkhyaa shrǫ' !
60:2:002:0	Tr'iinin tsal vagoodlit ts'ą' ch'oołma' zhrįh niindhan , ąįį gwik'it nakhwan t'ee Vit'eegwijyąhchy'aa Viginjik eenjit nakhwazhit gwiłts'ik . Gwik'iighai' neehohshii t'oonchy'aa .
60:2:003:0	Dęhtły'aa Choh zhit jyaa t'igwinyąą , “ K'eegwaadhat deegwahtł'oo ch'eegoonzhrįį nilii gwiky'uunjik . ”
60:2:004:0	K'eegwaadhat vats'ą' hohjyaa , kii-gwandaii k'it veegoo'aii , ąįį kii t'ee lęįį nąįį gooveenjit giilį' k'it t'inchy'aa gaa Vit'eegwijyąhchy'aa gwitee tr'iiyahchįį ąįį hil'ee ts'ą' yąąh'in .
60:2:005:0	Nakhwan ąįį kharigidiinjii zheh , kii Ch'anky'aa Shroodiinyąą haa gwiltsąįį ts'ą' giinkhih shroodiinyąą ǫhłįį . Jesus Christ k'iighai' Vit'eegwijyąhchy'aa nakhwashoohahłyaa eenjit nakhwayinji' vantł'oh'ąįį .
60:2:006:0	Dęhtły'aa Choh zhit jii jyaa nyąą , “ Gwintł'oo kii chil'ee gwitee tr'ihih'aa . Zion zhit vakat zheh nigwirehee'aa eenjit . Juu Vit'eegwijyąhchy'aa k'injiighit nąįį khit goodivee gweheezyaa geenjit . ”
60:2:007:0	Juu gwik'injiighit nąįį eenjit kii chil'ee nilii , gaa juu gwik'injiighit kwaa nąįį ąįį kii gooveenjit chil'ee kwaa : “ Ąįį kii vaa ndak goo'aii łyaa gwandaa gwintsii veegoo'aii łee gwik'eegahaandal . ”
60:2:008:0	Dęhtły'aa Choh kat ch'adanh gwa'an jyaa digwinyąą , “ Jii kii dinjii nąįį deekwaii dha'aiits'ą' veh'an dinjii nąįį git'eehaadhak . ” Vit'eegwijyąhchy'aa deeyiindhan ąįį gwiginjik k'injigiighit kwaa geh'an giit'eegahaadhak .
60:2:009:0	Gaa Vit'eegwijyąhchy'aa gwitee tr'anakhweiinlii , king viginkhii ǫhłįį , nahkat gwich'in nąįį shroodiinyąą ǫhłįį , ts'ą' Vit'eegwijyąhchy'aa vigii chan ǫhłįį ts'ą' shroodiinyąą ǫhłįį ts'ą' gwinzii t'ee'ya' geegwahoondak geenjit gwitee tr'ineenakhwanlii , ąįįt'ee tǫǫ k'ii'an gwats'an tr'anakhwinlii ts'ą' va'aadrii ch'eegwąhndit zhit nakhweenlii .
60:2:002:1	Vit'eegwijyąhchy'aa Va-slaves Tr'iheelyaa Gwizhrįh
60:2:010:0	Ch'ihłan Vit'eegwijyąhchy'aa digii nąįį ts'ą' neeshraahchy'aa niindhan gaakhwandaii kwaa , gaa juk ąįį Vit'eegwijyąhchy'aa neeshraahchy'aa nakhoonyaa ts'ą' chan vigii ǫhłįį .
60:2:011:0	Shijyaa nąįį , jii nankat aakin ǫhłįį ts'ą' zhyaa gehgoohohjyaa , gwiizųų ninjich'ǫhthat akwat gwiizųų t'ooshi'ya' yuuhthan ąįį kwaii gwits'į' adak'ǫǫntii , jii kwaii nakhwagwandaii zhit gwits'į' ninjich'its'ohthat reh .
60:2:012:0	Gwik'injiighit kwaa nąįį tee khit gwinzii tr'agoh'in , iizųų nakhwagahąąnjyaa ts'ą' nakhwagigiheekhyaa gaa Vit'eegwijyąhchy'aa k'ineeheedik drin ji' nakhwagwitr'it gwinzii łee geedąhkhai' gwik'igahaandal ts'ą' izhit geenjit Vit'eegwijyąhchy'aa deegahah'aa .
60:2:013:0	Jii nankat k'įh dilk'ii nąįį datthak gook'eegohthat , Diik'eegwaadhat veenjit . Juu nahkat gwakhaihkwaii choh ,
60:2:014:0	ąįį khaihkwaii vitsyaa nąįį ( governors ) chan , juu gwiizųų t'ii'in nąįį khaiinjich'igiighit gahtsii ts'ą' juu gwinzii t'ii'in nąįį yinjigihił'ee .
60:2:015:0	Vit'eegwijyąhchy'aa gwinzii t'akhwa'in nakhoonyaa , zhit juu tr'igwinjik ky'aa ginkhii nąįį deegogwahahtsai' kwaa eenjit .
60:2:016:0	Deekhwa'ya' nohthan datthak gwik'it gǫhdaii ts'ą' gwiizųų t'akhwa'in ąįį nagoh'įį shrǫ' , gaa Vit'eegwijyąhchy'aa va-slaves ǫhłįį k'it gǫhdaii .
60:2:003:1	Nats'ąą Christ Khaiinjich'iighit Gwaraah'in .
60:2:017:0	Juu nąįį datthak yinjiihooh'ee , gwik'injiighit nąįį chan eenjit ch'eet'igwiniindhan khwa'įį . Vit'eegwijyąhchy'aa viyinjiihoh'ee , nahkat gwats'ą' k'eedeegwaadhat chan viyinjiihoh'ee .
60:2:018:0	Ch'itsyaa nąįį , juu nakhwats'ą' k'eedeegwaadhat nąįį yinjiihooh'ee . Zhit juu nakhwats'ą' nizįį zhrįh kwaa gaa zhit juu nakhwats'ą' iizųų nąįį chan .
60:2:019:0	Geenjit kwaa khaiinjich'akhwaghit eenjit Vit'eegwijyąhchy'aa nakhwashoohahłyaa , Vit'eegwijyąhchy'aa deekhwa'ya' nakhoonyaa gwik'it t'akhwa'in geh'an .
60:2:020:0	Gwiizųų nakhwagwitr'it gwanlii eenjit khaiinjich'anakhwarahkhit ji' jidii gaiiyiigohtsii ? Ch'akwaa ! Gaa gwiizųų nakhwagwitr'it gwakwaa gwiizhit khaiinjich'anakhwarahkhit ji' Vit'eegwijyąhchy'aa nakhwashoohahłyaa .
60:2:021:0	Jii kwaii geenjit t'ee Vit'eegwijyąhchy'aa gwitee tr'anakhweiinlii t'ii'in ; Christ nakhweenjit khaiinjich'iriłthat vik'it t'ahohchy'aa eenjit .
60:2:022:0	Vatr'agwaanduu gwakwaa , ts'ą' ch'ihłok gaa oots'it kwaa .
60:2:023:0	Gwiizųų datthak giits'ą' ginkhii dąį' gwidii ginkhe' kwaa , khaiinjich'igiiyahthat dąį' khaiinjich'anakhwahałkhit t'oonchy'aa nyąą kwaa . Gaa yeendaa ji' geenjit Vit'eegwijyąhchy'aa t'injyąhchy'aa , juu khit ts'ą' shroodiinyąą haa gwitr'ineekhwalii .
60:2:024:0	Christ , diitr'agwaanduu eenjit Cross aghwaa , chan tr'agwaanduu tr'ineegwahoh'yaa kwaa geenjit ts'ą' Vit'eegwijyąhchy'aa vik'eegwahohthat haa gwahǫhdaii . Gwintł'oo khaiinjich'iighit k'iighai' neediinahshii .
60:2:025:0	Gwehkįį divii vaatr'igweendaii k'it t'ohchy'aa , gaa juk Divii k'ąąhtii khaihłan nineekhwanlii ts'ą' nakhwayinji' k'ąąhtii t'oonchy'aa .
