14:30:001:1	Atis'adeesdzá bee bééhániihii baa na'asdee'
14:30:001:0	Heziikáíyah éí Ízrel dine'é áádóó Júdah dine'é t'áá ałtso yich'į' i'iis'a' áádóó Íífreiyim dine'é índa Manáseh dine'é yich'į' naaltsoos ádayiilaa; éí Jerúsalem kin haal'áagi Bóhólníihii bikin bii' sohodizinjį' dadookahgo Ízrel biDiyin God Bóhólníihii bich'į' atis'adeesdzá bee bééhániihii ádeidoolííł yiniyé nihidookah. 
14:30:002:0	Jó, aláahgo naat'áanii áádóó naat'áanii danilíinii índa Jerúsalemgi áłah ílínígíí t'áá ałtso naaki nídízííd binih atis'adeesdzá bee bééhániihii ná'ádleeh doo biniyé yił yaa nídaast'įįdgo yee nidahaz'ą́. 
14:30:003:0	Háálá t'áá baa náhwiilzhíísh góne' baa nizhdookahígíí doo bohónéedzą́ą da, háálá nááda'iiłniihii t'ah doo hózhǫ́ ádadildéeh da índa Jerúsalemgi diné t'ah doo ahíikáah da. 
14:30:004:0	Áko aláahgo naat'áanii áádóó diné áłah silį́'ígíí t'áá ałtso bił yá'ádaat'ééh. 
14:30:005:0	Kót'éego bee haz'áanii hadeidiilaago yaa nidahasne'go Ízrel kéyahgi t'áá át'éé nít'éé', t'áá Bíyer-shííba kin shijaa'dóó Dan kin haal'áajį' dine'é Jerúsalemgi Ízrel biDiyin God Bóhólníihii bich'į' atis'adeesdzá bee bééhániihii ádazhdoolííł biniyé, háálá t'áá bee ak'e'ashchínígi át'éego doo ádeilééhgóó t'áá íiyisí nízaad nihoolzhiizh. 
14:30:006:0	Áko aláahgo naat'áanii índa naat'áanii danilíinii bits'ą́ą́dóó éí Ízrel dine'é índa Júdah dine'é t'áá ałtso dabitahgóó aláahgo naat'áanii t'áá yee haadzí'ígíí bik'ehgo naaltsoos eejaa', kóníigo, Ízrel dine'é nohłíinii, Éíbraham, Áízak índa Ízrel biDiyin God Bóhólníihii bich'į' dah nídahidoohkááh, áko Asíriya dine' é aláahgo binanit'a'í danilíinii bits'ąą haohkaigo daahdziihígíí nihaa ánááhályą́ą doo. 
14:30:007:0	Danihizhé'é yę́ę índa danihik'isóó yę́ę éí dabizhé'é biDiyin God Bóhólníihii yóó'adeideez'ánígi át'éego t'áadoo ákódanoht'éhí. Áko éí daah'į́įgo chohoo'į́ ádinjį' ninádahodiiz'ą́. 
14:30:008:0	K'ad danihizhé'é yę́ę ádaat'éé nít'é'ígi át'éego k'ad t'áadoo nidasoołtee'í, nidi Bóhólníihii baa ádadinoht'aahgo bikin bii' sohodizin éí hool'áágóó yiyíísį́'íjį' yah oohkááh áádóó nihiDiyin God Bóhólníihii bá nidaał'a', áko t'óó báhádzidgo nihich' į' báhóóchįįdígíí nihits'ą́ąjį' nídoodleeł. 
14:30:009:0	Bóhólníihii bich'į' dah nídahidoohkai ládą́ą́', danihik'isóó índa nihada'áłchíní éí dabisnáanii baa a'ááh dadínóozįįł, áko díí kéyah yiih nídoo'nééł. Háálá Bóhólníihii nihiDiyin God éí jooba'ii áádóó aa a'ááh nízinii nilį́; bich'į' dah nídahidoohkaigo doo nihits'ą́ąjį' hayiyíí'į́į' da doo. 
14:30:010:0	Áko naaltsoos nideijaahígíí éí Íífreiyim áádóó Manáseh kéyahgóó kin hadaas'áii bitahgóó t'áá Zébyulan kéyahjį' ádaalyaa, nidi dine'é éí t'óó yaa daadlohgo índa yá nidahałt'i' nít'éé'. 
14:30:011:0	Ákondi Ásher dine'é áádóó Manáseh dine'é índa Zébyulan dine'é éí ła' a'ohgo áda'diilyaago Jerúsalem kin haal'áajį' neheeskai. 
14:30:012:0	Áádóó Diyin God éí Júdah dine'é bitahgóó t'áá ła' bijéí yee tsídeideeskéezgo áyiilaa, áko aláahgo naat'áanii índa naat'áanii danilíinii yich'į' yee haadzí'ígíí Bóhólníihii bizaad k'ehgo ádaadzaa. 
14:30:013:0	Áko naaki nídízííd binih díík'ǫsh t'áágééd bááh ályaii hodílzingo áłah ná'ádleeh yaa nidookah biniyé diné t'óó ahayóí Jerúsalem kin haal'áagi neheeskai; t'áá íiyisí t'óó ahayóí áłah azlį́į́'. 
14:30:014:0	Áádóó dadeeshnishgo Jerúsalemgi bikáá' nááda'iiniihí áádóó tsin bijeeh dilidgo łikání halchinii bikáá' nááda'iiniihí t'áá át'é ch'ídayiizhjaa'go Kídran tó nílíní yiih dayiiskaad. 
14:30:015:0	Ákohgo naaki nídízííd binih dį́į́'ts'áadah yoołkááł góne' atis'adeesdzá bee bééhániihii biniyé dibé yázhí nideistseed. Áko nááda'iiłniihii índa Líívai dine'é ádaa yádaniidzį́į'go diyingo ats'á'ádadeest'ą́ áádóó didlidgo nááhániihii Bóhólníihii bikin bii' sohodizinjį' nidayiizhjaa'. 
14:30:016:0	Áádóó Diyin God bits'ą́ą́dóó diné nilíinii Mózes bibee haz'áanii bik'ehgo nááda'iiłniihii t'áá nídeidzįįhídóó naazį́. Áko nááda'iiłniihii éí Líívai dine'é bílák'eedóó dił nídeidiiką́ągo bikáá' náá'iiniihí yik'ídeistah. 
14:30:017:0	Áłah ílínígíí bitahgi t'óó ahayóí doo diyingo ádabi'diilyaa da; éí bąą Líívai dine'é bídahólníihgo diné doo bidadíídee'ii bá éí Bóhólníihii bich'į' dadiyingo ádazhdoolííł biniyé atis'adeesdzá bee bééhániihii biniyé dibé yázhí nideistseed. 
14:30:018:0	Háálá diné t'óó ahayóí, Íífreiyim dine'é índa Manáseh dine'é, Ísakar dine'é índa Zébyulan dine'é t'áadoo áda'dooldee' da, áko azhą́ doo bee haz'ą́ą da, nidi atis'adeesdzá bee bééhániihiigi atah da'ííyą́ą́'. Nidi Heziikáíyah há sodoolzingo ání, Bóhólníihii jooba'ii éí t'áá ádzíłtso habąąhági át'éii há yóó'iididoo'ááł; 
14:30:019:0	éí t'áá háiida dahajéí bee Diyin God, t'áá éí dahazhé'é yę́ę biBóhólníihii Diyin God hádajit'į́įgo hasht'é' ádazhdiilyaaígíí, azhą́ kin bii' sohodizin bibee haz'áanii bik'ehgo doo hodadíídee' da nít'éé', nidi há yóó'iididoo'ááł. 
14:30:020:0	Áko Bóhólníihii éí Heziikáíyah yidiizts'ą́ą'go diné nídayííłdzíí'. 
14:30:021:0	Áádóó Ízrel dine'é Jerúsalem kin haal'áagi nidaakaígíí tsosts'id jį́įjį' díík'ǫsh t'áágééd bááh ályaii hodílzingo áłah nilį́įgo ayóó át'éego bił dahózhǫ́ǫgo yaa naaskai. Áko Líívai dine'é índa nááda'iiłniihii t'áá ákwíí jį́ Bóhólníihii yaa dahaniihgo índa dahataałgo sin yee nidaanéii ayóó íits'a'go yee Bóhólníihii yaa dahaniih. 
14:30:022:0	Áko Heziikáíyah éí Líívai dine'é t'áá ałtso ha'ahóní yee yich'į' haadzíí'; éí yá'át'éehgo Bóhólníihii binaanish yik'ida'diitįįhgo yindaashnish. Áko dine'é éí tsosts'id yiską́ąjį' hodílzingo áłah azlį́į'go da'ííyą́ą́'; hózhǫ́ǫ́jí nááhániihii náádayiisnii', áádóó dabizhé'é yę́ę biBóhólníihii Diyin God yich'į' ádaa nidahasne'. 
14:30:023:0	Áádóó áłah ílínígíí t'áá ałtso nayik'íyádaasti'go, Tsosts'id yiską́ąjį' hodílzingo áłah ná'ádleeh náádeidiil'aał, dadííniid, áko bił dahózhǫ́ǫgo tsosts'id yiską́ąjį' yaa nináánáskai. 
14:30:024:0	Jó, Júdah dine'é aláahgo binanit'a'í Heziikáíyah éí t'ááłáhídi mííl dóola índa dibé tsosts'idi míilgo áádóó naat'áanii danilíinii éí t'ááłáhídi mííl dóola índa dibé neeznáadi míilgo náádahidoonih biniyé áłah ílínígíí yaa deineeskaad. Áko nááda'iiłniihii t'óó ahayóí diyingo ats'á'ádadeest'ą́. 
14:30:025:0	Júdah dine'é áłah nilínígíí t'áá ałtso áádóó nááda'iiłniihii índa Líívai dine'é bił áádóó Ízrel dine'é neheeskaigo áłah nilínígíí t'áá ałtso índa dé'éyóní Ízrel kéyahdę́ę́' ch'ídahaaznánígíí éí Júdah kéyahgi kéédahat'ínígíí biłgo hoł nidahoozhǫǫh. 
14:30:026:0	Áko Jerúsalem kin haal'áagi diné t'áá ałtso bił dahózhǫ́; Ízrel dine'é aláahgo binanit'a'í David yę́ę biye' Sálaman bił hoolzhish yę́ędą́ą́' Jerúsalemgi t'ah doo ákót'éego hoo'aah da nít'éé'. 
14:30:027:0	Ákohgo nááda'iiłniihii Líívai dine'é danilíinii diné yá sodadoolzin, áko biinéé' dadiists'ą́ą́' áádóó sodadoolzingo bee Diyin God diyingo kééhat'į́į́góó adahosiists'ą́ą́'.
