14:16:001:1	Éísa éí Ben-héídad yił aha'deet'ą́
14:16:001:0	Tádiindóó ba'aan hastą́ą́h náhááh góne' Éísa nant'áago Ízrel dine'é aláahgo binanit'a'í Béíyasha éí Júdah dine'é yich'į' nídiibaa', áko Júdah dine'é aláahgo binanit'a'í Éísa bich'į' doo ałná'áhát'į́į da doo biniyé Réímah kin haal'á áyiilaa. 
14:16:002:0	Ákohgo Éísa éí Bóhólníihii bikin bii' sohodizin góne' áádóó aláahgo naat'áanii bighan góne' yódí bá haz'ánígi béésh łigaii índa óola nii'nilígíí ch'íiníjaa' áádóó Síriya dine'é aláahgo binanit'a'í Ben-héídad, éí Damáskasdi kééhat'ínígíí yich'į' áyiilaago ání, 
14:16:003:0	Shí índa ni ałdó' nihita'gi ałha'deet'ą́ hólǫ́; shizhé'é yę́ę áádóó nizhé'é yę́ę ałdó' ałha'deet'ą́ą́ nít'éé'; jó, aa doolyéełii béésh łigaii áádóó óola nich'į' bił áhooshłaa; nílááh, Ízrel dine'é aláahgo binanit'a'í Béíyasha shits'ádoogááł biniyé bił ałha'díínít'áanii nahjį' kónílééh. 
14:16:004:0	Ben-héídad éí aláahgo naat'áanii Éísa ádííniidii yi'iilaago siláo bindanit'a'í danilíinii Ízrel bikin hadaas'áágóó yi'iis'nii'go Áíjan áádóó Dan áádóó Éíbel-méíyim índa Náftalaigi kin bii' nooh nída'achíihii t'áá át'é deisná. 
14:16:005:0	Áádóó ákódzaago Béíyasha haa hodiizts'ą́ą'go Réímah kin haal'áii ííléhígíí yik'i deeyáago binaanish ánéísįįd. 
14:16:006:0	Ákohgo aláahgo naat'áanii Éísa éí Júdah dine'é t'áá ałtso yił dah diináago Réímah kin haal'áádóó tsé índa tsin éí Béíyasha yee hałbį' nít'éé' yę́ę yits'ą́ą́' ádayiizhjaa' áádóó éí yee Gííba áádóó Mízpah kin haal'áago áyiilaa. 
14:16:007:0	Áko íídą́ą́' áhodoonííł yaa halne'ii Hanéínai éí Júdah dine'é aláahgo binanit'a'í Éísa yaa níyáago íidííniid, Síriya dine'é aláahgo binanit'a'í baa jiisínílíí'; Bóhólníihii niDiyin God éí doo baa jiisínílíi' da; éí bąą Síriya dine'é aláahgo binanit'a'í bisiláo doo bik'eh didíídleeł da. 
14:16:008:0	Da' doósh Iithiyópiya dine'é áádóó Lúbim dine'é ayóó át'éego tsindaabąąs bijáád naakiígíí áádóó łį́į́' yee nidaabaahii yił t'óó ahayóí dah yinéeł da? Nidi Bóhólníihii baa dzíínílíhígíí bąą neinínil. 
14:16:009:0	Háálá Bóhólníihii éí diné dabijéí yee hach'į' t'áá ákogi ádaat'éii yá bidziilgo í'dólzin doo biniyé nihokáá'góó t'áá át'éé nít'éé' ha'asííd. Doo áhólyánígi íinidzaaígíí biniinaa k'ad kodóó anaa' baa naníltin doo. 
14:16:010:0	Ákohgo Éísa éí áhodoonííł yaa halne'ii yich'į' báhóóchįįd, áádóó yah ayííłt'e'; t'áá díí biniinaa Éísa ayóó át'éego hach'į' bił hazhchxih, áádóó ákwii nahalzhiishgo Éísa éí diné ła' yide ádahósin nít'éé'. 
14:16:011:0	Áádóó jó, Éísa łahjį' átsé índa akée'di yaa naayáhígíí éí Júdah dine'é índa Ízrel dine'é aláahgo binanit'a'í danilíinii binaaltsoos bik'inídaháasdzo. 
14:16:012:0	Áko Éísa nant'áago tádiindóó ba'aan náhást'éí nááhaigo naałniih bee bikee' bąąh dahoo'a'; azhą́ t'óó tsé'édinda ádzaa nidi, Bóhólníihii t'áadoo yich'į' cho'oos'įįd da, nidi azee' ádeił'íní t'éiyá yich'į' cho'ooł'į́į́ nít'éé'. 
14:16:013:0	Áádóó Éísa nant'áago dízdiindóó ba'aan t'ááłá'í nááhaigo daaztsą́; dahazhé'é yę́ę bitahjį' ajiiłhaazh. 
14:16:014:0	Áko David yę́ę bikin haal'áagi t'áá hó tséní'ootséél ádá ájiilaa góne' yóó'ádahojiilaa. Áádóó spáis ádeił'íinii éí spáis hasht'edayiilaii yee łikání halchingo ádahoolaa. Áádóó ayóó át'éego yiyah dedeideeshjéé'.
