14:26:001:1	Azáíyah nant'áá nít'éé'
14:26:001:0	Ákohgo Júdah dine'é t'áá ałtso éí Azáíyah hastą́'áadah binááhaigo bizhé'é yę́ę Amazáíyah bitsásk'ehgi aláahgo naat'áanii nilį́įgo ádayiilaa. 
14:26:002:0	Áko aláahgo naat'áanii yę́ę bizhé'é da'iiłhaazhígi át'éego ajííłhaazhdóó bik'ijį' Azáíyah éí Íílath kin haal'áii áyiilaago Júdah dine'é yaa néidiní'ą́. 
14:26:003:0	Azáíyah éí hastą́'áadah binááhaigo aláahgo nant'á silį́į́'; Jerúsalem kin haal'áagi nant'áago ashdladiindóó ba'aan naaki nááhai. Bimá éí Jekoláíyah wolyéego Jerúsalemdóó naaghá. 
14:26:004:0	Áádóó t'áá ákogi ájooníiłgo Bóhólníihii honíł'į́; hazhé'é Amazáíyah áát'įįdii t'áá át'é bik'ehgo ájít'éé nít'éé'. 
14:26:005:0	Áádóó Diyin God hájít'į́įgo Zekaráíyah bíiníłką́; bí éí Diyin God dílzingo bił bééhózin, áko Bóhólníihii t'áá hájít'į́įgo Diyin God éí náás ajiyoołdiłgo áhósin nít'éé'. 
14:26:006:0	Áko dashdiiyáago Filístiya dine'é bił anada'ahijool'įįd; Gath kin haal'áagi áádóó Jábneh kin haal'áagi áádóó Áshdad kin haal'áagi tsé bee binída'astł'inii naa'adadziiskaad, áádóó Áshdad kin haal'á nahós'a'gi índa Filístiya dine'é bitahgóó kin hadaas'áago ádajiilaa. 
14:26:007:0	Índa Diyin God háká análwo'go Filístiya dine'é áádóó Ger-béíyal kin shijaa'gi Árab dine'é índa Miihónim dine'é bił da'ahijigą́ą́ nít'éé'. 
14:26:008:0	Áko Áman dine'é éí aa doolyéełii Azáíyah yaa dayiizhjaa' áádóó t'áá níléí Ííjip kéyah hoodzo bíighahgóó ch'ího'dit'ááh, háálá t'áá bí ayóó át'éego bidziilgo í'diilyaa. 
14:26:009:0	Náá'áłdó' Azáíyah Jerúsalemdi náhástł'ah aań'dítį́įhgi áádóó honíts'aa' aań'dítį́įhgi índa tsé naanástł'inígi yada'ii'áago bikáá'dóó ha'alzídí ádayiilaa. 
14:26:010:0	Áádóó ałdó' honoojíidi yada'iitł'ingo áyiilaa, índa t'óó ahayóigo tó hadayiiznil, háálá kéyah wóyahgo nahaz'ą́ą́góó índa halgaigóó da'alį́į́' t'óó ahayóí dah danéelkaad, áádóó daadziłgóó índa ayóo nida'nt'a'go nahaz'ą́ą́góó diné k'ééda'didléehii áádóó ch'il na'atł'o'ii yaa ádahalyáanii yisnil, háálá k'éédílyéehgi bił ayóó áhoot'é. 
14:26:011:0	Náá'áłdó' Azáíyah éí diné anada'ał'íinii bee hólǫ́; éí anaa'góó nídadibahígíí náádadoobahgo ałkéé' nayiinil; éí aláahgo naat'áanii bisiláo yindanit'a'í ła' Hananáíyah bóhólníihgo éí naaltsoos ííł'íní Jáíyel áádóó naat'áaniishchíín Méíyasíyah éí yiyííłta'ígíí bik'ehgo ahádeiznil nít'éé'. 
