14:31:001:1	Heziikáíyah éí nááda'iiłniihii áádóó Líívai dine'é dayíłkiin dooígíí yeidiní'ą́
14:31:001:0	K'ad díí t'áá át'é ałtso bíighah da'azlį́į'go Ízrel dine'é t'áá ałtso ákwii nidaakaígíí éí Júdah kéyahgi kin hadaas'áágóó adahaaskaigo eda'alyaii dayiizti'go deidííséí áádóó asdzání bida'alyaii dayiisne' áádóó dah daask'id bighą́ą'di ádaalyaaígíí adadayiistł'ííd índa Júdah kéyahgóó, Bénjamin kéyahgóó, Íífreiyim kéyahgóó índa Manáseh kéyahgóó t'áá át'é bikáá' nááda'iiniihí ałtso ádeisdįįdjį' adadayiistł'ííd. Ákohgo Ízrel dine'é t'ááłá'í nítínígo hwee dahólónígíí hakin hadaas'áajį' baa ninádajiiskai. 
14:31:002:0	Áko Heziikáíyah éí nááda'iiłniihii áádóó Líívai dine'é ał'ąą dah naazhjaa'go nihwiiznilgo diné t'ááłá'í nítínígo nidaal'a'ígíí bik'ehgo nááda'iiłniihii áádóó Líívai dine'é éí didlidgo nááhániihii índa hózhǫ́ǫ́jí nááhániihii náádajiiłniihgo nidajil'a' doo áádóó Bóhólníihii bidine'é dabiníbaal naaznilígi dáń'da'ditį́į́hgóó ahééh daznízin doo áádóó baa dahojiniih doo biniyé niyiiznil 
14:31:003:0	áádóó aláahgo naat'áanii t'áá bí bee hólónígíí ła' niidiyii'aahígíí ałdó' yee haadzíi'go Bóhólníihii bibee haz'áanii bii' bee ak'e'ashchínígíí bik'ehgo abínígo áádóó e'e'áahgo didlidgo náádahaniihii áádóó hááda'ayį́į́h jį́į́ góne' áádóó dah néitį́įhgo índa hodílzingo áłah nída'adleehígíí biniyé didlidgo náádahaniihii dooleełgo niidiyiiz'ą́. 
14:31:004:0	Náá'áłdó' Jerúsalem kin haal'áagi kéédahat'ínígíí éí nááda'iiłniihii áádóó Líívai dine'é dayíłkiin dooígíí baa dahidoh'aah, yidííniid, áko hada'ólníigo Bóhólníihii yee há has'áanii bik'eh ádajít'ée doo. 
14:31:005:0	Áko bee ha'oodzí'ígíí t'áá ałtsogóó baa dahodeezne'go t'áá áko Ízrel dine'é éí tł'oh naadą́ą́' áádóó wáin ániidíii áádóó áliv bineest'ą' bik'ah, áádóó tsés'ná bitł'izh índa dá'ák'ehdę́ę́' áłtsé daneest'ánígíí t'áá ałtso nidayiizhjaa', áko neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' nihidit'aahígíí át'éego t'áá ałtsoní t'óó ahayóí nidayiizhjaa'. 
14:31:006:0	Ízrel dine'é índa Júdah dine'é éí Júdah kéyahgi kin hadaas'áágóó kéédahat'ínígíí ałdó' béégashii áádóó dibé neeznáá naazį́įgo t'ááłá'í sizį́įgo nihidit'aahígíí nidayiizh'eezh áádóó dabiDiyin God Bóhólníihii bich'į' diyingo ats'ádadeest'ánígíí nidayiizhjaa'go yáádaa'áago ádayiilaa. 
14:31:007:0	Áko táá' nídeezid binih yáádayiitséehgo yaa nídiikaígíí tsosts'id nídeezidjį' ałtso yáádayiitsih. 
14:31:008:0	Áádóó Heziikáíyah índa naat'áanii danilíinii yíkaigo yáádaa'áhígíí dayiiłtsą́ągo Bóhólníihii yaa dahaniih áádóó bidine'é Ízrel yik'idajisdli'. 
14:31:009:0	Ákohgo Heziikáíyah éí nááda'iiłniihii índa Líívai dine'é yáádaa'áhígíí yíndayídééłkid. 
14:31:010:0	Áko Zéídak bits'ą́ą́dóó náás ahoolchíiłii ła' aláahgo náá'iiłniihii Azaráíyah áhodííniidgo ání, Bóhólníihii bikin bii' sohodizingi nidahidit'aahígíí diné éí nidayiijááhdóó wóshdę́ę́' lą'í da'iidą́ą́', áko t'óó ahayóí ch'ídahineesna'; Bóhólníihii bidine'é yik'ijisdli'go, éí bąą díí ch'ídahineesna'go ayóó át'é yáádaalk'idígíí át'é. 
14:31:011:0	Ákohgo Bóhólníihii bikin bii' sohodizin góne' dahooghan hasht'edadoolníiłgo Heziikáíyah yee haadzí'ígíí éí hasht'edaalyaa. 
14:31:012:0	Áádóó nidahideest'áanii índa neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' bíighahgo ninádahidit'aahígíí áádóó diyingo ats'ádahideest'ánígíí bee hada'ahódlíigo nidajiijááh nít'éé'. Éí Konanáíyah, Líívai diné nilíinii bee bóhólnííh áádóó bik'is Shímiyai hakéé' góne' sizį́. 
14:31:013:0	Áko aláahgo naat'áanii Heziikáíyah índa Azaráíyah éí Bóhólníihii bikin bii' sohodizingi bee bóhólníhígíí yee haadzíi'ii bik'ehgo Jiiháíyel, Azazáíyah, Néíhath, Éísahel, Jériimath, Józabad, Iiláíyel, Ismakáíyah, Méíhath índa Biinéíyah éí aląąjį' naazíinii danilį́įgo Konanáíyah áádóó bik'is Shímiyai yiyaadóó hada'ídées'į́į́'. 
14:31:014:0	Áádóó Líívai diné Ímnah biye' Kórii, ha'a'aahjígo yah e'etiin yaa áhályánígíí éí Bóhólníihii bikin bii' sohodizingi Diyin God bich'į' t'áá bí ádeinízingo nááhániihii bá baa áhojilyą́; éí Bóhólníihii bich'į' náádahaniihii áádóó aláahgo diyingo náádahaniihii bá ninádít'ááh. 
14:31:015:0	Áko hayaadóó nidaal'a' éí Ííden, Mínyamin, Jéshuwa, Shiimáíyah, Amaráíyah índa Shekanáíyah éí nááda'iiłniihii bikin hadaas'áágóó dahak'isóó atisgo nidaal'a'ídóó t'áá ádaałts'íísíjį' nidi, dayíłkiin dooígíí bik'eh nínilgo bitaa nídaji'nih. 
14:31:016:0	Dinéhígíí t'áá ahoolchíłígíí bik'ehgo tádiindóó dego béédááhaígíí t'áá háiida Bóhólníihii bikin bii' sohodizin góne' yah ajiikáhígíí éí t'áá ákwíí jį́ bindaanishígíí bik'ehgo t'áá da'níł'ąą baa nída'ajih nít'éé'. 
14:31:017:0	Nááda'iiłniihii éí dabizhé'é yę́ę bits'ą́ą́dóó náás ahoolchííł bik'ehgo áádóó Líívai dine'é naadiindóó dego béédááhaígíí éí t'áá ałkéé' daníjaa'go bindaanishígíí bik'ehgo dayíłkiin dooígíí baa nídaajih nít'éé'. 
14:31:018:0	Dah oonééł bitahgóó t'áá ałtso dinéhígíí ahoolchííł bik'ehgo, hada'áłchíní, hwe'asdzą́ą́, haye'ké, hatsi'ké t'áá hó daóltą'go dayíłkiin dooígíí bitaa nída'ajih nít'éé', háálá hondaanish ádadzósin doo biniyé diyingo ats'ádadeest'ą́. 
14:31:019:0	Áádóó ałdó' Éran ba'áłchíní náás ahoolchíiłii nááda'iiłniihii éí kin hadaas'áago dah nídadziltsogóó kéédahat'ínígíí ła' diné dabi'dééji'ígíí éí nááda'iiłniihii bada'áłchíní bitahdę́ę́' dinéhígíí áádóó Líívai dine'é dayéélta'ígíí bik'ehgo t'áá át'é ch'iyáán bitaa nídajijih nít'éé'. 
14:31:020:0	Kót'éego Heziikáíyah éí Júdah kéyahgóó t'áá át'é yá'ádaat'éehii áádóó t'áá ákogi ádaat'éii índa t'áá aaníí ádaat'éii biBóhólníihii Diyin God yinááł yaa naayá. 
14:31:021:0	Áko Bóhólníihii bikin bii' sohodizin góne' honaanishígíí baa nízhdiidáahgo áádóó bee haz'áanii índa bik'eh ó'oo'níiłii éí hajéí t'áá át'é bee Diyin God hájít'į́įgo baa nijiyá áádóó náás jideeyá.
