14:33:001:1	Manáseh nant'áá nít'éé'
14:33:001:0	Manáseh naakits'áadah binááhaigo aláahgo nant'á silį́į́', áko nant'áago Jerúsalem kin haal'áagi ashdladiindóó ba'aan ashdla' nááhai. 
14:33:002:0	Nidi Bóhólníihii éí Ízrel dine'é bitahdóó ał'ąą dine'é ch'íiniiskaadii éí doo daaldinii yaa naakai yę́ę bik'ehgo éí Bóhólníihii binááł doo yá'áshóonii baa nijiyá. 
14:33:003:0	Áko hazhé'é Heziikáíyah yę́ę ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaii nayiizti'ígíí áńdajiidlaa áádóó bibikáá' náá'iiniihí Béíyalim bá áńdajiidlaa áádóó asdzání bida'alyaii áńdajiidlaa índa yót'ááh hiníláii t'áá át'é yich'į' nahałáá nít'éé'. 
14:33:004:0	Áádóó Bóhólníihii bikin bii' sohodizin góne' bikáá' nááda'iiniihí ádayiilaa éí kin Bóhólníihii yaa yááłti'ii, Jerúsalem kin haal'áagi shízhi' bee hójíigo ahool'áa doo. 
14:33:005:0	Áko Bóhólníihii bikin bii' sohodizin tł'óo'jigo naakigo haz'ánígi yót'ááh hiníláii t'áá ałtso bá bikáá' nááda'iiniihí ádayiilaa. 
14:33:006:0	Índa Hínam biye' bihoníts'aa' hoolyéegi ha'áłchíní didlidgo náájiisnii' áádóó bee ééhózinii áádóó bee álílee áda'ooł'įįłii índa nidadilniihii choyooł'į́įgo ch'į́įdii yábiiłti'ii áádóó dadiłgąshii choyooł'į́, áko t'áá íiyisí doo yá'ádaashóonii éí Bóhólníihii yinááł yaa naagháago yee yáhóółchįįd. 
14:33:007:0	Áádóó eda'alyaii ájiilaa; éí eda'alyaii ájiilaago Diyin God bikin bii' sohodizin góne' bijiisį'; Diyin God t'áá bí bikin yaa yááłti'ii David áádóó biye' Sálaman yę́ę áyidííniid ni', Díí kin áádóó Jerúsalem kin haal'áagi Ízrel dine'é t'áá ałtso binááł náhodii'ą́ągo ákwii shízhi' bee hójí áshłaago ahóyéel'áa dooleeł. 
14:33:008:0	Áádóó Ízrel dine'é bikéyah doo bits'ą́ąjį' kónááhodeeshdlíił da; éí danizhé'é yę́ę bee bá nihoní'ą́; bee haz'áanii t'áá át'é áádóó bee nihoyí'áanii índa bik'eh hoogáałii bik'ehgo Mózes binahjį' hach'į' bee haasdzíi'ii t'áá át'é hazhó'ó baa dahojíyą́ągo dahojíł'į́į́ ládą́ą́'. 
14:33:009:0	Áko Bóhólníihii éí Ízrel dine'é bits'ąą ał'ąą dine'é íísdįįdígíí ádajíít'įįdii t'ah biláhígo Manáseh éí Júdah dine'é áádóó Jerúsalemgi kéédahat'ínígíí doo yá'ádaashóonii baa nijikai áhósin. 
14:33:010:0	Bóhólníihii éí Manáseh áádóó hadine'é yich'į' haadzíí', nidi doo t'áá k'ad da'diizts'ą́ą' da. 
14:33:011:0	Éí bąą Bóhólníihii éí Asíriya dine'é aláahgo binanit'a'í bisiláo yinanit'a'í danilíinii hach'į' yi'níłnii'go béésh adishahí yee Manáseh dayiiłtsood áádóó béésh da'ahólzha'í yee yida'aztł'ǫ́ǫgo Bábilandi yił daaskai. 
14:33:012:0	Ákohgo ti'hojooníihgo Bóhólníihii haDiyin God níjookąąh áádóó t'áá íiyisí a'ohgo ízh'diilyaago dahazhé'é yę́ę biDiyin God honíł'į́. 
14:33:013:0	Áádóó bich'į' sozdoolzingo náhoniizį́į́', áko níjookąąhgo háidiizts'ą́ą́' áádóó Jerúsalem kin haal'áajį' habee óhólníihii bich'į' hoł ninát'áázh. Ákohgo Manáseh éí Bóhólníihii t'éí Diyin God nilį́įgo hoł bééhoozin. 
14:33:014:0	Ákódaadzaadóó bik'ijį' David bikin haal'á ditą́ągo binaagóó ahéé'ítł'inígíí éí Gáíhan tó háálíní e'e'aah bich'ijí yíldzisídóó łóó' nidahaniihgi dáń'dítį́hí hoolyéejį' índa Ófel hoolyéii bik'i dinaago t'áá íiyisí wódahgo ahéé'ítł'ingo áyiilaa, áádóó Júdah kéyahgi kin hadaas'áii ditą́ągo binída'astł'ingóó siláo bindanit'a'í ałdó' niyiiznil. 
14:33:015:0	Áádóó Bóhólníihii bikin bii' sohodizin si'ą́ą́dóó diyin dabidi'níinii áádóó e'elyaii ch'íyiizhjaa'. Índa dziłgi Bóhólníihii bikin bii' sohodizin si'ánígi áádóó Jerúsalemgi bikáá' nááda'iiniihí ádayiilaii t'áá át'é kin haal'áádóó ch'íyiizyį́. 
14:33:016:0	Áádóó ałdó' Bóhólníihii bibikáá' náá'iiniihí hasht'ééyiidlaa; ákwii hózhǫ́ǫ́jí nááhániihii índa ahééh hasinjí nááhániihii nááyiisnii', áádóó Júdah dine'é yich'į' haadzíi'go ání, Ízrel dine'é biBóhólníihii Diyin God bich'į' nidahohłá. 
14:33:017:0	Azhą́ ákót'ée nidi, dah daask'id bighą́ą'di ádaalyaaígóó diné t'ahdii nááda'iiłniihgo biDiyin God Bóhólníihii t'éiyá yich'į' nááda'iisnii'.  
14:33:018:0	K'ad Manáseh łahjį' yaa naayáii áádóó biDiyin God yich'į' sodoolzin yę́ę índa áhodooníiłii yaa dahalne'ii éí Ízrel dine'é biBóhólníihii Diyin God bízhi' hach'į' yee hahaasdzíi'ii, jó, éí Ízrel dine'é aláahgo binanit'a'í danilíinii binaaltsoos bik'inídaháasdzoh. 
14:33:019:0	Áádóó hasodizin yę́ę índa Diyin God haná'ookąąh há yiniizį́'ígíí áádóó ádił ni'jiisí'ígíí t'áá át'é áádóó doo ákǫ́ǫ́ ájíít'įįdii áádóó ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí áádóó asdzání bida'alyaii índa eda'alyaii t'ah doo a'ohgo ízh'dílnééh yę́ędą́ą́' niyiiznilii, díí baa nijiyáii; jó, éí áhodooníiłii yaa dahalne'ii binaaltsoos bik'inídaháasdzoh. 
14:33:002:1	Éíman nant'áá nít'éé'
14:33:020:0	Áko Manáseh dabizhé'é yę́ę bitahjį' ajiiłhaazh, áádóó t'áá hó haghangi yóó'ádahoolaa, áko haye' Éíman hatsásk'ehgi aláahgo nant'á silį́į́'. 
14:33:021:0	Éíman éí naadiin naaki binááhaigo aláahgo nant'á silį́į́', nant'áago Jerúsalem kin haal'áagi naaki nááhai. 
14:33:022:0	Áádóó hazhé'é Manáseh yę́ę áát'įįdígi át'éego Bóhólníihii binááł doo yá'ádaashóonii baa nijiyá; jó, Éíman éí hazhé'é Manáseh yę́ę eda'alyaii hadahaashk'aazhgo ádayiilaa yę́ę éí t'áá át'é bich'į' nínáá'jiiłnihgo nahojiłáá nít'éé'. 
14:33:023:0	Índa hazhé'é Manáseh yę́ę a'ohgo í'diilyaaígi át'éego hó t'áadoo Bóhólníihii binááł a'ohgo ízh'diilyaa da, nidi Éíman éí t'áá íiyisí t'óó yówehda bee haz'áanii yiyiizti'. 
14:33:024:0	Áko há nidaal'a'í hodahodeez'ą́ągo t'áá hó haghan góne' dahwiisxį́. 
14:33:025:0	Áko kéyahdóó kéédahat'ínígíí éí aláahgo naat'áanii Éíman yindahaz'ánígíí a łtso nideistseed, ákohgo haye' Josáíyah hatsásk'ehgi aláahgo naat'áanii ádayiilaa.
