14:8:001:1	Sálaman náásgóó ádooníłígíí
14:8:001:0	Áko naadiin nááhai bíighahjį' Sálaman éí Bóhólníihii bikin bii' sohodizin índa t'áá bí bighan ałtso áyiilaa. 
14:8:002:0	Háíram éí kin hadaas'áhígíí Sálaman yeidiní'áanii, Sálaman hasht'ééhoodlaago ákwii Ízrel dine'é kéédahat'į́įgo áyiilaa. 
14:8:003:0	Áádóó Sálaman éí Héímath-zóbah bee óhólníihgo bił haz'ą́ą́góó níná áádóó yik'eh deesdlį́į́'. 
14:8:004:0	Áko honoojíidi Tádmor kin shijaa'go áyiilaa índa Héímathgi kin hadaas'áago bii' nooh nída'achíhígíí t'áá át'é ałdó' áyiilaa. 
14:8:005:0	Áádóó Beth-hóran wódahdi kin shijaa'ígíí índa Beth-hóran wóyahdi kin shijaa'ígíí ditą́ągo binaagóó ahéé'ítł'ingo áádóó bidáń'daditį́įhgo éí bich'ą́ą́h dah nída'atį́įhgo áyiilaa. 
14:8:006:0	Áádóó Béíyalath índa kin hadaas'áago bii' nooh nída'achíihii Sálaman bee hólónígíí áádóó kin hadaas'áago bii' tsinaabąąs bijáád naakiígíí nideiłbąąsii hólónígíí índa bii' siláo łį́į́' yee nidaabaahii hólónígíí áádóó Sálaman éí Jerúsalem kin haal'áagi, T'áá hodeeshbįįł, nízinígi t'áá át'é áádóó Lébanan kéyahgi índa kéyah t'áá át'é bee bóhólníihgo nahaz'ánígóó dahasbį'. 
14:8:007:0	Áádóó Het dine'é, Ámor dine'é, Píírez dine'é, Jííbas dine'é índa Háíva dine'é t'áá ałtso daadzí'ígíí éí doo Ízrel dine'é danilíinii 
14:8:008:0	éí bada'áłchíní díí kéyahgi daadzí'ígíí, t'áá éí Ízrel dine'é t'áadoo ałtso nidabistseedígíí, éí Sálaman binaalte' danilį́į dooleełgo néidiinil, áko díí jį́į́góó ákót'é. 
14:8:009:0	Nidi Sálaman éí Ízrel dine'é t'áadoo binaalte' danilį́įgo áyiilaa da, nidi diné nidaabaahii áádóó siláo yindanit'a'í índa tsindaabąąs bijáád naakiígíí yee nidaabaahii áádóó łį́į́' yee nidaabaahii yindanit'a'í danilį́įgo áyiilaa. 
14:8:010:0	Díí éí aláahgo naat'áanii Sálaman binaanish naat'i'gi aląąjį' naazį́įgo bídahólnííh nít'éé'; naakidi neeznádiindóó ba'aan ashdladiin ánéelą́ą'go éí diné nidaalnishígíí yindant'áá nít'éé'. 
14:8:011:0	Áádóó Sálaman éí David yę́ę bikin haal'áhídóó Féro bitsi' bił ch'ízhní'áazhgo kin bá ájiilaaíjį' bił níjít'áázh, háálá ájíní, She'asdzą́ą́ éí doo Ízrel dine'é aláahgo binanit'a'í David yę́ę bikin yii' kééhat'į́į da doo, háálá Bóhólníihii bitsits'aa' dílzinii niit'ą́ągi hodiyin. 
14:8:012:0	Ákohgo Sálaman éí chaha'oh bidáahjigo Bóhólníihii bibikáá' náá'iiniihí áyiilaaígíí yikáa'jį' didlidgo nááhániihii Bóhólníihii yich'į' nááyiisnii'. 
14:8:013:0	Áádóó t'áá ákwíí jį́ Mózes yee haadzíi'ii bik'ehgo t'áá da'níłkéé' baa nídahwiilzhíishgo háá'áyį́į́h jį́ áádóó dah néitį́įhgo índa hodílzingo áłah nída'adleeh góne' éí díí t'ááł á'í nináháháahgo táadi ná'ádleeh; éí díík'ǫsh t'áágééd bááh ályaii áádóó Péntekast wolyéii índa chaha'ohgi hodílzingo áłah ná'ádleeh baa ninájíkah nít'éé'. 
14:8:014:0	Áko hazhé'é David yę́ę yee haadzíi'ii bik'ehgo nááda'iiłniihii ałkéé' níjaa'go nidaalnish doo índa Líívai dine'é éí nááda'iiłniihii binááł t'áá ákwíí jį́ naanish hólǫ́ǫgi aa dahojiniih doo áádóó nidajil'a' doo biniyé nihonínil, áádóó dáń'da'ditį́į́h yaa ádahalyánígíí ałdó' ałkéé' níjaa'go t'áá dáń'da'ditį́į́hgóó yaa ádahalyą́ą doogo niinínil; kót'éego Diyin God yá naal'a'í David yee haadzíí'. 
14:8:015:0	Áko aláahgo naat'áanii yich'į' yee haadzíi'ii yódí bídadéét'i'ii índa hanaanish danilį́į dooleełii éí nááda'iiłniihii índa Líívai dine'é t'áá ałtso yida'ósin. 
14:8:016:0	K'ad Sálaman, Kót'éego nida'doonish, níigo Bóhólníihii bikin bii' sohodizin bitsé siláii áyiilaa bijį́į́dóó wóshdę́ę́' ałtso áyiilaajį' yindaashnish; kót'éego Bóhólníihii bikin bii' sohodizin ałtso hadidzaa. 
14:8:017:0	Ákohgo Sálaman éí Ííziyan-gííber kin haal'áágóó áádóó Íídam kéyahdi tónteel bibąąhgi Íílath kin haal'áágóó ííyá. 
14:8:018:0	Áádóó Háíram éí tsinaa'eeł índa bá nidaal'a'í tónteel bikáá' na'al'eeł bił béédahózinígíí bá nidaal'a'í yił hach'į' ayííł'a'; éí Sálaman bá nidaal'a'ígíí yił Ófer hoolyéégóó yił eekaigo áádę́ę́' dį́įdi neeznádiindóó ba'aan ashdladiin tálent bíighahgo óola aláahgo naat'áanii Sálaman baa dadzizyį́.
