14:18:001:1	Maikéíyah éí t'áá bítséedi Éíhab yił ch'íhoní'ą́
14:18:001:0	Ákohgo Jiiháshafat éí yódí índa bee ił ídlíinii t'óó ahayóí boosąąd, áádóó Éíhab yighanjį' azyehgo yich' ijí silį́į́'. 
14:18:002:0	Áádóó díkwíí shį́į́ nááhaigo Samériya góyaa Éíhab bich'į' jiníyá. Áko Éíhab éí dibé áádóó béégashii t'óó ahayóí éí diné bił nijikaígíí bił há neistseed, áádóó Réímath-gíliyad góde shił díí'ash hałníigo háni' há áhoolaa. 
14:18:003:0	Áko Ízrel dine'é aláahgo binanit'a'í Éíhab éí Júdah dine'é aláahgo binanit'a'í Jiiháshafat ííłní, Réímath-gíliyadgóó daats'í shił díí'ash? Áko ázhdííniid, Shí t'áá nigi ánísht'é, shidine'é éí nidine'égi ádaat'é, áádóó anaa' náhádleehgo níká anéijah doo. 
14:18:004:0	Áádóó Jiiháshafat éí Ízrel dine'é aláahgo binanit'a'í ííłní, Bína'ídíłkid, baa nánooshkąąh, Bóhólníihii ha'át'íí didooniił díí jį́. 
14:18:005:0	Éí bąą Ízrel dine'é aláahgo binanit'a'í éí náásgóó áhodooníłígíí yaa dahalne'ii dį́įdi neeznádiingo diné áłah áyiilaago ííłní, Réímath-gíliyad daats'í bich'į' dadiibah, doodaii' ááhodeesht'įįł daats'í? Áko ádaaní, Ákóde dínááh, háálá Diyin God éí aláahgo naat'áanii yeididoo'ááł. 
14:18:006:0	Áádóó Jiiháshafat ání, Díí kǫ́ǫ́ dahalne'ígíísh binaashiijí Bóhólníihii yá halne'ii nabídídíilkiłígíí doo ła' naagháa da? 
14:18:007:0	Áko Ízrel dine'é aláahgo binanit'a'í éí Jiiháshafat ííłní, Diné ła' t'ah yidziih, éí Ímlah biye' Maikéíyah; éí shį́į́ hwee Bóhólníihii nabídídíilkił, nidi éí jooshłá, háálá yá'át'éehii ts'ídá doo yee shaa halne' da, nidi doo yá'áshóonii t'éiyá yee shaa halne'. Áko Jiiháshafat ání, Aláahgo naat'áanii nílíinii, t'áadoo ádíníní yee'. 
14:18:008:0	Nít'éé' Ízrel dine'é aláahgo binanit'a'í éí siláo binanit'a'í ła' hágo yidííniidgo ííłní, Tsxį́įłgo Ímlah biye' Maikéíyah kwe'é bił nánít'aash. 
14:18:009:0	Áko Ízrel dine'é aláahgo binanit'a'í índa Júdah dine'é aláahgo binanit'a'í Jiiháshafat éí bi'éénééz yiih yí'áazhgo Samériya dań'dítį́įhgi t'áá bíni' haz'ą́ą́ léi'gi t'áá ał'ąą bibikáá'dóó nahat'áii yikáá' dah siké, áko náás áhodooníiłii yaa dahalne'ii t'áá ałtso hadááhdóó dahoolne'. 
14:18:010:0	Áádóó Kiinéíyanah biye' Zedekáíyah béésh yee adee' áyiilaago ání, Bóhólníihii kóní, Díí bee Síriya dine'é ałtso asíníłdįįdjį' bighá da'dííshish. 
14:18:011:0	Áko dahalne'ii t'áá ałtso t'áá ákót'éego náás áhodoonííł yaa dahoolne'go ádaaní, Nílááh, Réímath-gíliyad góde dínáahgo ła' nilééh, háálá Bóhólníihii éí aláahgo naat'áanii yeididoo'ááł. 
14:18:012:0	Áko hane' bił eel'a'go Maikéíyah hágo bidiní bi'doo'niidígíí hach'į' haadzíi'go ání, Jó, k'ad dahalne'ii t'áá ła' saad yá'át'éehii yee aláahgo naat'áanii yich'į' hadaasdzíí'. Éí bąą bíni' nizaad bee hadíídzihígíí baa nánooshkąąh, t'áá éí dabizaadígi át'ée doo; yá'át'éehii t'éiyá bee hadíídzih. 
14:18:013:0	Nidi Maikéíyah ání, Ts'ídá t'áá aaníí Bóhólníihii hiná; t'áá ákót'éego ts'ídá t'áá aaníí shiDiyin God shich'į' yee haadzí'ígíí t'éí bee hadeesdzih. 
14:18:014:0	Kót'éego aláahgo naat'áanii baazhníyá, áko aláahgo naat'áanii áháłní, Maikéíyah nílíinii, Réímath-gíliyadgóó daats'í dadiibah, doodaii' daats'í áádahodiit'įįł? Áko ábijiní, Nílááh, ákóde dohkáahgo ła' daałééh, háálá éí nílák'edidoot'ááł. 
