14:2:001:1	Sálaman éí aláahgo naat'áanii Háíram yił aha'deet'ą́
14:2:001:0	Ákohgo Sálaman éí Bóhólníihii bízhi' baa ha'niih doo biniyé bá kin ádeeshłííł dziniizį́į́' áádóó aláahgo naat'áanii bighan ádá ádeeshłííł dziniizį́į́'. 
14:2:002:0	Áádóó Sálaman éí tsosts'idiindi mííl diné ánéelą́ą'go hééł nideijaahígíí índa tseebídiindi mííl diné éí dziłdi da'atseeł dooígíí áádóó táadi mííldóó ba'aan hastą́ądi neeznádiingo diné bá nida'anishgo hada'asíid dooleełígíí niinínil. 
14:2:003:0	Sálaman éí Táir dine'é aláahgo binanit'a'í Háíram yich'į' i'ííł'a'go ání, T'áá shizhé'é David yę́ę bił ahaa na'iyíníłnii'go éí bii' bighan dooleełígíí yee íidoolííł biniyé dilk'is tsin baa hidíní'ánígi át'éego shił ahaa na'ayíłniih. 
14:2:004:0	Shoo, Bóhólníihii shiDiyin God bízhi' baa ha'niih doo biniyé bá kin áshłéehgo éí tsin bijeeh dilidgo łikání halchinii nááhániihii áádóó Diyin God bich'į' t'áá áłahjį' bááh nááhániihii índa didlidgo nááhániihii éí biyi' abínígo áádóó e'e'aahgo índa háá'áyį́į́h jį́į́ góne' áádóó dah néitį́įhgo índa Bóhólníihii nihiDiyin God bidiyingo áłah ná'ádleehii baa náhwiilzhíísh góne' Bóhólníihii binááł náádahaniih doo biniyé díí kin Bóhólníihii diyingo bá ats'ádideesh'ááł. Díí Ízrel dine'é bich'į' hool'áágóó bik'ehgo hoogáałii át'é. 
14:2:005:0	Díí kin ádeeshłíłígíí éí t'áá íiyisí ayóó át'ée doo, háálá nihiDiyin God éí diyin dabidi'níinii t'áá ałtso yiláahgo t'áá íiyisí ayóó át'é. 
14:2:006:0	Nidi háísh éí yíneel'ą́ągo kin yá íidoolííł, háálá yá t'áá yádiłhił índa yá'ąąsh t'áá náhwiist'ą́ą́ nít'éé' doo bohóoghah da? Shíísh éí ha'át'íí ásht'į́įgo kin bá ádeeshłííł? T'óó bich'į' náá'iishniih dooleełgo t'éiyá. 
14:2:007:0	Éí bąą k'ad, diné ła' éí óola áádóó béésh łigaii índa béésh łitsoii, béésh dootł'izhii índa na'at'ą́hí tsídídééh nahalingo łichí'ígíí, łichxí'ígíí áádóó yá nahalingo dootł'izhígíí éí yiyiichįįhgo yinaalnishii shich'į' díł'á, áádóó t'áá éí ak'i na'ak'aashjí bínabidi'neestą́ą'ii éí Jerúsalem kin haal'áagi áádóó Júdah kéyahgi hastóí da'iichįįhgo nidaalnishii bił naashkaígíí, t'áá éí shizhé'é David yę́ę hasht'e'niinínilígíí yindadoolnish. 
14:2:008:0	Áádóó ałdó' Dził Lébanandę́ę́' dilk'is tsin, ch'ó índa tsin álgam wolyéhígíí shich'į' bił ádahodíílííł, háálá ná nidaal'a'í Dził Lébanandi tsin yitseełgi bił éédahózingo shił bééhózin, áádóó shá nidaal'a'í éí ná nidaal'a'í yił nidaalnishgo 
14:2:009:0	tsin neheeshjíí' ayóó ánéelą́ą'go shá hasht'edeidoolííł, háálá kin ábi' niishłaaígíí ayóó ánóolningo ayóó át'ée doo. 
14:2:010:0	Áko ná nidaal'a'í tsin neheeshjíí' yiniyé da'atseełígíí éí tł'oh naadą́ą́' haaltseedígíí hastą́diindóó ba'aan naakidi mííldóó ba'aan ashdladi neeznádiin azis bíighahgo áádóó tł'oh naadą́ą́' bidee'í hastą́diindóó ba'aan naakidi mííldóó ba'aan ashdladi neeznádiin azis bíighahgo índa wáin naadiindi mííl tóshjeeh yázhí bíighahgo áádóó áliv bineest'ą' bik'ah naadiindi mííl tóshjeeh yázhí bíighahgo baa hidideesh'ááł. 
14:2:011:0	Nít'éé' Táir dine'é aláahgo binanit'a'í Háíram wolyéii éí Sálaman yich'į' naaltsoos áyiilaago ání, Bóhólníihii bidine'é ayóó'áyó'níigo bąą bá aláahgo naat'áanii nílį́įgo ániilaa. 
14:2:012:0	Háíram ałdó' ání, Ízrel dine'é biDiyin God Bóhólníihii éí yádiłhił índa nahasdzáán áyiilaii baa ha'niih doo; éí aláahgo naat'áanii David yę́ę biye' hóyáanii éí ił ééhózinii índa bee ak'idiitįįhii baa deet'áanii éí Bóhólníihii yá kin íidoolííł áádóó t'áá bí aláahgo naat'áanii bighan ádá íidoolííł. 
14:2:013:0	K'ad diné ła' ak'idi'yiitįįh áádóó naanish yiyiichįįhii nich'į' ííł'a'; éí Háíram wolyé. 
14:2:014:0	Dan dine'é dabitsi' ła' bitahdóó asdzání nilíinii biyáázh áádóó bizhé'é éí Táir kin haal'áádóó naaghá; éí óola, béésh łigaii, béésh łitsoii, béésh nitł'izii, tsé, tsin índa na'at'ą́hí tsídídééh nahalingo łichí'ígíí, yá nahalingo dootł'izhígíí, łichxí'ígíí áádóó áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii bee bínabidi'neestą́ą'go yinaalnishii áádóó éí ałtah át'éego ak'ina'ak'aash yindoolnish índa t'áá nidooch'ąh ádaat'éii baa hidit'aahígíí éí nidiné da'iichįįhígíí áádóó nizhé'é David yę́ę shinanit'a'í bidiné da'iichįįhígíí yił dadoolnish. 
14:2:015:0	Éí bąą k'ad, tł'oh naadą́ą́' áádóó tł'oh naadą́ą́' bidee'í áádóó áliv bineest'ą' bik'ah índa wáin éí bóhonishníihii bee háínídzíi'ii bíni' ná nidaal'a'í bich'į' bił áhólééh, 
14:2:016:0	áko Dził Lébanandę́ę́' tsin t'áá nínízinígíí ná dadiitsiłgo ahídahaastł'ǫ́ǫgo tónteel bee Jápa kin haal'áajį' ch'ídahidiil'oł, áko éí áádóó Jerúsalem kin haal'áá góde ahidííyééł. 
14:2:017:0	Nít'éé' Sálaman éí t'áá hazhé'é David yę́ę dé'éyóní yiyííłta' yę́ęgi át'éego Ízrel kéyahgi dé'éyóní kéédahat'ínígíí yiyííłta', áko t'ááłáhídi neeznádiindóó ba'aan ashdladiindóó ba'aan táadi mííldóó ba'aan hastą́ądi neeznádiingo ánéelą́ą́' lá. 
14:2:018:0	Tsosts'idiindi míilgo diné éí hééł nideijaah dooígíí áádóó tseebídiindi míilgo diné éí dziłdi da'atseełígíí índa táadi mííldóó ba'aan hastą́ądi neeznádiingo diné nidaalnish doogi aląąjį' naazíinii niyiiznil.
