29:1:001:1	Nahachagiitsoh éí kéyah yikáá'góó ałtso da'dooyį́į́ł
29:1:001:0	Piithúwel biye' Jówel éí Bóhólníihii kóníigo yidiizts'ą́ą́'. 
29:1:002:0	Diné hadasootihii, díí dadoohts'į́į́h; kéyahgóó kéédahoht'íinii t'áá ánółtso da'doohts'į́į́h! Da' nihídayéełkaahdę́ę́', doodaii' nihizhé'é yę́ę dahináádą́ą́'ásh ákóhoodzaa? 
29:1:003:0	Éí nihada'áłchíní bee bił dahołne', áko nihada'áłchíní banááda'áłchínígíí yee yił náádahalne' dooleeł áádóó éí banááda'áłchíní náás da'ahílchíhígíí yee yił náádahalne' dooleeł. 
29:1:004:0	Nahachagiitsoh da'agháazhii nanise' yi'oh da'ííyą́ą'ii éí nahachagiitsoh naanááséłígíí dayííyą́ą́' áádóó nahachagiitsoh naanááséłígíí nanise' yi'oh da'ííyą́ą'ii éí ch'osh nidaa'na'ii dayííyą́ą́'. Áko ch'osh nidaa'na'ii nanise' yi'oh da'ííyą́ą'ii éí nahachagiitsoh nanise' yaa nahodikaii ałtso dayííyą́ą́'. 
29:1:005:0	Ch'éédanohdzííd, adláanii danohłíinii, daahcha; wáin daahdláanii t'áá ánółtso, wáin ániidíii daahdlánígíí nahjį' kólyaago biniinaa dadołwoshgo daahcha. 
29:1:006:0	Háálá dadine'é ayóó ádabóodziilii índa doo jóołta' ánéelą́ą́'góó shikéyah yaatįįh yíná; náshdóítsoh bitsiijį' ditł'ooígíí biwoo' índa náshdóítsohtsa'ii biwózhah nidahalin. 
29:1:007:0	Shich'il na'atł'o'ii yiyííłchxǫ' áádóó shitsin fig sikaadii bikágí yíyííłdláadgo ałtso yóó'ayiiskaad índa bits'áoz'a' daalgaigo áyiilaa. 
29:1:008:0	Ch'ikę́ę́h éí tł'oh yishbizh éé' yee ákászaazgo t'ah ániid naagháago bá'dooyehii yaa yicha nahalingo nicha. 
29:1:009:0	Bóhólníihii bikin bii' sohodizin góne' ak'áán nááhániihii índa yanáadzi'go nááhániihii bits'ą́ąjį' kólyaa. Nááda'iiłniihii éí Bóhólníihii yá nidaal'a'í danilį́įgo yínííł danilį́. 
29:1:010:0	Dáda'ak'eh t'áá ádzaaí silį́į́'; kéyah yínííł nilį́, háálá tł'oh naadą́ą́' t'áá ádzaaí silį́į́'; wáin ániidíii ásdįįd índa ak'ah doo hózhǫ́ haleeh da silį́į́'. 
29:1:011:0	Dáda'ak'eh yaa ádahalyáanii danohłíinii, ádaa yádanohdzįįh; ch'il na'atł'o'ii yaa ádahalyáanii danohłíinii, tł'oh naadą́ą́' áádóó tł'oh naadą́ą́' bidee'í baa daohchxa, háálá nídaohishę́ę ádaasdįįd. 
29:1:012:0	Ch'il na'atł'o'ii daazgan; tsin fig naazkaadii daniiłna'. Tsin pámgrenit wolyéii áádóó tsin páam wolyéii índa bilasáana bitsiin daazgan; tsin t'áá ałtso dá'ák'ehgóó yíl'áii daazgan. Éí bąą diné biye'ké danilíinii yaa bił dahózhóonii ádaasdįįd. 
29:1:013:0	Náá'iiłniihii danohłíinii, tł'oh yishbizhii bee áká dasoołzaazgo daahcha; bikáá' náá'iiniihí baa ádahołyáanii, yéego daahcha. ShiDiyin God bá naal'a'í danohłíinii, yah ahohkáahgo tł'éé' bíighah tł'oh yishbizhii bii' nishoojéé', háálá ak'áán nááhániihii índa yanáadzi'go nááhániihii éí nihiDiyin God bikindóó nahjį' kólyaa. 
29:1:014:0	Hodílzingo doo adą́ ats'ánóh'aah; hodílzingo áłah doohłeeł biniyé bíká ádadohní. Hastóí aląąjį' naazíinii áádóó kéyahgóó kéédahat'íinii t'áá ałtso Bóhólníihii bikin góne' áłah ádaohłéehgo Bóhólníihii yéego nídaohkąąh. 
29:1:015:0	Dooládó' héi'go hwiidoo'aał da, háálá Bóhólníihii nídoodáałjį' beiníłką́, índa Aláahgo Ayóó'ábóodziilii í'doołdįįł baa hodoolzhish. 
29:1:016:0	Nihinááł ch'iyáán ádooldįįł. NihiDiyin God bikin bii' sohodizin bits'ą́ą́dę́ę́' bee ił hózhóonii áádóó baa hózhóonii ádooldįįł. 
29:1:017:0	K'eelyéí łeeyi'di dadííłdzid; kin bii' nooh nída'achííh góne' doo siláhí da; kin bii' nooh nída'achíihii dááchxǫ', háálá tł'oh naadą́ą́' daazgan. 
29:1:018:0	Dooládó' alį́į́' nidadi'ni' da! Béégashii nidanilkaadii t'óó ahii' naanáákah, háálá ch'il t'áadoo bá nídahasdlį́į' da; t'áá aaníí, dibé nidanilkaadii ti'dahoonííh. 
29:1:019:0	Bóhólníihii nílíinii, nich'į' ná'iinishkąąh, háálá honoojíígóó kǫ' naanídzoosxihgo tł'oh deítsoígíí ałtso adahideezk'ą́ą́', índa kéyahgóó tsin naazkaadii ałtso dadíílid. 
29:1:020:0	Nidaaldlooshii da'ałchinii nidi nich'į' chaał hahóół'á, háálá tó hadaazlínígóó nídahooltseii, índa honoojíígóó tł'oh deíl'áii ałtso adahideezk'ą́ą́'.
