29:3:001:1	Diyin God éí ał'ąą dine'é yá nihodoo'ááł
29:3:001:0	Éí yoołkáałdi hoolzhishígíí biyi' Júdah áádóó Jerúsalem dine'é yisnááh danilį́į́dóó nahjį' kódeeshłíiłgo daabíí' yę́ę bíí' nídadoodleełgo ádeeshłííł, jó'akon. 
29:3:002:0	Ał'ąą dine'é t'áá ałtso áłah ádeeshłííł áádóó Jiiháshafat yę́ę biyíldzisjį' ahodeesh'ish; áadi bá nahodiyeesh'ááł áádóó shidine'é Ízrel éí shíí' danilínígíí beinísht'į́įgo bá yáshti' doo, háálá dadine'é bitahgóó tadeinooskaadgo shikéyah ałtaa deisdzo nít'éé'. 
29:3:003:0	Shidine'é binahjį' yáá'iilt'e' yaa naaskai, áádóó ashkii éí ałjiłnii yił ałghááda'astį́, índa wáin deidoodlį́į́ł biniyé at'ééd baa nidahaaz'nii'. 
29:3:004:0	Táir áádóó Sáídan índa Filístiya kéyahgi kéédahoht'íinii ha'át'íísh nihee ádeeshłííł? T'áadoo le'ésh biniyé k'ééhodideeshdlííł? danohsin. Ákódaahnéehgo shí t'áá nihí nihitsii'káa'jį' t'áadoo hodina'í índa tsxį́įłgo k'éénihidideeshdlííł. 
29:3:005:0	Shibéésh łigaii áádóó shi'óola nídadoonilgo shiyódí aláahdi ílíinii éí nihikin bii' nidahohłáii biih dahishoojaa'go 
29:3:006:0	áádóó Júdah índa Jerúsalemdóó dine'é kéédahat'į́į́ nít'éé' yę́ędóó bits'ą́ąjį' nízaadgóó kódadoohłííł biniyé Gríik dine'é bich'į' nihaa nidahaaznii'. 
29:3:007:0	K'ad nihaa nidahaaznii' yę́ędóó náábidideeshjahgo ádaohdzaa yę́ę biniinaa nihitsii'káa'jį' k'éénihidideeshdlííł, jó'akon. 
29:3:008:0	Nihiye'ké áádóó nihitsi'ké éí Júdah dine'é bich'į' nahideeshnihgo Sabíyadóó dine'é, éí dine'é nízaadi kéédahat'íinii yich'į' nináádahodiyoołnih; jó, Bóhólníihii yee haadzíí'. 
29:3:009:0	Dadine'é bitahgóó díí baa dahołne': Anaa' biniyé hasht'e'ádadołnééh, diné ayóó ádaat'éii bee bida'nołnííh. Bíni' diné t'áá ałtso nidaabaahii yit'ááh nájah; bíni' ákǫ́ǫ́ dah hidikááh. 
29:3:010:0	Nihibee nidahwiildlaadí bitsiits'iin háádahohtseełgo diltłish ádaahłééh, áádóó tsin bits'áoz'a' bee higéshí háádahohtseełgo tsiidétáán ádaahłééh. Bíni'dii doo dabidziilii éí, Shidziil, daaníi le'. 
29:3:011:0	Tsxį́įłgo áłah wohłeeh; hágo, nihokáá' dine'é danohłíinii, t'áá ałtsodę́ę́' áłah wohłeeh. Bóhólníihii áadi nisiláo dahayóii hadani'éésh. 
29:3:012:0	Bíni'dii ał'ąą dine'é danilíinii nídoojeehgo Jiiháshafat yę́ę biyíldzis góde dadookah, háálá áadi ał'ąą dine'é t'áá ałtso bá nihwiish'aahgo dah sédáa doo. 
29:3:013:0	Bee iikaałí nídahohłááh, háálá agizh baa hoolzhiizh. Aljizh góyaa dínááh, háálá bii' aljizhí ch'il na'atł'o'ii bii' hadéébįįd. Ch'il na'atł'o'ii bitoo' wó'ą́ą́lį́, háálá yee doo yá'ádaashóonii k'ee'ąą deeshzhiizh. 
29:3:014:0	Diné doo jóołta' ánéelą́ą́' éí yíldzisgi ánihwiit'aah bá haz'ánídi yíl'á; yíldzisgi ánihwiit'aah bá haz'ánídi Bóhólníihii bijį́ k'adę́ę baa hoolzhíísh. 
29:3:002:1	Júdah dine'é yisdádoo'nił
29:3:015:0	Jį́honaa'éí índa tł'ééhonaa'éí yidoojį́į́ł áádóó sǫ' doo da'diníłdíin da doo. 
29:3:016:0	Bóhólníihii éí Záíyandóó biinéé' yéego didoots'į́į́ł, áádóó Jerúsalem kin haal'áádóó hadoodzih, áko yót'ááh bii' hiníláii áádóó nahasdzáán dahidi'doo'nááł. Nidi Bóhólníihii éí bidine'é bine' a'niichéehii yá nilį́; Ízrel dine'é yá bine' na'adzi'ii nilį́. 
29:3:017:0	Áko shí, Bóhólníihii nihiDiyin God nishłį́įgo shidził diyinii Záíyandi kééhasht'į́įgo nihił béédahodoozįįł. Áádóó Jerúsalemgi hodiyin doo índa dé'éyóní ts'ídá doo ákǫ́ǫ́ ch'ínáádoodáał da. 
29:3:018:0	Áko éí bijį́ dził naaznilígóó wáin ániidíii nídahodoodleeł, índa dah daask'idę́ę́' abe' danílį́į doo, áko Judíya kéyahdóó dabikoohgóó tooh danílį́į doo áádóó Bóhólníihii bikin bii' sohodizindóó tó hadaazlį́į doo índa Shíttim yíldzis góyaa adaazlį́į doo. 
29:3:019:0	Ííjip kéyahígíí t'áá ádzaaí nídoodleeł áádóó Íídam kéyah ałdó' éí honoojíhígíí t'áá ádzaaí nídoodleeł, háálá Júdah ba'áłchíní t'áá na'níle'dii ádajííł'įįdgo bikéyahgi t'áadoo ádąąh dahast'áanii nidadzistseedgo bidił bits'ádaazlį́įgo ádajiilaa. 
29:3:020:0	Nidi Judíya kéyahgi hool'áágóó kéédahojit'į́į doo, áko Jerúsalemgi ałdó' hool'áágóó háá'ayoochíił doo. 
29:3:021:0	Shidine'é bidił bee ádidahozhdiilt'i'ii t'ah doo k'éédadishdléehii k'éédahodideeshdlííł, háálá Záíyangi Bóhólníihii kééhat'į́.
