30:7:001:1	Nahachagiitsoh ił ádzaa
30:7:001:0	Bóhólníihii Diyin God éí díí shił yit'íní áyiilaa: aláahgo naat'áanii tł'oh bá yilzhée'go áádóó bik'ijį' háánoot'ą́ągo Bóhólníihii éí nahachagiitsoh yiniyé hasht'eyiilaa, jó'akon. 
30:7:002:0	Kéyahgóó nahachagiitsoh ałtso da'ííyą́ą'go ádíshní, Bóhólníihii Diyin God nílíinii, nánooshkąąh, Jéíkab dine'é ádił nida'iisíi'ii bá yóó'anídí'aah. Haash yit'éego kééhat'į́į doo? Jó, éí t'áá díkwílt'éhí yee'. 
30:7:002:1	Kǫ' ił ádzaa
30:7:003:0	Bóhólníihii díí łahgo át'éego yąąh tsíńdeezkéezgo ání, Nich'į' yit'íní ályaii doo bik'ehgo ákóhodooníił da. 
30:7:004:0	Bóhólníihii Diyin God díí ałdó' shił yit'íní ánááyiidlaa: Bóhólníihii Diyin God kǫ' yee atídoolíiłgo yíká ádííniid, áko tónteel ałtso iididoołk'ą́ą́ł áádóó kéyah éí kǫ' bidooyį́į́ł, jó'akon. 
30:7:005:0	Áko ádíshní, Bóhólníihii Diyin God nílíinii, doo ákódííníił da, baa nánooshkąąh. Haash yit'éego Jéíkab dine'é kééhat'į́į doo? Jó, éí t'áá díkwílt'éhí yee'. 
30:7:003:1	K'ézdongo tł'óół náát'i'ii ił ádzaa
30:7:006:0	Bóhólníihii díí ałdó' łahgo át'éego yąąh tsíńdeezkéezgo ání, Nich'į' yit' íní ályaii doo bik'ehgo ákóhodooníił da, ní Bóhólníihii Diyin God. 
30:7:007:0	Díí ałdó' shił yit'íní ánááyiidlaa: k'ézdongo tł'óół náát'i'ígíí bee ha'ootł'ingo ítł'inígíí bikáa'gi Bóhólníihii sizį́, áádóó k'ézdongo tł'óół náát'i'ígíí bílák'eedę́ę́' náát'i', jó'akon. 
30:7:008:0	Ákohgo Bóhólníihii áshíłní, Éímas, ha'át'íishą' yíní'į́? áádóó ádíshní, K'ézdongo tł'óół náát'i'ígíí lą́ą. Nít'éé' Bóhólníihii ánááshidoo'niid, Ízrel shidine'é danilíinii bitahgi k'ézdongo tł'óół náát'i'go ádeeshłííł, jó'akon. Doo t'óó haa náádideesh'áał da. 
30:7:004:1	Éímas áádóó Amazáíyah
30:7:009:0	Áízak bá ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí t'áadoo nídadoodleełí da áádóó Ízrel bihodiyingo nahaz'áanii t'áá ádzaaí nídadoodleeł índa Jerobówam baa ałk'eedóó náás ahoolchíiłii bik'ijį' nishłį́įgo diltłish bee ádahodeeshdįįł. 
30:7:010:0	Béthelgi náá'iiłniihii Amazáíyah éí Ízrel dine'é aláahgo binanit'a'í Jerobówam bich'į' hane' ájiilaago ájíní, Éímas éí Ízrel dine'é bitahgi ni' hodeez'ą́. Kéyahgi dine'é éí Éímas áníinii t'áá ałtso doo bídazhneel'ą́ą da. 
30:7:011:0	Jó, Éímas ájíní, Jerobówam éí diltłish bee hodi'yoolyééł áádóó t'áá aaníí, Ízrel dine'é hakéyahdóó yisnááh dajílį́įgo ch'íhodi'doot'ish. 
30:7:012:0	Ákohgo Amazáíyah éí Éímas ábizhdííniid, Náasdi áhodoonííł yaa halne'ii nílíinii, nílááh, yówehjį' Júdah kéyahgóó nídílyeed; áadi bááh niyą́ą le'; áadi hólne' le'. 
30:7:013:0	Nidi Béthelgi ts'ídá doo ninááhodíílnih da, háálá aláahgo naat'áanii bihodiyingo haz'áanii át'é. Kwe'é haz'ą́ągi ałdó' aláahgo naat'áanii bighan. 
30:7:014:0	Áko Éímas éí Amazáíyah ábizhdííniid, Shí doo náasdi áhodoonííł yaa halne'ii nishłį́į da nít'éé'; Diyin God yá halne'ii biye' nidi, doo nishłį́į da, nidi na'niłkaadii áádóó tsin síkamor bineest'ą' áłah ííł'íinii nishłį́į́ nít'éé'. 
30:7:015:0	Dibé bikéé' naasháago Bóhólníihii náshidiiłtį́įgo áshidííniid, Nílááh, shidine'é Ízrel shá bił hólne'. 
30:7:016:0	Éí bąą k'ad Bóhólníihii bizaad yísíníłts'ą́ą́'. Shą́ą́', ádíní, Ízrel dine'é t'áadoo bik'ijį' yáníłti'go hólne'í, índa Áízak ba'áłchíní t'áadoo bik'ijį' saad hidiiłtáahgo hólne'í. 
30:7:017:0	Éí bąą Bóhólníihii kóní, Kin haal'áagi ne'asdzą́ą́ ałjiłnii nilį́į dooleeł, áádóó niye'ké áádóó nitsi'ké éí diltłish bee nidabidi'dootsił, índa nikéyah ahádahidoodzohgo kéyah t'óó bahoo'ihgi dadíítsaał áádóó t'áá aaníí, Ízrel dine'é bikéyahdóó yisnááh dajílį́įgo ch'íhodi' doot'ish.
