30:1:001:1	Ízrel dine'é yił kéédahat'íinii baa dahwiidínóot'įįł
30:1:001:0	Azáíyah éí Júdah dine'é aláahgo binanit'a'í nilį́įgo yoołkááłdą́ą́' áádóó Jó'ash biye' Jerobówam éí Ízrel dine'é aláahgo binanit'a'í nilį́į́dą́ą́' t'ah doo ni' hidi'nááhgóó kóhoot'éego naaki nááhai Tekówa kin haal'áagi Éímas éí nida'niłkaadii atah jílį́įgo Ízrel dine'é baa níjít'į́įgo díí saad bee hadziisdzíí': 
30:1:002:0	Dził Záíyandóó Bóhólníihii ayóó íits'a'go ádidooniił, áádóó Jerúsalem kin haal'áádę́ę́' biinéé' didoots'į́į́ł, índa nida'niłkaadii bidahootsogóó hojoobá'ígo nahaz'ą́ą doo áádóó Dził Kármel aghádahaz'áágóó dahodoogą́ą́ł. 
30:1:003:0	Bóhólníihii kóní, Damáskas kin haal'áádóó dajílíinii táadi, doodaii' dį́įdi bee haz'áanii k'ídajizti'go biniinaa dooshą' léi' t'áadoo atíháshłééh lá, háálá béésh bee ha'altsééd nahalingo Gíliyad dine'é ádajííł'įįd. 
30:1:004:0	Ákohgo Házeiyel ba'áłchíní danilíinii bik'ijį' kǫ' ádeeshłíiłgo Ben-héídad bidziilgo bił nahaz'áanii ałtso adidook'ą́ą́ł. 
30:1:005:0	Damáskas kin haal'áhígi dáń'dítį́hí bił dah nídaatį́hígíí ałdó' nahjį' kódeeshłííł áádóó Éíven yíldzis góyaa kéédahojit'ínígíí índa Beth-ííden kin haal'áádóó naat'á gish jótą'ii áhodeeshdįįł, áko Síriya dine'é danilíinii Kir hoolyéii bich'į' yisnááh dazhdooleeł, ní Bóhólníihii. 
30:1:006:0	Bóhólníihii kóní, Jó, Géízadóó dajílíinii táadi, doodaii' dį́įdi bee haz'áanii k'ídajizti'go biniinaa dooshą' léi' t'áadoo atíháshłééh lá, háálá diné t'áá ałtso t'óó ninádeideez'ą́ągo yisnááh biniyé Íídam dine'é yaa deideez'ą́. 
30:1:007:0	Áko Géíza binaa ahéé'ítł'inii bik'ijį' kǫ' ádeeshłííł, áko bidziilgo bił nahaz'áanii ałtso adidook'ą́ą́ł. 
30:1:008:0	Áshdadgi kéédahojit'íinii índa Áshkelangi naat'á gish jótą'ii éí kin haal'á ałdó' áhodeeshdįįł; shidziil bee Ékran bik'ijį' nishłį́į doo áádóó Filístiya dine'é daadziihígíí ádadoodįįł, ní Bóhólníihii Diyin God. 
30:1:009:0	Bóhólníihii kóní, Jó, Táirdóó dajílíinii táadi, doodaii' dį́įdi bee haz'áanii k'ídajizti'go biniinaa dooshą' léi' t'áadoo atíháshłééh lá, háálá yisnááh t'áá át'é Íídam dine'é yaa deideez'ą́ągo bik'isóó yił aha'deet'áanii doo yéédaalniihgóó ádáát'įįd. 
30:1:010:0	Áko Táir binaa ahéé'ítł'inii bik'ijį' kǫ' ádeeshłíiłgo bidziilgo bił nahaz'áanii ałtso adidook'ą́ą́ł. 
30:1:011:0	Bóhólníihii kóní, Íídamdóó dajílíinii táadi, doodaii' dį́įdi bee haz' áanii k'ídajizti'go biniinaa dooshą' léi' t'áadoo atíháshłééh lá, háálá diltłish bee hak'is bikéé' jiyeedzá; t'áadoo nidi hoł baa hojííshbá'ígóó t'óó bich'į' há hodinoochįįdgo hashkéznídzingo ahoolzhiizh. 
30:1:012:0	Áko Tííman bik'ijį' kǫ' ádeeshłíiłgo Bázra bidziilgo bił nahaz'áanii ałtso adidook'ą́ą́ł. 
30:1:013:0	Bóhólníihii kóní, Áman dine'é táadi, doodaii' dį́įdi bee haz'áanii k'ídajizti'go biniinaa dooshą' léi' t'áadoo atíháshłééh lá, háálá éí hoł hadahwiisdzooígíí dahótsaa dooleeł biniyé Gíliyad kéyahgi sáanii daaltsáanii nidadzistseed. 
30:1:014:0	Áko Rábah binaa ahéé'ítł'inii bik'ijį' kǫ' ádeeshłíiłgo bidziilgo bił nahaz'áanii ałtso adidook'ą́ą́ł. Éí anaa' hazlį́į́' bijį́ hahodidoodlał índa yéego deeyolgo nááts'ó'oołdísii ayóó ábóodziilgo ádeeshłííł. 
30:1:015:0	Áko aláahgo binanit'a'í nilíinii éí naat'áanii danilíinii t'áá yił yisnááh dadooleeł, ní Bóhólníihii.
