45:14:001:1	Nakhwanee'ok Dinjii Nąįį Nakhweenjit Oozųų Shrǫ' .
45:14:001:0	Juu vigwik'injigwiighit niint'aii kwaa nąįį goots'ohnyąą , gaa deegiindhan geenjit goodii gohkhyaa shrǫ' .
45:14:002:0	Dinjii gwik'injiighit lat nąįį jidii datthak ga'aa t'oonchy'aa , gaa juu vigwik'injigwiighit niint'aii kwaa nąįį gwanzhįh zhrįh ga'aa .
45:14:003:0	Juu jidii datthak a'aa nąįį duuyeh gwiizųų t'akhwa'in goorahnyąą t'oonchy'aa ; juu gwanzhįh zhrįh a'aa nąįį chan duuyeh zhit juu jidii datthak a'aa nąįį gwiizųų t'akhwa'in agahnyąą t'oonchy'aa , Vit'eegwijyąhchy'aa gwinzii t'akhwa'in goovahnyąą t'iginchy'aa .
45:14:004:0	Nakhwan ąįį juu ǫhłįį dee ch'izhii dinjii vi-slave nąįį nakhweenjit iizųų ? Geedan juu goots'ą' k'eedeegwaadhat t'ee giizųų akwat ginzįį goohaanjyaa t'oonchy'aa . Ąįįts'ą' K'eegwaadhat t'aih goots'an ąhtsii haa digwik'injigwiighit duuyeh akhagagoonyąą t'iginchy'aa .
45:14:005:0	Dinjii lat nąįį drin ch'ihłak łyaa ch'izhii drin andaa Vit'eegwijyąhchy'aa vats'a' ch'iridlii ts'ą' deerihił'ee giindhan . Gwiizhit ch'izhii nąįį ąįį drin gwiteegwagwaanchy'aa datthak Vit'eegwijyąhchy'aa vats'a' ch'iridlii ts'ą' deerihił'ee gooveenjit nihk'it t'oonchy'aa . Diitee gwagwaanchy'aa Vit'eegwijyąhchy'aa nats'ąą deerihił'ee ts'ą' vats'a' ch'iridlii gwiindhan gininjich'arahthat ąįį gwint'aii gwaroontą' .
45:14:006:0	Juu drin ch'ihłak łyaa gwiintsii ininjich'ahthat t'ee K'eegwaadhat deehił'ee k'iighai' t'igii'in ; juu jidii datthak a'aa chan K'eegwaadhat deegihił'ee ts'ą' Vit'eegwijyąhchy'aa mahsį' agahnyąą geh'an t'igii'in . Juu jidii giindhan zhrįh ga'aa chan K'eegwaadhat deegihił'ee ts'ą' geedan chan shih eenjit Vit'eegwijyąhchy'aa mahsį' agahnyąą .
45:14:007:0	Ideenjit gwizhrįh gwarandaii kwaa , ts'ą' ideenjit gwizhrįh niriighit kwaa t'oonchy'aa .
45:14:008:0	Gwarandaii ji' , K'eegwaadhat veenjit gwarandaii t'igwii'in , ts'ą' niriidhat ji' K'eegwaadhat veenjit niriindhat t'igwii'in . Ąįįts'ą' gwarandaii akwat niriindhat haa nihk'it K'eegwaadhat vats'an tr'iinlii t'oonchy'aa .
45:14:009:0	Christ niindhat ts'ą' neegwiindaii dąį' juu gwandaii akwat niindhat haa eenjit K'eegwaadhat nilii t'ii'in .
45:14:010:0	Zhit juu gwanzhįh zhrįh a'aa nąįį jaghaii ch'izhii nąįį nakhweenjit iizųų ? Zhit juu jidii datthak a'aa nąįį chan jaghaii juu gwik'injiighit nąįį gwanzhįh zhrįh ga'aa nakhweenjit iizųų ? Datthak ts'ą' Vit'eegwijyąhchy'aa vats'a' nireheedhat ts'ą' diinahahkat t'oonchy'aa .
45:14:011:0	Dęhtły'aa Choh zhit jyaa digwinyąą geh'an , “ Shįį Vit'eegwijyąhchy'aa gwandaii ihłii , K'eegwaadhat jyaa nyąą , dinjii nąįį datthak shats'ą' nikiigwahah'aats'ą' Vit'eegwijyąhchy'aa inlii shagahaanjyaa t'oonchy'aa . ”
45:14:002:1	Nakhwanee'ok Dinjii Nąįį Neet'ǫǫhkhii Shrǫ'
45:14:012:0	Datthak ts'ą' dzaa nankat deegwee'ya' geenjit Vit'eegwijyąhchy'aa diinoahkat ji' vidii gireheekhyaa gwizhrįh t'oonchy'aa .
45:14:013:0	Akwat t'ee nihłeenjit tr'oozuu kwaa , gaa ch'izhii dinjii nąįį neet'eehohthal ts'ą' tr'agwaanduu t'igihee'yaa goohohtsyaa gwits'į' gwak'ǫǫhtii .
45:14:014:0	K'eegwaadhat Jesus vaa khaihłak tr'iinlii ts'ą' shih tr'a'aa datthak shroodiinyąą nilii gaashandaii ts'ą' jidii datthak tr'a'aa . Gaa shih lat shroodiinyąą nilii kwaa gwik'injiriighit ji' t'ee tr'ihee'aa diineenjit iizųų t'inchy'aa .
45:14:015:0	Jidii oh'aa geh'an nakhwanee'ok dinjii nąįį iizųų ohtsyaa shrǫ' , jyaa dakhwa'in ji' , ch'eet'igwiniindhan haa t'akhwa'in kwaa t'oonchy'aa . Jii shih oh'aa eh'an gwik'injiighit nąįį googwik'injigwiighit ts'an neet'ǫǫhkhii shrǫ' , geedan t'ee Christ gooveenjit niindhat t'oonchy'aa .
45:14:016:0	Nakhwatee gwik'injiighit nąįį tr'agwaanduu googwitr'it gwanli' ohtsii geh'an , jidii nizįį ohnyąą ąįį voozhri' iizųų ohtsyaa shrǫ' .
45:14:017:0	Vit'eegwijyąhchy'aa Veegwinii'ee t'ee ąįį jidii tr'a'aa ts'ą' tr'iinįį zhrįh geenjit t'oonchy'aa kwaa , gaa Ch'anky'aa Shroodiinyąą , k'iighai' vats'inehdan , vashragoonchy'aa , ts'ą' Vit'eegwijyąhchy'aa vaa gwinzii tr'iheedaa haa diinantł'eegwin'ąįį ąįį geenjit t'oonchy'aa .
45:14:018:0	Ts'ą' nijin jii jyąhts'ą' gwinzii Christ vitsyaa ǫhłįį dąį' t'ee Vit'eegwijyąhchy'aa nakhwashoo'ahłįį gwiizhit nakhwanee'ok dinjii nąįį gwinzii t'akhwa'in nakhwahaanjyaa t'oonchy'aa .
45:14:019:0	Ąįįts'ą' geenjit khit gwinzii t'igwehee'yaa gwik'eegwaroondaii , gwik'iighai' tsinehdan zhit t'aih nihłihts'an tr'ahahtsyaa geenjit .
45:14:020:0	Vit'eegwijyąhchy'aa diineenjit deezhit jii shih tr'a'aa haa gwiizųų gohtsyaa shrǫ' , shih datthak tr'ihee'aa geenjit nizįį t'oonchy'aa gaa jidii shih nakhwanee'ok dinjii tr'agwaanduu t'igii'in ąhtsii ąįį oh'aa shrǫ' .
45:14:021:0	Nilii chan tr'a'aa kwaa , ts'ą' jak chų' chan tr'inįį kwaa , ts'ą' diinee'ok dinjii gwik'injiighit nąįį tr'agwaanduu gwats'ą' neet'eerahkhii kwaa ąįį gwinzii t'igwii'in t'oonchy'aa .
45:14:022:0	Jidii nilii oh'aa ts'ą' jak chų' akhwanįį ąįį geenjit gwik'injuhkhit ąįį nakhwan ts'ą' Vit'eegwijyąhchy'aa haa gwineetak nakhwateetł'an dhoh'ąįį . Dinjii nąįį jidii gwinzii gaagiindaii ąįį googwitr'it gwanlii , Vit'eegwijyąhchy'aa goovaa shoo nilii t'inchy'aa ts'ą' deegiizhik geenjit gootthąį' iizųų kwaa t'igiinchy'aa .
45:14:023:0	Gaa jidii ga'aa geenjit tr'igwigwidii ji' , Vit'eegwijyąhchy'aa ąįį jidii ga'aa geenjit gwiizųų t'igii'in goovahaanjyaa t'oonchy'aa , googwik'injigwiighit niint'aii kwaa geh'an . Vit'eegwijyąhchy'aa t'injiraahchy'aa kwaa geh'an , jidii t'igwii'in ąįį gwinzii gaagwiindaii kwaa ji' t'ee Vit'eegwijyąhchy'aa vandah tr'agwaanduu t'igwii'in t'oonchy'aa .
