45:7:001:1	Moses Va-Law Diinoontą' K'it T'oonchy'aa Ts'an Tr'eereejil .
45:7:001:0	Gwik'injigwiighit zhit shachaa nąįį , Moses va-law gwinzii haakhwandaii geh'an jii deehihjyaa ąįį deihnyąą gaakhwandaii . Dinjii nąįį deegwąhkhyuk gwagwandaii gwizhit gwizhrįh ąįį Law k'eegwagwahahthat t'oonchy'aa .
45:7:002:0	Ąįį gwik'it tr'injaa , deegwąhkhyuk vakai' gwandaii gahkhyuk datthak dakai' ihłeeheehaa kwaa , gaa nijin vakai' niindhat ji' neerahoondal ji' gaa gweheezyaa .
45:7:003:0	Jii kwaii datthak Moses va-law zhit danakhwatł'oo , tr'injaa vakai' tth'aii hee gwandaii gwiizhit ch'izhii dinjii duuyeh neeyuunjii . Jyaa diizhit ji' adultery t'iizhik varahaanjyaa . Gaa vakai' niindhat ji' ch'izhii dinjii neeyuunjik ji' gaa t'oohłii t'oonchy'aa kwaa ts'ą' adultery t'iizhik varahaanjyaa kwaa .
45:7:004:0	Shijyaa nąįį , jii t'ee nakhwaa jyaa doonchy'aa t'oonchy'aa . Datthak neehohshii geenjit law k'eegohthat gwat'oohchy'aa kwaa . Datthak ts'ą' Christ vaa khaihłak ǫhłįį geh'an vaa noodhat ts'ą' vaa neegohdaii k'it t'oonchy'aa haa Vit'eegwijyąhchy'aa veenjit gwitr'it gwinzii t'agahoh'yaa .
45:7:005:0	Nijin Law haagwiindaii googaa diikhwan deegwiindhan gwik'it gwarandaii dąį' , tr'aanduu vigwitr'it zhrįh t'agwaroh'ya' gwiindhan ąįį diinoontą' zhit ndaagwąą'ąį' kwaa gwats'ą' niriindhat k'it t'oonchy'aa .
45:7:002:1	Law Diitr'agwaanduu Gwizhrįh Nigwiin'ąįį .
45:7:006:0	Ąįįts'ą' juk jii Law diinoontą' k'it t'oonchy'aa ts'an tr'eereejil . Vit'eegwijyąhchy'aa haa gwinzii tr'iheehaa geenjit Moses va-law deegwehee'yaa nyąą juk gwik'it gwarandaii kwaa , gaa Ch'anky'aa Shroodiinyąą nats'ahts'ą' gǫhdaii diinoonyąą gwik'it gwarandaii .
45:7:007:0	Ąįįts'ą' Moses va-law tr'aanduu gwigwitr'it dihnyąą lee t'ihnyąą ? Łyaa zhyaa nakwaa ! Gaa vik'iighai' t'ee shatr'agwaanduu gwanlii gaashandaii , ąįį geenjit t'inchy'aa . “ Nakhwanee'ok dinjii ts'an ts'ą' dinjikhwaghit shrǫ' ! ” Gwinyąą ts'ą' danakhwatł'oo kwaa ji' dinjiriighit gwinyąą ąįį deegwinyąą t'igwinyąą gaahashandaii kwaa .
45:7:008:0	“ Nakhwanee'ok dinjii nąįį goots'an ts'ą' dinjikhwaghit shrǫ' ! ” ąįį Moses va-law zhit jyaa digwinyąą , ąįį tr'aanduu gwigwitr'it t'igwii'in gwandaa tr'agwaanduu t'igwehee'yaa geenjit gwat'aahchy'aa ts'ą' gwik'it t'ishi'in shahtsii k'it t'oonchy'aa . Gaa law gwakwaa ji' tr'agwaanduu gwigwitr'it t'igwii'in diits'ą' k'eedeegwaadhat kwaa k'it t'oonchy'aa .
45:7:009:0	Nijin Moses va-law deegwehee'yaa nyąą gwadąąntł'oo gwinzii gaashaandaii kwaa dąį' shiyinji' zhit gwinzii t'ihchy'aa , gaa nijin deegwehee'yaa nyąą ąįį deenyąą t'ihnyąą gwiky'aljik dąį' shatr'agwaanduu gwanlii lee ts'ą' ch'ichį' ndaanąą'ąį' kwaa ts'ą' ihshyaa łee gwiky'aljik .
