45:9:001:1	Vit'eegwijyąhchy'aa , ts'ą' Vigii Nąįį Haa
45:9:001:0	Łi'didlii haa gihkhii , ts'ą' oihts'it kwaa haa Christ vats'an ihłii . Ch'anky'aa Shroodiinyąą shidrii ts'ą' k'eedeegwaadhat ąįį oihts'it kwaa shahnyąą t'oonchy'aa ,
45:9:002-003:0	Shalak Jews nąįį , gooveenjit shidrii t'igwiin'ee ts'ą' łyaa tr'igwihdii . Vit'eegwijyąhchy'aa gaa shits'į' t'oochy'aa nihthan ts'ą' Christ chan vaa khaihłak hihłyaa kwaa , jyąhts'ą' neegeheezhii ji' geenjit .
45:9:004:0	Israel gwich'in giinlii , Vit'eegwijyąhchy'aa gii giheelyaa geenjit gwitee tr'agoovinlii ; dich'eegwąhndit goots'ą' gwigweełkįį , Vit'eegwijyąhchy'aa goovaa deehee'yaa nyąą goovaa gwinzii gwiłtsąįį . Moses va-law danakhwatł'oo goovantł'eiin'ąįį ts'ą' Vit'eegwijyąhchy'aa nats'ąą deerahąąh'aa goo'aii ąįį chan goovantł'eiin'ąįį .
45:9:005:0	Yeenii Hebrew hil'ee nąįį ts'an digeedhaa ; ts'ą' Christ dinjii nilii chan goots'an deedhaa . Vit'eegwijyąhchy'aa zhee , nan ts'ą' k'eedeegwaadhat , khit geenjit deerahoh'e' . Amen !
45:9:006:0	Vit'eegwijyąhchy'aa Israel eenjit deehee'yaa nyąą ąįį gwik'it t'iizhik kwaa t'oonchy'aa dihnyąą t'ihnyąą kwaa . Israel gwich'in lęįį nąįį Vit'eegwijyąhchy'aa gii ginlii kwaa t'oonchy'aa .
45:9:007:0	Ąįį gwik'it yeenii Abraham ts'an deedhaa nąįį datthak łyaa Vit'eegwijyąhchy'aa gii ginlii kwaa . Vit'eegwijyąhchy'aa , Abraham jyaa dahnyąą , “ Isaac ts'an deedhaa nąįį zhrįh nats'an deedhaa heelyaa t'oonchy'aa . ”
45:9:008:0	Abraham , ts'an deedhaa nąįį lat Vit'eegwijyąhchy'aa gii ginlii kwaa t'igwinyąą , Vit'eegwijyąhchy'aa deehee'yaa nyąą ts'an googoodlit ji' t'ee Vit'eegwijyąhchy'aa gii ginlii .
45:9:009:0	Jii t'ee Vit'eegwijyąhchy'aa diginjik haa jyaa dishi'yaa nyąą t'oonchy'aa , “ Nijin gwinzii gwik'it goodlit ji' k'ineehihdik ts'ą' Sarah , vidinji' gweheelyaa t'oonchy'aa . ”
45:9:010:0	Ąįįts'ą' jii zhrįh nakwaa . Rebecca vidinji' neekwaii t'ee yeenii diitsii Isaac gooti' nilii t'oonchy'aa .
45:9:011-012:0	Gaa jii doo'ya' nindhan gwigweheechy'aa geenjit tsyaa ch'ihłee zhrįh Vit'eegwijyąhchy'aa ideenjit gwitee tr'ahchįį , ts'ą' Sarah jyaa dahnyąą “ Nidinji' kit t'ee zhit nidinji' khaiits'ą' eenjit gwitr'it t'agwahah'yaa t'oonchy'aa . ” Gwiizųų akwat gwinzii t'igihee'yaa gwik'it dąį' hee , zhit tsyaa googweheelyaa gwik'it dąį' jyaa diinyą' . Ąįįts'ą' nijin Vit'eegwijyąhchy'aa gwit'eetr'iyahchįį dąį' , vigwitr'it dinchy'aa gwik'iighai' nakwaa , gaa adan gwit'eetr'iyahchįį geh'an gwizhrįh .
45:9:013:0	Dęhtły'aa Choh zhit jyaa digwinyąą : “ Jacob , ąįį veet'iihthan , gaa Esau ąįį veet'iihthan kwaa . ”
45:9:014:0	Vit'eegwijyąhchy'aa gwinzii t'ii'in kwaa lee gweheenjyaa ? Łyaa nakwaa .
45:9:015:0	Vit'eegwijyąhchy'aa Moses jyaa dahnyąą . “ Juu nihthan nąįį neeshraahchy'aa goovohoihjyaa , ts'ą' juu nihthan nąįį goots'ą' gooveeshrihihkyaa . ”
45:9:016:0	Ąįįts'ą' dzaa nankat gwats'an dinjii tr'iinlii ts'ą' jidii datthak gwiindhan akwat deegwii'in gwik'iighai' kwaa , gaa Vit'eegwijyąhchy'aa neeshraahchy'aa diinoonyąą geh'an gwizhrįh .
45:9:017:0	Dęhtły'aa Choh zhit Egypt gwats'ą' k'eedeegwaadhat , Vit'eegwijyąhchy'aa jyaa yahnyąą , “ Nik'iighai' deekhołt'aii ts'ą' shoozhri' haa nankat datthak gwats'ą' k'eedeegwandhat nołtsąįį , ąįį gaageheendaii geenjit . ”
45:9:002:1	Vit'eegwijyąhchy'aa Zhyaants'įį ts'ą' Neeshraahchy'aa Niindhan
45:9:018:0	Ąįįts'ą' t'ee Vit'eegwijyąhchy'aa juu nindhan nąįį neeshraahchy'aa oonyąą , ts'ą' chan juu nindhan chan ki' dach'at ąhtsii .
45:9:019:0	Gaa nakhwatee ch'ihłee jyaa dashahaanjyaa t'oonchy'aa , “ Jyaa doonchy'aa ji' , Vit'eegwijyąhchy'aa ch'ihłee gaa iizųų heenjyaa kwaa , adan reh jyaa diginchy'aa gooviłtsąįį geh'an ! ”
45:9:020:0	Shijyaa nąįį , juu ihłii nohthan dee , Vit'eegwijyąhchy'aa vidii gohkhii ? “ Jaghaii jyąhts'ą' shontsąįį ? ” ąįį tyah łųhch'ant'ak haa iltsąįį ąįį dinjii yiłtsąįį jyaa dahnyąą kwaa doonchy'aa .
45:9:021:0	Ąįį geh'an t'ee zhit dinjii łųhch'ant'ak haa tyah ąhtsii , nats'ąą ołtsyaa yuunyąą gwik'it yahtsii , ts'ą' nijin łųhch'ant'ak haa tyah neekwaii oiłtsyaa niindhan ji' gaa gwik'it t'ihee'yaa , tyah ch'ihłak ąįį nijin gwihil'ee t'igwii'in geenjit , ts'ą' ch'ihłak chan nijin drin gwiteegwaanchy'aa vit'eegwahahchy'aa geenjit .
45:9:022:0	Ąįį gwik'it Vit'eegwijyąhchy'aa deezhit chan gwik'it t'oonchy'aa . Zhyaants'įį haa dat'aii gwagwahch'in . Gaa juu an hahtsyaa nąįį gootr'agwaanduu geh'an dinjii halchi' kwaa nilii ąįį gwinzii t'inchy'aa .
45:9:023:0	Neeshraahchy'aa diinoonyąą niindhan ji' gwik'it t'iheechy'aa , datthak shrigwinlik dich'eegwąhndit diits'ą' gwagwahahchy'aa geenjit .
45:9:024:0	Jews nąįį zhrįh tee gwats'an tr'idiiniinlii kwaa gaa Jews nilii kwaa tee gwats'an chan .
45:9:025:0	Dęhtły'aa Choh zhit Hosea zhit jyaa diinyą' , “ Shidinji' ginlii kwaa gaa shidinji' goovahaihjyaa , gwehkįį nahkat geet'iihthan kwaa , ąįį ‘Geet'iihthan ! ’ hihjyaa . ”
45:9:026:0	Ąįįts'ą' Dęhtły'aa Choh zhit nijin Vit'eegwijyąhchy'aa jyaa nyąą , ‘Datthak ts'ą' shigii ǫhłįį kwaa . ’nyąą , gaa gęhdaa gwandaa ji'Vit'eegwijyąhchy'aa khit gwandaii nilii , shidinji' goohaanjyaa t'inchy'aa . ”
45:9:027:0	Isaiah , Israel nąįį t'ahnyąą gwik'it , “ Israel gwich'in nąįį łyaa chųų choo vee needdhak k'it googwanlii gaa goolak nąįį zhrįh neeheezhii t'oonchy'aa ;
45:9:028:0	K'eegwaadhat dzaa nankat ch'ihłok , ts'ą' khit geenjit gwizhrįh dinjii nizįį nąįį gwitee tr'iheelyaa t'oonchy'aa . ”
45:9:003:1	Israel ts'ą' Gwandak Nizįį Haa
45:9:029:0	Isaiah gwehkįį deiinyą' gwik'it , “ K'eegwaadhat datthak geenjit t'aih di'įį yeenii diitsii lat nąįį diineenjit akhoonyąą kwaa ji' t'ee Sodom ts'ą' Gomorrah kwaiik'it kwaii an goodlit gook'it t'igweheenjyaa . ”
