45:4:001:1	Abraham Deezhit Ąįį Deegwahtł'oo Gwik'injigwiighit Gwihil'ee Gwagwahch'in
45:4:001:0	Abraham , Jews nąįį yats'an deedhaa veenjit deegweheenjyaa ? Abraham deezhik ?
45:4:002:0	Abraham deezhik geh'an dinjii Vit'eegwijyąhchy'aa haa gwinzii ahaa ji' t'ee geech'ihee'yaa , gaa Vit'eegwijyąhchy'aa vandah duuyeh geech'i'in t'inchy'aa .
45:4:003:0	Dęhtły'aa Choh zhit gwadanakhwatł'oo , “ Abraham , Vit'eegwijyąhchy'aa k'injiighit geh'an Vit'eegwijyąhchy'aa dinjii khit shik'eegwahthat nilii yahnyąą . ”
45:4:004:0	Dinjii nąįį gwitr'it t'agwagwah'in geenjit laraa haa googwarookwat , gaa zhyaa vantł'eeranjii kwaa , veenjit gwitr'it t'agwarah'in geh'an gwizhrįh diinantł'eerinlii .
45:4:005:0	Gaa dinjii nąįį duuyeh Vit'eegwijyąhchy'aa haa gwinzii giheedaa geenjit zhyaa gwitr'it t'agwagwah'in , ts'ą' łyaa giik'injiheeghit gwizhrįh , dinjii tr'aanduu nąįį gaa vandee ts'ą' gootr'agwaanduu kwaa k'it giiyaa'adaa gwahtsii . Ąįįts'ą' Vit'eegwijyąhchy'aa , googwik'injigwiighit eh'an giiyaa'adaa goovahtsii .
45:4:006:0	Yeenii King David ąįį deegwinyąą gwik'it t'inyąą dąį' , ąįį dinjii Vit'eegwijyąhchy'aa yaa ahaa iłtsąįį , vandee ts'ą' gootr'agwaanduu kwaa k'it goovah'in , deegiizhik ąįį gweechyaa kwaa geh'an łyaa shoo ihłii nyąą :
45:4:007:0	“ Juu tr'agwaanduu t'ii'in Vit'eegwijyąhchy'aa yeenjit oo'an gwahaadlii łyaa shoo nilii . Ąįįts'ą' vatr'agwaanduu chan yeenjit ginildee .
45:4:008:0	Dinjii nąįį gootr'agwaanduu geenjit K'eegwaadhat gweheechyaa kwaa chan łyaa shoo ginlii . ”
45:4:009:0	Jii shoo gwanlii David geeginkhii ąįį Jews dinjii nąįį goodhah gihłeerihiłt'uu nąįį zhrįh lee t'ahnyąą ? Łyaa zhyaa nakwaa ! Zhit Jews nilii kwaa dinjii nąįį goodhah gihłeerihiłt'uu kwaa gaa t'ahnyąą . Jii t'ee Dęhtły'aa Choh zhit gwadanakhwatł'oo t'oonchy'aa , “ Abraham , Vit'eegwijyąhchy'aa k'injihkhit geh'an vatr'agwaanduu gwakwaa k'it yah'in . ”
45:4:010:0	Jii Abraham vadhah gihłeerihłt'uu ąįį gwik'injiheedhaa gwehkįį akwat ąįįtł'ęę dąį' lee t'igwiizhit ? Vit'eegwijyąhchy'aa k'injiindhat ąįįtł'ęę t'igwiizhit t'oonchy'aa .
45:4:011:0	Vadhah gihłeerahaht'al gwehkįį dąį' hee gwik'injiindhat , vigwik'injigwiighit eh'an Vit'eegwijyąhchy'aa vatr'agwaanduu gwakwaa k'it yah'in , ąįįtł'ęę gwik'injiighit gwigweheechy'aa geenjit vadhah gihłeerihiłt'uu . Ąįįts'ą' Abraham juu Vit'eegwijyąhchy'aa k'injiighit , yeenaa dąį' gwats'an diiti' nilii k'it t'inchy'aa dhidlit . Izhit geh'an Vit'eegwijyąhchy'aa vatr'agwaanduu gwakwaa k'it yah'in , vadhah gihłeerihiłt'uu kwaa gaa nihk'it .
45:4:002:1	Gwik'injigwiighit K'iighai' Vit'eegwijyąhchy'aa Deehee'yaa Nyąą Gwik'it T'iizhik Ąįį Diinantł'eegwin'ąįį
45:4:012:0	Juu vadhah gihłeerihiłt'uu nąįį chan gooti' nilii k'it t'inchy'aa ts'ą' Abraham vadhah gihłeerahaht'ii gwats'ą' dąį' nats'ąą gwik'injigwiighit di'įį gwik'it gwandaii ąįį gwik'it gwagwandaii .
45:4:013:0	Nijin Vit'eegwijyąhchy'aa , Abraham ts'an deedhaa nąįį jii nan datthak nakhwantł'eehih'aa goovahnyąą dąį' , Abraham Law k'eegwahthat geh'an nakwaa gaa vigwik'injigwiighit eh'an Vit'eegwijyąhchy'aa vatr'agwaanduu gwakwaa k'it yąąh'in .
45:4:014:0	Jidii Vit'eegwijyąhchy'aa gwantł'eehee'aa ąįį juu Law zhit deegwinyąą gwik'eegwahthat nąįį zhrįh t'arahnyąą ji' , gwik'injigwiighit ąįį gwat'aii kwaa ts'ą' Vit'eegwijyąhchy'aa ts'ą' Abraham haa deegwehee'yaa nihłagaanyąą ąįį chan gwiizųų gweheelyaa .
45:4:015:0	Nijin Law k'eegwarahthat kwaa dąį' , Vit'eegwijyąhchy'aa zhyaants'įį , gaa Law gwakwaa ji' t'ee tr'agwaanduu gwigwitr'it gwakwaa k'it t'oonchy'aa .
45:4:016:0	Jii jyaa dihee'yaa nyąą ąįį gwik'injiriighit geh'an zhyaa tr'oonjik , Abraham ts'an deedhaa nąįį datthak antł'eeyehee'aa , zhit juu Law k'eegwahthat nąįį zhrįh nakwaa , gaa juu Abraham k'it gwik'injigwiighit di'įį nąįį chan . Abraham t'ee adan tr'ookit gwik'injiindhat geh'an diiti' nilii k'it t'inchy'aa .
