45:11:001:1	Vit'eegwijyąhchy'aa , Israel Gwich'in Nąįį Neeshraahchy'aa Oonyąą
45:11:001:0	Vit'eegwijyąhchy'aa lee , jii nąįį shigii t'iginchy'aa kwaa nyąą ? Jyaa dihnyąą ts'ą' adoalkat , łyaa nakwaa ! Shant'ee Israel gwich'in ihłii ts'ą' Abraham vats'an dihtthaa ts'ą' Benjamin vineezheedijii nąįį tee gwats'an ihshyaa t'oonchy'aa .
45:11:002:0	Tr'ookit dąį' gwats'an , Israel gwich'in nąįį tee gwats'an juu Vit'eegwijyąhchy'aa tr'iinlii nąįį akhoonyąą kwaa t'inchy'aa . Dęhtły'aa Choh zhit Elijah deiinyą' vaakhwandaii , nijin Vit'eegwijyąhchy'aa , Israel gwich'in nąįį nehts'į' t'inchy'aa ahnyąą dąį' .
45:11:003:0	“ K'eegwaadhat , Neenjit Ginkhii Nilii Nąįį giiłkhwąįį ts'ą' Kharigidiinjii Zheh gwizhit na-ataiinjii tr'ahtsii deek'it dha'aii k'it t'inchy'aa kwaii chan an giłtsąįį ; Juk dzaa shįį zhrįh t'ihchy'aa ts'ą' shęhdaa tr'igwigwehee'aa gwik'eegwagwandaii . ”
45:11:004:0	Nats'ahts'ą' Vit'eegwijyąhchy'aa yidii ginkhe' ? “ Dinjii 7 thousand nąįį ch'ik'itiltsį' Baal oozhii ts'ą' khagidiinjii kwaa nąįį shaa khagoovoolzhii t'oonchy'aa . ”
45:11:005:0	Izhit dąį' doonchy'aa chy'aa juk chan gwik'it t'oonchy'aa , Vit'eegwijyąhchy'aa vich'eegoonzhrii eh'an Israel gwich'in tr'iinlii ts'ą' diitee nitsya' nąįį zhrįh digii iłtsąįį .
45:11:006:0	Vich'eegoonzhrii k'iighai' dinjii nąįį gwitee tr'iinlii , googwitr'it k'iighai' ąįį kwaa . Googwitr'it k'iighai' gwitee tr'agoovinlii ji' t'ee vich'eegoonzhrii łi'didlii kwaa heelyaa t'oonchy'aa .
45:11:007:0	Ąįį nats'ąą dee ? Israel nąįį jidii keegwagwąh'in agwagwąh'ąįį kwaa ? Aahą' , Vit'eegwijyąhchy'aa gootee nitsya' zhrįh gwitee tr'iinlii nąįį giigwąh'ąįį . Zhit ch'izhii nąįį Vit'eegwijyąhchy'aa goovankee ginkhii gaa giiyiitth'ak kwaa .
45:11:008:0	Dęhtły'aa Choh zhit jyaa digwinyąą , “ Vit'eegwijyąhchy'aa , gooyinji' zhit gwinzii gaagiindaii kwaa gooviłtsąįį , juk drin gwats'ą' datthak gwagwaah'in kwaa ts'ą' chan ch'igiitth'ak kwaa k'it t'inchy'aa gooviłtsąįį . ”
45:11:009:0	Ts'ą' yeenii King David jyaa nyąą , “ Ch'aga'aa googwahtsii gwiizhit gook'igaanjik ji' gweheezyaa ts'ą' chan zhyaa neet'eegaanąįį ; k'it t'igiizhik ts'ą' gook'igaanjik ąįįtł'ęę khaiinjich'igiighit ji' gweheezyaa !
45:11:010:0	Goovandee kwaa k'it t'iginchy'aa ji' gweheezyaa ; ts'ą' googwantrii zhit khit ts'ą' khaiinjich'igiighit ji' gweheezyaa . ”
45:11:011:0	Jyaa dihnyąą ts'ą' ch'oałkat , nijin Jews nąįį niighit dąį' neet'eegaanąįį k'it t'igiizhik dąį' tr'agwaanduu googwitr'it gwiinli' zhit an gaadlit ? Łyaa zhyaa nakwaa ! Jews nąįį tr'agwaanduu googwitr'it gwiinli' geh'an Vit'eegwijyąhchy'aa Jews nilii kwaa nąįį neeheezhii gwiłtsąįį ts'ą' Jews nilii kwaa nąįį jidii Jews nąįį gii'įį ts'ą' dinjigiheeghit geenjit t'iizhik .
45:11:002:1	Vit'eegwijyąhchy'aa , Jews Nilii Kwaa Nąįį Neehahshii .
