45:13:001:1	Nahkat Gwats'ą' K'eedeegwaadhat Nąįį Goots'ą' Deegweheechy'aa Goo'aii
45:13:001:0	Juu nąįį datthak zhit dinjii dzaa nahkat gwats'ą' k'eedeegwagwaadhat nąįį gook'eegwarahahthat goo'aii . Vit'eegwijyąhchy'aa vehdan k'eedeegwaadhat gwanlii kwaa t'oonchy'aa ts'ą' juu k'eedeegwaadhat nąįį Vit'eegwijyąhchy'aa k'iighai' zhat nagoorinlii t'oonchy'aa .
45:13:002:0	Juu k'eedeegwaadhat ts'į' t'inchy'aa ji' t'ee Vit'eegwijyąhchy'aa zhat nagoovinlii ąįį gwits'į' t'inchy'aa t'oonchy'aa , ts'ą' juu k'eedeegwaadhat ts'į' t'inchy'aa t'ee Vit'eegwijyąhchy'aa ts'į' t'inchy'aa t'oonchy'aa , ts'ą' geenjit googwarahshii t'oonchy'aa .
45:13:003:0	K'eedeegwaadhat nąįį , gwinzii t'ii'in nąįį geenjit gahaanjat kwaa goo'aii t'oonchy'aa gaa juu gwiizųų t'ii'in nąįį zhrįh googahaanjat . Gwats'ą' k'eedeegwaadhat nąįį oonjat kwaa nohthan ? Akwaa ji' gwinzii tr'agwah'in , gwinzii t'akhwa'in nakhwagahąąnjyaa ts'ą' nakhweenjigahah'aa .
45:13:004:0	K'eedeegwaadhat , Vit'eegwijyąhchy'aa eenjit tr'agwah'in nąįį nakhweenjit gweheezyaa geenjit t'igii'in , gaa gwiizųų nakhwagwitr'it gwanlii ji' goovoonjat gwat'oohchy'aa , khaiinjich'anakhwagahahthat geenjit goot'aii gwanlii t'oonchy'aa . Vit'eegwijyąhchy'aa eenjit gwitr'it t'agwagwah'in ts'ą' gwiizųų nakhwagwitr'it gwanlii ji' Vit'eegwijyąhchy'aa eenjit khaiinjich'anakhwagahahthat t'oonchy'aa .
45:13:005:0	Jii geh'an gwats'ą' k'eedeegwaadhat nąįį k'eegohthat , Vit'eegwijyąhchy'aa khaiinjich'anakhwahahthat geenjit nakwaa , gaa Vit'eegwijyąhchy'aa vik'eegohthat gaakhwandaii haa nakhwayinji' zhit gwinzii gwehee'aa eenjit .
45:13:006:0	Gwats'ą' k'eedeegwaadhat nąįį Vit'eegwijyąhchy'aa eenjit gwitr'it t'agwagwah'in geh'an tax eenjit nakhwa-laraa lat goonjii t'oonchy'aa .
45:13:002:1	Nats'ąą Nihts'ą' Dinjii Tr'iheelyaa
45:13:007:0	K'eedeegwaadhat nąįį jidii goots'ą' goondaii ąįį gooneegohkwat , laraa ohtsii lat ts'ą' nakhwanan haa tax ohkwat , ts'ą' gooveenjikhadhoh'ee .
45:13:008:0	Ch'ihłee gaa ts'ą' goondaii shrǫ' , ch'eet'igwiniindhan zhrįh nihłeenjit akhwa'įį . Juu jyaa dii'in t'ee Law zhit deegwehee'yaa gwinyąą gwik'eegwahthat t'ii'in .
45:13:009:0	Moses va-law kat deegwehee'yaa gwinyąą , “ Veedhindii kwaa haa oiinchį' shrǫ' ! Dinjii ęhdaa tr'agoiin'aa shrǫ' ! Ch'ǫįį'įį shrǫ' ! Ninee'ok dinjii ts'an ts'ą' dinjoiinghit shrǫ' ! ” Jii datthak ts'ą' ch'izhii kwaii haa ch'ihłak nilii t'oonchy'aa , “ Deegwahtł'oo ideet'iindhan gwik'it ninee'ok dinjii nąįį eet'iindhan ! ”
45:13:010:0	Ninee'ok dinjii nąįį eenjit ch'eet'igwiniindhan ni'įį ji' duuyeh goots'ą' gwiizųų t'ini'in t'oonchy'aa . Ąįįts'ą' ch'eet'igwiniindhan tr'ii'įį ji' t'ee Law datthak , gwik'eegwarahahthat k'it t'igwii'in t'oonchy'aa .
45:13:011:0	Jii dhohchųų gwats'an dakeekhwa'aii k'it t'oonchy'aa ts'ą' jii deenakhwaihnyąą gwik'it t'akhwa'in , tr'ookit gwik'injiriindhat gwats'an juk gwats'ą' neediihahshii geenjit nahgwan gweedhaa t'oonchy'aa .
45:13:012:0	Tǫǫ gihłeegoodhat ts'ą' drin neegwiilii k'it t'oonchy'aa , ts'ą' akwat t'ee tǫǫ gwatr'agwaanduu t'igwii'in akhagwaroonyą' , ts'ą' drin gwinzii t'igwehee'yaa geenjit heeghan haa ninjich'atsarohthat k'it t'agǫǫ'ya' .
45:13:013:0	Drin gwizhit gwarandaii gwik'it diigwitr'it gweheelyaa , ch'anarahoonį' gwiizhit ch'aariheechyaa kwaa , diitthąį' haa nihłehjuk tr'agwaanduu diigwitr'it gweheelyaa kwaa , nihłehts'ą' nich'itsarahahthat kwaa , ch'izhii dinjii ts'ąnh tr'oo'i' gweheen'yaa kwaa .
45:13:014:0	Gwiizųų t'asho'ya' nohthan ąįį gwats'ą' t'eedoondhan kwaa gaa K'eegwaadhat Jesus Christ vat'aii ąįį gǫhtą' .
