45:2:001:1	Vit'eegwijyąhchy'aa , Dinjii Nąįį Datthak Oohaahkat
45:2:001:0	Shijyaa nąįį , dinjii tr'agwaanduu t'ii'in dohnyąą ? Zhyaa jyaa dahohjyaa geenjit , juu ǫhłįį ! Nijin dinjii tr'agwaanduu t'ii'in dohnyąą dąį' nakhwadrii zhit doonchy'aa gwagohch'in t'akhwa'in , gwiizhit nakhwan t'ee gwik'it nakhwagwitr'it gwiizųų ąįį nakhwan t'ee nakhwagwarahahshii dohnyąą k'it t'oonchy'aa .
45:2:002:0	Nijin Vit'eegwijyąhchy'aa dinjii nąįį jyaa dii'in ąįį iizųų ahnyąą dąį' łi'didlii vaagwiindaii .
45:2:003:0	Googaa , shijyaa nąįį , ch'izhii dinjii nąįį nakhweenjit tr'agwaanduu t'ii'in gwiizhit nakhwan chan gwik'it t'akhwa'in , Vit'eegwijyąhchy'aa zhyaa nakhwahah'yaa nohthan ? Duuyeh !
45:2:004:0	Akwat khai'gwidlii ts'ą' ch'eegoonzhrįį dii'įį vatr'ǫǫh'ee ? Vit'eegwijyąhchy'aa nakhwatr'agwaanduu gwats'an tr'ineenakhwaheelyaa geenjit nakwaa nilii , Vit'eegwijyąhchy'aa neeshraahchy'aa nakhoonyaa t'oonchy'aa .
45:2:005:0	Datthak ts'ą' nakhwadrii dach'at geh'an Vit'eegwijyąhchy'aa zhyaants'įį ts'ą' łi'didlii haa ch'oohahkat ts'ą' nijin drin ch'oohahkat nagwaanąįį ji' gwandaa nakhwagwahahshii gohtsii t'oonchy'aa .
45:2:006:0	Nats'ahts'ą' , diigwitr'it gwanlii gwik'it Vit'eegwijyąhchy'aa diineegwahahtsyaa doonchy'aa .
45:2:007:0	Dinjii lat nąįį gwinzii t'igihee'yaa geenjit gwint'aii gwitr'it t'agwagwah'in , ts'ą' Vit'eegwijyąhchy'aa vich'eegwąhndit , ts'ą' gwihil'ee , ts'ą' khit gwandaii goovantł'eehee'aa geenjit chan tr'agwagwah'in , ąįįts'ą' Vit'eegwijyąhchy'aa gwandaii ndaanąą'ąį' kwaa goots'an hahtsyaa t'oonchy'aa .
45:2:008:0	Ch'izhii dinjii nąįį geedan zhrįh idininjich'agadhat ts'ą' gwinzii t'asho'ya' giindhan kwaa , gwiizhit tr'agwaanduu gwigwitr'it zhrįh t'asho'ya' giindhan . Jii dinjii nąįį gwiizųų gwizhrįh gwats'ą' gahandak nąįį Vit'eegwijyąhchy'aa zhyaants'įį haa goots'ą' tr'agwahaah'ya' t'oonchy'aa .
45:2:009:0	Jews nilii nąįį tr'ookit ąįįtł'ęę Jews nilii kwaa nąįį , datthak tr'agwaanduu googwitr'it gwanlii nąįį googwahąhshii ts'ą' khaiinjich'igiheedhat t'oonchy'aa .
45:2:010:0	Gaa Vit'eegwijyąhchy'aa juu gwinzii yeenjit gwitr'it t'agwah'in nąįį vich'eegwąhndit , gwihil'ee ts'ą' tsinehdan haa goots'an hahtsyaa , Jews nilii nąįį tr'ookit ąįįtł'ęę Jews nilii kwaa nąįį .
45:2:011:0	Vit'eegwijyąhchy'aa dinjii nąįį datthak nihk'it oohaahkat t'inchy'aa .
45:2:012:0	Moses va-law k'it geedaa kwaa ts'ą' gootr'agwaanduu gwanlii geh'an Jews nilii kwaa nąįį neegeheezhii kwaa t'iginchy'aa . Jews nąįį ąįį Moses va-law k'it geedaa ts'ą' gootr'agwaanduu gwanlii ts'ą' Moses va-law k'iighai' gooroohahkat t'iginchy'aa .
45:2:013:0	Moses va-law tr'iitth'ak k'iighai' Vit'eegwijyąhchy'aa vaa gwinzii tr'eedaa kwaa , gaa Vit'eegwijyąhchy'aa deediinahnyąą gwik'it tr'eedaa ji' gwizhrįh .
45:2:014:0	Jews nilii kwaa nąįį ch'ihłee gaa jyaa khwa'in goovahnyąą kwaa gaa nihk'it Moses va-law k'it geedaa . Moses va-law danakhwatł'oo gii'įį kwaa gaa digidrii zhit ąįį Law haagiindaii gwigweech'in .
45:2:015:0	Nats'ąą neegidigeheendik gwik'it goodrii zhit Law t'inchy'aa gaagwiindaii geetee gwinzii t'ishi'in giindhan ts'ą' gwiizųų t'ishi'in chan giindhan geh'an . Nats'ąą ninjich'agadhak goovaagwiindaii ,
45:2:002:1	Jews Nąįį Ts'ą' Goo-Law Kat Nats'ąą Dinjii Tr'iheelyaa Gwadanakhwatł'oo
45:2:016:0	Ąįį geh'an Gwandak Nizįį nakhwats'ą' eech'oaałtan t'ishi'in , Jesus Christ k'iighai' Ch'aroohahkat Drin ji' Vit'eegwijyąhchy'aa juu nąįį datthak gweentak ninjich'adhat nąįį oohaahkat , zhat drin digweheenjyaa geenjit goohahkat t'oonchy'aa .
45:2:017:0	Nakhwan ąįį yu' ? Jews ǫhłįį dohnyąą ts'ą' Law k'it dinjii ǫhłįį ts'ą' Vit'eegwijyąhchy'aa vaakhwandaii ąįį geech'oh'in ts'ą' adashoo ǫhłįį .
45:2:018:0	Law ts'an gaakhwandaii , nats'ąą Vit'eegwijyąhchy'aa dinjii ǫhłį' nakhoonyaa ąįįts'ą' gwinzii goohǫhdaii gwik'eegǫhdaii .
45:2:019:0	Dinjii vandee kwaa nąįį tǫǫ gwizhit nǫh'aa k'it ts'ą' dinjii nąįį eenjit aadrii ǫhłįį nohthan , ąįįts'ą' gaandaii choh ǫhłįį nohthan !
45:2:020:0	Tr'iinin tsal gaagiindaii kwaa ts'ą' dinjii vigwizhi' kwaa nąįį haa eenjit geech'oohtan ǫhłįį nohthan . Jii Law vizhit datthak gwizhįh ts'ą' łi'didlii gwanlii datthak khwa'įį ts'ą' łyaa gaakhwandaii .
