45:5:001:1	Vit'eegwijyąhchy'aa Vaa Gwinzii Tr'iheedaa Diiniłtsąįį
45:5:001:0	Et'ee juk diigwik'injigwiighit eh'an , K'eegwaadhat Jesus Christ k'iighai' Vit'eegwijyąhchy'aa vaa gwinzii tr'iheedaa diiniłtsąįį ts'ą' tsinehdan tr'iinlii .
45:5:002:0	Diigwik'injigwiighit eh'an Vit'eegwijyąhchy'aa vich'eegoonzhrii diits'an iłtsąįį , juk ąįį zhit gwarandaii ąįįts'ą' yeendaa ji' Vit'eegwijyąhchy'aa vich'eegwąhndit chan vaa tr'ihee'yaa geenjit shooriinlii .
45:5:003:0	Ąįįts'ą' nijin googwantrii diits'an gwilii dąį' shoo tr'inlii , gwiizųų diits'an gwilii geh'an diit'aii gwanlii ts'ą' akhagwaroonyąą kwaa .
45:5:004:0	Nijin akhagwaroonyąą kwaa dąį' , Vit'eegwijyąhchy'aa shoo tr'ahtsii ąįįts'ą' diishoo'ahłįį geh'an yeendaa ji' deehee'yaa nyąą ąįį gwaroontą' .
45:5:005:0	Jii yeendaa ji' deeshi'yaa nyąą ąįį jyaa dihee'yaa gaagwiindaii , Ch'anky'aa Shroodiinyąą k'iighai' diidrii zhit ch'eet'igwiniindhan nint'aii , ąįįt'ee Vit'eegwijyąhchy'aa diinantł'eegwin'ąįį t'oonchy'aa .
45:5:006:0	Tth'aii hee diitr'agwaanduu zhit diit'aii kwaa gwiizhit , nijin Vit'eegwijyąhchy'aa et'ee nyąą dąį' K'eegwaadhat Christ diineenjit niindhat .
45:5:007:0	Dinjii , Vit'eegwijyąhchy'aa haa gwinzii ahaa veenjit nireheedhaa łyaa gwagwantrii . Duulee gaa dinjii ch'ihłee dinjii nizįį eenjit niheedhaa gwik'eegweheendaii t'oonchy'aa .
45:5:008:0	Gaa nijin Gwidinji' diineenjit niindhat dąį' Vit'eegwijyąhchy'aa deegwahtł'oo diineet'iindhan diits'ą' gwigweełkįį , tth'aii hee diitr'agwaanduu gwanlii gwiizhit .
45:5:009:0	Vadaa k'iighai' Vit'eegwijyąhchy'aa vaa gwinzii tr'eedaa goodlit , ts'ą' ąįį zhit geh'an Vit'eegwijyąhchy'aa zhyaants'įį kwaa haa , zhat drin ji' diinahahkat t'oonchy'aa .
45:5:010:0	Gwehkįį dąį' Vit'eegwijyąhchy'aa łyaa vitr'igwii'ee googaa nihk'it Vidinji' niindhat k'iighai' vijyaa neediiniłtsąįį . Et'ee Vit'eegwijyąhchy'aa vijyaa tr'iinlii geh'an Christ gwandaii k'iighai' neediihahshii gwizhrįh goo'aii !
45:5:002:1	Adam ts'ą' Christ Haa
45:5:011:0	Gaa jii datthak t'oonchy'aa kwaa , Vit'eegwijyąhchy'aa , K'eegwaadhat Jesus Christ k'iighai' diineenjit deezhit geenjit gwintł'oo shoo tr'iinlii , ąįįt'ee juk Vit'eegwijyąhchy'aa vijyaa diiniłtsąįį .
45:5:012:0	Dinjii ch'ihłak Adam vatr'agwaanduu k'iighai' dzaa nankat tr'agwaanduu naatth'ak , ąįį tr'aanduu vaa ch'ichį' goodlit . Dinjii nąįį datthak gootr'agwaanduu eh'an juu nąįį datthak niheedhaa gwizhrįh .
45:5:013:0	Moses va-law direheentł'oo gwehkįį dąį' dzaa nankat tr'agwaanduu gwigwitr'it gwanlii , gaa nijin law gwakwaa dąį' Vit'eegwijyąhchy'aa dinjii nąįį atr'agwaanduu gweechyaa kwaa .
45:5:014:0	Adam gwats'an Moses gwats'ą' gwa'an gweedhaa dąį' , dinjii nąįį niheedhaa gwizhrįh , Adam dee'ya' gwik'it t'igee'ya' kwaa ts'ą' Vit'eegwijyąhchy'aa deeni'yaa yahnyąą chan gwik'eegwagwahthat kwaa . Zhat dąį' Adam ąįį Jesus gwehkįį nineeheedyaa k'it t'inchy'aa .
45:5:015:0	Gaa Adam ts'ą' Jesus haa nihk'it t'igiichy'aa kwaa , Vit'eegwijyąhchy'aa zhyaa jidii dinantł'eegwiin'ąįį t'ee Adam vatr'agwaanduu k'it t'inchy'aa kwaa . Jii dinjii ch'ihłak eh'an dinjii lęįį nąįį niindhat gwinyąą t'ee łi'deegwidlii . Gaa Vit'eegwijyąhchy'aa vich'eegoonzhrii gwandaa jiintsii t'oonchy'aa , ąįį t'ee dinjii ch'ihłak Jesus Christ k'iighai' zhyaa dinjii lęįį nąįį antł'eeheelyaa nyąą gwik'it t'iizhik t'inchy'aa .
