45:16:001:1	Paul , Rome Kwaiik'it Gwizhit Dijyaa Nąįį Eeginkhii
45:16:001:0	Jii gwik'injigwiighit zhit diineejii Phoebe tr'injaa nizįį nilii , Cenchreae kwaiik'it gwizhit tr'igiinkhii zheh geenjit gwitr'it t'agwah'in ( deacon nilii ) nakhwats'ą' nahałchyaa .
45:16:002:0	Vit'eegwijyąhchy'aa vigii nąįį t'igii'in gwik'it K'eegwaadhat voozhri' zhit ǫhjii ts'ą' vats'ohnyąą . Dinjii lęįį nąįį ts'iinyą' ts'ą' shant'ee chan shits'iinyą' t'inchy'aa .
45:16:003:0	Priscilla ts'ą' vakai' Aquila haa Christ Jesus veenjit gwitr'it t'agwał'in dąį' shits'iginyą' , sheenjit nakhwadiveegoozų' goovohnyąą .
45:16:004:0	Shęh'an gwiizųų gwak'agoojil ts'ą' khaiinjii sheenjit nigiindhat ąįį geenjit mahsį' goovoihnyąą , shįį zhrįh kwaa gaa Jews nilii kwaa gootr'igiinkhii zheh kwaii chan mahsį' googǫhnyąą .
45:16:005:0	Ąįįts'ą' goozheh gwizhit tr'igiinkhii zheh gwagwahtsii nąįį chan sheenjit nakhwadiveegoozų' goovohnyąą . Shijyaa zų' dinjii Epaenetus , nidiveegoozų' sheenjit vohnyąą . Adan tr'ookit Asia gwa'an gwizhit Christ k'injiindhat dhidlit t'inchy'aa .
45:16:006:0	Ts'ą' Mary , nakhweenjit gwintł'oo gwitr'it gwiłtsąįį nidiveegoozų' sheenjit vohnyąą .
45:16:007:0	Ąįį dinjii neekwaii Andronicus ts'ą' Junia haa shik'it Jews giinlii . Zheh gwaazhrąįį shaa giindih sheenjit nakhwadiveegoozų' goovohnyąą . Shehkii gwik'injigiindhat ts'ą' Tr'ihił'e' nąįį łyaa goovaagiindaii .
45:16:008:0	Ts'ą' shijyaa dinjii veet'iihthan Ampliatus , chan K'eegwaadhat haa kheihłak nilii ąįį sheenjit nidiveegoozų' vohnyąą .
45:16:009:0	Dinjii Urbanus , Christ eenjit diinaa gwitr'it t'agwah'in ts'ą' shachaa Stachys łyaa dinjii veet'iihthan nilii haa sheenjit nakhwadiveegoozų' goovohnyąą .
45:16:010:0	Ts'ą' ąįį Apelles dinjii nizįį nilii ts'ą' Christ shoo ąhtsii ts'ą' dinjii Aristobulus vizhehk'aa nąįį haa sheenjit nakhwadiveegoozų' goovohnyąą .
