26:20:001:1	Diyin God éí Ízrel dine'é áyooł'įįłii
26:20:001:0	Tsosts'id náhááh góne' , ashdla' nídízííd binih , neeznáágóó yoołkáałgo Ízrel dine'é bitahdóó aląąjį' naazíinii léi' Bóhólníihii nideídídóołkił yiniyé yíkaigo shidááhdóó dineezbin .
26:20:002:0	Áádóó Bóhólníihii shich'į' haadzíi'go áshidííniid ,
26:20:003:0	Diné nílíinii , Ízrel dine'é aląąjį' naazíinii bich'į' handziihgo kóbidiní , Bóhólníihii Diyin God kóní , Nidashidídóołkiłísh biniyé nohkai ? Ts'ídá t'áá aaníí hinishná ; ákót'éego ts'ídá t'áá aaníí doo nidashidídóołkił da , ní Bóhólníihii Diyin God .
26:20:004:0	Diné nílíinii , baa nídíit'įįłísh , baa nídíit'įįłísh ? Ákónínéehgo dabizhé'é yę́ę doo yildinígi ádáát'įįdii bił béédahonísįįh .
26:20:005:0	Áko ábidiní , Bóhólníihii Diyin God kóní , Ízrel nídiiłtį́į́dą́ą́' , Jéíkab ba'áłchíní náás ahoolchíiłii bich'į' ádee hadeesdzíí' yę́ędą́ą́' , Ííjip kéyahdi bich'į' ádééhosiszįįdgo , Bóhólníihii nihiDiyin God nishłį́ , dishníigo hach'į' ádee hadeesdzíí' yę́ędą́ą́' ,
26:20:006:0	Ííjip kéyahdóó ch'íhodeesh'ishgo kéyah agháadi ayóó áhonoolnindi bikáa'gi abe' índa tsés'ná bitł'izh bee áda'azįįdii há hanítą́ą'go há shóisíłt'e'ii éí biih hodeesh'ish , hodííniidgo hach'į' ádee hadeesdzíí' .
26:20:007:0	Áádóó áhodishní , Diné t'ááłá'í nootínígo doo daaldinii danół'íinii áts'á dahidoołtł'ił , índa Ííjip kéyahdi eda'alyaii doo bee ádidoołchxǫǫ ł da ; shí Bóhólníihii nihiDiyin God nishłį́ .
26:20:008:0	Nidi shich'į' nidaastee' , índa doo t'áá k'ad dashidiizts'ą́ą' da ; doo daaldinii deiníł'ínę́ę t'áadoo yóó'adeideez'ą́ą da , índa Ííjip kéyahdi eda'alyaii naaznilii t'áadoo yóó'adeideez'ą́ą da . Áko ádííniid , Hach'į' sháhóóchįįdgo Ííjip kéyahdi bohodoolníłígíí biniyé t'óó báhádzidgo shibee atí'él'íinii bee atíhodeeshłííł .
26:20:009:0	Ííjip kéyahdóó hahóó'eezhgo ał'ąą dine'é bich'į' ádééhosészįįd yę́ędą́ą́' bitah kéédahojit'ínígíí binááł shízhi' hoł danilį́įgo doo dazhdoołchxǫǫł da biniyé ásdzaa .
26:20:010:0	Éí bąą Ííjip kéyahdóó hahóó'eezhgo honoojíijį' ahóó'eezh .
26:20:011:0	Bee nihoyí'áanii haa diní'ą́ , áádóó shibik'ehgo hoogáałii hoł yit'íní áshłaa ; éí diné yik'eh hół'į́įgo hináa dooleeł .
26:20:012:0	Áádóó shí Bóhólníihii diyingo ádahashłéehgo hoł béédahodoozįįł biniyé shí áádóó hó nihita'gi shiháá'áyį́į́h jį́ bee ééhózin doo biniyé haa diní'ą́ .
26:20:013:0	Nidi honoojíidi Ízrel dine'é shich'į' nidaalteeh nít'éé' ; bee nihoyí'áanii doo yik'ehgo dayíkai da áádóó shibik'ehgo hoogáałii doo deiniizį́į' da ; éí yee diné yik'eh hół'į́įgo hináa doo , áádóó shiháá'áyį́į́h jį́ t'áá íiyisí dayííłchxǫ' . Áko ádííniid , Ałtso áhodeeshdįįłígíí biniyé t'óó báhádzidgo bee até'ésh'íinii honoojíidi bee atíhodeeshłííł .
26:20:014:0	Ał'ąą dine'é binááł Ííjip kéyahdóó ch'íhoní'eezhígíí éí binááł shízhi' doo dazhdoołchxǫǫł daígíí biniyé baa atíít'įįd .
26:20:015:0	Áádóó kéyah agháadi ayóó áhonoolninii bikáa'gi abe' índa tsés'ná bitł'izh bee áda'azįįdii , Éí kéyahígíí doo biih danihideesh'ish da , hodishníigo honoojíidi bee hach'į' ádee hadeesdzíí' ,
26:20:016:0	háálá hajéí bee eda'alyaii bídin dajílínígíí biniinaa shibik'ehgo hoogáałii dajíí'įįd , áádóó bee nihoyí'áanii doo bik'ehgo dajíkai da , índa shiháá'áyį́į́h jį́ dajííłchxǫ' .
26:20:017:0	Azhą́ ákót'ée nidi , honoojíidi hak'i dísh'į́į'go bee ááhosésįįd , t'áadoo atíhooshłaa da , índa t'áadoo ałtso áhoséłdįįd da .
26:20:018:0	Honoojíidi ha'áłchíní ábidííniid , Danihizhé'é yę́ę yee nidahwiiz'áanii t'áadoo bik'ehgo deínóhkáhí ; bibik'ehgo hoogáałii t'áadoo bida'oł'íní , índa eda' alyaii deidósin nít'éé' yę́ę bee ádadoołchxǫǫł lágo .
26:20:019:0	Shí Bóhólníihii nihiDiyin God nishłį́ ; bee nihoyí'áanii bik'ehgo deínóhkááh , áádóó shibik'ehgo hoogáałii hazhó'ó bida'oł'į́ .
26:20:020:0	Shí Bóhólníihii nihiDiyin God nishłį́įgo nihił béédahodoozįįł biniyé shí áádóó nihí nihita'gi bee ééhózinii át'éego shiháá'áyį́į́h jį́ ná'oodleełii hodílzingo ádeínóhsin doo .
26:20:021:0	Azhą́ ákót'ée nidi , shich'į' nidaalteeh nít'éé' ; bee nihoyí'áanii t'áadoo bik'ehgo dajíkai da , áádóó shibik'ehgo hoogáałii bida'jił'į́įgo dajiináa dooleełígíí t'áadoo bik'eh dahojííł'įįd da índa shiháá'áyį́į́h jį́ dajííłchxǫ' . Áko ádííniid , T'óó báhádzidgo bee até'ésh'íinii éí honoojíidi bee atíhodeeshłííł .
26:20:022:0	Azhą́ ákót'ée nidi , t'óó báhádzidgo bee até'ésh'íinii bee atíhodeeshłííł yę́ę t'ą́ą́' kónáshdlaago ał'ąą dine'é binááł ch'íhoní'eezh yę́ę éí dabinááł shízhi' doo ílį́į́góó doo bee hadazdoodzihígíí biniyé baa atíít'įįd .
26:20:023:0	Náá'ákóne' ał'ąą dine'é bitahgóó tanihidínéeshkał áádóó kéyah naaznilgóó tanihidínéeshkał , dishníigo honoojíidi hach'į' ádee hadeesdzíí' ,
26:20:024:0	háálá shibik'ehgo hoogáałii t'áadoo bida'jiilaa da áádóó bee nihoyí'áanii dajíí'įįd áádóó shiháá'áyį́į́h jį́ dajííłchxǫ' índa dahazhé'é yę́ę bi'eda'alyaii dazhdiniilgęęzhgo bich'į' nidahojiłá .
26:20:025:0	Éí bąą bee nidahwiist'áanii doo yá'ádaat'éehii índa bik'ehgo hoogáałii iiná bii' ádinígíí baa hodiní'ą́ ;
26:20:026:0	ha'áłchíní áłtsé nidajiiłchíhígíí kǫ' bii'jį' náádajiiłniihgo áhooshłaa , kót'éego aa dahizhdi'aah yę́ę bee t'óó baa'ihgo há áshłaa ; Bóhólníihii nishłį́įgo hoł béédahodoozįįł biniyé kóhooshłaa .
26:20:027:0	Éí bąą diné nílíinii , Ízrel dine'é danilíinii bich'į' handziihgo ábidiní , Bóhólníihii Diyin God kóní , Danihizhé'é yę́ę shich'į' doo ákǫ́ǫ́ ádáát'įįdígíí bee doo anishłį́į́góó ádashiilaa .
26:20:028:0	Kéyah haa dideesh'áałgo hach'į' bee ádee hadeesdzíi'ii biih hóó'eezhgo wódahgo deílk'idii t'áá ałtso índa tsin díłch'ilgo naazkaadii dayiiłtsą́ągo ákwii nááhidoonihii náádayiisnii' ; ákwii Bóhólníihii bee bá dahozhdoołchįįłii náádajiisnii' ; ákwii tsin bijeeh dilidgo łikání halchinii náádajiisnii' índa yanáadzi'go nááhániihii yadajiinil .
26:20:029:0	Dah yisk'id bighą́ą'di ályaaígíí bich'į' ałnáádaahkahígíishą' , ha'át'íísh óolyé ? hodííniid . Áko dííshjį́įjį' bízhi' éí Bámah hoolyé .
26:20:030:0	Éí bąą Ízrel dine'é kóbidiníigo bich'į' handziih , Bóhólníihii Diyin God kóní , Danihizhé'é yę́ę ádáát'įįdígi át'éegoósh ádadoołchxǫ'go doo yildinígi ádaadzaii bikéé' yóó'oohkááh ?
26:20:031:0	Aa dahidoh'aahii náádahołniihgo índa niha'áłchíní ashiikéhígíí kǫ' bee náádahołniihgo dííshjį́įjį' nihi'eda'alyaii t'áá bił nida'ádiyoołchxǫǫh ; ákoósh , Ízrel dine'é danohłíinii , nidashídółkid doo ? Áko Bóhólníihii Diyin God kóní , Ts'ídá t'áá aaníí hinishná ; ákót'éego nihí ts'ídá t'áá aaníí doo nidashídídóołkił da .
26:20:032:0	Ał'ąą dine'é ádaat'éhígíigi át'éego náádaała' kéyah naaznilgóó dine'é kéédahat'ínígíigi át'éego tsin áádóó tsé bich'į' nidahwiidláa dooleeł , danohsingo kót'éego nitsídaohkeesígíí éí ts'ídá doo ádooníił da .
26:20:033:0	Ts'ídá t'áá aaníí hinishná ; ákót'éego ts'ídá t'áá aaníí shíla' ayóó ábóodziilii bee nihik'i dah deeshnihgo t'óó báhádzidgo bee até'ésh'íinii bee atínihish'į́įgo aláahgo nihinanisht'áa doo , ní Bóhólníihii Diyin God ;
26:20:034:0	shíla' ayóó ábóodziilii bee nihik'i dah deeshnihgo t'óó báhádzidgo bee até'ésh'íinii bee atí'ésh'į́įgo kéyah da'níłts'ą́ą́'góó tanihidi'nooskaad yę́ędę́ę́' dadine'é bitahdę́ę́' áłah ánánihideeshdlííł .
26:20:035:0	Honoojíidi dadine'é kéédahat'į́įjį' anihideesh'ish ; ákwii da'ahiníil'į́įgo nihił ałgha'disht'áah doo .
26:20:036:0	Ííjip kéyah honoojíidi danihizhé'é yę́ę bił ałghada'disht'ááh yę́ęgi át'éego nihí nihił ałgha'disht'áah doo , ní Bóhólníihii Diyin God .
26:20:037:0	Gish biyaa ch'ínihidiyeeshkahgo nihił ahadadi'deesht'áałgo bínihííníshtą' .
26:20:038:0	Nidaalteehii índa shich'į' doo ákǫ́ǫ́ ádaaníiłii nihitahdóó nahjį' hadeeshnił ; kéyahgi tádazhdinéhídóó hahodeeshniłgo Ízrel dine'é bikéyah doo biih dazhdookah da , áko índa Bóhólníihii nishłį́įgo nihił béédahodoozįįł .
