26:21:001:1	Bóhólníihii bidiltłish há hashk'aazhii
26:21:001:0	Bóhólníihii shich'į' hanáánáádzíi'go ání ,
26:21:002:0	Diné nílíinii , Jerúsalem kin haal'á bich'į'go ninít' aahgo hodiyingo nahaz'ánígíí bik'ijį' handziih , áádóó Ízrel dine'é bikéyah náásgóó kót'ée dooleeł , diníigo baa handziih ,
26:21:003:0	Ízrel dine'é bikéyah bich'į' handziihgo kóbidiní , Bóhólníihii kóní , Nihik'ijį' nishłį́ , jó'akon ; shidiltłish bizis biyi'dę́ę́' hadeeshtį́įłgo diné t'áá ákogi ádaat'éii índa diné t'áá íiyisí doo yá'ádaashóonii nihits'ą́ą́' ádeeshdįįł .
26:21:004:0	Diné t'áá ákogi ádaat'éii índa diné t'áá íiyisí doo yá'ádaashóonii nihits'ą́ą́' ádeeshdįįłígíí bąą shádi'ááhdóó náhookǫsjį' diné t'áá ałtso ádoodįįł biniyé shidiltłish bizis bii'dę́ę́' hadeeshtį́į́ł ,
26:21:005:0	áko shí Bóhólníihii shidiltłish bizis bii'dę́ę́' háátą́ągo doo biih nídeeshtį́į́łgóó diné t'áá ałtso bił béédahodoozįįł .
26:21:006:0	T'áá dabinááł atínídinídleehgo áádóó t'áá íiyisí yínííł nílį́įgo ádił handzooł , diné nílíinii , ádił handzooł .
26:21:007:0	Ha'át'íísh biniyé ádił hahídzooł ? daniłníigo ábididííniił , Jó , hane' doo yá'át'éehii nihich'į' ályaa : ajéí t'áá ałtso doo dahiidoonaał da , ála' t'áá ałtso bitah doo dahináa da doo ; t'ááłá'í jinítínígo hąąh nidahodookał índa t'áá ádzíłtso hagodta' gónaa t'óó nidanil'eeł doo ; shoo , baa hodoogáałgo bohodoolnííł , ní Bóhólníihii Diyin God .
26:21:008:0	Bóhólníihii shich'į' hanáánáádzíi'go ání ,
26:21:009:0	Diné nílíinii , shá hólne' kódíníigo , Bóhólníihii kóní , Diltłish , diltłish ła' hááhaashk'aazh , áádóó bik'i nizdidlaadgo ályaa ,
26:21:010:0	bee ni'dootsiłígíí biniyé hááhaashk'aazh ; bik'i nizdidlaad dooleeł biniyé ákót'éego ályaa . Ákoósh nihił dahózhǫ́ǫ doo ? Shiye' binaat'á gish éí gish tsin bee ádaalyaii t'áá ałtso yiz'įįd .
26:21:011:0	Áko diltłish choidoo'įįł biniyé haatą́ áádóó bik'i nizdidlaadgo ádoolníiłgo biniyé baa yítą́ ; ni'doołtsiłii baa dootį́łígíí biniyé hááhaashk'aazh áádóó bik'i nizdidlaadgo ályaa .
26:21:012:0	Diné nílíinii , yéego atínídinídleehgo nichxa ; eiidí shidine'é áádóó Ízrel dine'é binanit'a'í danilíinii biniyé áhát'į́ ; eiidí shidine'é t'áá bóóltą'go diltłish baa ho'deet'ą́ ; éí bąą nitsoosk'id bił dzidíkaad .
26:21:013:0	Jó , bee na'óhontaahii át'é , ákoshą' naat'á gish yiz'įįdígíí ts'ídá ádoodįįł , ní Bóhólníihii Diyin God .
26:21:014:0	Éí bąą diné nílíinii , áhodooníiłii baa hólne' áádóó ahííkad ; háni'dii táadi diltłish bik'i néikęęs ; nidabidiztseedii bidiltłish éí diné ayóó ádaat'éii nidabidiztseedii bidiltłish bił biná'áznánígíí át'é .
26:21:015:0	Hąąh nidahodookał áádóó hadánda'ditį́įhgi t'óó ahayóí dazhdínóonééł biniyé diltłish bízdílidii áánítą́ . Dooládó' atsiniltł' ish nahalingo ályaa lá . Bee ni'dootsił biniyé hááhaashk'aazh lá .
26:21:016:0	Eii t'áá deez'áajigo náníyis ; łahjigo , doodaii' náánáłahjigo ; nish'náajigo , doodaii' nishtł'ajigoda ajígéésh .
26:21:017:0	Bóhólníihii nishłíinii ádíshní , Shí ałdó' ahídeeshkał ; t'óó báhádzidgo sháhóóchįįdii nidoot'ihgo ádeeshłííł .
26:21:018:0	Áádóó Bóhólníihii shich'į' hanáánáádzíi'go ání ,
26:21:019:0	Diné nílíinii , Bábilan dine'é aláahgo binanit'a'í bidiltłish yidootį́łídę́ę́' naakigo bá dahodiit'i' ; éí t'áá áłah t'ááłá'í kéyahígíí biyi'dę́ę́' yidootį́į́ł ; bee ééhózinii ł a' ádíílíiłgo kin haal'áajį' dah adiitiinígi ákwii adíítsih .
26:21:020:0	Áman dine'é bikin haal'áii Rábathgóó , doodaii' Júdah kéyahgi Jerúsalem kin haal'á ditą́ągo binaa ahéé'ítł'inígóó éí ákǫ́ǫ́ diltłish dootį́łígíí bá adidíílnih .
26:21:021:0	Bábilan dine'é aláahgo binanit'a'í éí álíleego bee ééhózinii choidooł'įįłgo bik'aayééł yigháadgo áádóó bi'eda'alyaii neídídóołkiłgo bił dahodoolnih índa azid si'ą́ą́ góne' yidínóoł'įįł biniyé naakigo ałts'á'áztiingi ákwii sizį́ .
26:21:022:0	Tsin nitsaazgo bee ná'nílgohii áádóó nidaabaahii biinéé' ayóó íídóots'įįłgo áádóó dáń'da'ditį́į́h bik'ijį' tsin nitsaazgo bee ná'nílgohii áádóó łeezh ahénálk'idgo ádeidoolíiłii índa yada'niiltł'ǫ́ǫgo ádeidoolíiłii éí Jerúsalem atídoolnííł biniyé álíleego bee ééhózinii nish'náájí dah yootį́į́ł .
26:21:023:0	Nidi bídę́ę'go álíleego bee ééhózinii t'áá ádzaaí át'éego yaa nitsídaakees doo ; t'áadoo naaki nilíní ádee hadadeesdzíí' danízin nidi , áhodi'doolníłígíí biniyé doo ákwii ádajíít'įįdii bééhodi'yoolnih .
26:21:024:0	Éí bąą Bóhólníihii Diyin God kóní , Bee haz'áanii dahooti' yę́ę báá'dooltsoozgo bee doo ákwii ádaot'įįdii índa baa nidaohkaígíí t'áá ałtso ádił nida'iyohsíhígíí yit'íní neheleeh bee nihééhóónii'ígíí biniinaa nihidi'doolnééł .
