26:17:001:1	Atsá áádóó ch'il na'atł'o'ii binahjį' hane' bee ak'idi'dootį́įłii
26:17:001:0	Áádóó Bóhólníihii shich'į' haadzíi'go kóní ,
26:17:002:0	Diné nílíinii , saad nanil'ingo béédi'dootį́įłii ła' bee handziih , áádóó Ízrel dine'é hane' bee ak'idi'dootį́įłii ła' bee bich'į' handziih ;
26:17:003:0	kóbidiní , Bóhólníihii Diyin God kóní , Atsá ayóó át'éé léi' bit'a' ayóida át'éego , bits'os ayóida ání łnéezgo ahineestihgo bits'os hólǫ́ ; éí bits'os t'áá ał'ąą ádaat'éego łikizh , áko kéyah Lébanandi yít'a'go gad bílátahí ła' k'íiníti'go dah yidiitą́ ;
26:17:004:0	gad bílátahí ániid náádadínéesánígíí ła' k'íiníti'go kéyah ayóo biyi' nida'iiniihgóó ayíítą́ągo naalyéhé baa nidahaniihgo kin haal'áá léi'gi ayíítsih .
26:17:005:0	Éí kéyahdę́ę́' ałdó' álástsii' ła' néiníjaa'go łeezh yá'át'éehii hólǫ́ǫgi k'iidíílá ; tó bee áda'azįįdgo bíighahjį' niiníjaa' , k'ai' k'izhdilé nahalingo k'iidíílá .
26:17:006:0	Áko dínéesą́ągo bits'áoz'a' naaniigo da'ítł'óohgo bich'į'go dadínéesą́ ; behétł'óól éí biyaa góne' dínéesą́ , áko á'íí'áii silį́į'go bits'áoz'a' hazlį́į́' índa bit'ąą' háájéé' .
26:17:007:0	Nít'éé' náánáła' atsá ayóida ánáánát'éé léi' , bit'a' ayóida át'éédóó bits'os ahineestihgo hólǫ́ǫ́ léi' náánát'a'go ; éí á'íí'áhídóó behétł'óól índa bits'áoz'a' tó yił niyiikaah doo biniyé bich'į'go dínéesą́ .
26:17:008:0	Bits'áoz'a' hodooleeł biniyé índa bineest'ą' hodooleełgo yá'át'éehgo á'íí'áii dooleeł biniyé tó bee áda'azįįd bíighahgi łeezh yá'át'éehii bii' k'idoolyáá nít'éé' .
26:17:009:0	Diné kóbidiní , Bóhólníihii Diyin God kóní , T'áá daats'í ąą kwáaniił doo ? Dínóołnah biniyé bineest'ą' k'íidoogish índa behétł'óól haidoołts'ǫł . Bit'ąą' ániid háájé'ígíí t'áá át'é dínóołnahgo behétł'óól éí doo adziil bee áádóó doo diné lą'í bee hadoolts'ǫł da .
26:17:010:0	Shoo , t'áá aaníí , k'idoolyá , ákoósh dínóosééł ? Ha'a'aahdę́ę́' bich'į' deeyolgo ałtso dínóołnah . K'ídoolyáago nooséłígi t'áá ákǫ́ǫ́ dínóołnah .
26:17:011:0	Náá'áłdó' Bóhólníihii shich'į' hanáánáádzíi'go ání ,
