26:37:001:1	Honíts'aa' góyaa ts'in nídááltseigo yíl'á
26:37:001:0	Nít'éé' Bóhólníihii shik'i dah deesnii'go Bóhólníihii biNíłch'i Diyinii dah shidiiłtį́įgo honíts'aa' léi'gi ts'in t'óó ahayóí yíl'áago ákwii nishiníłtį́ ,
26:37:002:0	áko yitahgóó táshidíílóóz , áko shoo , honíts'aa' góde t'óó ahayóí eel'á ; nít'éé' shoo , t'áá íiyisí nídááltsei lá .
26:37:003:0	Áádóó áshíłní , Diné nílíinii , díí ts'in yíl'áhígíísh dahináa dooleełgo bohónéedzą́ ? Áko ádíshní , Bóhólníihii Diyin God nílíinii , ni nił bééhózin .
26:37:004:0	Áko ánááshidi'ní , Díí ts'in yíl'áhígíí bich'į' handziihgo ábidiní , Ts'in nááltseii nohłíinii , Bóhólníihii nihich'į' haadzí'ígíí dadoohts'į́į́h .
26:37:005:0	Bóhólníihii Diyin God díí ts'in haal'áhígíí yich'į' haadzíi'go ání , Jó , bee nídadohdzihii nihiih dahodooleełgo dahinohnáa doo ;
26:37:006:0	nihits'id dahólǫ́ǫgo ádanihideeshłííł , áádóó nihitsį' dahodooleeł , áádóó nihikágí nihik'ídadeeshtihgo bee nídadohdzih dooleełii nihiih dadeeshłééł , áko dahinohnáa doo , áádóó Bóhólníihii nishłį́įgo nihił béédahodoozįįł .
26:37:007:0	Áádóó t'áá bee shich'į' ha'oodzí'ígíí bik'ehgo haasdzíí' , áko haasdzíi'go hodiists'ą́ą'go ajigháadgi íists'ą́ą'go ts'in ahidadiijil ; ts'in ahą́ą́h dadí'áii ahéédadiijil .
26:37:008:0	Nísh'į́į́ nít'éé' , jó'akon , éí ts'in bits'id dahazlį́į́' , nít'éé' bitsį' náádahasdlį́į́' , áádóó bikágí t'áá ałtso bik'ínáádaasti' , nidi yee nídadidzihii bii' ádaadin .
26:37:009:0	Nít'éé' Bóhólníihii áshíłní , Níyol bich'į' handziih , diné nílíinii , níyol bich'į' handziihgo kóbidiní , Bóhólníihii Diyin God kóní , Níyol nílíinii , díí nidaaztseedígíí dahináa dooleeł biniyé t'áá dį́į́'dę́ę́' bich'į' díyóołgo biih daniyooł .
26:37:010:0	T'áá bee shich'į' ha'oodzí'ígíí bik'ehgo haasdzíí' , áko dahiná daazlį́į'go deizį' áádóó ayóó ánéelą́ą́' yíl'á .
26:37:011:0	Ákohgo áshíłní , Diné nílíinii , díí ts'in haal'áhígíí éí Ízrel dine'é t'áá yíl'áá nít'é'ígíí át'é , áko shoo , ádaaní , Nihits'in nídááltsei , nihá chohoo'íinii ásdįįd áádóó ałtso ánihi'disdįįd .
26:37:012:0	Éí bąą kódíníigo bich'į' handziih , Bóhólníihii Diyin God kónihiłní , Shoo , shidine'é nohłíinii , danihijishcháá' nihá ąą ádadeeshłííł ; áádę́ę́' nánihidideeshjahgo Ízrel dine'é bikéyah biih nánihideesh'nił .
26:37:013:0	Áko shidine'é nohłíinii , dajishcháá'góó nishoojéé' yę́ę nihá ąą ádaashłaadóó náánihidiiłjée'go Bóhólníihii nishłį́įgo nihił béédahodoozįįł ,
26:37:002:1	Júdah dine'é áádóó Ízrel dine'é t'ááłá'í nídoodleełii baa hane'
26:37:014:0	áko shiNíłch'i nihiih dadeeshłeełgo dahinohnáa doo , áádóó t'áá nihí nihikéyah biih nánihideesh'ish , áko shí Bóhólníihii éí haadzíi'ii áádóó í'iilaii nishłį́įgo nihił béédahodoozįįł .
26:37:015:0	Bóhólníihii shich'į' hanáánáádzíi'go kóní ,
26:37:016:0	Náá'ákóne' , diné nílíinii , tsin t'ááłá'í nídiitįįhgo Júdah bá , áádóó bik'isóó danilíinii Ízrel dine'é bá bikáa'gi bik'e'íłchí , áádóó Íífreiyim bitsin éí tsin nínáádiitįįhgo Jóseph bá índa bik'isóó danilíinii Ízrel dine'é bá bikáa'gi bik'e'íłchí ,
26:37:017:0	áko tsin t'ááłá'í dooleeł biniyé ahidiiníiłgo ahííníłtą'go dahíjih .
26:37:018:0	Áko nidine'é , Díí tsin éí ha'át'íí ááhdiní ? daniłníigo kóbididííniił ,
26:37:019:0	Bóhólníihii kóní , Jó , Jóseph bitsin éí Íífreiyim áádóó yił ahéédahólzinii Ízrel dine'é yił dah yootį́įłii éí nídideeshtį́įłgo Júdah bitsin bił ahidideeshnił índa t'ááłá'í ádeeshłíiłgo tsin t'ááłá'í dah yishtį́įł doo .
26:37:020:0	Áko tsin bik'e'íłchíii binááł dah yíjih doo .
26:37:021:0	Áko ádabididííniił , Bóhólníihii Diyin God kóní , Shoo , Ízrel dine'é ał'ąą dine'é bitahgóó tajooskai yę́ę éí bitahdę́ę́' nínáhodiyeeshdlah , da'níłch'ishídę́ę́' áłah ánáhodeeshdlíiłgo t'áá hó hakéyah biih náhodeesh'nił ,
26:37:022:0	áádóó t'áá hó hakéyahdi Ízrel dine'é bidził naaznilígíí bighą́ą'di t' ááłá'í dine'é dajílį́įgo áhodeeshłííł , áko t'áá jíl'áá nít'éé' t'ááłá'í aláahgo naat'áanii honant'áa dooleeł ; naakigo ał'ąą dine'é doo náádajídlį́į da dooleeł áádóó doo naakigo kénáádahojit'į́į da dooleeł índa bee óhólníihii doo naakigo bee hoł nááhást'ą́ą da dooleeł .
26:37:023:0	Áádóó hwe'eda'alyaii áádóó bik'ee dazhdiniihii índa bee haz'áanii doo bik'eh dahojííł'įįdii éí doo ła' bee ánáádazhdidoolchxǫǫł da ; kéédahojit'ínígóó ádił nida'dziiszíi'ii éí bits'ą́ąjį' yisdáhodiyeeshniłgo , t'óó badaa'ihii hwee dahólóonii hąąh dadeeshdahgo shidine'é dajílį́į doo áádóó haDiyin God nishłį́į doo .
26:37:024:0	Shá naal'a'í David aláahgo honant'áa doo ; t'áá ádzíłtso haa áhályáanii t'ááłá'í doo áádóó shibik'ehgo hoogáałii bik'ehgo dajíkáah doo índa bee nihodiish'aahii bik'eh dahojíł'į́į doo .
26:37:025:0	Shá naal'a'í Jéíkab kéyah baa diní'ánídi , danihizhé'é yę́ę kéédahat'į́į́ nít'éé' yę́ędi kéédahojit'į́į doo áádóó hada'áłchíní índa banááda'áłchíní áádóó éí bada'áłchíní ákwii hool'áágóó kéédahat'į́į dooleeł ; shá naal'a'í David éí hool'áágóó binant'áa doo .
26:37:026:0	Bee ach'į' hózhóonii bee hoł ahada'dideesht'ááł ; hool'áágóó hoł ahada'dinisht'ą́ą dooleeł ; hohoníłdzilgo áádóó t'óó ahojíyóigo áhodeeshłííł índa hool'áágóó shikin bii' sohodizin hatahgi nideesh'áałgo ákwii kééhasht'į́į doo .
26:37:027:0	Áko hatahgi kééhasht'į́į doo áádóó haDiyin God nishłį́į doo índa shidine'é dajílį́į doo .
26:37:028:0	Shikin bii' sohodizin haníi'gi hool'áágóó hólǫ́ǫgo ał'ąą dine'é éí shí Ízrel dine'é diyingo ádaashłaago bił béédahodoozįįł .
