26:9:001:1	Adidahodiilt'i'ii nabi'diztseed
26:9:001:0	Ákohgo kóníigo ayóó íits'a'go haadzíi'go diséts'ą́ą́' , Diné éí deezlá dah deíjáahii kin haal'áago yik'i dadéez'į́į'ii t'ááłá'í nítínígo áháníjį' ahaninohkááh .
26:9:002:0	Áko shoo , diné hastą́lt'éego wódahjí náhookǫsjigo dáń'dítį́hídę́ę'go deezlá bee na'atseedii deíjáahgo yíkai , áko náánáła' diné éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yee hadít'éego tó bee ak'e'elchíhí bee naajaahii booshk'iizhjí béstł'ǫ́ǫgo atah níyá áádóó yah aakaigo bikáá' náá'iiniihí béésh łitsoii bee ályaaígíí yíighahdóó deizį' .
26:9:003:0	Ákohgo Ízrel dine'é biDiyin God bibi'oh adidilyéehii diyingo naal'a'í be'elyaago chérab wolyéii yik'igi hólǫ́ǫ́ nít'ée'ii dah hodiile'go kin bii' sohodizin bich'é'étiinígíí bideígi nihoníle' . Áko diné éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yee hadít'éego tó bee ak'e'elchíhí bee naajaahii booshk'iizhjí béstł'óonii yich'į' ádííniid ,
26:9:004:0	Bóhólníihii áháłní , Nílááh , Jerúsalem kin haal'áhígíí bitah hadiináahgo kin haal'áagi doo haldinígi át'éégóó baa ooldahii yik'ee diné daachaii áádóó yik'ee ádił hadahadzoołii dabítáa'gi da'iizoh .
26:9:005:0	Áádóó yáłti'ii t'ah diists'a'go diné hastą́lt'éhígíí áyidííniid , Nílááh , kin haal'áá góne' bikéé' oohkáahgo ákwii kéédahat'íinii t'áadoo bik'édí danohłį́įgo bik'i dahohxaałí índa doo ła' áádoosįįł da ; bił nidadziyołhaał ;
26:9:006:0	hastóí danilíinii , tsíłkéí danilíinii , ch'ikéida , áłchínída índa sáaniida ałtso nidaałtseed , nidi bítáa'gi da'asdzohii bit'áahjį' dadohkááh yíila' . Shikin bii' sohodizindóó hahodoolzhish . Áko Bóhólníihii bikin bii' sohodizin si'ánígi hastóí danilíinii nidadziłtseedgo baa nízhdiikai .
26:9:007:0	Áádóó áhodííniid , Nihílááh , kin bii' sohodizin si'ánígíí daołchxǫǫhgo binaagóó haz'áanii bii' diné nidaaztseedii hadadołbin . Áko dashdiikaigo kin haal'áagi diné nidadzistseed .
26:9:008:0	Áádóó shits'ą́ą́' dah adiildee'ígíí níláahdi da'íłtséedgo shí éí t'áá sáhí sélį́į'go tsé'yaa níshjool áádóó ná'ooshkąąhgo ádííniid , Bóhólníihii Diyin God nílíinii ! Jerúsalemgi Ízrel dine'é daadziihgo kééhat'ínígíísh t'áá ałtso t'óó báhádzidgo atí'éł'ínígíí bee ádííłdįįł ?
26:9:009:0	Áádóó áshidííniid , Ízrel dine'é índa Júdah dine'é doo ákwii ádáát'įįdígíí ts'ídá t'áá íiyisí ayóó ánéelą́ą́' áádóó kéyah bikáá'góó t'áá át'é diné nidabi'diztseedígíí dabidił dadeezna' índa kin haal'áagi binda'adlo'go naaki nidahwiiláii hadeezbin ; éí ádaaní , Bóhólníihii kéyah yóó'iidíí'ą́ , Bóhólníihii doo ajoo'į́į da .
26:9:010:0	Áádóó shí ałdó' doo hats'ą́ąjį' adeeshxał da , doo nidi hak'édí deeshłeeł da , nidi ádajíít'įįdii hatsiits'iin nídazhdííłhaal nahalingo hak'éédeidoot'ih .
26:9:011:0	Nít'éé' shoo , diné éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yee hadít'éego tó bee ak'e'elchíhí bee naajaahii booshk'iizhjí béstł'óonii , Kódíínííł , diníigo bee háínídzíi'ii bi'iishłaa , kóníigo Bóhólníihii yił hoolne' .
