26:29:001:1	Ííjip dine'é bich'į' náasdi áhodoonííł baa hane'
26:29:001:0	Neeznáá náhááh góne' , neeznáá yiziłígíí binih , naakits'áadah yoołkáałgo Bóhólníihii shich'į' haadzíi'go kóní ,
26:29:002:0	Diné nílíinii , Ííjip dine'é aláahgo binanit'a'í Féro bik'ijį' nílį́įgo , Kónít'ée dooleeł , bidiníigo áádóó Ííjip kéyah t'áá náhwiist'ą́ą́ nít'éé' , Kót'ée dooleeł , diníigo bich'į' handziih .
26:29:003:0	Bóhólníihii Diyin God kóní , diníigo handziih , Ííjip dine'é binanit'a'í nílíinii , Féro nik'ijį' nishłį́ , jó'akon ; na'ashǫ́'ii łibáhítsoh táyi' sínítíinii , Náil tooh nílínígíí éí t'áá shí ádá áshłaa , diní .
26:29:004:0	Łóó' bee hahadleehí béésh nídaazhahígíí niyaats'iin bee deeshahgo nitooh nílį́įgo bii' łóó' hólónígíí nikágí dich'ízhígíí bídaashjéé' ádeeshłíiłgo , éí t'áá át'é t'áá bił handeeshłoh .
26:29:005:0	Áádóó ni lá índa nitooh biih daazlínígíí biyi'dóó łó'ígíí t'áá át'é t'áá bił honoojíígóó t'áá áhoodzaajį' anihidi'yoolkał ; doo nánihidi'yoodlahgo yóó'ádanihi'didoolníił da ; naaldlooshii danihidooldił áádóó tsídii danihidoolghałgo baa nihidiní'ą́ .
26:29:006:0	Ákohgo Ííjip kéyahdi kéédahojit'ínígíí ts'ídá t'áá ádzíłtso Ízrel dine'é bilók'aa' gish dajílį́į́ nít'é'ígíí bąą Bóhólníihii nishłį́įgo hoł béédahodoozįįł .
26:29:007:0	Danisiłgo nihíníltǫ' áádóó t'áá biwosjį' baa adashínízhoozh ; nik'ijį' híniijéé' silį́į'go nihíníltǫ'go t'áá ałtso nida'nt'i'go íinilaa .
26:29:008:0	Éí bąą Bóhólníihii Diyin God kóní , Diltłish nihiniyé deeshtį́įłgo diné áádóó naaldlooshii nihits'ą́ą́dóó nideestsił , jó'akon .
26:29:009:0	Ííjip kéyahgi doo naagháhí da doo ; t'ááníí' t'éí hadaasgai doo , áadi índa Bóhólníihii nishłį́įgo bił béédahodoozįįł . Náil tooh nílínígíí áshłaa , áádóó éí shí , dííníniidígíí bąą
26:29:010:0	nik'ijį' nishłį́ , jó'akon , áádóó nitooh danílínígíí bik'ijį' nishłį́ , áádóó t'áá níléí Mígdal hoolyéédóó Saiyíínii hoolyéejį' , t'áá éí Iithiyópiya kéyah bibąąhjį' Ííjip kéyahgi t'áadoo biniyéhígóó haz'ą́ągo t'áadoo bikáá' siláhígóó áhodeeshłííł .
26:29:011:0	Éí kéyah bii'góó diné doo ła' ch'ídoogáał da , índa naaldlooshii doo ła' ákǫ́ǫ́ ch'ídooldlosh da , índa ákwii diné doo ła' kééhat'į́į́góó dízdiin nídoohah .
26:29:012:0	Kédaayah t'áadoo bikáá' siláhígóó nahaz'ánígíí bitahgi Ííjip kéyah t'áadoo bikáá' siláhígóó áhodeeshłííł ; kin hadaas'áago ahiih nídahaasdáazgo áhoolyaa yę́ę bitahgi hakin hadaas'á yę́ęgóó doo siláhígóó dízdiin nídoohah ; Ííjip dine'é éí ał'ąą dine'é bitahgóó tahwiidínéeshkał áádóó kédaayahgóó tahwiidínéeshkał .
26:29:013:0	Nidi Bóhólníihii Diyin God kóní , Dízdiin nááhaidóó bik'ijį' Ííjip dine'é , dadine'é dabitahgóó tabidi'nooskaadii áádę́ę́' áłah ánáhodeeshdlííł ,
26:29:014:0	áádóó Ííjip dine'é daasnáanii nináhideesh'ishgo kéyah bii' kééhojit'į́į́ nít'éé' yę́ęjį' Páthras kéyah áajį' anídahizhdoo'nééł , áko ákwii bee óhólnííh doo bidziilgóó kééhojit'į́į doo .
26:29:015:0	Bee óhólnííh ádabóodziilígíí ts'ídá bi'ohgo hadziil doo , áádóó ał'ąą dine'é bitisdi ts'ídá doo hadziil náázhdoodleeł da , áko ts'ídá t'áá íiyisí doo dadzísihgóó áhodeeshłíiłgo ał'ąą dine'é ts'ídá doo binináázhnít'áa da doo .
26:29:016:0	Áádóó Ízrel dine'é éí Ííjip dine'é nihíká oohjeeh nídabizhdi'niihgo doo ákwii ádajoonííł nít'éé' yę́ę bénínádajilnihgo ts'ídá doo banááda'íízhdóodliił da ; áadi índa shí Bóhólníihii Diyin God nishłį́įgo hoł béédahodoozįįł .
26:29:017:0	Naadiin tsosts'id yihah góne' , áłtsé nídízííd binih , ła'a jį́į́ góne' Bóhólníihii shich'į' haadzíi'go kóní ,
26:29:018:0	Diné nílíinii , Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar bisiláo dah yinéłígíí éí Táir kin haal'á yik'ijį' t'áá íiyisí nayiishnishgo t'áá ałtso bitsiits'iin dadiwolgo ádaalyaa áádóó dabiwos éí bídáát'óodgo ádaalyaa ; azhą́ ákót'éego Táir hoolyéegi siláo há nidaashnish lá nidi , bik'é nidajishnishígíí t'áadoo ła' shódajoost'e' da .
26:29:019:0	Éí bąą Bóhólníihii Diyin God kóní , Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar éí Ííjip kéyah baa dideesh'áałgo ákwii t'óó ahayóí hanaalye'é áádóó bąąh da'oogą́ą'ii índa t'áadoo le'é atídeile'go nishódayoost'e'ii dah yididooyééł ; éí dah yidiiyínígíí bisiláo yik'éndaashnishii át'ée doo .
26:29:020:0	Naashnishígíí bąą Ííjip kéyah baa dideesh'ááł , háálá shá nidajishnish , ní Bóhólníihii Diyin God .
26:29:021:0	Áko éí bijį́ Ízrel dine'é bitahgi adee' ła' habidínéeséełgo éí dine'é bitahgóó yáníłti'go ándeeshłííł , áko índa Bóhólníihii nishłį́įgo hoł béédahodoozįįł .
