26:28:001:1	Táir dine'é aláahgo binanit'a'í bich'į' náasdi áhodoonííł baa hane'
26:28:001:0	Bóhólníihii shich'į' haadzíi'go kóní ,
26:28:002:0	Diné nílíinii , Táir dine'é binanit'a'í nilíinii ábidiní , Bóhólníihii Diyin God kóní , T'óó báhádzidígi át'éego ádaa hó'niihígíí biniinaa , Diyin nishłį́įgo tónteel ałníi'di diyin danilíinii dah naháaztánídi atah dah sédá , dííníniid nidi , azhą́ diyin nahalingo honisą́ nínízin nidi , diné yee' t'éiyá nílį́ ; doo diyin nílį́į da .
26:28:003:0	Jó , Daniel biláahgo honíyą́ ; nidanil'inii t'áá ałtso nił bééhózin .
26:28:004:0	Honíyánígíí áádóó át'é ninizį́'ígíí bee daat'íinii nishóhwiisíníłt'e' ; yit'íinii siyį́įjį' óola índa béésh łigaii áłah íinilaa .
26:28:005:0	T'áá íiyisí baa honíyą́ągo naalyéhé diné bił ałgháá' da'iyí'níłígíí bee nit'íinii bíhiniidee' , áko nit'íinii t'óó báhádzidígi át'éego bee ádaa hó'niih sínílį́į́' ;
26:28:006:0	éí bąą Bóhólníihii Diyin God kóní , Diyin hóyánígíí nahalingo ádaa nitsíníkeesígíí biniinaa ,
26:28:007:0	a ł'ąą dine'é bitahdę́ę́' dé'éyóní danilíinii ts'ídá agháago t'óó báádahadzidii nik'ijį' bi'deeshnihgo nibee hódzą' ayóó ánoolninii atídeidoolííł biniyé bidiltłish hadeidiyoodzį́į́s , jó'akon , áádóó ayóó áhonóolninii deidoołchxǫǫł .
26:28:008:0	A'áán góyaa adanihidiyoołtł'i ł ; tónteel ałníi'di diné nidaaztseedígi át'éego dadínóohnééł .
26:28:009:0	Áko daats'í diné t'éiyá nílį́įgo doo diyin nílį́į́góó diné ni'niiłhínígíí binááł , Diyin nishłį́ , t'ahdiísh diníi doo ?
26:28:002:1	Táir dine'é aláahgo binanit'a'í baa yínííł hasin
26:28:010:0	Dé'éyóní nidanihiłtseedgo diné doo bąąh nídahineeshgizhii daninéhígi át'éego dadínóohnééł . Shí díí bee haasdzíí' , ní Bóhólníihii Diyin God .
26:28:011:0	Náá'áłdó' Bóhólníihii shich'į' hanáánáádzíi'go kóní ,
26:28:012:0	Diné nílíinii , Táir dine'é aláahgo binanit'a'í baa yínííł nanináago baa nichago ábidiní , Bóhólníihii Diyin God kóní , T'áá ałtsojį' ayóó áníínílningo bee hódzáanii nii' hadeezbingo nee ééhózin nít'éé' .
26:28:013:0	Diyin God bidá'ák'ehgi Ííden hoolyéegi sárdiyas áádóó tópaz índa dáíman , tsé béril áádóó ániks índa jásper , áádóó sáfair áádóó émerald índa kárbankal tsé da'ílíinii nik'ésti' nít'éé' ; óola bina'azhnishgo áádóó tsé da'ílíinii binídaha'nííł áádóó óola bik'i nijishk'aazhgo áni'diilyaa nít'éé' ; áni'diilyaa bijį́ yę́ędą́ą́' éí hasht'edaalyaa .
26:28:014:0	Diyingo naal'a'í chérab ats'ániníłtį́įgo aa áhályáanii nílį́į doogo nininíłtį́ ; tsékǫ' bitahgóó háádiidáahgo Diyin God bidził diyinii bikáa'gi honílǫ́ǫ́ nít'éé' .
26:28:015:0	Áni'diilyaa yoołkááłdóó doo ákwii é'ét'éii niyi' yiiltsą́ yoołkáałjį' t'áadoo bee nik'íhót'ahígóó yíníyá .
26:28:016:0	T'áá íiyisí t'óó bee ne'ádíláahgo ninaalyéhé t'óó ahayóígíí dadine'é bił ałgháá' da'ayí'níiłgo asínísiih ; éí bąą Diyin God bidził bits'ą́ąjį' doo nildingóó nahjį' haninííłchą́ą́' áádóó diyingo naal'a'í chérab aa áhályáanii nílíinii tsékǫ' dadéek'ą́ąhii bits'ą́ą́dóó nahjį' haninííyood .
26:28:017:0	Ayóó áníínílninígíí bąą t'áá íiyisí ádaa hó'niih nít'éé' ; naa ha'niihígíí biniinaa bee honíyáanii ałtso yíníłchxǫ' . Aláahgo naat'áanii danilíinii daniníł'į́į doo biniyé ni' bikáa'jį' hadaniyííłhan .
26:28:018:0	Daashíínéelą́ą́'góó doo ákwii íínít'įįdígíí bee diné bina'ílo'go naalyéhé bił ałgháá' da'iyí'níiłgo nisodizin biniyé nahaz'ą́ą́góó doo ílį́į́góó íinilaa ; éí bąą nihitahdóó kǫ' hadíínóodgo ałtso andííłk'ą́ą́' áádóó diné binááł nihokáa'gi łeeshch'iih t'éiyá nísínídlį́į'go ániishłaa .
26:28:003:1	Sáídan dine'é bich'į' náasdi áhodoonííł baa hane'
26:28:019:0	Dadine'é dabitahdę́ę́' néédahósinii nik'ee t'óó bił adahayói doo ; bik'e'íyé'ígi át'éego t'áá kódíjį' honílǫ́ǫgo nihodoolzhish ; k'ad éí hool'áágóó doo nááhonídlǫ́ǫ da doo .
26:28:020:0	Áádóó Bóhólníihii shich'į' hanáánáádzíi'go kóní ,
26:28:021:0	Diné nílíinii , Sáídan bich'į'go dah díníit'aahgo , Kónihidi'doolnííł , bidiníigo bich'į' handziihgo
26:28:022:0	ábidiní , Bóhólníihii Diyin God kóní , Sáídan nílíinii , nik'ijį' nishłį́ , jó'akon ; nihitahgi bee ayóó ánísht'éii yit'íní ádeeshłííł , áko haa nísíst'įįdgo áádóó dinishyinígíí hach'į' yit'íní áshłaago Bóhólníihii nishłį́įgo hoł béédahodoozįįł .
26:28:023:0	Áko naałniih hak'ijį' bideeshnihgo t'áá ałtsodę́ę́' diltłish bee atího'dil'į́įgo diné naatseedígíí éí hatahgóó naa'ahindéeh doo áádóó bidił éí kintaa da'aztiingóó danílį́į doo ; áadi índa Bóhólníihii nishłį́įgo hoł béédahodoozįįł .
26:28:024:0	Ízrel dine'é binaagóó diné kéédahat'į́įgo hak'ee dadiniihii éí bitahdę́ę́' hosh doo ła' haa anáádadoojił da , índa doo ła' hanáábidooshah da ; áadi índa Bóhólníihii Diyin God nishłį́įgo hoł béédahodoozįįł .
26:28:025:0	Bóhólníihii Diyin God kóní , Ízrel dine'é éí ał'ąą dine'é dabitahgóó tabidi'nooskaadii bitahdę́ę́' áłah ánáshdlaago éí binahjį' dinishyinígíí ał'ąą dine'é binááł yit'íní ádeeshłííł , áko shá naal'a'í Jéíkab kéyah baa diní'áanii áadi índa éí bii' kéédahojit'į́į doo .
26:28:026:0	Diné hanaagóó kéédahat'į́įgo hak'ee dadiniihii éí t'áá ałtso há beinísht'į́įgo ákwii t'áadoo hainít'ínígóó kéédahojit'į́į doo ; ákwii kin nidazhdoonił , áádóó ch'il na'atł'o'ii deíl'áago ádazhdoolííł ; ákwii t'áadoo hainít'ínígóó kéédahojit'į́į doo , áko índa haDiyin God Bóhólníihii nishłį́įgo bił béédahodoozįįł .
