26:19:001:1	Ízrel dine'é binanit'a'í danilíinii baa yínííł hasin
26:19:001:0	Áádóó ni , Ízrel dine'é binanit'a'í danilíinii baa yínííł naniná ,
26:19:002:0	áádóó kódíní , Nimá ha'at'íísh át'éé nít'éé' ? Náshdóítsoh bitsiijį' daditł'ooígíí bitahdóó nimá náshdóítsa'ii bitsiijį' ditł'ooígíí nilį́įgo biyázhí néidiiłjéé' .
26:19:003:0	Biyázhí ła' yiyaa hooł'a'ii éí nitsxaaz silį́į́' ; yidoolghałii yił hidideełgo yíhooł'ą́ą'go diné yooldéél .
26:19:004:0	Ał'ąą dine'é haa dahodiizts'ą́ą'go a'áán ádayiilaago yee hoł dadeezdéél ; béésh da'ahólzha'í yee Ííjip kéyahdi dahazlóóz .
26:19:005:0	Nít'éé' t'ah jinízinígíí bąą bee hoł chohoo'į́ yę́ę ásdįįdgo hoł bééhoozingonáánáła' hayázhí biyaa nááhojiił'a'go éí nitsxaaz náánásdlį́į́' .
26:19:006:0	Éí náshdóítsoh bitsiijį' daditł'ooígíí yitahgóó naaghá , áádóó éí nitsxaaz silį́į'go yidoolghałii yił hidideełgo yíhooł'ą́ą'go diné yooldéél .
26:19:007:0	Bine' nidadzidzi'gi hoo'į́ ; hakin hadaas'áii naa ayiiskaad ; bii' nahodi'ni'go ánínígíí yee kéyah t'áá náhwiist'ą́ą́ nít'éé'doo naagháhí da haazlį́į́' .
26:19:008:0	Ał'ąą dine'é bił dah nahaz'ą́ą́dę́ę́' t'áá ałtso honázt'ih ; bitł'óól naneesdizí hak'ídeisti' ; bee a'áán góyaa hoł dadeezdéél .
26:19:009:0	Béésh da'ahólzha'í yee dahólóosgo yah adahast'e' ; Bábilan dine'é aláahgo binanit'a'í yaa dahazlóóz ; Ízrel dine'é bikéyahdi dził naaznilígíí dabighą́ą́'góó hwiinéé' doo náádiits'a' da dooleełígíí biniyé yah adahast'e'go hadáda'deeskaal .
26:19:010:0	Tábąąhgóó ch'il na'atł'o'ii k'idoolyáhígi át'éego nimá ch'il na'atł'o'ii nahalingotó t'óó ahayóígíí bąą bits'áoz'a' t'óó ahayóí nít'éé'áádóó bineest'ą' t'óó ahayóí bąąh náhoodleeł nít'éé' .
26:19:011:0	Naat'á gish biniyé bits'áoz'a' t'áá íiyisí dabidziil nít'éé' ; t'óó ahayóí ats'áoz'a'ígíí bitah góne' yadiineez nít'éé' ; dzíneezgo hats'áoz'a' t'óó ahayóigo ho'doot'į́į́ nít'éé' .
26:19:012:0	T'áá na'níle'dii hahodi'yoolghan ; ni'jį' ahodi'yoolghan ; ha'a'aahdę́ę́' deeyolgo haneest'ą' ałtso yisgan ; hats'áoz'a' dabidziilii yiyiizti'go daniiłna'go ałtso adahideezk'ą́ą́' .
26:19:013:0	K'ad éí honoojíidi , tó ádindi , índa hóółtseidi k'iho'doolyá .
26:19:014:0	Bits'áoz'a' ła' biyi'dę́ę́' kǫ' hadíínóodgo bineest'ą' ałtso iidííłk'ą́ą́' , áádóó bits'áoz'a' bidziilii doo ła' ánászįįd da , áko naat'á gish doo ła' náhodoodleeł da . Díí lą́ą baa atínáhodindleeh ni , áádóó baa cha hasingo hodeeshzhiizh ni .
