26:26:001:1	Táir dine'é bich'į' náasdi áhodoonííł baa hane'
26:26:001:0	Ła'ts'áadah náhááh góne' háázidígíí ła'a jį́į́ góne , Bóhólníihii shich'į' haadzíi'go kóní ,
26:26:002:0	Diné nílíinii , Táir dine'é kót'éego Jerúsalem yaa haadzíí' , Ts'íigo lą́ą hadáń'dítį́hí k'ídeizti' áádóó shich'į' ąą ádzaa ; k'ad lą́ą shi ł áda'íízįįd ni , k'ad lą́ą t'áadoo biniyéhí da dzizlį́į́' , dííniid ;
26:26:003:0	éí bąą Bóhólníihii Diyin God kóní , Táir dine'é danohłíinii , nihik'ijį' nishłį́ , jó'akon ; tónteel tábąąhjigo yilk'oołígi át'éego ał'ąą dine'é t'óó ahayóí nihik'ijį' bi'deeshnih .
26:26:004:0	Táir kin haal'á binaa ahééda'astł'inii naa'adeidiyoołkał áádóó yada'niiltł'óonii naa'adeidiyoonił ; łeezh éí nahjį' hats'ą́ą́' adeesiłgo ákwii tsé'éłkáá' nahalingo ádeeshłííł .
26:26:005:0	Łóó' bee hahaltsósí tónteel biih dzółtsósígi át'éegi ákwii hojílǫ́ǫ doo áádóó ał'ąą dine'é bá bąąh aseesyíinii jílį́į doo ; kót'éego shí Bóhólníihii Diyin God haasdzíí' .
26:26:006:0	Hach'é'é éí tábąąhdi nidaakaii diltłish bee nidabi'didootsił , áko Bóhólníihii nishłį́įgo hoł béédahodoozįįł .
26:26:007:0	Háálá Bóhólníihii Diyin God kóní , Náhookǫsdę́ę'go aláahgo naat'áanii danilíinii aláahgo binanit'a'í éí Bábilan dine'é aláahgo yinanit'a'í Nébukadnézzar éí łį́į́' áádóó tsindaabąąs bijáád naakiígíí áádóó łį́į́' yee nidaabaahii áádóó siláo dah naazhjaa'go índa diné t'óó ahayóigo yił doonéełgo Táir dine'é yik'iidoojahgo ádeeshłííł .
26:26:008:0	Nich'é'é éí tábąąhdi nidaakaii diltłish yee neidoołtsił ; łeezh nináz'áago íidoolííł ; bíilk'idgo ałdó' íidoolííł áádóó naagé niniyé dah deíjáah doo .
26:26:009:0	Tsin bee ná'nílgohí éí kóne' nídanołgoh , níigo binaa ahééda'astł'inii nídeiniłgoh doo , índa yada'niiltł'óonii éí bitsénił yee k'íidiyoołniił .
26:26:010:0	Bilį́į́' t'óó ahayóí yijahígíí bąą łeezh nił háá'áa doo ; kin haal'áii ditą́ągo ninaa ahééda'astł'inígíí łahgi bits'ą́ą́' naalkaadgo ákóne' diné yah eekaígi át' éego éí aláahgo naat'áanii yah ííyáago bilį́į́' yee nidaabaahígíí nihit'ááh yíjée'go áádóó tsindaabąąs índa tsindaabąąs bijáád naakiígíí bee da'íbąąsígíí bee hodiits'a'go tsé nihinástł'inii yildil doo .
26:26:011:0	Kintah da'nítiingóó t'áá át'é łį́į́' yee nidaabaahii łį́į́' bikétł'iin dadiits'a'go bił tádidoojah ; diltłish yee nidine'é neidoołtsił índa áyah danii'áii bidziilgo daastł'inii éí naa'ahidoołdas .
26:26:012:0	Niyódí éí bąąh aseesyíinii ádeidoolíiłgo nits'ą́ą́' adeidiyooyééł ; ninaalye'é éí daasnáanii ádeidoolííł ; ninaa ahééda'astł'inii éí nideidiyoołkał áádóó nikin danizhóníii nideidiyoołchxǫǫł ; nitsé áádóó nitsin índa nileezh éí t'áá ałtso taah deidiyoołkał .
26:26:013:0	Sin bee dahohtaałii nihits'ą́ą́' ni' kódeeshłííł áádóó tsin tł'óół bąąh daneelzhee'go dadiits'a'ii doo dadiits'a' da doo .
26:26:014:0	Tsé'éłkáa'gi doo siláhí da nahonohłingo ánihideeshłííł ; éí bikáa'gi łóó' bee hahaltsósí ninálka'ii danohłį́į doo , ts'ídá doo hasht'éénihidi'doolníił da ; shí Bóhólníihii bee haasdzíí' , ní Bóhólníihii Diyin God .
26:26:015:0	Bóhólníihii Diyin God éí Táir dine'é kwííłní , Atínihi'dil'į́įgo hodiists'ą́ą'go diné k'adabi'dilk'ehígíí dadi'níigo nihitahgóó diné nidabidi'tseedgo hodeeshzhiizhgo tónteel bibąąhgóó diné kéédahat'ínígíí bitah dahoditłid doo .
26:26:016:0	Ákódzaago tónteel bibąąhgóó naat'áanii danilíinii t'áá ałtso bibikáá' dah asdáhí yikáá'dóó hadah dahidookah , áko bibeeldládí éé' ádaa deididoo'nił áádóó bi'éé' bibąąhgóó nidaashch'ąą'ii hadeididoo'niłgo bitah dahoditłid doo ; ni'góó dínóobįįłgo t'áadoo bita' hoo'aahí bitah dahoditłid doo , áko nihik'ee t'óó bił adahayói doo .
