26:25:001:1	Áman dine'é bich'į' náasdi áhodoonííł baa hane'
26:25:001:0	Bóhólníihii shich'į' hanáánáádzíi'go kóní ,
26:25:002:0	Diné nílíinii , Áman dine'é bich'į'go dah díníit'aahgo , bik'ijį' nílį́įgo handziih ,
26:25:003:0	áko Áman dine'é ábidiní , Bóhólníihii Diyin God bizaad deísółts'ą́ą́' , Bóhólníihii Diyin God kóní , Shikin bii' sohodizin doo ílį́į́góó áál'įįd yę́ędą́ą́' , índa Ízrel dine'é bikéyahgi doo yiila'í yę́ędą́ą́' , áádóó Júdah dine'é yisnááhgóó abi'doojaa' yę́ędą́ą́' , Ts'íigo lą́ą , dadooniidígíí biniinaa ,
26:25:004:0	ha'a'aahjígo diné kééhat'ínígíí bíí' danohłį́į dooleeł biniyé baa nihidideesh'áałgo nihitahgóó nidahidoonéełgo ákǫ́ǫ́ kéédahat'į́į dooleeł , jó'akon , áádóó nínáda'noołt'į́įhii nihits'ą́ą́' deiyą́ą doo , índa nihe'abe' nihits'ą́ą́' deidlą́ą doo .
26:25:005:0	Rábah kin haal'áagi éí ghą́ą́'ask'idii nida'ałchozhgo áhodeeshłííł , áádóó Áman dine'é bikéyahdi dibé bighan naaznilgo ádeeshłííł , áko índa Bóhólníihii nishłį́įgo nihił bééhodoozįįł .
26:25:006:0	Háálá Bóhólníihii Diyin God kóní , Ízrel dine'é bik'ijį' danohłį́įgo áádóó bik'ee dadinohniihii t'áá ałtso bee baa nihił dahóózhǫǫd áádóó ahínídaohka'go nihídadołtał nít'é'ígíí biniinaa ,
26:25:002:1	Mó'ab dine'é bich'į' náasdi áhodoonííł baa hane'
26:25:007:0	nihik'ijį' nishłį́įgo nihich'į' k'ídinishnii'go bąąh oogą́ą'ii danohłį́įgo ał'ąą dine'é baa nihidideesh'ááł , jó'akon ; dadine'é bits'ą́ąjį' kónihideeshłíiłgo kédaayahgi ánihideeshdįįł , áko atínihiishłaago áadi índa Bóhólníihii nishłį́įgo nihił béédahodoozįįł .
26:25:008:0	Bóhólníihii Diyin God kóní , Júdah dine'é éí ał'ąą dine'é ádaat'éhígi ádajít'é , Mó'ab dine'é áádóó Síyer dine'é dadííniid ;
26:25:009:0	éí bąą Mó'ab dine'é bikéyah bibąąhgóó yee ádaa daha'niihgo kin hadaas'áii Beth-jéshimath áádóó Béíyal-míyan índa Kíriyathéíyim éí Mó'ab kéyahgi bááłk'iisdę́ę'go bich'į' ąą ádeeshłííł , jó'akon .
26:25:010:0	Éí Áman dine'é bił ha'a'aahjígo kéédahat'íinii baa hodideesh'ááł , áko ał'ąą dine'é doo hwénínáádadoolnih da .
26:25:003:1	Íídam dine'é bich'į' náasdi áhodoonííł baa hane'
26:25:011:0	Kót'éego Mó'ab dine'é bee há nihodeesh'áałii bee haa nídéesht'įįł ; áadi índa Bóhólníihii nishłį́įgo hoł béédahodoozįįł .
26:25:012:0	Bóhólníihii Diyin God kóní , Íídam dine'é éí Júdah dine'é k'éédeidiidlaago biniinaa t'áá íiyisí ádidahodiilt'i' ;
26:25:013:0	éí bąą Bóhólníihii Diyin God kóní , Íídam dine'é hak'ijigo k'ídideeshnihgo diné áádóó naaldlooshii nideestsiłgo doo naagháhígóó haz'ą́ągo ádeeshłííł ; Tííman hoolyéédóó níléí Díídan hoolyéejį' diltłish bee dazhdínóonééł .
26:25:004:1	Filístiya dine'é bich'į' náasdi áhodoonííł baa hane'
26:25:014:0	Shidine'é Ízrel éí bee Íídam dine'é k'ééhodideeshdlííł ; Íídam kéyahgi sháhóóchįįdígíí áádóó t'óó báhádzidgo até'ésh'ínígíí bik'ehgo nidadoobah , áko Bóhólníihii Diyin God kóní , K'éédiisdzaaígíí hoł béédahodoozįįł .
26:25:015:0	Bóhólníihii Diyin God kóní , Filístiya dine'é ałk'idą́ą́' hak'ee dadeeznih yę́ę bee bijéí yee doo yá'áshǫ́ǫ́góó haa nitsídaakeesgo k'éédahodiidlaa ;
26:25:016:0	éí bąą Bóhólníihii Diyin God kóní , Filístiya dine'é dajílíinii hach'į' k'ídideeshnihgo , Kéreth dine'é ádeeshdįįłgo áádóó tónteel bibąąhgóó kéédahojit'íinii ałtso áhodeeshdįį ł .
26:25:017:0	T'óó báhádzidgo bee atí'ésh'íinii bee hainísht'į́įgo k'ééhodideeshdlííł , áko k'ééhodiishdlaago , Bóhólníihii nishłį́įgo hoł béédahodoozįįł .
