26:8:001:1	Iizííkiyel éí Jerúsalemgi doo daaldinii bił ádzaa
26:8:001:0	Ákohgo hastą́ą́h náhááh góne' hastą́ą́h nídízííd binih éí ashdla'góó yoołkáałgo shighan góne' sédáago Júdah dine'é aląąjį' naazíinii shidááhgóó naháaztą́ągo Bóhólníihii Diyin God shideelchidgo baa ákoniizį́į́' .
26:8:002:0	Déé'į́į́' nít'éé' , shoo , ha'át'íí shį́į́ bits'ádi'nílíidgo sizį́įgo yiiłtsą́ : ánoolninígíí biníí'dóó yaago éí kǫ' nahalin , áádóó biníí'dóó dego éí bits'áhojilgishii nahalin .
26:8:003:0	Áádóó yílá nahalingo k'ídeelchidgo shitsii' ła' yisił , áko Diyin God bits'ą́ą́dę́ę́' shił áhát'į́įgo nahasdzáán áádóó yádiłhił bita'gi Níłch'i Diyinii dah shidiiłtį́įgo Jerúsalem kin haal'áadi nishiníłtį́ ; hodílzingo haz'ánígíí náhookǫsdę́ę'go ch'é'étiingi dáádílkał náwóne'dę́ę'go e'elyaii łe'hasingo áda'ale'ii dah sidáhíjį' nishiníłtį́ .
26:8:004:0	Shoo , t'áá níléí halgaidi shił ádzaa yę́ęgi át'éego Ízrel dine'é biDiyin God ayóó ánóolninii ákwii náánéi łtsą́ .
26:8:005:0	Ákohgo áshidííniid , Diné nílíinii , k'ad náhookǫsjigo anaghaał . Áko náhookǫsjigo ííghal , nít'éé' shoo , bikáá' náá'iiniihí si'ánígíí náhookǫsjigo dáń'dítį́hígi díí e'elyaii łe'hasingo áda'ale'ii sizį́į́ lá .
26:8:006:0	Áádóó ánááshidi'ní , Diné nílíinii , Ízrel dine'é ayóó át'éego doo yildinígi át'éego yaa nidaakaigo biniinaa shikin bii' sohodizin doo deeghánígóó bits'ádeesháłígíísh yíní'į́ ? Nidi náánáłahjigo náádínít'į́į́' . Díí biláahgo t'áá íiyisí doo daaldinii yaa nidaakaigo néidííłtsééł .
26:8:007:0	Ákohgo hodílzingo haz'ánígíí yah a'atiin bíighahjį' nishiníłtį́ ; nít'éé' déé'į́į'go , shoo , tsé ahénátł'ingo ní'áhígíí biih hoodzą́ągo yiiłtsą́ .
26:8:008:0	Áádóó áshíłní , Diné nílíinii , tsé ahénátł'ingo ní'áhígíí bii' ígééd , áko bii' íígeed nít'éé' dáádílkał léi' bik'í'nígeed .
26:8:009:0	Áko áshíłní , Nílááh , yah anináahgo diné doo yá'ádaashóonii kwe'é t'áá íiyisí doo daaldinii yaa nidaakaígíí níníł'į́ .
26:8:010:0	Yah ííyáá nít'éé' ; nidaa'na'ii índa nidaaldlooshii doo daaldinii ts'ídá t'áá ałtso ał'ąą ádaat'éii áádóó Ízrel dine'é bi'eda'alyaii ts'ídá t'áá ałtso tsé ahénátł'ingo ní'áhígíí bikáa'jį' bééda'alyaago ahééhool'á .
26:8:011:0	Nít'éé' bééda'alyaago dabiká'ígíí bidááhdóó Ízrel dine'é bitahdóó aląąjį' naazíinii tsosts'idiin yilt'éhígíí ákwii naazį́ . Shéífan biye' Jeiyazanáíyah ákwii atah sizį́ . T'áá ałtso łeets'aa' biyi'dóó tsin bijeeh dilidgo łikání halchingo nááhániihii dah deíjááh , áko éí dabilid dego ada'iijooł .
26:8:012:0	Ákohgo áshíłní , Diné nílíinii , Ízrel dine'é bitahdóó aląąjį' naazíinii t'ááłá'í nítínígo t'áá sahdii bi'eda'alyaii bá nahaz'ánígi chahałheeł góne' yaa nidaakaígíísh yiniłtsą́ ? éí ádaaní , Bóhólníihii doo nihoo'į́į da ; Bóhólníihii kéyah yóó'iidíí'ą́ .
26:8:013:0	Áádóó ánááshidoo'niid , Náánáłahjigo náádínít'į́į́' . Díí biláahgo t'áá íiyisí doo daaldinii yaa nidaakaigo néidííłtsééł .
26:8:014:0	Áko nít'éé' Bóhólníihii bikin bii' sohodizin si'ánígíí náhookǫsdę́ę'go dáń'dítį́įhgi ninááshiníłtį́ ; nít'éé' shoo , ákwii sáanii ła' éí diyin bidi'níinii Támaz yaa daachago naháaztą́ .
26:8:015:0	Áádóó áshidííniid , Diné nílíinii , díísh yiniłtsą́ ? Díí deiniłtsánígíí t'ah bilááh át'éhígo t'áá íiyisí doo daaldinii yaa nidaakaigo néidííłtsééł .
26:8:016:0	Áádóó shił dah dii'áazhgo Bóhólníihii bikin bii' sohodizin si'ánígíí binaa haz'ą́ąjį' shił niní'áázh , nít'éé' shoo , Bóhólníihii bikin bii' sohodizin bich'éédą́ą'gi chaha'oh áádóó bikáá' náá'iiniihí bita'gi diné naadiin ashdla' yilt'éego kin bii' sohodizin yits'ą́ąjį' dadéez'į́į'go ha'a'aahjigo jį́honaa'éí yich'į' nidahałáago yiiłtsą́ .
26:8:017:0	Áádóó áshíłní , Diné nílíinii , díísh yiniłtsą́ ? Júdah dine'é kwe'é t'áá íiyisí doo daaldinii baa nidajikaígíí da' t'įįhdígo át'éhígíísh biniinaa yaa nidaakaígíí yee kéyah bikáá'góó t'áá át'é t'áá na'níle'dii nilíinii nihinéést'e' áádóó shá náádahóółchįįd ? Áko shoo , bíchį́įhjį' tsin bits'áoz'a' dah nídeidiiłjoł .
26:8:018:0	Éí bąą t'óó báhádzidgo atíhásh'į́įgo haa nídéesht'įįł ; doo haa a'ááh dínéesįįł da índa doo hak'édí deeshłeeł da ; azhą́ ayóó íits'a'go dajicha nidi , doo dahodideests'į́įł da .
