26:40:001:1	Diyin God yá halne'í éí kin bii' sohodizin bił ádzaa
26:40:001:0	Yisnááh daniidlį́įgo naadiin ashdla' náhááh góne' t'óó hááhaidóó neeznáágóó yoołkáałgo , kin haal'áagi kééhojit'íinii hak'eh hodeesdlį́į́'dóó bik'ijį' dį́į́'ts'áadah nááhaidi t'áá éí bijį́ Bóhólníihii shik'i diilnii'go áadi shił ní'áázh .
26:40:002:0	Diyin God bits'ą́ą́dę́ę́' shił áhát'į́įgo áshiilaaígíí éí bee Ízrel dine'é bikéyahdi shił ní'áazhgo dził t'áá íiyisí aláahdi ní'áá léi' yikáa'gi dah shineesdá ; ákwe'é shádi'ááh bich'ijígo kin haal'á nahalingo yiiłtsą́ .
26:40:003:0	Ákwii shił ní'áázh nít'éé' , shoo , diné ła' béésh łitsoii noolningo áádóó tł'óół dits'idígíí índa lók'aa' bee í'neel'ąąhí dah yoojihgo dáń'dítį́įhgi sizį́ .
26:40:004:0	Áádóó éí diné áshíłní , Diné nílíinii , díní'į́į́' áádóó ííníłts'ą́ą́' índa nich'į' ádeeshłíłígíí t'áá ałtso baa nitsíníkees , háálá nich'į' ádeeshłíłígíí biniyé kwe'é nideedlóóz , áko yíní'ínígíí t'áá ałtso Ízrel dine'é bee bił hólne' .
26:40:005:0	Áádóó shoo , kin bii' sohodizin si'ánígíí binaago ahééhool'áhígíí éí bik'i dinaadgo t'áá át'é ahéé'ítł'in diné éí lók'aa' bee í'neel'ąąhí dah yootį́łígíí éí áníłtsooígíí kúbit wolyéii hastą́ą́h ahą́ą́h dadeestsihgo ákóníłnééz , áko ahéé'ítł'inígíí yí'nééł'ąądgo lók'aa' bee í'neel'ąąhí áníłtsoígi íídéetą́ą́' áádóó dego ałdó' t'áá ákónízah .
26:40:006:0	Ákohgo ha'a'aahjigo dáń'dítį́hígíí bich'į' ałk'i hoo'niłí híi'áago éí bąąh hajiyá áádóó ch'é'étiin siláii wóyahdi bízhnééł'ąądgo lók'aa' bee í'neel'ąąhí áníłtsoígi ákóníłtéél lá , áádóó łahjí ch'é'étiin siláii ałdó' lók'aa' bee í'neel'ąąhí áníłtsoígi ákóníłtéél .
26:40:007:0	Áko booshk'iizhjígo yah adahwiisdzą́ągo wóne'í nahaz'ánígíí éí náásee'go lók'aa' bee í'neel'ąąhí áníłtsoígi ákódahonízah áádóó naaniigo éí ałdó' ákódahoníłtéél índa éí hooghan bita'gi t'áá bíni' nahaz'ánígóó ádahonízahígíí éí tseebíí ké siláádóó náá'áłníí' ákódahonízah . Ch'é'étiin siláii wóyahdi bízhnééł'ąądgo t'áá áłah lók'aa' bee í'neel'ąąhí áníłtsoígi ákóníłtéél .
26:40:008:0	Áádóó dáń'dítį́į́hdóó bits'ání'áhígíí éí wóne'dę́ę́' yí'nééł'ąądgo lók'aa' bee í'neel'ąąhí áníłtsoígi ákónízah .
26:40:009:0	Áko kin bii' sohodizin dáń'dítį́į́hdę́ę'go bii' yah ahool'áhígi yí'nééł'ąąd nít'éé' : táá'ts'áadah ké siláádóó náá'áłníí' áhoníłtso áádóó tsin íí'áhígíí éí táadi ké siláádóó náá'áłníí' ákódaníłtsááz . Áko dáń'dítį́į́hdóó bits'ání'áago éí kin bii' sohodizin bich'į'go deez'á .
26:40:010:0	Ha'a'aahjigo dáń'dítį́hígíí éí ałts'ą́ą́hjí táa'go yah adahwiisdzánígíí éí t'áá táa'go ahee dahoníłtso ; ałts'ą́ą́hjí adaaz'áhígíí éí t'áá ahee daníłtso .
