26:34:001:1	Ízrel dine'é yaa ádahalyáanii bich'į' náasdi áhodoonííł baa hane'
26:34:001:0	Bóhólníihii shich'į' hanáánáádzíi'go kóní ,
26:34:002:0	Diné nílíinii , Ízrel dine'é yaa ádahalyáanii bik'ijį' nílį́įgo handziih ; aa ádahojilyáanii t'áá hó hach'į' handziihgo áhodiní , Bóhólníihii Diyin God kóní , Ízrel dine'é yaa ádahalyáanii t'áá bí t'éiyá t'áá ádíighahígo t'áá bí t'éí da'ayą́ą́ nít'é'ígíí doo hojooba' ájíníi da ! Dibé yaa áhályáanii yee' dibé ya'ałtso' dooleeł .
26:34:003:0	Neesk'ahii yee' daołghał ; aghaa' éí danihi'éé' ; dabinołk'ahii éí nidaołtseed , nidi dibé éí doo bada'iyołtsóod da .
26:34:004:0	Doo dabidziilii éí dabidziilgo t'áadoo áńdaohdlaa da ; ka deíkáahii éí t'áadoo hadaałt'é áńdaohdlaa da ; nida'niłhodígíí éí azee' yee nídoodzihii t'áadoo bąąh ádaohłaago bá bik'ída'doodiz da ; yóó'adabidi'niiskaadii t'áadoo ninádahishoo'eezh da ; yóó'adahaaskaii éí t'áadoo hadasinootą́ą' da , nidi bída'nołkadgo índa t'áá na'níle'dii bindanoht'áá nít'éé' .
26:34:005:0	Áko baa áhodoolyąąłígíí ádingo biniinaa t'óó taoskai áádóó naaldlooshii dahashkéii t'áá ałtso yich'iyą' daazlį́į́' .
26:34:006:0	Dził t'áá ałtso naaznilgóó áádóó t'áá ałtso dawók'ą́ą́góó índa nihokáa'gi t'áá ałtsogóó shidibé taoskai , áko shidibé haidínóotaałii índa háidídóo'įįłii ádingo biniinaa nahasdzáán t'áá náhaaz'ą́ą́ nít'éé' bikáá'góó ałtso taoskai .
26:34:007:0	Éí bąą nihí diné baa ádahołyáanii , Bóhólníihii áníinii deísółts'ą́ą́' :
26:34:008:0	Bóhólníihii Diyin God kóní , Ts'ídá t'áá aaníí hinishná ; ákót'éego shidibé nidínóolcheełgo bił di'doodił daazlį́'ígíí áádóó dibé yaa áhályáanii ádinígíí biniinaa naaldlooshii dahashkéii t'áá ałtso dabidoolghał daazlį́į́' áádóó shá aa ádahalyáanii shidibé t'áadoo hadeineeztą́ą' da , nidi dibé yaa ádahalyáanii t'áá bí t'éí da'ííyą́ą́' áádóó dibé éí t'áadoo yada'iistsood da ,
26:34:009:0	éí bąą dibé baa ádahołyáanii , Bóhólníihii áníinii dadoohts'į́į́h ,
26:34:010:0	Bóhólníihii Diyin God kóní , Jó , dibé yaa ádahalyáanii ts'ídá bik'ijį' nishłį́ áádóó shidibé shaa nídazhdoo'nił índa dibé doo bada'dziiłtsóódgóó áhodeeshłííł . Áko dibé baa ádahojilyáanii doo t'óó ách'į' nidazditsih da doo ; shidibé doo hach'iyą' da dooleełígíí biniyé hazéé'dóó hááhideesh'nił .
