26:36:001:1	Ízrel dine'é bił áhoot'é yę́ęgi ánábidi'doolnííł
26:36:001:0	Áko ni , diné nílíinii , Ízrel dine'é bidził naaznilígíí bich'į' handziihgo ábidiní , Ízrel dine'é bidził nohłíinii , Bóhólníihii áníinii dadoohts'į́į́h :
26:36:002:0	Bóhólníihii Diyin God kóní , Ana'í danilíinii , Heeyéii' , t'áá nááshiinídą́'ídi aghánídahaz'áago nahaz'ánígóó nihíí' daazlį́į́' , danihidííniidígíí biniinaa
26:36:003:0	kódíníigo hólne' , Bóhólníihii Diyin God kóní , Ał'ąą dine'é daadziihígíí bíí' dadoohłeeł biniyé ałtso nihąąh da'ííbį́į'go da'níłch'ishídę́ę́' danihishjizh áádóó nihaa yádaałti' índa doo yá'át'ééhgóó nihaa aseezį́ dandzin ;
26:36:004:0	éí bąą Ízrel dine'é bidzi ł soonilígíí Bóhólníihii Diyin God áníinii dadoohts'į́į́h ; dził soonilii índa dah daask'idii , dayíldzisii áádóó dabikoohii t'áadoo siláhígóó t'óó dah nídadzilbáago ádahoolyaii índa kin hadaas'áágóó bik'i dahoneesdzoodii éí diné t'óó bąąh da'ííbį́į'go náánáła' ał'ąą dine'é danilíinii t'óó bá nidahałt'i'go baa daadloohii , Bóhólníihii kóbíłní ;
26:36:005:0	jó , éí bąą Bóhólníihii Diyin God kóní , T'áá íiyisí shił halchíi'go łe'nisingo ał'ąą dine'é dajílíinii dadzidziihii hak'ijį' áádóó Íídam dine'é t'áá át'é hak'ijį' nishłį́įgo yáshti' , háálá hó shikéyah hwíí' dadooleeł áádóó t'óó bik'i nizhdookah biniyé t'áá íiyisí baa hoł dahózhǫ́ǫgo índa ak'ee dazhdiniihgo ádá shódadzoost'e' .
26:36:006:0	Éí bąą Ízrel dine'é bikéyah baa handziihgo dził naaznilígíí áádóó dah daask'idígíí , deíldzisígíí áádóó dahoníts'aa'ígíí ábidiní , Bóhólníihii Diyin God kóní , Shoo , ał'ąą dine'é t'óó nidahałt'i'go bik'ee ti'dahwiisoonii'ígíí biniinaa łe'nisingo t'óó báhádzidgo sháháchį'go haasdzíí' ;
26:36:007:0	éí bąą ał'ąą dine'é nihinaagóó kéédahat'ínígíí bá nidahat'i'go yik'ee ti'dahwiidoonih ; kót'éego ádee haasdzíí' , ní Bóhólníihii Diyin God .
26:36:008:0	Shidine'é k'adę́ę nákahígíí bąą , nihí Ízrel bidził danohłíinii , nihits'áoz'a' dahodooleełgo shidine'é Ízrel bá nihineest'ą' dahodooleeł .
26:36:009:0	Háálá nihich'ijí nishłį́įgo nihich'į' nídeesxis ; nihikáá' hasht'ééhodoolníiłgo k'idi'doolyééł , jó'akon ;
26:36:010:0	nihikáa'gi Ízrel dine'é nilíinii t'óó ahayóigo ádeeshłííł áádóó kin hadaas'áágóó kénáádahojit'į́į doo índa kin hadaas'áii dááchǫ'ígíí ninádadoo'nił ,
26:36:011:0	áádóó nihikáa'gi diné índa naaldlooshii t'óó ahayóigo k'ee'ąą noot'į́įłgo ádeeshłííł , áko éí biyázhí nídahoodleełgo k'ee'ąą noot'į́įł doo ; t'áá átséedi ádanoht'é yę́ęgi át'éego nihikáá'góó diné kéédahat'į́į doo ; átséédą́ą́' nihaa jooshba' nít'éé' yę́ę bilááh át'éego nihaa jooshba' doo , áko índa Bóhólníihii nishłį́įgo nihił béédahodoozįįł .
