26:2:001:1	Iizííkiyel choizhdoo'įįłgo háká áhodoo'niid
26:2:001:0	Éí shich'į' haadzíi'go áshíłní , Diné nílíinii , yiizįįh , nich'į' hadeesdzih .
26:2:002:0	Shich'į' haadzíi'go níłch'i shiih hóóle' áádóó shiisį'go yee shich'į' haadzí'ígíí diséts'ą́ą́' .
26:2:003:0	Kóshíłní , Diné nílíinii , Ízrel dine'é nidaalteehii bich'į' nidéł'a' ; éí shich'į' nidaalteeh ; díí jį́įjį' bí áádóó dabizhé'é yę́ę shich'į' ádił nida'iiszíí' .
26:2:004:0	Éí dine'é t'áá íiyisí doo dajooba' da áádóó doo nibída'didzil da . Bich'į' nííł'aadgo ábididííniił , Bóhólníihii Diyin God kóní , diníi doo .
26:2:005:0	Áko da'íists'ą́ą'go , éí doodaléi' doo da'íists'ą́ą́'góó , jó , shich'į' nidaalteeh , Diyin God yá halne'ii bitahgóó tádííyáago bił béédahodoozįįł .
26:2:006:0	Diné t'éiyá nílį́į nidi , t'áadoo béédanildzidí ; ádaanínígíí ałdó' t'áadoo bééníldzidí , azhą́ diné éí hosh áádóó ch'il hooshahii índa séígo' nidahalingo bił kééhót'į́į nidi , ádaanínígíí t'áadoo bééníldzidí índa dadéez'į́į'go ádaalnii'ígíí t'áadoo bééníldzidí ; shíyee' shich'į' nidaalteehgo ádaat'į́ .
26:2:007:0	Da'íists'ą́ą'go , éí doodaléi' doo da'íists'ą́ą' da nidi , kodóó bee bich'į' hadíídzih nidishnínígíí bee bich'į' yáníłti' , háálá t'áá íiyisí shich'į' nidaalteeh .
26:2:008:0	Kodóó ándishnínígíí yísíníłts'ą́ą́' : Diné shich'į' nidaalteehígíí nahalingo t'áadoo shich'į' nanilteehí ; na'astso'ígíí niyą́ .
26:2:009:0	T'áá dísh'į́į́' nít'éé' ála' léi' shich'į' k'ídeelnii'go naaltsoos yisdisgo dah yootį́į́ł , jó'akon ;
26:2:010:0	shidáahgi náyoostahgo atínídazhdindleeh dooleełígíí áádóó yínííł dajílį́į dooleełígíí índa ti'dahojooníih dooleełígíí bikáá'dę́ę́' áádóó bine'dę́ę́' bee bik'eda'ashchį́ .
