26:10:001:1	Diyin God bibi'oh adidilyéehii bikin bii' sohodizin bits'áldoh
26:10:001:0	Déé'į́į́' nít'éé' , shoo , diyingo naal'a'í bida'alyaii chérabim daolyéii bikáa'di yádiłhiłígíí éí náábikáa'di tsé sáfairgi át'éii bikáá'dóó hoot'áałii nahalingo si'ą́ągo yiiłtsą́ .
26:10:002:0	Áko Bóhólníihii éí diné áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yee hadít'éii yich'į' haadzíi'go yidííniid , Nílááh , chérab biyaagi bąąs yimasii bita' góne' anináahgo chérabim bita'dę́ę́' níla' t'áá áłah bii' tsííd hadiłbingo kin haal'á bik'ijį' aniłkaad . Áko t'áá shinááł yah ííyá .
26:10:003:0	Diné yah ííyáago kin binish'náájí chérabim naazį́ ; nít'éé' binaagóó haz'ání góne' k'os hadéébįįd .
26:10:004:0	Ákohgo Bóhólníihii bee bits'ádi'nílíidii chérab bits'ą́ą́dóó dah diildohgo ch'é'étiinjį' eeldoh , áko kin bii' sohodizin góne' k'os hadéébįįdgo hodílzingo haz'ą́ą́ góne' éí Bóhólníihii bee bi'oh adidilyéehii bits'ádi'nílíidii hadéébįįd .
26:10:005:0	Áko nít'éé' Diyin God Aláahgo Ayóó'ábóodziilii biinéé' diits'a'ígi át'éego chérabim bit'a' deiłbalgo t'áá tł'óo'di haz'ą́ąjį' nidi hodiists'ą́ą́' .
26:10:006:0	Ákohgo kóníigo diné éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yee hadít'éii yich'į' haadzíí' , Chérabim bita'gi bąąs yimasii bita'dóó kǫ' nídiiłt'ááh , áko yah ajííyáago bąąs ła' bíighahdóó dziizį' .
26:10:007:0	Nít'éé' chérab éí chérabim daolyéii yita'dę́ę́' ch'ídeelnii'go chérabim bita'gi kǫ'ígíí ła' néidiit'ąągo éí diné áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yee hadít'éii yílák'ee yidííłt'ą́ ; éí yiyiiłtsoodgo ch'íníyá .
26:10:008:0	Chérabim bit'a' biyaagi éí diné bíla' nahalingo yit'į́ silį́į́' .
26:10:009:0	Náádéésht'į́į́' nít'éé' , shoo , chérabim bíighahgóó bąąs dį́į́' naazį́ ; bąąs t'ááłá'í ní'ánígo chérabim yíighahgóó si'ą́ ; bąąs éí tsé béril wolyéii nahalingo bik'i nidazdiłtooł .
26:10:010:0	Bąąs éí t'áá dį́į'go ahidiníłnáago ahii' sinilígíí t'áá ahidaałt'é .
26:10:011:0	Dah diijahgo éí t'áá dį́į́'góó deíjeeh łeh ; deíjeehgo doo naanájeeh da , nidi t'áá háajigo shį́į́ deezhjéé'góó doo naanájeehgóó t'áá ádeinízingóó deíjeeh łeh .
26:10:012:0	Bąąs t'áá si'ą́ą́ nít'éé' , dabíígháán t'áá bił dabíla'da , dabit'a' ałdó' , bąąs t'áá dį́į'go t'áá bił bináá' t'áá át'é t'áadoo bita' haz'ání bee binidadeeswoł .
26:10:013:0	Diists'a'go bąąsígíí éí bąąs yimasii , deiłní .
26:10:014:0	Chérabim éí t'áá dį́į'go dį́į́' dabinii' : áłtséhígíí chérab yilnii' , t'áá éí naaki góne' diné yilnii' , t'áá nááná éí náshdóítsoh bitsiijį' ditł'ooígíí yilnii' , dį́į́' góne'é éí atsá yilnii' .
26:10:015:0	Ákohgo chérabim wót'ááhgóó dah dadiit'a' . Díí éí dahináanii Kííbar tooh bibąąhdi yiiłtsánígíí ádaat'į́ .
26:10:016:0	Chérabim dah diijahgo bąąs t'áá bíighahgóó deílyeed ; chérabim nídadiit'ááh biniyé dabit'a' de ádayiił'įįhgo bąąs doo bits'áhályeed da .
26:10:017:0	Hasht'e'naazį́įgo bąąs ałdó' hasht'e' naazį́ ; nídadiit'ahgo bąąs ałdó' t'áá bíighah dego nídiijah , háálá dahináanii ádeinízinígíí éí bii' dahólǫ́ .
26:10:018:0	Ákohgo Bóhólníihii bibi'oh adidilyéehii ch'é'étiingi dah yildohii dah diildogo chérabim bikáa'jį' niildoh .
26:10:019:0	Áádóó shinááł chérabim dabit'a' deideesbaalgo bąąs t'áá bíighahgóó deílyeedgo nídadiit'a' áádóó náás dadeest'a' ; nít'éé' Bóhólníihii bikin bii' sohodizin si'ánígíí ha'a'aahjígo dáń'dítį́hígíí ch'é'étiingi nidahaastłahgo Ízrel dine'é biDiyin God bibi'oh adidilyéehii bik'ijį' eeldoh .
26:10:020:0	Díí lą́ą Kííbar tooh bibąąhdi Ízrel dine'é biDiyin God biyaadóó dahináanii yiiłtsánígíí éí ádaat'į́ , áko chérabim ádaat'į́įgo shił bééhózin .
26:10:021:0	T'ááłá'í nítínígo dį́į́' dabinii' áádóó t'ááłá'í nítínígo dį́į́' dabit'a' ; dabit'a' biyaadi éí diné bíla' nahalingo dahólǫ́ .
26:10:022:0	Dabinii' éí Kííbar tooh bibąąhdi yiiłtsánígíí t'áá éí dabinii' ; t'ááłá'í nítínígo t'áá k'éhézdon náásee naaldeeh .
