26:38:001:1	Naat'áanii Gag bich'į' náasdi áhodoonííł baa hane'
26:38:001:0	Bóhólníihii shich'į' hanáánáádzíi'go kóní ,
26:38:002:0	Diné nílíinii , Méígag dine'é bikéyahdi Mííshek dine'é áádóó Túbal dine'é binanit'a'í Gag wolyéii bich'į' dah diníit'aahgo bik'ijį' nílį́įgo handziih ,
26:38:003:0	áádóó , Shoo , Gag yinílyéii , Mííshek dine'é índa Túbal dine'é binanit'a'í nílíinii , nik'ijį' nishłį́ , ní Bóhólníihii Diyin God ,
26:38:004:0	áko nándeesxis áádóó nizéé' góne' béésh názhahígíí adeeshniłgo bee niyaats'iin deeshah áádóó łį́į́' índa łį́į́' yee nidaabaahii t'áá át'éé nít'éé' béésh éé' yii' naazhjée'go nisiláo t'áá dah yinééł nít'éé' ; t'áá bił ayóó ánéelą́ą́' oonéełgo áádóó béésh téél ách'ą́ą́h dah yit'áałii índa naagé deíjáahgo áádóó diltłish deíjáahgo éí t'áá bił ch'índeesłóós :
26:38:005:0	Pérzha dine'é áádóó Iithiyópiya dine'é índa Líbiya dine'é éí hódaóltą'go éí t'áá át'é béésh ch'ah dabich'ahgo áádóó naagé deíjáahgo
26:38:006:0	Gómar dine'é áádóó bisiláo t'áá át'éé nít'éé' bił índa náhookǫs biyaadę́ę'go Togármah dine'é áádóó bisiláo t'áá át'éé nít'éé' yił yinéełgo diné t'óó ahayóí nił hólónígíí bił ch'índeesłóós .
26:38:007:0	Ni áádóó ayóó ádanéelą́ą'go ninaagóó dah da'ínéehii bił hasht'e'ádadołnééh áádóó hasht'e'ádíínílzingo bá ha'ísííd .
26:38:008:0	Lą'í yiską́ą́dóó bik'ijį' níká áhodidoo'niił áádóó lą'í nááhaidóó bik'ijį' éí Ízrel dine'é bikéyahgi dził naaznilgo t'áá áłahjį' doo naagháhí yę́ęgóó ał'ąą dine'é bits'ą́ą́dę́ę́' diné áłah danilínę́ę , éí kéyah anaa' biniinaa yíchxǫ' yę́ę háádílyaii biih dahidoohnééł , nidi Ízrel dine'é éí ał'ąą dine'é bitahdę́ę́' nínádahaasdláa'go ákwii t'áadoo beinít'ínígóó bohoníłdzilgo kénáádahat'į́į doo .
26:38:009:0	Ayóó át'éego deeyolígíí nahalingo náás doohnééł ; k'os diłhił yilzhołígíí nahalingo kéyah t'áá níłtéél nít'éé' bikáá' nikidínóołt'eeł áádóó nisiláo t'áá yinééł nít'éé' bił índa diné t'óó ahayóigo éí bił kódoohnííł .
26:38:010:0	Bóhólníihii Diyin God kóní , Éí bijį́ doo yá'át'ééhgóó tsídííkosgo nahodíí'aałgo
26:38:011:0	ádidííniił , Kin dah naazhjaa'go doo binaa ahééda'astł'inii bich'į' hideeshdáałgo diné bohoníłdzilgo doo íits'a'ígóó kéédahat'íinii éí doo binaa ahééda'astł'inii áádóó doo bidáń'da'ditį́įhii índa doo bich'ą́ą́h dáń'da'dilkałii bik'iidiijah ,
26:38:012:0	áko bąąh da'oogą́ą'ii nídahidííchił áádóó hééł t'óó ahayóí ch'ídahidííyééł ; doo nidaagháhí yę́ęgóó k'ad ákǫ́ǫ́ diné kéédahat'íinii áádóó ał'ąą dine'é bitahdę́ę́' áłah ánályaii éí bił anaa' da'ahidííl'įįł ; éí béégashii índa naalye'é nishódayoost'e'go kédaayah ałníi'gi kéédahat'į́ .
26:38:013:0	Shííba dine'é áádóó Díídan dine'é índa Társhish dine'é bikin dah naazhjaa'ígíí áádóó baa nida'iiniihii kódaaníigo nidanídídóołkił , Hééł índa béésh łigaii áádóó óola áádóó naalye'é índa bąąh da'oogą́ą'ii ayóó ánéelą́ą'go náádahídóohchiłgo nihidahidoohxéełgo béégashii t'áá bił nihidahidínóołkałígíísh biniyé nisiláo áłah íinilaa ?
26:38:014:0	Éí bąą diné nílíinii , Gag bich'į' handziihgo kóbidiní , Bóhólníihii Diyin God kóní , Éí bijį́ Ízrel shidine'é bohoníłdzilgo kééhat'į́įgo ts'ídá nił bééhózin doo .
26:38:015:0	Náhookǫs nidahonees'ą́ądi kééhót'į́į́dę́ę́' díínááł ; ni áádóó diné ayóó ánéelą́ą'go , éí t'áá ałtso łį́į́' bił deíjeehgo , ayóó ánéelą́ą́' siláo yinéełgo siláo ayóó ánéelą́ą́' bił díínééł .
