26:11:001:1	Naat'áanii doo yá'ádaashóonii dabidi'deesteh
26:11:001:0	Áádóó ałdó' Níłch'i Diyinii náshidiiłtį́įgo Bóhólníihii bikin bii' sohodizin ha'a'aahjigo dáń'dítį́įhjį' nishiníłtį́ ; nít'éé' shoo , éí dáń'dítį́įhgi diné naadiin ashdla' naazį́ , áko nít'éé' éí bitahgi Ázer biye' Jeiyazanáíyah áádóó Biinéíyah biye' Pelatáíyah diné binanit'a'í yiiłtsą́ .
26:11:002:0	Áko Bóhólníihii áshidííniid , Diné nílíinii , díí diné doo ákwii é'ét'éii yinahagizgo díí kin haal'áagi t'áá íiyisí doo yá'áshǫ́ǫ́góó kót'éego níigo áhoonííł ;
26:11:003:0	éí ání , Kin ádadoolníłígíí doo nízaad hadziih da ; díí kin haal'áhígíí éí ásaa' bii' abézhí át'é ; nihí éí atsį' niidlį́ .
26:11:004:0	Éí bąą bik'ijį' nílį́įgo handziih ; bik'ijį' handziih , diné nílíinii .
26:11:005:0	Áádóó Bóhólníihii biNíłch'i shik'i hoole'go áshidííniid , Kódíní , Bóhólníihii kóní , Ízrel dine'é nohłíinii , kót'éego nitsídaohkeesgo shił bééhózin , háálá bik'ítsídahidołkeesii shił bééhózin .
26:11:006:0	Díí kin haal'áagi diné t'óó ahayóí daoghą́ą'go kintaa da'aztiingóó ats'íís ałk'i dadeesk'idgo ádaohłaa .
26:11:007:0	Éí bąą Bóhólníihii Diyin God ání , Díí kin haal'áhígíí éí ásaa' bii' abézhí át'é , áko daoghą́ą'ii ałníi'gi yáádaotsiígíí éí atsį' ádaat'é , nidi nihí éí bitahdóó hanihideeshjih .
26:11:008:0	Diltłish béédasoołdzííd , nidi diltłish nihik'ijį' kódeeshłííł , ní Bóhólníihii Diyin God .
26:11:009:0	Kintahdóó hanihideeshjihgo dé'éyóní baa nihidideesh'ááł índa bee nihá nihoot'ánígíí bohodoolnííł .
26:11:010:0	Diltłish bee nidanihidi'dootsiłgo Ízrel dine'é bikéyah bibąąhdi atídanihideeshłííł , áko Bóhólníihii nishłį́įgo nihił béédahodoozįįł .
26:11:011:0	Díí kin haal'áhígíí éí doo ásaa' bii' abézhí nihá át'ée da doo , doo nidi biníi'gi atsį' doohłeeł da ; Ízrel dine'é bikéyah bibąąhdi atídanihideeshłíiłgo
26:11:012:0	Bóhólníihii nishłį́įgo nihił béédahodoozįįł , háálá bee nihoyí'áanii doo bik'ehgo danohkai da índa shibik'ehgo hoogáałii t'áadoo bida'oohłaa da , nidi ał'ąą dine'é nihinaagóó kéédahat'ínígíí bibik'ehgo dahwéegháahii , jó , éida bida'oohłaa .
26:11:002:1	Hasht'éédoolníiłii áádóó ániidí nídoodleełii baa nihoot'ą́
26:11:013:0	Áko yáshti'go Biinéíyah biye' Pelatáíyah daaztsą́ . Áadi tsé'yaa íígo'go ayóó íits'a'go haasdzíi'go ádííniid , Ha'át'íí lá ahayóí lá , Bóhólníihii Diyin God nílíinii ! Ízrel dine'é daadziihígíísh ałtso ádííłdįįł ?
26:11:014:0	Áádóó Bóhólníihii ánááshidoo'niidgo ání ,
26:11:015:0	Diné nílíinii , Jerúsalemdi kéédahat'ínígíí , éí nik'isóó danilíinii , nik'isóó danilíinii lą́ą , diné nik'éí danilíinii , Ízrel dine'é t'ááłá'í nítínígo ts'ídá t'áá ałtso kódeiłníigo yá hadaasdzíí' , Eii lą́ą Bóhólníihii nízaadgóó bits'ájíkai ni ; díí kéyah éí nihí dooleełgo nihaa deet'ą́ , daaní .
26:11:016:0	Éí bąą kódíní , Bóhólníihii Diyin God kóní , Azhą́ nízaadgóó ał'ąą dine'é bitahgóó tahwiishíjaa' nidi , kédaayahgóó adahonííłkaad nidi , áadi éí kédaayahgóó t'óó kónígháníjį' bine' a'niichéehii há nishłį́į́ nít'éé' .
26:11:017:0	Éí bąą kódíní , Bóhólníihii Diyin God kóní , Dadine'é bitahdę́ę́' áłah ánáhodeeshłííł ; kédaayahgóó tahodi'nooskaadii áádę́ę́' áłah áhodeeshłíiłgo Ízrel dine'é bikéyah haa dideesh'ááł .
26:11:018:0	Áko áajį' níjí'náago éí kéyahdi danchxǫ́'ígíí t'áá ałtso índa doo daaldinii t'áá ałtso nahjį' kódeidoolííł .
26:11:019:0	Ajéí t'ááłá'í haa dideesh'áałgo nitsáhákees ániidíii hwiih dadeeshłééł , áko hayi'dę́ę́' hajéí daatséhígíí hadahideeshniłgo hajéí dahináago haa dadideesh'ááł ,
26:11:020:0	áko bee nihoyí'áanii índa shibik'ehgo hoogáałii bida'jił'į́ áádóó bik'ehgo dajíkáah doo , áko shidine'é dajílį́į doo áádóó haDiyin God nishłį́į doo .
26:11:021:0	Nidi danchxǫ́'ígíí índa doo daaldinígíí dabijéí yídin danilį́įgo yee hádaat'íinii éí ádajíít'įįdii hak'i yáádeideestsihgo k'éédahodideeshdlííł , ní Bóhólníihii Diyin God .
26:11:022:0	Ákohgo chérabim éí bąąs bíighahgóó naazį́įgo dabit'a' de ádayiilaa áádóó Ízrel dine'é biDiyin God bibi'oh adidilyéehii bikáa'gi dah yildoh .
26:11:023:0	Áádóó Bóhólníihii bibi'oh adidilyéehii kintahdóó dego dah diildohgo kin haal'áádóó ha'a'aahjígo dził si'ánígíí bikáá' niildoh .
26:11:024:0	Áko Diyin God biNíłch'i Diyinii bee shił áhát'į́įgo áshiilaago dashidiiłtį́įgo Kaldííya kéyahdi diné daasnáanii nidaakaijį' nishiníłtį́ . Nít'éé' shił áhát'íinii shits'ą́ą́' de dah diildoh .
26:11:025:0	Áko Bóhólníihii shił ííshją́ą́ áyiilaaígíí t'áá ałtso yisnááh danilíinii bee bił hweeshne' .
