56:2:001:1	Gwaandak Nizįį Łi'didlii T'inchy'aa
56:2:001:0	Gwandak Nizįį , łi'didlii gwizhit gwizhrįh geech'ǫąąhtan .
56:2:002:0	Dinjii ch'anjaa nilii nąįį jii eegoovaahtan : Dinjii nąįį gooyinjihah'aa gwizhrįh gwats'ą' googwitr'it gweheelyaa gwizhrįh , ts'ą' deegii'in datthak gwik'eegahahtyaa gwizhrįh . Vit'eegwijyąhchy'aa zhrįh k'injigiheeghit ts'ą' dinjii nąįį eenjit ch'eet'igwiniindhan gihee'yaa ts'ą' goovaa googwantrii gaa nihk'it Jesus Christ tąįį giheedaa gwizhrįh .
56:2:003:0	Ąįį gwik'it chan , tr'injaa ch'anjaa nilii nąįį chan shroodiinyąą zhit gwizhrįh gwigweheendaii , ąįį geenjit geegoovąąhtan . Dinjii nąįį oozhri' iizųų gahahtsyaa gwinehts'į' idik'ahąąntyaa . Jak chų' gwintł'oo giheenjyaa gwits'į' eedik'eegahaantyaa . Jidii gwinzii t'igii'in gwizhrįh eech'agahahchyaa ,
56:2:004:0	tr'injaa ch'anjaa nilii nąįį , tr'injaa vaghaii nitsya' nąįį dagakai' , digigii haa eet'igigehęęnghyaa ąįį geenjit geegoogahahchyaa .
56:2:005:0	Ąįį tr'injaa vaghaii nitsya' nąįį gwik'injigiighit zhit deegii'in ts'ą' deeginyąą datthak gwinzii gwik'eegahahtyaa . Shroodiinyąą zhit gwigweheendaii ts'ą' digizheh k'ąą gwinzii gwik'eegahahtyaa ts'ą' dagakai' deegoovahnyąą gwik'eegwagwahahthat . Jyąhts'ą' gwagwandaii ji' duuyeh Vit'eegwijyąhchy'aa Vagwandak Nizįį ch'izhii dinjii nąįį tr'agwaanduu geegiginkhii geenjit .
56:2:006:0	Ąįį gwik'it chan dinjii tsyaa nąįį deegii'in , deeginyąą datthak gwinzii gwak'ǫǫhtii goovohnyąą .
56:2:007:0	Ch'izhii dinjii nąįį khit goots'ą' gwinzii t'ini'in , ąįį gwik'iighai' dinjii tsyaa nąįį nik'it t'igihee'yaa geenjit . Vagwandak Nizįį eech'ǫąąhtan dąį' gwihil'ee ts'ą' łi'didlii haa geech'ǫąąhtan .
56:2:008:0	Gwandak Nizįį łi'deegwidlii haa zhrįh geech'ǫąąhtan , ąįį ji' duuyeh gwiizųų t'iinyąą nagahnyąą , jyaa ni'in ji' juu nits'į' t'inchy'aa nąįį oozhii giheelyaa ts'ą' diikhwan gwik'injiriighit duuyeh gwiizųų diineegiginkhii t'oonchy'aa .
56:2:009:0	Slaves nąįį jii jyaa digihee'yaa gwizhrįh goovaihnyąą , juu goots'ą' k'eedeegwaadhat nąįį deegoogahnyąą datthak gwik'eegwagwahahthat . Gwidii gigiheehkhyaa kwaa , ts'ą' khit shoo googahahtsyaa gwizhrįh gwik'eegogwandaii .
56:2:010:0	Slaves ǫhłįį ts'ą' goots'an ch'oh'įį shrǫ' gaa juu goots'ą' k'eedeegwaadhat dinjii łi'didlii ǫhłįį nakhwagahah'yaa ts'ą' Vit'eegwijyąhchy'aa neediinahshii eenjit geech'ǫąąhtan datthak gooveenjit gwinzii t'igweheenjyaa .
56:2:011:0	Vit'eegwijyąhchy'aa vich'eegoonzhrii haa neediinahshii ąįį dinjii ts'ą' gwigweelkįį .
56:2:012:0	Vit'eegwijyąhchy'aa vich'eegoonzhrii eh'an nats'ąą dinjii tr'oolį' diinoonyąą gwik'it dinjii tr'iheelyaa ts'ą' juu gwik'injiighit kwaa nąįį jidii gwiizųų giindhan ąįį łyaa ts'ą' dinjireheeghit kwaa . Gaa gwiizųų t'igwehee'yaa gwits'į' idik'eerahaantyaa . Vit'eegwijyąhchy'aa shoo tr'ahahtsyaa gwizhrįh geenjit gwireheendaii .
56:2:013:0	Jyaa digwii'in gwiizhit nijin drin Jesus Christ Diivit'eegwijyąhchy'aa jiintsii nilii ts'ą' neediihahshii dich'eegwąhndit zhit k'ineeheedik gwats'ą' geenjit nagwarool'in .
56:2:014:0	Jii Jesus Christ neereheezhii geenjit gwintł'ee adaachįį . Tr'agwaanduu t'igwii'in gwats'an tr'ineediiniinlii , ts'ą' vigii tr'iheelyaa geenjit shroodiinyąą diiniłtsąįį , ts'ą' Vit'eegwijyąhchy'aa vandah gwinzii zhrįh t'agǫǫ'ya' gweheenghyąą .
56:2:015:0	Ąįįts'ą' Titus , njuu kat Crete gwizhit gwik'injiighit nąįį jii jidii naagwaldak eegoovaahtan . Jesus vat'aii k'iighai' nijin gwinzii t'igii'in dąį' jyaa goovaihnyąą , ts'ą' nijin gwiizųų t'igii'in dąį' jyaa dakhwa'in kwaa goovaihnyąą . Ch'ihłee gaa zhyaa ginkhii nagoonyą' shrǫ' .
