56:1:001:1	Saint Paul , Titus ts'ą' Dęhtły'aa Daantł'oo
56:1:001:0	Shįį Paul , Vit'eegwijyąhchy'aa vi-slave ts'ą' Jesus Christ eenjit Tr'ihił'e' ihłįį jii dęhtły'aa nats'ą' dįhtł'oo . Shįį t'ee Vit'eegwijyąhchy'aa gwiteetr'ashąhchįį , Vit'eegwijyąhchy'aa dinjii nąįį gwiteetr'iinlii gook'injigwiighit gwint'aii gwahałtsyaa geenjit Gwandak Nizįį eegoohałchyaa ts'ą' Vit'eegwijyąhchy'aa shoo gahtsii zhit gwigweheendaii geenjit .
56:1:002:0	Vit'eegwijyąhchy'aa , ch'ihłok gaa oots'it kwaa haa deenaadąį' nan gweheelyaa gwehkįį gwats'an deeshi'yaa nyąą gwik'it t'iizhik . Vidinji' Jesus Christ , k'iighai' neediihahshii ts'ą' gwandaii ndaanąą'ąį' kwaa haa vaa t'igweheechy'aa geenjit gwiłtsąįį .
56:1:003:0	Nijin Vit'eegwijyąhchy'aa gwinzii nindhan izhit t'ee Gwandak Nizįį , eegwahaaldak eenjit shrigweheelyaa . Vit'eegwijyąhchy'aa neediinahshii ąįįt'ee jii gwitr'it t'agwahał'yaa gwizhrįh shahnyąą .
56:1:002:1	Titus , Crete Njuu Kat Goo'aii gwizhit Tr'agwah'in
56:1:004:0	Titus , jii dęhtły'aa nats'ą' dįhtł'oo , gwik'injigwiighit zhit shidinji' łi'didlii inlii . Gwiti' , Vit'eegwijyąhchy'aa ts'ą' Diik'eegwaadhat neediihahshii Jesus Christ haa ch'eegoonzhrįį , akwat tsinehdan haa nats'an gohtsyaa .
56:1:005:0	Nijin Crete njuu kat goo'aii , izhit gwats'an nihłishahoozhii , dąį' zhit gwa'an kwaiik'it goodlii kwaii tr'igiinkhii zheh , shrineegwihinlyaa ts'ą' ch'anjaa nąįį gwitee tr'ihiinlyaa , ąįįts'ą' tr'igiinkhii zheh gwiteegwaanchy'aa kįh nagoovihinlyaa geenjit , ts'ą' jii deenaihnyąą datthak gwinzii gineehaandaii yuu .
56:1:006:0	Zhit juu ch'anjaa gwik'injiighit kįh dilk'ii nąįį tee googwitr'it heezyaa ts'ą' goo'at ch'ihłak zhrįh gweheelyaa . Ąįį eeninjigwagwahaashyaa kwaa , ąįį k'it t'inchy'aa nąįį zhrįh kįh haaky'aa gwahahtsyaa . Juu k'įh dilk'ii dhąhtsąįį nąįį googii gwik'injiheeghit gwizhrįh , ts'ą' tr'agwaanduu googwitr'it gwanlii akwat gwik'eegwagwahthat kwaa goorahnyąą haa gooveegareheekhyaa kwaa .
56:1:007:0	Tr'igiinkhii zheh gwizhit dinjii ndak khii nilii Vit'eegwijyąhchy'aa gwitr'it t'agwah'in geenjit khit gwiizųų vigwitr'it gweheelyaa , khaiinjigihil'ee kwaa , ch'anakhwanį' heelyaa kwaa , khan vik'iigwahaadhak chan kwaa ts'ą' dee'in , deenyąą haa datthak gwinzii gwik'eehaahtyaa , ch'ahaahkhwaa kwaa ts'ą' laraa hahtsyaa geenjit ch'ihzhii dinjii nąįį eeninjigwahaazhii kwaa .
56:1:008:0	Dizheh gwizhit aakin haandaii kwaa ji' nihk'it nihdeehahchik , jidii gwinzii datthak geenjit ch'eet'igwiniindhan hee'yaa , digwizhi' chan k'eehahtyaa ts'ą' juu nąįį datthak ts'ą' gwinzii ninjich'iheedhat . Dinjii yeek'ii'an tr'agwah'in heelyaa kwaa , ts'ą' dinjii nąįį datthak ts'ą' gwinzii t'ihee'yaa ts'ą' Vit'eegwijyąhchy'aa chan gwinzii tąįį heekhaa . Izhit chan shroodiinyąą heelyaa ts'ą' gwiizųų t'ihee'yaa gwits'į' gwik'eehaahtyaa .
56:1:009:0	Jesus Christ , Gwandak Nizįį zhit veegirinkhii ąįį gwik'injiheeghit ts'ą' gwint'aii gwahoontą' . Ąįį deegwinyąą datthak łi'didlii haa dinjii lat nąįį t'aih goots'an hahtsyaa ts'ą' juu diigwik'injigwiighit ts'į' t'inchy'aa nąįį łi'deegwidlii zhit Gwandak Nizįį geegoogąąhtan kwaa goots'ą' gwagwahahchy'aa geenjit .
