56:3:001:1	Gwik'injiighit Nąįį Nats'ąą Gwinzii Gwigweheendaii
56:3:001:0	Titus , Crete njuu kat dinjii gwik'injiighit nąįį Roman k'eedeegwaadhat nąįį k'eegohthat goovaihnyąą , ts'ą' khit ch'izhii dinjii nąįį ts'ą' hohsyaa gwik'eegǫhdaii goovaiinyąą .
56:3:002:0	Dinjii nąįį tr'agwaanduu eegoohkhyaa shrǫ' . Ts'ą' juu nąįį datthak haa tsinehdan ǫhłįį ts'ą' juu nąįį datthak eenjit ch'eet'igwiniindhan akhwa'įį ts'ą' chan juu nąįį datthak ts'ą' nakhweeshroonchy'aa goovaiinyąą .
56:3:003:0	Gwik'injigwireheeghit gwats'ą' dąį' tr'igwirinjik ts'ą' Vit'eegwijyąhchy'aa k'eegwarahthat kwaa , dinjii nąįį gwiizųų t'igwehee'yaa geenjit goots'it haa gwik'it t'igwii'in diigahtsii . Tr'agwaanduu nihłehjuk t'agǫǫ'ya' gwiindhan diits'ą' k'eedeegwaadhat k'it t'oonchy'aa . Ch'izhii dinjii nąįį ts'ą' khit tr'agwaanduu diigwitr'it gwanlii ts'ą' jidii gii'įį chan khan diits'an oolį' gwiindhan . Dinjii nąįį diitr'ii'ee ts'ą' diikhwan chan gootr'igwii'ee .
56:3:004:0	Jyaa digwii'in googaa nihk'it Vit'eegwijyąhchy'aa neediinahshii diits'ą' dich'eet'igwiniindhan ts'ą' zhuut'iichy'aa haa agweełkįį .
56:3:005:0	Vit'eegwijyąhchy'aa tr'agwaanduu t'igwii'in zhit diigwahąhshii gwits'į' neediinahshii . Gwinzii t'igwee'ya' geenjit nakwaa gaa neeshraahchy'aa diinoonyąą geh'an . Vit'eegwijyąhchy'aa , juu diitr'agwaanduu oo'an gwahaadlii Ch'anky'aa Shroodiinyąą diinantł'eiin'ąįį haa neediinahshii ąįį zhit ch'ijuk dinjii tr'iheelyaa ts'ą' diigwitr'it chan ch'ijuk t'iheechy'aa .
56:3:006:0	Vit'eegwijyąhchy'aa vich'eegoonzhrii zhit Ch'anky'aa Shroodiinyąą nitsii haa diik'aa naanjik , Jesus Christ k'iighai' neediihahshii geenjit .
56:3:007:0	Vit'eegwijyąhchy'aa jyaa diizhit ąįį gwik'iighai' vigii tr'ihee'yaa ts'ą' ndaagwąą'ąį' kwaa gwats'ą' datthak vaa t'igwiheechyaa gaagwiindaii . Vit'eegwijyąhchy'aa vich'eegoonzhrii zhit jii datthak diineenjit gwik'it gwanlii ts'ą' gwiizųų t'igwiizhik kwaa danahaanjyaa .
56:3:008:0	Jii deenaihnyąą t'ee datthak łyaa t'ihnyąą ts'ą' nijin geech'ǫąąhtan dąį' łyaa gwik'it t'igihee'yaa gwizhrįh goovaiinyąą , juu gwik'injiighit nąįį Vit'eegwijyąhchy'aa deegoo'ya' goovoonyąą gwik'it t'ihee'yaa ts'ą' , jii geech'oorahtan t'ee juu nąįį datthak ts'iheenjyaa t'inchy'aa .
56:3:009:0	Dinjii juu tr'igwinjik ky'aa ginkhii haa nihzheedǫǫ'ee shrǫ' , ts'ą' juu yeenaa nihzheeneedijii ts'an ihshyaa nyąą ts'ą' nakhwazheedaa'ee akwat Moses va-law eenjit ch'ats'ą' t'inyąą nąįį ts'į' adak'ǫǫntii . Jii kwaii datthak ginilih kwaa ts'ą' vit'eegwaahchy'aa kwaa kwaii t'inchy'aa .
56:3:010:0	Dinjii gwiizųų gwahtsii ji' akwat dagoovahnyąą , gaa nihk'it t'igii'in ji' chan akwat dagoorohnyąą , nagoołk'įį kwaa ji' , gaanagoon'aa shrǫ' !
56:3:002:1	Jii Zhrįh T'ihihjyaa ts'ą' Nakhwadiveegoozų'
56:3:011:0	Tr'agwaanduu googwitr'it gwanlii k'iighai' dinjii iizųų ginlii t'igii'in goovaakhwandaii ts'ą' juu nąįį datthak gootr'agwaanduu k'iighai' gwiizųų t'igii'in goovaagiindaii geenjit .
56:3:012:0	Nicopolis kwaiik'it gwachoo gwats'ą' hihshyaa ts'ą' zhat khaii datthak t'ihihchy'aa nihthan . Dinjii Artemas akwat Tychicus haa ch'ihłee zhat k'idik ji' gwagwahkhan dzaa Nicopolis kwaiik'it gwachoo shats'ą' hinkhaa gwik'eegwiindaii .
56:3:013:0	Dinjii Zenas , lawyer , nilii ts'ą' dinjii Apollos haa nihky'aa k'eegihee'oo eenjit goots'ihiinjyaa gwik'eegwiindaii . Jidii deegaahchy'aa geenjit datthak goots'iinyąą .
56:3:014:0	Crete njuu kat gwik'injiighit nąįį ch'izhii dinjii goots'aroonyaa niindhan nąįį ts'igiheenjyaa geenjit gwint'aii gwitr'it t'agwagwahah'yaa geenjit geegoovąąhtan , nijin gwit'eegwaahchy'aa dąį' dinjii vit'injarahchy'aa giheelyaa ts'ą' zhyaa dinjii ginilih kwaa k'it t'iheechy'aa kwaa geenjit .
56:3:015:0	Dzaa juu shaa dilk'ii nąįį datthak nidiveegoozų' nagahnyąą . Zhat Crete gwizhit juu gwik'injiighit nąįį diineet'iindhan datthak chan goodivee goozu' goovaihnyąą . Vit'eegwijyąhchy'aa vich'eegoonzhrii datthak nakhwaa oolį' .
