43:21:001:1	Jesus éí bídahooł'aahii tsosts'idgo yich'į' yit'íní í'diilyaa
43:21:001:0	Kódzaadóó bik'ijį' Taibííriyas be'ek'id bibąąhgi Jesus éí hódahooł'aahii bich'į' yit'íní ánáázh'diilyaa ; kót'éego bich'į' yit'íní ízh'diilyaa .
43:21:002:0	Ákwii Sáíman Peter , áádóó Thomas , éí Naakií hodi'nínígíí , áádóó Natháneiyel éí Kéínadę́ę́' naagháhígíí , éí kéyah Gálilii biyi'dóó , áádóó Zébedii biye' nidilt'éego , índa ła' Jesus bíhooł'aahii nidilt'éego bił ahíjiikai .
43:21:003:0	Nít'éé' Sáíman Peter áhodííniid , Łóó' hahideestsosgóó déyá . Nít'éé' , Nihí ałdó' ákǫ́ǫ́ nił diikah , dahodííniid . Áko ch'íjíkaigo tsinaa'eeł biih jookai , nidi éí bitł'éé' t'áadoo łóó' ła' hadadzistsooz da .
43:21:004:0	Nít'éé' hayííłką́ągo tábąąhgi Jesus sizį́įgo dajiiłtsą́ , nidi ídahooł'aahii Jesus át'į́įgo t'áadoo yéédahoosįįd da .
43:21:005:0	Áko Jesus áhodííniid , Sha'áłchíní , łóó'ósh nihee dahólǫ́ ? Nít'éé' , Ádin , dabizhdííniid .
43:21:006:0	Áko áhodííniid , Tsinaa'eeł binish'náájígo łóó' bee hahaltsósí taah daałtsóosgo ła' bee hadadoołtsos . Áko taah dadzistsooz , nít'éé' łóó' t'óó ahayóigo biniinaa ch'ééh hadadziłtsóós .
43:21:007:0	Áko íhooł'aahii Jesus ayóó'ábó'nínígíí Peter áyidííniid , Bóhólníihii át'į́į́ lá ! Sáíman Peter éí Bóhólníihii át'į́įgo yidiizts'ą́ą'go , bi'éé' yee ákászas , háálá deji' bi'éé' t'áágéedgo naalnish nít'éé' , áádóó táyi' góne' dah diilwod .
43:21:008:0	Nidi ła' ídahooł'aahii łóó' bee hahaltsósí yee łóó' dayíshoodgo tsinaa'eeł yázhí bił ní'éél , háálá tábąąhjį' t'áá áyídí , ach'oozhlaa'dóó ála' bílátahjį' áníłtsoígíí éí naakidi neeznádiindi ahą́ą́hdí'á ánízah .
43:21:009:0	Táłts'ájíkaigo , ákǫ́ǫ́ tsííd kǫ'go dajiiłtsą́ , tsííkáa'gi łóó' sinilgo áádóó łahjí łees'áán sinil .
43:21:010:0	Áko Jesus áhodííniid , Łóó' hadasoołtsoozígíí ła' nídoohjááh .
43:21:011:0	Áko Sáíman Peter tsinaa'eeł yiih yíyáago łóó' bee hahaltsósí , łóó' bii' hadeezbingo táłts'éiníshóód , nít'éé' łóó' dantsxaazígíí neeznádiindóó ba'aan ashdladiindóó ba'aan táá' lá . Azhą́ t'óó ahayóí lá nidi , łóó' bee hahaltsósí t'áadoo neheezdláad da lá .
43:21:012:0	Jesus áhodííniid , Hágo , da'ohsą́ . Áko hódahooł'aahii t'áadoosti'ee , Háí lá ánít'į́ ? t'áadoo dahodííniidí da , háálá Bóhólníihii át'į́įgo bił béédahózin .
43:21:013:0	Áádóó Jesus dah diiyáago łees'áán néidiinilgo hataiznii' , índa łóó' ałdó' .
43:21:002:1	Jesus áádóó Peter
43:21:014:0	Dadziztsą́ą́dę́ę́' náázdiidzáádóó bik'ijį' díí bił k'ad táadi hódahooł'aahii bich'į' yit'íní ánízh'diilyaa .
43:21:015:0	Da'jííyą́ą'go Jesus , éí Sáíman Peter áyidííniid , Sáíman , John biye' nílíinii , da' díidíígíísh biláahgo ayóó'áshííní'ní ? Áko , Aoo' , Bóhólníihii ; ayóó'ánósh'níigo nił bééhózin , bizhdííniid . Áádóó ánááhodoo'niid , Shidibé yázhí ba'íłtso' .
43:21:016:0	Naakidi aleeh góne' ánááhodoo'niid , Sáíman , John biye' nílíinii , da' ayóósh'áshííní'ní ? Áko ánáábizhdi'ní , Aoo' , Bóhólníihii ; ayóó'ánósh'níigo nił bééhózin . Áádóó ánááhodoo'niid , Shidibé baa áhólyą́ .
43:21:017:0	Táadi azlį́į́' góne' ánááhodoo'niid , Sáíman , John biye' nílíinii , da' ayóósh'áshííní'ní ? Táadi Peter , Da' ayóósh'áshííní'ní ? ho'doo'niidígíí biniinaa yíní biih níjíítłizh . Áko ábizhdííniid , Bóhólníihii , t'áá ałtsoní nił bééhózin ; ayóó'ánósh'níigo nił bééhózin . Jesus ánááhodoo'niid , Shidibé ba'íłtso' .
43:21:018:0	T'áá aaníí , t'áá aaníígóó ándishní , Ániid naniná yę́ędą́ą́' áká nánílzisgo t'áá ni nínízingóó nanináá nít'éé' , nidi hasínítihgo ałts'ą́ąjį' k'ídidíílchił , áko ła'da áká nidoosisgo doo deesháał da nínízin yę́ęgóó nidoołtééł .
43:21:003:1	Íhooł'aahii ayóó'óó'níinii
43:21:019:0	Díí kót'éego dazdootsaałígíí bee Diyin God baa hozhdoonih biniyé yee hach'į' haadzíí' . Áádóó kóhodííniid , Shikéé' yínááł .
43:21:020:0	Áko Peter nídzízyiz , nít'éé' íhooł'aahii Jesus ayóó'ábó'nínígíí hakéé' yigáałgo jiiłtsą́ , éí da'jííyą́ą́ nít'é'ígi Jesus biyid binahjį' dziztį́įgo , Bóhólníihii , háishą' ninándidoo'ááł ? bizhdííniidii .
43:21:021:0	Áko Peter éí yiyiiłtsą́ągo Jesus áyidííniid , Bóhólníihii , díí diné éí hait'ée doo ?
