43:15:001:1	Jesus éí ch'il na'atł'o'ii t'áá aaníinii
43:15:001:0	Shí ch'il na'atł'o'ii t'áá aaníinii nishłį́ , shiTaa' éí ch'il na'atł'o'ii yaa áhályáanii nilį́ .
43:15:002:0	Shits'áda'iitł'óohgo doo bineest'ą' dahaleehii , t'áá ałtso shits'áyiinííł , t'áá ałtso bineest'ą' bąąh nídahadleehígíí éí bits'áoz'a' bílátah níjiigish , t'ah biláhígo bąąh nínáádahodoodleeł biniyé .
43:15:003:0	Saad bee nihich'į' yááłti'ígíí bee t'áá íídą́ą́' hasht'edanihi'diilyaa .
43:15:004:0	Shii' dahonohłǫ́ , shí ałdó' nihii' honishłǫ́ǫ doo . Ats'á'átł'óohii t'áá bízhánígo doo bąąh náhádleeh da , bá íí'áii biłgo t'éiyá , ts'ídá ákót'éego doo shii' dahonohłǫ́ǫ́góogo , aneest'ą' doo nihits'ą́ą́dóó náhoodleeł da doo .
43:15:005:0	Ch'il na'atł'o'ii sikaadii nishłį́ , nihí t'éí ats'áda'iitł'óohii danohłį́ . Shii' hojílóonii , áádóó shí hwii' honishłóonii , ts'ídá éí aneest'ą' lą'í hats'ą́ą́dóó náhoodleeł , háálá t'áá shídingo t'áadoo bídanooł'ání da .
43:15:006:0	Áko diné t'áá háiida doo shii' hojílǫ́ǫ́góó , éí ats'á'átł'óhígíí yóó'ahelghą́ąhgo yigą́hígíí nahojílin ; jó , éí áłah ál'įįh áko tsídza dahalka'go , adahidilk'ą́ą́h .
43:15:007:0	Áko shii' dahonohłǫ́ǫgo , áádóó shizaad nihii' dahólǫ́ǫgo , t'áá danohsinígíí dayínóhkeed , áko nihá bi'doolnííł .
43:15:008:0	Aneest'ą' t'óó ahayóí nihits'ą́ą́dóó náhoodleełígíí bee shiTaa' ayóó át'éego baa ha'niih , áko éí bee shídahooł'aahii danohłį́į doo .
43:15:009:0	T'áá aTaa' ayóó'áshó'nínígi át'éego , shí ałdó' ayóó'ánihósh'ní ; she'ayóó'ó'ó'ni' bii' dahonohłǫ́ǫgo áda'díínółzin .
43:15:010:0	T'áá shiTaa' yee nahas'áanii bik'eh honish'į́įgo be'ayóó'ó'ó'ni' bii' honishłónígi át'éego , bee nahoséł'áanii bik'eh dahonoł'į́įgo , she'ayóó'ó'ó'ni' bii' dahonohłǫ́ǫ doo .
