43:5:001:1	Tó siyį́įgi náá'diilzá
43:5:001:0	Kódaadzaadóó bik'ijį' Jew dine'é hodílzingo áłah nída'ałeeh baa honíyá , áko Jerúsalem góde Jesus jiníyá .
43:5:002:0	Nít'éé' Jerúsalemgi , dibé bá ąą ńdítį́hí bíighahgi , Hííbrew k'ehgo Bethésda wolyéego tó siyį́į́ lá , éí binaagóó ashdla'go chaha'oh .
43:5:003:0	Ka nidajikaígíí ákwii t'óó ahojíyóí jizhjéé' , éí doo da'joo'ínígíí , nidazh'niłhodígíí , hatah doo nidahwii'nánígíí jizhjéé' lá [ éí tó hidoo'náłígíí biba' jizhjéé' ,
43:5:004:0	háálá baa náhwiilzhíishgo Bóhólníihii bidiyingo naal'a'í ła' tó siyínígíí yiih nádáahgo tó néidiiłnááh , áko t'áá háiida t'áá ha'át'éegoda hąąh dah haz'áanii t'áá átsé tó hidees'náá'dóó bik'ijį' biishdiltałígíí bee yá'át'ééh níjídleeh] .
43:5:005:0	Diné ła' , t'áá ka naagháago tádiindóó ba'aan tseebíí nááhai léi' ákwe'é atah lá .
43:5:006:0	Jesus éí yiyiiłtsą́ągo t'áá ákwe'é dziztį́įgo lą'í nááhaigo bił bééhózingo áháłní , Nááshidi'doodlááłísh nínízin ?
43:5:007:0	Áko diné daatsaahígíí áhodííniid , Kwá'ásiní , jó , tó náhidi'náahgo t'áadoo tó yiih shółtéłí da , áko t'ahdii t'áá ch'ééh ásht'į́įgo náánáła' t'áá shí áłtsé yiih nídadiltał .
43:5:008:0	Áko Jesus áhodííniid , Nídiidááh , bik'i nítéhí nídiiłtsóosgo dah diinááh .
43:5:009:0	T'áá áko diné éí hadaałt'é ánábi'diilyaa , áko bik'izhnitéhí nízdiiłtsoozgo dashdiiyá . Díí háá'áyį́į́h jį́ biyi' áhóót'įįd .
43:5:010:0	Éí biniinaa Jew dine'é danilíinii diné náábi'diilzáhígíí ádeidííniid , K'adyee' háá'áyį́į́h jį́ , áko bik'i nítéhí yíłtsosígíí doo bee haz'ą́ą da .
43:5:011:0	Áko ábizhdííniid , Nááshidiisáhígíí t'áá éí , Bik'i nítéhí nídiiłtsóosgo dah diinááh , shidííniid .
43:5:012:0	Áko nidahódééłkid , Háishą' diné shį́į́ , Bik'i nítéhí nídiiłtsóosgo dah diinááh , nidííniid ?
43:5:013:0	Nidi diné náábi'diilzáhígíí éí náábidiisáii doo bił bééhózin da , háálá ákwe'é áłah ílį́įgo biniinaa Jesus dah diiyá .
43:5:014:0	Áádóó bik'ijį' kin bii' sohodizin bił haz'ą́ą́ góne' Jesus hak'íníyáago áhodííniid , Jó'akon , nááni'diilzá ! T'áadoo bąąhági ánáánít'íní , áko ha'át'íida t'ah aláhígo doo yá'át'éehii doo bee nich'į' ánááhodoo'níił da .
43:5:015:0	Áádóó éí diné dah diiyáago , Nááshidiisáhígíí éí Jesus át'į́ , níigo Jew dine'é yił hoolne .
43:5:016:0	Díí háá'áyį́į́h jį́į́ góne' Jesus baa nijiyáhígíí biniinaa Jew dine'é éí atídahoolaa [ áádóó dahodiyiilyééł daniizį́į́'] .
43:5:017:0	Nidi Jesus ábidííniid , ShiTaa' t'áá áłahjį' díí jį́į́góó yilnish , shí ałdó' yishnish .
43:5:002:1	AYe' nilíinii bibee óhólnííh
43:5:018:0	Áko háá'áyį́į́h jį́į́ góne' Jew dine'é bibee haz'áanii k'ízhníti'ígíí biniinaa Jew dine'é dahodiyiilyééł daniizį́į́' , nidi doo t'áá éí t'éiyá biniinaa da , nidi Diyin God shiTaa' bijiníigo Diyin God bił ahijíłt'éego ízh'dólzinígíí biniinaa t'ah aláhídi át'éego dahodiyiilyééł daniizį́į́' .
43:5:019:0	Áko Jesus áhodííniid , T'áá aaníí , t'áá aaníígóó ánihidishní , AYe' jílíinii t'áá hó hánii k'ehgo ha'át'íhída doo ázhdoolíił da , nidi aTaa' hanááł yaa naagháhígíí t'éiyá , háálá aTaa' ha'át'íhída yaa naagháhígíí , t'áá éí ałdó' aYe' yaa naaghá .
