43:9:001:1	Jesus éí diné t'áá bi'dizhchį́į́dę́ę́' doo oo'íinii néidiisá
43:9:001:0	Jesus joogááł nít'éé' diné ła' t'áá bi'dizhchį́į́dę́ę́' doo oo'į́į da léi' jiiłtsą́ .
43:9:002:0	Áko hódahooł'aahii nidahódééłkid , Na'nitiní , háishą' bąąhági ádzaa , díí diné daats'í , hashchíinii daats'í bąąhági ádzaago biniinaa doo ajoo'į́į́góó ho'dizhchį́ ?
43:9:003:0	Jesus áhodííniid , Díí diné bąąhági ádzaii , doodaii' bishchíinii bąąhági ádzaii doo biniinaa da , nidi Diyin God bibee adziilii yee ááníiłii bee bééhodoozįįł biniyé ádzaa .
43:9:004:0	T'ah hool'inídą́ą́' shiníł'a'ii binaanish ts'ídá baa naasháa doo ; jó , tł'éé' haleehgo diné doo ła' naalnish da .
43:9:005:0	Nahasdzáán bikáá' naasháago , nihokáá' dine'é bá adinídíín nishłį́ .
43:9:006:0	Ákót'éego haadzíi'go , łeezh yik'ídeezhée'go bizhéé' yee hashtł'ish áyiilaago diné doo oo'ínígíí binák'eegi yííztłéé' ,
43:9:007:0	áádóó áyidííniid , Nílááh , Sailóom tó sikánígíí biyi' tá'ádígis ( Sailóom jiníigo éí Eel'a' jiníigo óolyé ) . Ákǫ́ǫ́ jiníyáago tá'ázdeesgiz , áko áádę́ę́' ajoo'į́įgo nídzídzá .
43:9:008:0	Bił kéédahojit'ínígíí índa doo ajoo'į́į́góó dahoo'į́į́ nít'é'ígíí ádadííniid , Díí sidáago adókeed yę́ę át'į́į ya' ?
43:9:009:0	Ła' ádaaní , T'áá éí át'į́ ; náádaała' ádaaní , Dooda , ts'ídá t'áá ákónóolnin léi' át'į́ . T'áá hó ájíní , Shí lá éí ásht'į́ ni .
43:9:010:0	Áko ádahodííniid , Ákoshą' haa yit'éego ííní'į́ nísínídlį́į́' ?
43:9:011:0	Hadzoodzíi'go ánáázhdoo'niid , Diné léi' Jesus wolyéhígíí éí hashtł'ish áyiilaago shináá' yííztłée'go áshidííniid , Nílááh , Sailóom tó sikánígóó dínááh , áadi tá'ádígis , áko ákǫ́ǫ́ niséyáago tá'ádésgiz , nít'éé' eesh'į́ sélį́į́' .
43:9:002:1	Férisii danilíinii diné náábi'diilzáii nidayídíłkid
43:9:012:0	Ádahodííniid , Ákoshą' éí háadi naaghá ? Éí ábizhdííniid , Doo shił bééhózin da .
43:9:013:0	Diné doo oo'į́į da nít'é'ígíí Férisii danilíinii yich'į' yił daaskai .
43:9:014:0	Jó'áko nít'éé' háá'áyį́į́h jį́į́ góne' Jesus hashtł'ish áyiilaago ajoo'į́ áhoolaa lá .
43:9:015:0	Férisii danilíinii nináádahódééłkidgo ádaaní , Hait'éegoshą' ííní'į́ sínílį́į́' ? Áko ábizhdííniid , Jesus éí hashtł'ish shináá' yííztłée'go tá'ádésgiz , áko eesh'į́ sélį́į́' .
43:9:016:0	Díí biniinaa Férisii danilíinii ła' ádadííniid , Díí diné doo Diyin God biníł'a' da , háálá háá'áyį́į́h jį́ doo bił nilį́į da . Náádaała' éí ádadííniid , Ákoshą' haa yit'éego diné bąąhági ááníiłii nilį́įgo kót'éego Diyin God bibee adziilii bee béédahózinii yaa naagháa dooleeł ? Áko haniinaa ałts'á'áldah .
43:9:017:0	Diné doo oo'į́į da nít'é'ígíí ánáádeidoo'niid , Nishą' ííní'į́ ániilaaígíí ha'át'íí bidiní ? Áko ázhdííniid , Diyin God yá halne'ii nilį́ , bidishní .
43:9:018:0	Nidi Jew dine'é t'áá aaníí doo ajoo'į́į da nít'ée'go ajoo'į́ dzizlį́'ígíí doo dayoodlą́ą da , diné ajoo'į́ dzizlį́'ígíí hashchíinii yíká nida'as'a'go índa ,
43:9:019:0	éí nidayídééłkidgo ádaaní , Da' díísh nihiyázhí át'į́ , t'áá doo oo'į́į́góó yizhchį́ dohnínígíí ? Ákoshą' k'ad haa yit'éego oo'į́ ?
43:9:020:0	Hazhé'é áádóó hamá ádííniid , Díí nihiyázhí át'į́ , áádóó doo oo'į́į́góó shiilchį́įgo nihił bééhózin ,
43:9:021:0	nidi haa yit'éego shį́į́ ajoo'į́ dzizlį́į́' éí doo nihił bééhózin da , háí shį́į́ ajoo'į́ áhoolaa , éí ałdó' doo nihił bééhózin da . Jó , nizninísą́ , t'áá hó nidahódółkid ; t'áá hó haash yit'éego ádá hazdoodzih .
43:9:022:0	Hashchíinii éí Jew dine'é yináldzidgo ákódííniid , háálá diné ła'da , T'áá aaníí Christ át'į́ , jiníigo hadzoodzí'ígíí éí Jew dine'é áłah nádleehii bitahdóó ats'áhodi'doolt'eełgo t'áá íídą́ą́' Jew dine'é yee łá'í daazlį́į'go hondahaz'ą́ .
43:9:023:0	Éí biniinaa hashchíinii ádííniid , Jó , nizninísą́ , t'áá hó nidahódółkid .
43:9:024:0	Áko doo oo'į́į da nít'é'ígíí hágo náádeidoo'niidgo ádeidííniid , Diyin Godjígo baa hóniih ; díí diné éí bąąhági ááníiłii nilį́įgo nihił béédahózin .
43:9:025:0	Áko ánáádoo'niid , Bąąhági ááníiłii daats'í nilį́ , éí doo shił bééhózin da ; t'ááłá'í t'éiyá shił bééhózin , doo eesh'į́į da nít'éé' , nidi k'ad eesh'į́ .
43:9:026:0	Áko ánáádahodoo'niid , Haashą' niilaa ? Hait'éegoshą' ííní'į́ ániilaa ?
43:9:027:0	Áko ánáábizhdoo'niid , T'áá íídą́ą́' bee nihił hweeshne' , nidi t'áadoo dasidoots'ą́ą' da . Ha'át'íishą' biniyé náádadidoohts'į́į́ł ? Da' nihíísh ałdó' bídahooł'aahii daniidlį́į doo danohsin ?
43:9:028:0	Áko dahwéédzíi'go ádahałní , Ni éí bóhooł'aahii nílį́ , nidi nihí éí Mózes yídahooł'aahii daniidlį́ .
43:9:029:0	Diyin God éí Mózes yich'į' haadzíi'go nihił béédahózin , nidi díí diné naagháádę́ę́' doo nihił béédahózin da .
43:9:030:0	Éí diné ánááhodoo'niid , Yáa t'áadoo le'égi át'éé lá ! Naagháádę́ę́' doo nihił béédahózin da , nidi eesh'į́ áshiilaa .
43:9:031:0	Jó , nihił béédahózingo bąąhági ádaaníiłii éí Diyin God doo bíists'ą́ą' da , nidi t'áá háiida Diyin God yich'į' nahałáii áádóó t'áá éí yíni' yi'ósinii , éí t'éí Diyin God bíists'ą́ą́' .
43:9:032:0	Nahasdzáán hazlį́į́'dóó wóshdę́ę́' t'áá doo oo'į́į́góó bi'dizhchíinii oo'į́ ályaa t'ah doo ha'niihígi da .
43:9:033:0	Áko éí diné doo Diyin God biníł'a' dago , ha'át'íhída doo ła' yił'į́į dadooleeł nít'éé' .
43:9:003:1	Níłch'i k'ehgo doo oo'į́į da
43:9:034:0	Áko ánáádahodoo'niid , T'áá bąąhági ánít'éego ni'dizhchį́ , da' ákoósh nanihinítin ? Áko Jew dine'é áłah nádleehdóó yits'ádahast'e' .
43:9:035:0	Áts'ádadzist'e'ígíí Jesus yiyíínii' , áko hak'íníyáago áhodííniid , Da' Diyin God biYe'ésh yinídlą́ągo baa dzíínílí ?
43:9:036:0	Áko ázhdííniid , Bóhólníihii , háishą' éí ájít'į́ , áko hooshdlą́ągo haa dzííníshłíi dooleeł ?
