43:20:001:1	Jesus daaztsą́ą́dę́ę́' náádiidzá
43:20:001:0	Áádóó Damį́įgo abínígo t'ah chahałheełgo , Mary Mágdaliin tséní'ootséelgi jiníyáá nít'éé' tsé dáádeelmááz nít'é'ígíí nahjį' eelmáazgo jiiłtsą́ .
43:20:002:0	Áko dashdiilwodgo , Sáíman Peter áádóó ła' íhooł'aahii , Jesus ayóó'ábó'nínígíí , baa jílwodgo ábizhdííniid , Tséní'ootsééldóó Bóhólníihii nihits'ą́ą́' yóó'adeistį́į́ lá , áko nideistį́įdi doo nihił béédahózin da .
43:20:003:0	T'áá áko Peter áádóó ła' íhooł'aahígíí kintahdę́ę́' bił ch'í'ahizhneelchą́ą'go , tséní'ootséélgóó bił dah ahizhdíníilchą́ą́' .
43:20:004:0	T'áá ájíłah ákǫ́ǫ́ ahizhneelchą́ą́' , nidi ła' íhooł'aahígíí Peter yaa diilwodgo tséní'ootséeldi áłtsé yílwod ,
43:20:005:0	áko yaa ádzaago ákóne'é déez'į́į́' , nít'éé' na'at'ą́hí łigaii dits'idígíí t'éí ákóne'é sinilgo yiyiiłtsą́ , nidi t'áadoo yah ííyáa da .
43:20:006:0	Áádóó Sáíman Peter akéédę́ę́' yílwodgo , tséní'ootséél góne' yah ííyá , áádóó ákwii na'at'ą́hí łigaii dits'idígíí t'éiyá sinilgo yiyiiłtsą́ ,
43:20:007:0	índa bee ádít'oodí , hatsiits'iin bik'ídeesdiz nít'é'ígíí , éí doo na'at'ą́hí łigaii dits'idígíí sinilígíí bił sinil da , nidi t'áá sahdii yisdisgo siłtsooz .
43:20:008:0	Áádóó ła' íhooł'aahii átsé tséní'ootséeldi yílwodígíí ałdó' ákóne' yah ííyá , áko yiyiiłtsą́ągo oosdląąd ,
43:20:009:0	háálá dadziztsą́ą́dę́ę́' náázhdidoodáałgo Diyin God bizaad bee ak'e'ashchį́įgo yaa halne'ígíí t'ah doo yik'ida'diitįįh da .
43:20:002:1	Jesus éí Mary Mágdaliin yich'į' yit'íní í'diilyaa
43:20:010:0	Áádóó íhooł'aahii bighangóó anáát'áázh .
43:20:011:0	Nidi tséní'ootséél bich'éédą́ą'gi Mary jichago dzizį́ , t'áá jichago yaa ádziidzaago tséní'ootséél góne' jidéé'į́į́' ,
43:20:012:0	áko diyingo naal'a'í naaki łigaigo hadít'éé léi' , Jesus bits'íís sitį́į́ nít'é'ígi sikéego jiiłtsą́ , ła' dzinées'ą́ą́ nít'é'ígi sidá , ła' dzidées'eez nít'é'ígi .
43:20:013:0	Áko éí áhodííniid , Asdzání , ha'át'íishą' baa nicha ? Nít'éé' ábizhdííniid , Jó , shiBóhólníihii shits'ą́ą́' yóó'adeistį́į́ lá , áko nideistį́įdi doo shił bééhózin da .
43:20:014:0	Kót'éego hadzoodzíi'go t'ą́ą'jį' níjiiyá , nít'éé' Jesus sizį́įgo jiiłtsą́ , nidi Jesus át'į́įgo t'áadoo bééhodzoosįįd da .
43:20:015:0	Jesus áhodííniid , Asdzání , ha'át'íishą' baa nicha ? Háishą' hanítá ? Mary jinoot'áa'go ákwe'é haz'ánígíí yaa áhályáanii át'į́ jinízingo ábizhdííniid , Kwá'ásiní , yóó'ahwííníłtį́į́ ládą́ą́' nihwííníłtį́įdi bee shił hólne' , áko t'áá shí dahodideeshtééł .
43:20:016:0	Nít'éé' Jesus áhodííniid , Mary . Áko níjiiyáago Hííbrew k'ehjígo ábizhdííniid , Rabónai ! Éí Na'nitiní jiníigo óolyé .
43:20:017:0	Jesus áhodííniid , T'áadoo shíínítą'í , háálá t'ah doo shiTaa' bich'į' nídíshdáah da , nidi nílááh , shik'isóó bich'į' dínáahgo , ShiTaa' , t'áá éí nihí ałdó' nihiTaa' bich'į' nihéénísdzá , shiDiyin , t'áá éí nihí ałdó' nihiDiyin bich'į' nihéénísdzá , shá bididííniił .
43:20:003:1	Jesus bídahooł'aahii yich'į' yit'íní í'diilyaa
43:20:018:0	Áádóó Mary Mágdaliin éí ídahooł'aahii bich'į' jílwodgo ábizhdííniid , Bóhólníihii néiłtsą́ . Áádóó yee hach'į' hahaasdzí'ígíí baa hojoolne' .
43:20:019:0	T'áá éí bijį́ i'íí'ą́ągo , Damį́įgo , ídahooł'aahii éí Jew dine'é yéédaaldzidgo biniinaa naháaztání góne' ádá da'deeskaal , nít'éé' Jesus baa honíle'go biníi'gi yiizį'go ábidííniid , Nihił dahózhǫ́ǫ le' .
43:20:020:0	Kózhdííniidgo , hála' índa hooshk'iizh há deinééł'į́į́' . Áko ídahooł'aahii Bóhólníihii dayiiłtsą́ągo bił dahóózhǫǫd .
