43:16:001:0	Doo dadidoohgoh da biniyé díí t'áá ałtso bee nihił dahweeshne' .
43:16:002:0	Jew dine'é áłah nádleehii bitahdóó bits'ánihidi'doo'nił ; t'áá aaníí bich'į' hoolzhish , t'áá háiida nihiisxį́įgo éí Diyin God bá nisis'a' nízin doo .
43:16:003:0	Áko díí t'áá ałtso nihaa nidookah , háálá aTaa' , doodaii' shí éí doo nihéédahósin da .
43:16:001:1	Níłch'i Diyinii binaanish
43:16:004:0	Nidi díí t'áá ałtso bee nihił dahweeshne' , áko baa hoolzhiizhgo , bee nihił dahweeshne'ígíí béédadoołnih . Hodésáádę́ę́' nihił naashkaigo biniinaa díidíígíí t'áadoo bee nihich'į' haasdzíi' da .
43:16:005:0	Nidi k'ad shiníł'a'ii bich'į' nídésdzá , ákondi doo ła' , Háájísh díníyá ? shidohniih da .
43:16:006:0	Nidi díí bee nihich'į' hahásdzíi'go biniinaa , danihijéí biyi'di bąąh danihíni' .
43:16:007:0	Azhą́ ákót'ée nidi t'áá aaníígóó nihił hashne' : nídésdzáhígíí t'áá íiyisí nihá yá'át'ééh , háálá doo nídésdzáágóó , Áká Análwo'ii doo nihee hodooleeł da ; nídésdzáago éí nihaa deesh'aał .
43:16:008:0	Áko éí nihaa honíle'go , bąąhági át'éii áádóó ts'ídá t'áá ákogi é'ét'é índa ánihodiyoot'ááł nihokáá' dine'é yaa ákodanízingo íidoolííł :
43:16:009:0	bąąhági át'éii yaa ákodanízingo íidoolííł , háálá doo dashoodlą́ągo shaa dadzólíi da ;
43:16:010:0	ts'ídá t'áá ákogi é'ét'é yaa ákodanízingo íidoolííł , háálá shiTaa' bich'į' déyá , áádóó doo dashooh'į́į da dooleeł ;
43:16:011:0	ánihodiyoot'ááł yaa ákodanízingo íidoolííł , háálá nahasdzáán binanit'a'í baa náhást'įįdgo bá nihoot'ą́ .
43:16:012:0	Bee nihich'į' hahideesdzihígíí t'ah lą'í nidi , k'ad éí bik'idadi'doohtį́łígíí doo bídanooł'ą́ą da .
43:16:013:0	T'áá áko nidi Níłch'i Diyinii t'áá aaníinii ííshją́ą́ áyoolíiłii nihaa honíle'go , éí t'áá aaníinii t'áá ałtso biyi'góó nihoo'ish doo , háálá doo t'áá bíniik'eh yáłti' da doo , nidi yidiits'a'ígíí éí yaa halne' doo , ádahodooníłígíí ałdó' yee nihił halne' doo .
43:16:014:0	Áko éí ayóó ánísht'é áshidoolííł , háálá shíhígíí éí néididooléełgo hazhó'ó yee nihił hodoolnih .
43:16:002:1	Yínííł ił hózhǫ́ nídoodleeł
43:16:015:0	ATaa' bíhígíí t'áá ałtso shí , éí bąą ádíshní , Shíhígíí néididooléełgo hazhó'ó yee nihił hodoolnih .
43:16:016:0	T'óó hodíína'go doo dashooh'į́į da doo , áádóó t'áá nááhodoo'na'go náádashooht'į́į doo [ háálá aTaa' bich'į' déyá] .
43:16:017:0	Áko hódahooł'aahii ła' áda'ahidoo'niid , T'óó hodíína'go doo dashooh'į́į da doo , áádóó , T'óó nááhodoo'na'go náádashooht'į́į doo , índa , Háálá aTaa' bich'į' déyá , jiníigo bee nihich'į' hadzoodzí'ígíishą' ha'át'íí ááhjiní ?
43:16:018:0	Éí bąą ádadííniid , T'óó hodíína'go jinínígíishą' ha'át'íí ááhjiní ? Ááhjinínígíí doo nihił béédahózin da .
43:16:019:0	Áko Jesus nidabízhdídóołkiłígíí bił bééhoozingo áhodííniid , T'óó hodíína'go doo dashooh'į́į da doo , áádóó t'óó nááhodoo'na'go náádashooht'į́į doo , dishníigo bee haasdzí'ígíísh bínda'ahídółkid ?
43:16:020:0	T'áá aaníí , t'áá aaníígóó ánihidishní , Nihí daahchago atínídadinohdleeh doo , nidi nihokáá' dine'é éí bił dahózhǫ́ǫ dooleeł ; nihí yínííł nidaahkai doo , nidi yínííł nidaahkaígíí ił hózhǫ́ nídoodleeł .
