43:7:001:1	Jesus bitsilíké doo da'oodlą́ą da
43:7:001:0	Ákódzaadóó bik'ijį' Gáliliigi Jesus nijighá , háálá Jew dine'é dahodiyiilyééł dahó'níigo biniinaa Judíyajį' t'éí doo t'áá k'ad jideeyáa da .
43:7:002:0	Ákohgo Jew dine'é éí chaha'ohgi hodílzingo áłah nída'ałeeh baa hoolzhiizh .
43:7:003:0	Áko Jesus hatsilíké ádahodííniid , Nídahooł'aahii éí baa nanináhígíí deidoołtsééł biniyé kodóó Judíyagóó dínááh .
43:7:004:0	Háálá diné ła' shéého'dílzin dooleeł nízingo t'áá nant'inee t'áadoo le'é doo yaa naagháa da . Díidí baa nanináago nihokáá' dine'é bił ííshją́ą́ í'dílnééh .
43:7:005:0	Háálá azhą́ hatsilíké nidi doo dahoodlą́ągo haa dadzólíi da .
43:7:006:0	Áko Jesus áhodííniid , Baa nideeshaałígíí t'ah doo shá baa hoolzhíish da , nidi nihí t'áá áłahjį' nihá ashja hoot'é .
43:7:007:0	Nihí nihokáá' dine'é doo danihijoołá daole' át'ée da , nidi shí t'éí dashijoołá , háálá ádaaníłígíí éí doo yá'ádaat'éeh da dishníigo baa hashne' .
43:7:008:0	T'áá nihí díí hodílzingo áłah ná'ádleehígóó dadohkááh ; shí t'éí díí hodílzingo áłah ná'ádleehí góde doo t'áá k'ad déyáa da , háálá shí baa nideeshaałii t'ah doo ałtso shá baa hoolzhíish da .
43:7:002:1	Jesus hodílzingo áłah ná'ádleehgi naaghá
43:7:009:0	Kót'éego hadzoodzíi'go t'áá Gáliliigi nijigháá nít'éé' .
43:7:010:0	Nidi hatsilíké hodílzingo áłah ná'ádleeh góde eekaidóó bik'ijį' hó éí doo t'áadoo bahat'aadí jiníyáa da , nidi t'áá nahont'inee jiníyá .
43:7:011:0	Áko díí hodílzingo áłah ná'ádleehí Jew dine'é , Háadishą' nijighá ? daaníigo hádahodéez'į́į́' .
43:7:012:0	Áko diné bitahgi t'áá hazhó'ó haa saad aghą́ . Ła' éí , Diné yá'át'éehii nilį́ , daaní , náádaała' éí , Dooda , éíyee' t'áá ádzaagóó diné iinii'áahii nilį́ , daaní .
43:7:013:0	Ákondi Jew dine'é yéédaaldzidgo biniinaa hasłą́ągi doo haa nídaat'į́į da .
43:7:014:0	Áko díí hodílzingo áłah ná'ádleehí ałníí'góó daats'í hoolzhishgo kin bii' sohodizin bił haz'ą́ą́ góne' Jesus yah ajííyáago naz'neeztą́ą́' .
43:7:015:0	Áko éí bik'ee Jew dine'é t'óó bił adahóóyóigo ádadííniid , Hait'éegoshą' díí diné bił ééhózin , t'áadoo hazhó'ó ííłta' da nidi ?
43:7:016:0	Áko Jesus áhodííniid , Shina'nitin doo t'áá shí shina'nitin át'ée da , nidi shiníł'a'ígíí bina'nitin át'é ,
43:7:017:0	áko diné t'áá háiida Diyin God íinízinígíí bi'deeshłííł jiniizį́į'go , éí shina'nitin daats'í Diyin God bits'ą́ą́dę́ę́' át'éego , doodaii' t'áá shí shóhólníihgo daats'í hahasdziihgo hoł bééhodoozįįł .
43:7:018:0	T'áá háiida t'áá hó ádíhojólníihgo yájíłti'ígíí aa ha'niih ádá hájít'į́ , nidi t'áá háiida biníł'a'ígíí baa ha'niih dooleełgo yá hát'ínígíí éí t'áá aaníígóó át'į́ áádóó doo t'áá ákogi ádaat'éhígíí éí doo bii' hólǫ́ǫ da .
43:7:019:0	Da' bee haz'áaniísh doo Mózes nihaidiní'ą́ą da ? Ákondi nihí ła' t'ááłá'í nidi bee haz'áanii doo bida'oł'į́į da . Ákoshą' ha'át'íí biniyé shida'noołhį́ ?
43:7:020:0	Áko diné yíl'áhígíí ánáádahodoo'niid , Níłch'i bi'iiníziinii nii' hólǫ́ǫ́ lá ! Háíyee' ni'niiłhį́įgo ádíní ?
43:7:021:0	Áko Jesus ánááhodoo'niid , T'ááłáhígo haz'ą́ áshłaa , áko éí bik'ee t'óó nihił adahayóí .
43:7:022:0	Mózes ąąh náhinilgishgo bee haz'áanii nihá niinílá ( nidi éí doo íiyisí Mózes bits'ą́ą́dę́ę' da , nidi danihizhé'é yę́ę bits'ą́ą́dę́ę́' hazlį́į́' ) , áko háá'áyį́į́h jį́ biyi' nidi diné bąąh nídahinołgish .
43:7:023:0	Háá'áyį́į́h jį́ aleeh góne' diné bąąh náhineeshgizhgo , ákondi Mózes yee has'áanii doo k'éti' da nilį́įgo , da' ákoósh háá'áyį́į́h jį́ aleeh góne' diné hazhó'ó hadaałt'é ánáshdlaaígíí biniinaa shich'į' nihádahazhchįįd ?
43:7:003:1	Da' díísh Christ át'į́ ?
43:7:024:0	T'óó dzólníígóó t'áadoo ándahoyoh'aahí , nidi t'áá ákogi át'éego ándahoyoh'aah .
43:7:025:0	Áko diné ła' Jerúsalemdóó nidaakaígíí ádadííniid , Eiísh bidazh'niiłhínígíí át'į́ ?
43:7:026:0	Ákondi t'áadoosti'ee yáłti'go naaghá , nidi doo ádabijiníní da ! Naat'áanii dajílíinii daats'í díí t'áá aaníí Christ át'į́įgo hoł béédahoozin .
43:7:027:0	Jó nidi , díí diné naagháádę́ę́' nihił béédahózin , nidi Christ yit'íní í'diilyaago , níyáádę́ę́' diné ła'í nidi doo bił béédahózin da dooleeł .
43:7:028:0	Áko kin bii' sohodizin bił haz'ą́ą́ góne' Jesus nazh'nitingo yéego hadzoodzíi'go ájíní , Shéédahonohsin áádóó naasháádę́ę́' ałdó' nihił béédahózin . Nidi doo t'áá shíniik'eh níyáa da ; shizhníł'a'ígíí éí t'áá aaníinii jílį́ , áko éí doo hwéédahonohsin da .
43:7:029:0	Nidi shí hwééhasin , háálá hats'ą́ą́dę́ę́' naashá , áko éí shizhníł'a' .
43:7:030:0	Ákohgo hodi'dooltsoł daniizį́į́' , nidi ła'da t'áadoo hoołtsoodí da , háálá t'ah doo áajį' há ahalzhíish da .
43:7:004:1	Siláo éí Jesus deidoołtsoł biniyé adabi'diis'a'
43:7:031:0	Ákondi diné t'óó ahayóí dahoodlą́ągo haa dadzólíigo ádaaní , Da' Christ níyáago bibee adziilii bee béédahózinii ayóó ádaat'éii díí diné yaa naayáhígíísh biláahdi ánéelą́ą'go yaa nináádoodaał ?
43:7:032:0	Áko diné yíl'áhígíí ákót'éego saad bighą́ągo éí Férisii danilíinii deidiizts'ą́ą'go , aláahgo nááda'iiłniihii áádóó Férisii danilíinii éí Jesus deidoołtsoł biniyé siláo adeis'a' .
43:7:033:0	Jesus áhodííniid , T'óó kónízahíjį' nihił honishłǫ́ǫ doo , áádóó shiníł'a'ígíí bich'į' nídeeshdááł ;
43:7:034:0	hadashinohtáa doo , nidi doo shik'ídadoohkah da , áko naasháa dooleełígóó doo dadohkááh át'ée da .
43:7:035:0	Jew dine'é áda'ahidi'ní , Háágóoshą' jideeyáago doo hak'ídadiikah da ? Da' Gríik dine'é bitahgóó Jew dine'é tadaooskaígíísh bich'į' jideeyáago Gríik dine'é nídízhníitą́ą́' ?
43:7:005:1	Tooh dahináanii
43:7:036:0	Hadashinohtáa doo nidi doo shik'ídadoohkah da , áádóó , Naasháa dooleełígóó doo dadohkááh át'ée da , níigo yee haadzí'ígíishą' ha'át'íí ááhyiłní ?
43:7:037:0	Áádóó hodílzingo áłah ná'ádleeh bee nihooghááh bijį́į́ góne' , Jesus yiizį'go yéego haadzíi'go ádííniid , Diné t'áá háiida dibáá' nilį́įgo , bíni'dii shaa doogáałgo adoodlį́į́ł .
43:7:038:0	T'áá háiida shoodlą́ągo shaa dzólíhígíí , Diyin God bizaad bee ak'e'ashchį́įgo ádííniidígíigi át'éego , Éí hwii'dę́ę́' tooh dahináanii hadaazlį́į dooleeł .
43:7:006:1	Diné bitahgóó ałts'á'áldah
43:7:039:0	Áko díí hadzoodzí'ígíí Níłch'i Diyinii baa hojilne'go ájíní , éí dahoodlą́ągo haa dadzólíii bíí' dadooleełígíí ááhjiní ; jó , íídą́ą́' Níłch'i Diyinii t'ah doo aa deet'aah da , háálá Jesus t'ah doo ayóó át'éii ábi'dilnéeh da .
43:7:040:0	Díí saadígíí deidiizts'ą́ą'go diné ła' ádadííniid , Díí diné t'áá aaníí Diyin God yá halne'ii át'į́į́ lá .
43:7:041:0	Náádaała' ádaaní , Díí Christ át'į́ . Nidi ła' ádaaní , Da' Christísh Gáliliidę́ę́' doogááł ?
43:7:042:0	Da' doósh Diyin God bizaad bee ak'e'ashchínígíí áníi da , Christ éí David bits'ą́ą́dóó oochíiłii jílį́į doo , t'áá David kééhat'į́į́ nít'é'ídóó , Béthlehem kin haal'áhídóó ?
43:7:043:0	Áko diné haniinaa ałts'ákah .
43:7:007:1	Aląąjį' naazíinii doo da'oodlánígíí
43:7:044:0	Áko ła' hodi'dooltsoł daniizį́į́' , nidi t'áadoo ła' hwiiłtsoodí da .
43:7:045:0	Áko siláo éí aláahgo nááda'iiłniihii áádóó Férisii danilíinii baa níjíkai , nít'éé' ádahodííniid , Haash yit'éego t'áadoo bił nánoohkai da ?
43:7:046:0	Siláo ádazhdííniid , Diné ła'da díí diné yáłti'ígi át'éego t'áadoo yáłti'í da !
43:7:047:0	Áko Férisii danilíinii ánáádahodoo'niid , Da' nihíísh ałdó' t'áá ádzaagóó ádanihi'di'niist'aa' ?
43:7:048:0	Da' naat'áanii danilíinii áádóó Férisii danilíiniísh ła' daboosdląądgo baa dadzoozlíí' ?
43:7:049:0	Nidi díí diné yíl'áhígíí , bee haz'áanii doo bił béédahózinígíí yee' , atídadoolníiłgo bá hada'iisdzíí' , náádadoo'niid .
43:7:050:0	Nít'éé' Nikodíímas , éí t'óó yę́ędą́ą́' [ tł'ée'go] Jesus baazhníyáhígíí , Férisii danilíinii ła' atah jílį́įgo , t'áá ałtso ábizhdííniid ,
43:7:051:0	Da' nihibee haz'áaniísh diné ła' t'áadoo yidiits'į́hí índída yaa naayáii t'áadoo bił bééhoozįįhí yá nihodoo'ááł ?
43:7:052:0	Áko hach'į' hadaasdzíi'go ánáádahodoo'niid , Da' niísh ałdó' Gáliliidę́ę́' naniná ? Diyin God bizaad naniłkaah , jó , Gáliliidóó Diyin God yá halne'ii doo hodooleełgóó nił bééhodoozįįł .
43:7:053:0	[ Áko diné t'áá ádzíłtso dahaghangóó táádzooskai .
