43:18:001:1	Jesus ninádeet'ą́ áádóó bi'diiltsood
43:18:001:0	Jesus díí saadígíí yee hahaasdzíi'go tó nílį́ Kídran hoolyéii tsé'naagóó bídahooł'aahii yił ch'ékai , áádóó ákwe'é tsin bił dah náháltso léi'gi bídahooł'aahii yił yíkai .
43:18:002:0	Áko Júdas nináhodiní'ánígíí éí haz'ánígi bił bééhózin , háálá Jesus t'áá ahą́ą́h hódahooł'aahii ákwii bił níjíkah nít'éé' .
43:18:003:0	Áko Júdas éí aláahgo nááda'iiłniihii índa Férisii danilíinii bits'ą́ą́dę́ę́' siláo índa bindanit'a'í ła' ba'í'nilgo ákwe'é yił yíkai , bee hool'iní nidaadlo'í áádóó honooyééł índa dadeeníinii dayíjáahgo .
43:18:004:0	Ákohgo Jesus , áhodi'doolníłígíí t'áá ałtso hoł bééhózingo , bich'į' dashdiiyáago ábizhdííniid , Háishą' hadanohtá ?
43:18:005:0	Áko ádahałní , Jesus Názarethdóóígíí lą́ą . Jesus ánááhodoo'niid , Shí éí ásht'į́ . Nináhodiní'ánígíí Júdas áájí atah sizį́ .
43:18:006:0	Shí éí ásht'į́ , bizhdííniidgo t'áá ałtso t'ą́ą́' náhizdeeskaigo t'ą́ą'jį'go naa'ajííłdááz .
43:18:007:0	Áádóó ninááyízhdééłkidgo , Háishą' hadanohtá ? náábizhdi'ní . Nít'éé' ánáádahodoo'niid , Jesus Názarethdóóígíí lą́ą .
43:18:008:0	Jesus ánááhodoo'niid , Shą́ą́' , Shí éí ásht'į́ , dishníigo nihił hweeshne' ; jó , shíkadanohtáá ládą́ą́' díí bił naashkaígíí bíni' nidaakai .
43:18:009:0	Éí , Shaa hínínilígíí doo ła' yóó'ííłt'e' da , jiníigo bee hadzoodzí'ígíí bohodoolnííł biniyé díidí ádzaa .
43:18:010:0	Nít'éé' Sáíman Peter bidiltłish hólǫ́ǫ́ lá , áko hayíítą́ągo aláahgo náá'iiłniihii binaalte' néidííłhaalgo bijaa' nish'náájíígíí na'iidiiłhaal . Éí naalte' Málkas wolyé .
43:18:002:1	Aláahgo náá'iiłniihii bidááhdę́ę́' Jesus nibi'deedlóóz
43:18:011:0	Nít'éé' Jesus éí Peter áyidííniid , Nidiltłish bizis biih nánítįįh ; da' doodlį́įłii shiTaa' sheiníkánígíísh doo deeshdlį́įł da ?
43:18:012:0	Áádóó índa siláo áádóó binanit'a'í índa Jew dine'é bisiláo Jesus dayiiłtsoodgo yeda'aztł'ǫ́ .
43:18:013:0	Áádóó Ánas wolyéii áłtsé yich'į' dahazlóóz , háálá éí Kéíyafas haadaaní nilį́ , áko t'áá éí náháhígíí biyi' aláahgo náá'iiłniihii ałdó' nilį́ .
43:18:003:1	Peter éí , Jesus doo bééhasin da , jiní
43:18:014:0	Jó , Kéíyafas éí Jew dine'é ábijiní , Diné t'ááłá'íígíí diné t'áá ałtso yá dadootsaałgo éí yá'át'ééh .
43:18:015:0	Áko Sáíman Peter éí íhooł'aahii náánáła'ígíí Jesus bił yah ajíí'áázh . Íhooł'aahii ła'ígíí éí aláahgo náá'iiłniihii hwééhósingo bikin binaagi haz'ą́ągo biná'ástł'in góne' Jesus bikéé' yah ajííyá ,
43:18:016:0	nidi Peter éí t'áá tł'óó'dę́ę́' sizį́ . Áko íhooł'aahii ła'ígíí aláahgo náá'iiłniihii bééhósinii ch'ínádzáago asdzání ch'é'étiin yaa áhályáanii yich'į' haadzíí' , nít'éé' áádę́ę́' Peter yił yah íí'áázh .
43:18:017:0	Asdzání ch'é'étiin yaa áhályáanii éí Peter áyidííniid , Da' niísh ałdó' níléí diné yíhooł'aahii atah nílį́ ? Áko ájíní , Shí dooda .
43:18:004:1	Aláahgo náá'iiłniihii Jesus nayídíłkid
43:18:018:0	Áko deesk'aazgo , nidaal'a'ígíí áádóó siláo éí t'eesh nídeidiiłtłahgo yich'į' naazį́įgo nída'iidzííł ; Peter ałdó' ákwii atah sizį́įgo ná'iidzííł .
43:18:019:0	Aláahgo náá'iiłniihii éí Jesus hódahooł'aahii índa hona'nitin yínahódééłkid .
43:18:020:0	Áko Jesus áháłní , T'áadoo bahat'aadí diné t'áá ałtso bich'į' yáshti' ; t'áá áłahjį' kin bii' áłah nída'adleeh góne' índa kin bii' sohodizin bił haz'ą́ą́ góne' Jew dine'é t'áá ałtso áłah nídaadleehgi niná'níshtįįh nít'éé' ; t'áá nahont'inee ha'át'íida t'áadoo bee haasdzíi' da .
43:18:021:0	Ha'át'íísh biniyé nashídíłkid ? Dashidiits'a'go bich'į' yéiłti'ii bíndabídółkid ; jó , éí bee hahásdzí'ígíí bił béédahózin .
43:18:022:0	Kót'éego hadzoodzíi'go , siláo ła' éí Jesus yíighahgi sizínígíí Jesus yił dzideezkaadgo ání , Da' ákót'éegoósh aláahgo náá'iiłniihii bich'į' hahídziih ?
43:18:023:0	Áko Jesus áhodííniid , Doo ákót'éégóó haasdzíi'go éí baa hodíílnih , nidi t'áá aaníígóó haasdzíi'go , ha'át'íísh biniyé náshidííníkaad ?
43:18:005:1	Peter éí , Jesus doo bééhasin da , náázhdí'ní
43:18:024:0	Ánas éí aláahgo náá'iiłniihii , Kéíyafas wolyéii , bich'į' Jesus t'áá be'astł'ǫ́ǫgo aho'doodlóóz .
43:18:025:0	Nít'éé' Sáíman Peter ákwii ní'dziidzíiłgo dzizį́ . Áko ádahodííniid , Da' niísh ałdó' éí dinéhígíí yíhooł'aahii nílį́ ? Dooda , jidííniidgo , Dooda , bee nijíltee' .
43:18:026:0	Áádóó Peter éí aláahgo náá'iiłniihii binaalte' bijaa' nizhdiiłhaalígíí bik'éí ła' áhodííniid , Shą́ą́' , tsin bił dah náháltsogi bił niiłtsą́ą ni' .
43:18:006:1	Jesus éí Páílat bidááhdę́ę́' niho'deedlóóz
43:18:027:0	Peter , Dooda , náádoo'niidgo t'áá áko naa'ahóóhai biką'í ádííniid .
43:18:028:0	Áko t'áá íiyisí t'ah abínígo Kéíyafas bighandóó naat'ááh kinjį' Jesus dah náádeidiidlóóz . Atis'adeesdzá bee bééhániihgo dadiidį́łígíí nihits'ą́ą́' doochǫǫł danízingo biniinaa t'áadoo naat'ááh kin góne' yah aakai da .
