43:19:001:0	Áko Páílat bizaad k'ehgo Jesus dah náádeidiidlóozgo nídeineestsxas .
43:19:002:0	Áádóó siláo ch'il hooshahii nídeiniisxodgo , ch'ah ádayiilaago hak'i deideez'ą́ , índa éénééz tsídídééh nahalingo łichí'ígíí yiih dahastį́ ,
43:19:003:0	áko hadááhdę́ę́' ninádaalwo'go , Yá'át'éhéii , Jew dine'é Aláahgo biNanit'a'í nílíinii ! daaníigo nídahodiyiikaad .
43:19:004:0	Áádóó Páílat ch'ínáánádzáago ánéidoo'niid , Jó'akon , nihich'į' ch'ínááhonisdlóós , bee ádąąh dah hodzist'áanii doo ła' há shił bééhoozin daígíí nihił béédahodoozįįł .
43:19:005:0	Áko Jesus ch'il hooshahii hach'ah áádóó éé' tsídídééh nahalingo łichí'ígíí bee joogáałgo áádę́ę́' ch'ízhníyá . Áko Páílat éí diné áłah silį́'ígíí áyidííniid , Jó , kǫ́ǫ́ dzizį́ .
43:19:006:0	Áko aláahgo nááda'iiłniihii áádóó bisiláo dahoołtsą́ągo , Tsin ałnáoszid bikáa'jį' bił o'ołkaałgo sołhé héii , bił o'ołkaałgo sołhé héii ! daaníigo hahodííłdláád . Áádóó Páílat ábidííniid , Nihílááh , t'áá nihí tsin ałnáoszid bikáa'jį' hoł ada'ołkaałgo dahosołhé , háálá bee ádąąh dah hodzist'áanii doo ła' há shił bééhoozin da .
43:19:007:0	Nít'éé' Jew dine'é ánáádahodoo'niid , Nihibee haz'áanii hólǫ́ , áko éí bik'ehgo ts'ídá dazdootsaał , háálá t'áá hó Diyin God biYe' ízh'díl'į́ .
43:19:008:0	Áko Páílat éí ha'oodzí'ígíí dzidiizts'ą́ą'go , t'ah yówehígo nídzísdzííd ,
43:19:009:0	áádóó naat'ááh kin góne' yah anínáádzoodzáago Jesus ábizhdííniid , Háádę́ę'shą' naniná ? Nidi Jesus t'áadoo haadzíi' da .
43:19:010:0	Áko Páílat áhodííniid , Da' doósh shich'į' hadíídzih da ? Néédideeshchiłgo doodaléi' tsin ałnáoszid bikáa'jį' nił ada'doolkałgo bee shóhólníhígíísh doo nił bééhózin da ?
43:19:011:0	Jesus ánááhodoo'niid , Bee nóhólníihii doo yá'ąąshdę́ę́' naa deet'ą́ą́góogo doo shíninil'ą́ą da , éí bąą naa shidiní'ánígíí aláahgo bąąhági ádzaa .
43:19:012:0	Díidíígíí binahjį' Páílat ts'ídá hwéédideeshchił niizį́į́' , nidi Jew dine'é hadadeeshghaazhgo ádaaní , Díí diné béédííníchid ládą́ą́' doo Síízar bik'is nílį́į da doo ; t'áá háiida ła' aláahgo naat'áanii ízh'díl'ínígíí éí Síízar bits'ą́ą́jí jílį́ .
43:19:013:0	Áko Páílat díí saadígíí yidiizts'ą́ą'go , Jesus yił ch'íní'áazhgo bikáá'dóó aa náhát'į́ yik'i dah neezdá , ákwii haz'ą́ągi Tsé Sikaad hoolyé , nidi Hííbrew bizaad k'ehgo Gábatha hoolyé .
43:19:014:0	Áko atis'adeesdzá bee bééhániihii biniyé hasht'ehodi'nééh bijį́į́ góne' , abínígo hastą́ądi oolkiłgo daats'í Páílat éí Jew dine'é ííłní , Jó kóoní , Aláahgo nihiNanit'a'í sizį́ !
43:19:015:0	Nidi hadadeeshghaazhgo ádadííniid , Sołhé héii , sołhé héii , tsin ałnáoszid bikáa'jį' yee' bił o'ołkaał ! Nít'éé' Páílat áhodííniid , Da' Aláahgo nihiNanit'a'íísh tsin ałnáoszid bikáa'jį' bił i'deeshkał ? Áko aláahgo nááda'iiłniihii ánáádahodoo'niid , Aláahgo nihiNanit'a'í ádin , Síízar t'éiyá .
43:19:001:1	Tsin ałnáoszid bikáa'jį' Jesus hoł o'oolkaal
43:19:016:0	Áko índa tsin ałnáoszid bikáa'jį' hoł ada'doołkał biniyé baa hozhníłtį́ . [ Áko Jesus dayiiłtsoodgo dah deidiilóóz . ]
43:19:017:0	Áko Jesus t'áá hó hatsin ałnáoszid jootį́įłgo kintahdóó Tsiits'in Si'ání hoolyéégóó hoł dah adiildee' , éí Hííbrew k'ehjí Gálgatha hoolyé .
43:19:018:0	Ákwii tsin ałnáoszid bikáa'jį' hoł ada'askaal , áádóó náánáła' nidilt'éego ałdó' , Jesus aníí'dę́ę́' nijiyííłtį́įgo ałts'ą́ą́hjí hoł bił ada'askaal .
