43:10:001:1	Dibé bighan binahjį' hane' bee ak'idi'dootį́įłii
43:10:001:0	T'áá aaníí , t'áá aaníígóó ánihidishní , T'áá háiida dibé bighan bich'é'étiindę́ę́' doo yah anádáhígíí , nidi t'áá háádę́ę'da yitis ná'nahígíí , t'áá éí ani'įįhii áádóó agha'ii'níiłii nilį́ ,
43:10:002:0	nidi ch'é'étiindę́ę́' yah anádáhígíí éí dibé yaa áhályáanii nilį́ .
43:10:003:0	Éí dáń'dítį́hí yaa áhályáanii bá ąą néiditį́į́h ; dibé biinéé' deidiits'a' , áko t'áá bí bidibé dabízhi' yee yózhíigo , yá ch'éhéghááh .
43:10:004:0	T'áá bíhígíí t'áá ałtso ch'ínéi'niłgo yilą́ąjį' naagháago dibé bikéé' naakai , háálá biinéé' yéédahósin .
43:10:005:0	Diné doo yéédahósinii éí doo yikéé' dah didoojah da , nidi t'óó yits'ą́ą́' dah didoojah , háálá doo yéédahósinii biinéé' doo yéédahósin da .
43:10:002:1	Jesus yá'át'éehgo dibé yaa áhályáanii
43:10:006:0	Díí hane' bee ak'idi'dootį́įłii Jesus yee hach'į' haadzíí' , nidi yee hach'į' haadzí'ígíí t'áadoo bik'idazh'diitą́ą da .
43:10:007:0	Áko Jesus ánááhodoo'niid , T'áá aaníí , t'áá aaníígóó ánihidishní , Shí dibé bich'é'étiin nishłį́ .
43:10:008:0	Shítséedi nidahaaskaígíí t'áá ałtso da'ni'įįhii índa aghada'ii'níiłii danilį́ , áko dibé doo dabidiits'a' da .
43:10:009:0	Shí ch'é'étiin nishłį́ ; t'áá háiida shí shee yah ííyáhígíí yisdádooltééł , áádóó yah anádááh índa ch'ínádáahgo hootsojį' anáhádáah dooleeł .
43:10:010:0	Ani'įįhii adínóo'į́į́ł áádóó ni'doołtsił índa í'doołdįįł t'éiyá yiniyé nádááh , nidi shí t'éí shidibé iiná bee dahólǫ́ǫ dooleeł , áádóó łą́ągo bee dahólǫ́ǫ dooleeł biniyé níyá .
43:10:011:0	Shí yá'át'éehgo dibé yaa áhályáanii nishłį́ . Yá'át'éehgo dibé yaa áhályáanii éí t'áá bí dibé yich'ą́ą́h niná'ádiit'aah .
43:10:012:0	Ákondi adeenáago naalnishii éí doo na'niłkaadii nilį́į da , éí dibé doo t'áá bí bilį́į́'góó biniinaa mą'iitsoh éí dibé yich'į' yilwołgo yiyiiłtséehgo , dibé t'áá ákǫ́ǫgo dah díníichééh , áko mą'iitsoh éí dibé ła' yił nehedił áádóó ła' baa taojah .
43:10:013:0	Háálá éí t'óó adeenáago naalnishgo bąą dah díníichééh , áko dibé t'óó yaa yoonah .
43:10:014:0	Shí yá'át'éehgo dibé yaa áhályáanii nishłį́ , shíhígíí béédahasin áádóó shíhígíí shéédahósin .
43:10:015:0	T'áá aTaa' shééhósin áádóó aTaa' bééhasinígi át'éego , áko t'áá shí she'iina' dibé bich'ą́ą́h ninádinish'aah .
43:10:016:0	Dibé náánáła' shee nááhódlǫ́ , nidi éí díí shijé'ígíí doo bitahdóo da ; éí ałdó' shóideesht'eełgo shiinéé' deidiits'a' doo . Áko t'ááłáhígóó shijée' dooleeł , índa dibé yaa áhályáanii t'ááłá'í dooleeł .
43:10:017:0	Éí bąą she'iina' t'áá shí náádideeshdlééł biniyé ninádinish'aah , éí bąą shiTaa' ayóó'áshó'ní .
