43:4:001:1	Jesus áádóó asdzání Samériyagi kééhat'íinii
43:4:001:0	Jesus bídahooł'aahii éí John bídahooł'aahii bilááh ánéelą́ą́' silį́į'go áádóó tó yee da'asį́įhgo Férisii danilíinii Jesus yaa dahodiizts'ą́ą́' . Éí Bóhólníihii bił bééhoozin ,
43:4:002:0	( azhą́ Jesus t'áá bí doo tó yee asį́įh da nidi , bídahooł'aahii t'éiyá ) .
43:4:003:0	Judíyadóó Gáliliigóó dah náázdiidzá .
43:4:004:0	Áko t'áá k'éhézdon Samériya biyi'góó ch'ídeeshááł jiniizį́į́' .
43:4:005:0	Samériya biyi' kin haal'áá léi'gi jiníyá , ákwii Sáíkar hoolyéé lá , Jéíkab biye' Jóseph kéyah yeidiní'ą́ yę́ędóó t'áá áyídígi .
43:4:006:0	Ákwe'é Jéíkab bitóhahadleeh , áko Jesus ch'ééh jideeyáago tóhahadleeh bíighahgi jineezdá , ałní'ní'ą́ągo daats'í .
43:4:007:0	Nít'éé' Samériya dine'é asdzání léi' tó háníyáá lá . Áko Jesus áhodííniid , Tó deeshdlį́łígíí ła' shaa níkaah .
43:4:008:0	Háálá hódahooł'aahii éí ch'iyáán nideidiyoołnih biniyé kintahgóó eekai .
43:4:009:0	Áko Samériya dine'é asdzání áhodííniid , Ha'át'éegoshą' Jew dine'é ła' nílį́į́ léi' , Tó ła' shaa níkaah , shidiní ? Jó , Jew dine'é éí Samériya dine'é doo yił choda'ahool'į́į da .
43:4:010:0	Jesus hach'į' hanáánáádzíi'go áhodííniid , Diyin God einíláhígíí áádóó , Tó ła' shaa níkaah , niłnínígíí bééhonísingo bídíí'níkeedgo , tó hináanii neidookááł nít'éé' .
43:4:011:0	Áko asdzání ánááhodoo'niid , Kwá'ásiní , jó , t'áadoo bee tó haóleehí da , áádóó tóhahadleeh góyaa hózaad , háádę́ę'shą' áko tó hináanii shóidííłt'eeł ?
43:4:012:0	Da' Jéíkab nihizhé'é yę́ęésh biláahgo ánít'é , éí díí tóhahadleeh nihaidiní'ą́ , bí índa ba'áłchíní áádóó dabilį́į́' deidlą́ą́ nít'éé' ?
43:4:013:0	Jesus ánááhodoo'niid , T'áá háiida díí tó yoodlą́'ígíí éí dibáá' náádoodleeł ,
43:4:014:0	nidi t'áá háiida tó baa níką́ągo yoodlą́'ígíí éí doo dibáá' náádoodleeł da , áko tó haa deeshkáłígíí éí hayi'di tó t'áá bíni'dii háálíinii dooleeł , áko háálį́įgo iiná doo ninít'i'ii biih yílį́į dooleeł .
43:4:015:0	Asdzání ánááhodoo'niid , Kwá'ásiní , tó baa hólne'ígíí ła' shaa níkaah , áko doo dibáá' náádeeshdleeł da , doo nidi kwe'é tó hánáshdáah da doo .
43:4:016:0	Jesus ánááhodi'ní , Nílááh , nahastiin hágo bidiní , kwe'é bił nánít'aash .
