43:12:001:1	Jesus éí Béthaniidi ak'ah bee ats'áltį́
43:12:001:0	Atis'adeesdzá bee bééhániihii hastą́ą́h yiską́ hadziihgo , Jesus éí Béthaniidi , Lázaras daaztsą́ą́dę́ę́' náábizdiisáhígíí kééhat'į́įgi jiníyá .
43:12:002:0	Ákwe'é hííłch'į'go ch'iyáán há ádayiilaago , Martha hach'į' ni'iizką́ , áádóó Lázaras éí atah bikáá' adání bich'į' hoł dah neezké .
43:12:003:0	Mary éí ch'il nard wolyéii bee ak'ah ályaii , t'áá bízhání t'áá íiyisí ílínígíí t'ááłáhídi dah hidédlo'go dashdiiką́ągo Jesus bikee' bikáa'jį' yadziiziidgo hatsii' bee bikee' jíít'óód , áko kin góne' t'áá át'é ak'ah łikání halchingo hadéébįįd .
43:12:004:0	Nidi hódahooł'aahii ła' , Júdas Iskáriyat , éí nináhodidoo'áłígíí ádííniid ,
43:12:005:0	Díí ak'ah táadi neeznádiin denériyas bą́ą́h ílį́įgo nahaaznii'go ha'át'éegoshą' t'áadoo badahojoobá'íígíí bitaasnii' da ?
43:12:006:0	Díí hadzoodzí'ígíí doo t'áá aaníí badahojoobá'íígíí baa nitsídzíkeesgo hadzoodzíi' da , háálá ani'įįhii jílį́ , jó , béeso bizis niji'áago , béeso yiih dayiiníłígíí jini'įįh .
43:12:007:0	Áko Jesus ádííniid , T'áadoo haa nánít'íní , yóó'áshidi'doolnííł beiníłką́ądi biniyé ádziidzaa .
43:12:002:1	Lázaras diyoolyéełgo binahast'ą́
43:12:008:0	Badahojoobá'íígíí t'áá áłahjį' nihitaa daakai , nidi shí éí doo t'áá áłahjį' nihitaasháa da .
43:12:009:0	Áko Jew dine'é éí ákwii Jesus nijigháago dayíínii'go haa nánísą́ , nidi doo t'áá hó t'éí haniyé da , nidi Lázaras daaztsą́ą́ nít'ée'go náábizdiisáhígíí ałdó' deidoołtsééł biniyé haa nánísą́ .
43:12:010:0	Áko aláahgo nááda'iiłniihii éí Lázaras ałdó' deidiyoołhéełgo yindahaz'ą́ ,
43:12:003:1	Jesus ak'eh deesdlį́į'ii k'ehgo Jerúsalem góne' ííyá
43:12:011:0	háálá hó haniinaa Jew dine'é t'óó ahayóí ats'áskaigo Jesus dayoosdląąd .
43:12:012:0	Áádóó biiskání t'óó ahayóí hodílzingo áłah ná'ádleehígi neheeskaígíí Jerúsalemjį' Jesus yigáałgo dayíínii' .
43:12:013:0	Áko páam bi'iil dayiizti' áádóó hadááh yíkaigo hadadeeshghaazhgo ádaaní , Baa ha'niih doo ! Bóhólníihii bízhi' bee bi'dójíigo yigáłígíí , Ízrel dine'é Aláahgo biNanit'a'í nilíinii , bik'ihojidlíi doo !
43:12:014:0	Jesus éí télii yázhí bik'ízhníyáago bik'i dasneezdá ; t'áá bee ak'e'ashchínígi át'éego :
43:12:015:0	Záíyan bich'é'é nílíinii , t'áadoo nił yé'í ; jó'akon , Aláahgo niNanit'a'í nilíiniitélii yázhí yik'i dah sidáago bił yigááł .
43:12:016:0	Kót'éego ádahóót'įįdígíí hódahooł'aahii t'áadoo yik'ida'diitą́ą da , nidi Jesus ayóó át'éii ábi'diilyaago índa kót'éego haa hane'go bee ak'e'ashchínígíí áádóó kót'éego hach'į' ádáát'įįdígíí yéédáálnii' .
43:12:017:0	Áko Lázaras daaztsą́ą́ nít'ée'go náábizdiisáago , Tséní'ootsééldę́ę́' ch'ínínááh , bizhdííniidígíí diné t'óó ahayóí hoł naakaii yaa dahoolne' .
43:12:018:0	Diné lą'í díí Diyin God bibee adziilii bee bééhózinii baa nijiyáago deidiizts'ą́'ígíí biniinaa hadááh heeskai .
43:12:004:1	Gríik dine'é ła' Jesus hadeintá
43:12:019:0	Áko Férisii danilíinii áda'ahidi'ní , Jó'akon , nihí ch'ééh ádaał'į́ ; jó , nihokáá' dine'é t'áá yíl'áá nít'éé' bikéé' dah diikai .
43:12:020:0	Áádóó ła' nidahodoołaał biniyé hodílzingo áłah ná'ádleehí góde yíkaígíí bitahdę́ę́' Gríik dine'é ła' yíkai lá .
43:12:021:0	Áko éí Philip , Gáliliigi Bethséyida hoolyéédóó naagháago yaa yíkaigo ádeidííniid , Kwá'ásiní , Jesus dadzoołtsééł laanaa daniidzin .
43:12:022:0	Áko Philip éí Andrew yaa níyáago yee yił hoolne' , áádóó Andrew índa Philip éí Jesus yaa ní'áazhgo yee yił nááhoolne' .
43:12:023:0	Áko Jesus haadzíi'go ání , K'ad Diné Silį́į'ii ayóó át'éii ádoolníiłgo baa hoolzhiizh .
43:12:024:0	T'áá aaníí , t'áá aaníígóó ánihidishní , Tł'oh naadą́ą́' bílástsii' doo łeeh yilts'idgóó áádóó doo daaztsą́ą́góogo éí doo bilááh yileeh da , nidi daatsaahgo bineest'ą' t'óó ahayóí yileeh .
43:12:025:0	T'áá háiida iiná hwii' hólónígíí ayóó'ájó'níigo éí yóó'azhdootłish , áádóó t'áá háiida díí nahasdzáán bikáa'gi iiná hwii' hólónígíí jijoołáago t'áá éí doo yóó'azhdootłish da , nidi hool'áágóó hwee hólǫ́ǫgo bee jiináa doo .
43:12:005:1	Diné Silį́į'ii ts'ídá dah bidi'doolt'eeł
43:12:026:0	Diné t'áá háiida ła' shá nijil'a'ígíí , éí ts'ídá shikéé' joogáał doo , áko naasháhídi shinaal'a'í jílíinii ałdó' áadi nijigháa doo ; diné t'áá háiida ła' shá nijil'a'go , t'áá éí shiTaa' bił jílį́į doo .
43:12:027:0	K'ad shii' sizíinii nitseeltłah . Ákoshą' ha'át'íí dideeshniił , ShiTaa' , k'ad shá baa ílkidígíí bits'ą́ąjį' yisdáshíłteeh , dideeshniił daats'í ? Dooda , biniyé níyáhígíí k'ad baa ílkid .
