A certain	Egia
From A to Z	Atik Zra
To be abandoned	Abandonatua izateko
Abandoned burrow or den	Astow edo abandonatuak
Abandoned house	Etxe abandonatua
Abdominal binder	Aglutinatzaile abdominala
Internal abdominal organs	Barneko organo abdominalak
Upper abdominal area	Goiko sabelaldea
To abide by the law	Legea errespetatzea
To abort a pregnancy	Haurdunaldia laburtzea
To cause her to abort	Berak aborta dezan
To cause oneself to abort	Abortua eragiteko
To perform an abortion on her	Bertan abortua egitea
To perform an abortion on oneself	Abortua norberaren gainean egitea
About it	Haren gainean
Up above it	Gainean
To feel that one is above	Bat goian dagoela sentitzea
To get an abrasion	Urradura lortzeko
To get a skin abrasion	Larruazalaren urradura lortzeko
To be absorbed into the ground	Lurzoruan xurgatzeko
To be accessible by wagon	Wagon bidez irisgarria izateko
To accomplish something for them	Haientzat zerbait lortzeko
According to his customs	Ohituren arabera
According to each other	Bataren eta bestearen arabera
According to self	Norberaren arabera
To begin an account	Kontu bat hasteko
To give an account of it	Kontu bat emateko
To give an account of oneself	Nork bere burua kontatzea
To accumulate it	Metatzeko
To accuse him of it	Horren berri ematea
To be accused of it	Horretaz akusatua izatea.
To get accustomed to each other	Elkarri ohitzeko
To get accustomed to it	Horretara ohitzeko
Ace of clubs	Kluben elkarteak
Ace of hearts	A bihotzak
Within an ace of	Honen barnean:
To have an ear ache	Belarriko mina izatea
To have a tooth ache	Hortzetako mina izatea
To stop aching	Zauritzeari uzteko
To be acquainted with him	Berarekin ezagutzeko
To be mutually acquainted	Elkar ezagutzeko
To become acquainted with him	Harekin ohitzeko
To get acquainted with each other	Elkarrekin ohitzeko
To get acquainted with him	Harekin ohitzeko
To be mutual acquaintances	Elkar ezagutzeko
To acquire it from him	Hartaz erosteko
To be hard to acquire	Lortzen zaila izateko
Across here	Hemendik
Across there	Handik
Across from it	Aurrean
To extend across	Honen bidez zabaltzeko:
To act in vain	Alferrik jardun
To act on it	Zer egin
To act on it in his behalf	Bere izenean jardutea
On the Adam's apple	Adan etxesailean
To be adaptable	Egokitzeko
To add it to it	Hari gehitzeko
To add on to it	Horri gehitzeko
To be added to it	Hari eransteko
Adding	Gehitu
To become addicted to it	Drogazalea izateko
To adhere to each other	Bata besteari atxikitzeko
To adhere to it	Hari atxikitzeko
To form an adhesion	Atxikitzea osatzea
To be adjusted	Doitzeko
To be out of adjustment	Doikuntzatik kanpo egotea
To become adjusted to each other	Bata besteari doitzeko
To administer their affairs	Bere gaiak administratzea
Adolescent child	Nerabe umea
To commit adultery	Adulterioa egiteko
To advance	Aurrera egiteko
To advance stealthily	Isilpean aurrera egiteko
To be advancing	Aurrera egiteko
To take unfair advantage of him	Abantaila bidegabea izateko
To be of advantage	Abantaila izateko
To be advantageous	Onuragarria izateko
To advertise	Iragartzeko
To affect it	Eragina izateko
To be unable to afford it	Hori egiteko gai ez izateko
To become afraid of it	Beldurra izateko
After	Honen ondoren:
After all	Guztiaren ondoren
After a lot of trouble and delay	Arazo eta atzerapen askoren ondoren
Anytime soon after	Edozein unetan, handik gutxira
Shortly after	Geroxeago
To be after him	Haren ondoren izatea
To drop the afterbirth	Jaio ondoren jaisteko
In the afternoon	Arratsaldez
In the late afternoon	Arratsaldean
To become late afternoon	Arratsaldean iristeko
To become mid-afternoon	Arratsalde erdira iristeko
To be against	Aurka egotea
To be against it	Haren aurka egotea
To be against it for him	Beretzat kontra egotea
With mouths agape	Ogitartekoarekin
To die of old age	Zahartzaroko hiltzea
For an on-going meeting	Uneko bilera baterako
For a past meeting	Iraganeko bilera baterako
A long time ago	Aspaldi
I don't know how long ago	Ez dakit duela zenbat urte
Just a little while ago	Duela gutxi
Long ago	Aspaldi
Quite a long time ago	Aspaldi
Quite a while ago	Aspaldi
Some time ago	Aspaldi
To enter into an agreement with him or them	Berarekin edo eurekin akordioa lortzeko
To engage in agriculture	Nekazaritzan parte hartzea
To run aground one after another	Korrika egiteko aground bat bestearen atzetik
Ahead of self	Bere buruaren aurretik
To get ahead	Aurrera egiteko
Box Alder	Alder boxa
Cultivated alfalfa	Alpapa landua
To be alike in appearance	Itxura bera izateko
To be alive	Bizirik egoteko
To barely come out alive	Ia ez atera bizirik
All over me	Niri buruzko guztia
All of it	Hori guztia
To pay for it all at once	Dena batera ordaintzeko
All day	Egun osoa
All ears	Belarri guztiak
All night	Gau osoa
There are tracks all over	Aztarnak nonahi daude
To be all right	Denak ondo egoteko
To be all right with him	Denak berarekin ondo egoteko
All together	Denak batera
At all times	Beti
That's all there was to it	Hori da berari zegoen guztia
To be on all four	Lauetan egoteko
To not allow it for him	Ez utzi harentzat
To be alone	Bakarrik egotea
Along with it	Harekin batera
To get along well	Ondo eramateko
How are you getting along	Nola ari zara lortzen
To get along with him	Berarekin eramateko
To be running along	Lasterka
To be getting along well with them	Haiekin ondo konpontzen egoteko
Up along the river	Ibaian gora
Down along the river	Ibaian behera
Along this line	Lerro honetan zehar
Alongside self	Norberaren ondoan
They alternate with each other	Besteekin txandakatzen dira
To be ambidextrous	Ambidextrous izatea
Deer ambush	Orein-segada
Horse ambush	Zaldi bustia
Rabbit ambush	Untxi bustia
To be amended	Zuzentzeko
Among the pines	Pinuen artean
Among the rocks	Arroken artean
Among the Mexicans	Mexikarren artean
Among the Japanese	Japoniarren artean
Among one another	Baten eta bestearen artean
Among	Artean
Among them	Horien artean
To be among them	Haien artean egotea
A reasonable amount	Zentzuzko kopuru bat
To be amputated	Anputatua izateko
And how	Eta nola
Local anesthesia	Anestesia lokala
To anesthetize oneself	Bere burua anestesiatzea
To be angry about it	Horregatik haserre egoteko
To make him angry	Haserrarazteko
To become angry at him	Harekin bat egiteko
First Angry One	Lehen Angry One
In an angry manner	Modu korapilatsuan
Day animal	Animaliaren eguna
Night animal	Gaueko animalia
Domesticated animal	Etxeko animalia
Game animal	Animalien jolasa
Ankle joint	Orkatilaren artikulazioa
Around the ankle	Orkatilaren inguruan
To be annihilated by disease	Gaixotasunak suntsitzeko
To be annihilated by famine	Goseak suntsitzea
To annoy each other	Elkarri traba egiteko
To get	Lortzeko
To be greatly annoyed over it	Oso gogaikarria izateko
To become annoyed at him	Traba egiteko
Quit annoying me	Quit me gogaikarria
In an annoying manner	Modu gogaikarrian
To anoint him	Lotzeko
To anoint him with it	Harekin lotzeko
Another day	Beste egun batean
From another place	Beste leku batetik
Another two	Beste bi
Another three	Beste hiru
Another four	Beste lau
Another five	Beste bost
Another six	Beste sei
Another seven	Beste zazpi
Another eight	Beste zortzi
Another nine	Beste bederatzi
Another ten	Beste hamar
Another twenty	Beste hogei
Its antenna	Zure antena
To be anticipated	Aurrea hartzeko
Elk antlers	Antlers Elk
Stalking antlers	Antlerrak
Red ant	Inurri gorria
Black ant	Inurri beltza
Listening ant	Entzutea
Little red ant	Inurri gorri txikia
Little black ant	Inurri beltz txikia
Flying red ant	Hormigoi gorri hegalaria
Flying black ant	Hormigoi beltz hegalaria
Half and half red ant	Inurri erdi eta erdi gorria
Any time	Edozein unetan
Anytime soon after	Edozein unetan, handik gutxira
Anywhere in our vicinity	Edozein lekutan, gure inguruan
Jicarilla Apache	Jicarilla Apache
White Mountain Apache	White Mountain Apache
To bite it apart	Bereiz hozkatzeko
To break it apart	Bereizteko
To cut it apart	Aparte mozteko
To file it apart	Bereizita artxibatzeko
To flex it apart	Aparte tolesteko
To kick it. apart.	Pateatzeko. aparte.
To chop it apart	Aparte mozteko
To pull it apart	Bereizteko
To rip it apart	Aparte urratzeko
To saw it apart	Aparte ikusteko
To rake it apart	Beste baterako
To twist it apart	Torcerlo aparte egiteko
To tear it apart	Bereizteko
To appear	Agertzeko
To appear	Agertzeko
To appear as a white dot of light	Argi-puntu zuri gisa agertzeko
To appear	Agertzeko
To be similar in appearance	Itxuraz antzekoa izateko
To have a large appetite	Apetitu handia izatea
To have no appetite	Apetiturik ez izatea
To applaud him	Txalotzeko
To start to applaud	Txalotzen hasteko
To apply it to him	Berari aplikatzeko
To apply it to oneself	Nork bere buruari aplikatzea
To apply oneself to it	Aplikatu
To be appointed	Izendatua izateko
To be approaching	Hurbiltzen joateko
To receive the stamp of approval	Onarpen-zigilua jasotzeko
To be approved	Onartzeko
To be approved unanimously	Aho batez onartzea
To have an aquiline nose	Akilina-sudurra izateko
To arch up	Kontatzeko
Arch of the foot	Oineko arkua
Family use area	Familia erabilerako eremua
To engage in a heated argument with them	Haiekin argumentu bero batean parte hartzeko
To arise at daybreak	Egunsentian jaikitzeko
To arise	Jaikitzeko
To arise	Jaikitzeko
Upper arm bone	Goiko besoko hezurra
Upper arm	Goiko besoa
From the front of the arm	Besoaren aurreko aldetik
To double one's arm back	Besoa atzerantz tolesteko
To have one's arms outstretched	Besoak luzatuta edukitzea
To reach	Hona iristeko
To fold one's arms	Besoak tolesteko
To pull in one's arm	Besoan tira egiteko
To put one's arms around oneself	Jarri besoak norberaren inguruan
To be moving one's arm	Besoa mugitzen egoteko
To hold one's arm up	Besoari goian eusteko
One-armed	Armatu bakarra
Stump-armed	Stump-armatuak
Around	Inguruan
Around the corner or bend	Izkinaren edo kurbaren inguruan
To get around	Mugitzeko
Around here	Hemen inguruan
Around there	Haren inguruan
To place him under arrest	Atxilotzeko
To be placed under arrest	Atzipenpean jartzeko
To arrive	Iristeko
To arrive hopping	Hopping-era iristeko
To arrive in a swarm	Mihi batera iristeko
To arrive with it	Berarekin iristeko
To arrive pushing it	Bultzatuz iristeko
To arrive	Iristeko
To arrive as a member of a war party	Gerra-alderdi bateko kide izatea
To arrive with it	Berarekin iristeko
Arrow	Geziaren gezia
Arrow poisoning	Gezi bidez pozoitzea
