I've bought a car	kotxe bat erosi dut
an elegant woman	emakume dotorea
an hour	ordubete
a thousand people	mila pertsona
a bicycle is a practical vehicle in the summer	bizikleta ibilgailu praktikoa da udan
have you got a pen?	boligraforik baduzu?
is that a Picasso?	Picasso bat da hori?
are you a teacher?	irakaslea zara?
2 euros a kilo	2 euro kiloa
8 hours a day	8 ordu egunean
twice a month	hilean bitan
to abandon a child	umea bakarrik laga
he abandoned his studies	ikasketak utzi zituen
I managed to abate the noise	zarata gutxitzea lortu nuen
the noise has abated in the harbour	portuko zarata gutxitu egin da
abdominal muscles	muskulu abdominalak
to abduct a child	umea bahitu
you'll have to abide by the rules of the school	eskolako arauak bete beharko dituzu
I can't abide injustice	injustizia ezin dut pairatu
you'll have to abide by the rules of the school	eskolako arauak bete beharko dituzu
abject poverty	txirotasun gordina
to be able to speak French	frantsesez hitz egiten jakin
this tax should be abolished	zerga hau ezeztatu beharko lukete
to have an abortion	abortatu, hilaurtu
an abortive attempt	huts egin duen saiakera
examples of that abound	horri buruzko adibideak asko dira
I was about to go home	etxera joateko abian nintzen
what is it about?	zeren gainean da?
to wander about the streets	kaletik ibili
at about two o'clock	ordu biak inguruan
to leave things lying about	gauzak hor inguruan utzi
I was about to go home	etxera joateko abian nintzen
the water reached above our knees	ura belaunetik gora iritsi zitzaigun
the flat above	goiko pisua
above 20 degrees	20 gradutik gora
she's not above the rest	ez dago besteen gainetik
on the shelf above	goiko apalean
seen from above	goitik ikusita
increases of 12% and above	% 12tik gorako igoera
see above	ikus gorago
they were running two abreast through the park	korrika zebiltzan, biak batera, parkean zehar
to be abroad	atzerrian egon
an abrupt change	ustekabeko aldaketa
the decision was made in my absence	erabakia ni han ez nintzela hartu zen
he is absent from work	ez da lanera etorri
an absent-minded pupil	ikasle adigalkorra
absolute certainty	erabateko ziurtasuna
absolute power	botere absolutua
absolutely fantastic	zeharo zoragarria
to absorb liquid	likidoa xurgatu
this work absorbs all your attention	lan honek arreta guztia hartzen dizu
an absurd idea	ideia burugabea
an abusive person	pertsona zakarra
abusive language	hizkera iraingarria
abysmal manners	jokaera ezin txarragoa
academic rules	arau akademikoak
I accelerated (the car)	autoa azeleratu nuen
to accelerate growth	hazkuntza bizkortu
to accept a job	lana onartu
I'm not prepared to accept it	ez nago hori onartzeko prest
to accept responsibilities	erantzukizunak onartu
acceptable behaviour	jokaera onargarria
an accessible area	sartzen erraza den gunea
that film is not accessible for children	film hori ez da umeentzat ulergarria
fashion accessories	modako gehigarriak
car accessories	autoaren osagarriak
an accidental meeting	ustekabeko topaketa
universally acclaimed	mundu osoan goraipatua
it's amazing how quickly you have acclimatized yourself	harrigarria da zeinen arin moldatu zaren girora
to acclimatize to a new environment	ingurune berrira moldatu
the holiday cottage can accommodate ten people	landetxeak hamar laguni eman diezaioke ostatu
to accommodate the views of everyone	denei atsegin eman
the request must be accompanied by the identity card	eskaerarekin batera nortasun-agiria bidali behar da
to eat the steak accompanied by salad	azpizuna entsaladarekin batera jan
an accomplished artist	artista trebea
to accord great importance to food	elikadurari garrantzi handia eman
according to Archimedes	Arkimedesen arabera...; Arkimedesek dioenez...
classified according to size	neurriaren arabera sailkatuta
you'll be with one group or the other according to your age	(zure) adinaren arabera, talde batean ala bestean egongo zara
according to Archimedes	Arkimedesen arabera...; Arkimedesek dioenez...
classified according to size	neurriaren arabera sailkatuta
you'll be with one group or the other according to your age	(zure) adinaren arabera, talde batean ala bestean egongo zara
he continued to have a headache and accordingly he went to the doctor	buruko minarekin jarraitzen zuen, eta, beraz, medikuarengana joan zen
to be accosted by a stranger	ezezagun batek harrapatu
not accountable for one's actions	ez da bere ekintzen erantzule
to accrue benefits	irabaziak pilatu
I've accumulated a lot of photographs	argazki andana pilatu dut
to accumulate a fortune	dirutza pilatu
an accurate description	deskribapen zehatza
an accurate weapon	arma zehatza
don't worry, I'm not accusing you	lasai, ez naiz ari zuri errua leporatzen
my head aches	buruko mina dut
to achieve the objectives	helburuak lortu
an acid taste	zapore garratza
an acid person	pertsona garratza
it's acknowledged to be true	egia dela onartzen da
he didn't even acknowledge my presence	nitaz ohartu ere ez zen egin
to acknowledge receipt of the letter	eskutitza hartu izana adierazi
to acquaint sb with the method	metodo baten berri eman
to be acquainted with somebody	norbait ezagutu
to acquire a house	etxe batez jabetu
an acquisitive society	gizarte kontsumista
acrid smoke	ke garratza
a car across the road	auto bat kalean zeharka
across the river	ibaiaren beste aldean
to walk across the mountain	mendian zehar ibili
to act correctly	egoki jokatu
he has been acting the good friend until now	orain arte lagun onaren itxura egiten ibili da
to act the fool	inozoarena egin
he acts bravely, but he's in fact scared	ausartarena egiten du, baina berez beldurtuta dago
to act in a play	antzerkian antzeztu
to activate the alarm	alarma aktibatu
an active woman	emakume gogotsua
to be working actively	lanean gogoz aritu
the actual cost	benetako balioa
do you really know him?	benetan ezagutzen duzu?
actually, I'm not coming back home today	bada, gaur ez naiz etorriko etxera
an acute pain	min zorrotza
an acute observer	behatzaile azkarra
an acute sense of smell	usaimen zolia
to ad-lib the discourse	hitzaldia bat-batean egin
to ad-lib the discourse	hitzaldia bat-batean egin
to adapt to the new situation	egoera berrira egokitu
to add sugar	azukrea gehitu
to add your name to the list	zure izena zerrendara gehitu
an added disadvantage	desabantaila gehigarria
addicted to drugs	drogazalea
to be addicted to TV	telebistazalea izan
