 A certain	 léi 
From A to Z	 bik'eetł'ání 
To be abandoned	 bąąh nát'įįh 
Abandoned burrow or den	 'a'áánsáá' 
Abandoned house	 kinsáá'
Abdominal binder	 'adidlą́ haazt'i' 
Internal abdominal organs	 'atsą́ądi bił haz'áanii 
Upper abdominal area	 'abidgi
To abide by the law	 beehaz'áanii be'eshłééh
To abort a pregnancy	 ha'ash'eeł 
To cause her to abort	 bitsą́ ha'ash'eeł 
To cause oneself to abort	 'átsą́ ha'ash'eeł
To perform an abortion on her	 bitsą́ ha'ash'eeł 
To perform an abortion on oneself	 'átsą́ ha'ash'eeł
About it	 baa 
Up above it	 bideijígo 
To feel that one is above	 'ayóí' 'í'dósh'ní
To get an abrasion	 tsiih yilkeed 
To get a skin abrasion	 tsiih yit'ood
To be absorbed into the ground	 łeeh sinitséés
To be accessible by wagon	 tsinaabąąs bee báá 'honít'i 
To accomplish something for them	 bá ha'asdíís 
According to his customs	 bíjík'ehgo 
According to each other	 'ahiłk'eh 
According to self	 'ádík'eh
To begin an account	 'aho'niishnííh 
To give an account of it	 baa nahashne' 
To give an account of oneself	 'ádaa hashne'
To accumulate it	 'iists'ąąh
To accuse him of it	 bee bik'ihodiish'aah 
To be accused of it	 bee bik'ihodiit'aah
To get accustomed to each other	 'ahíniildin 
To get accustomed to it	 bíníshdin
Ace of clubs	 'áás báasdos 
Ace of hearts	 'áás góobas 
 Within an ace of	 k'asídą́ą́'
To have an ear ache	 hajaayi' hodiniih 
To have a tooth ache	 hawoo' diniih 
To stop aching	 yiniłk'e'
To be acquainted with him	 bééhonissin 
To be mutually acquainted	 bił 'ahééhoniszin 
To become acquainted with him	 bił 'ahééhoniszįįh 
To get acquainted with each other	 'ahééhosiilzįįd 
To get acquainted with him	 bééhonissįįh
To be mutual acquaintances	 bił 'ahééhoniszin
To acquire it from him	 bits'ą́ą́dę́ę́' shóosht'eeh 
To be hard to acquire	 baa hóchį'
Across here	 kónaa 
Across there	 'ákónaa 
Across from it	 binaashii 
To extend across	 naaniigo deez'á 
To act in vain	 ch'ééh 'ásht'į́ 
To act on it	 baa yinísht'į́ 
To act on it in his behalf	 bá baa yinísht'į́
On the Adam's apple	 'azooł dah yisk'idígi
To be adaptable	 naash'į́dí
To add it to it	 bíissóóh 
To add on to it	 béé'dístsééh 
To be added to it	 bíhiniidééh 
Adding	 'ahíjiiniłgo
To become addicted to it	 bidiniiltsóód
To adhere to each other	 'ahéshjéé' 
To adhere to it	 béshjéé'
To form an adhesion	 bíńdiníisééh
To be adjusted	 siłkid 
To be out of adjustment	 doo 'ákwii siłkid da 
To become adjusted to each other	 'ahíniildin
To administer their affairs	 bá hweesh'ááł
Adolescent child	 'ałchíní nooséłígíí 
To commit adultery	 'adishłé
To advance	 náás hidishááh 
To advance stealthily	 hazhóó'ógo náás heeshááł 
To be advancing	 náás kwááshniił 
To take unfair advantage of him	 łíshcháázh 
To be of advantage	 t'áá 'ákónéehee 'át'é
To be advantageous	 t'áá 'ákónéehee 'át'é
To advertise	 'ó'ooshkąąh
To affect it	 bidééłní
To be unable to afford it	 bi'oh neesh'ą́
To become afraid of it	 béésísdzííd 
After	 -dóó bik'ijį' 
After all	 'áłt'ąą 
After a lot of trouble and delay	 tsididiingóó ndahazt'i'go  
Anytime soon after	 t'áá biyaahahgo 
Shortly after	 bitł'aabą́ą́h 
To be after him	 bidiishkaal  
To drop the afterbirth	 'awéé' biyaałáí haalts'ííd
In the afternoon	 'ałní'ní'ą́ą́ dóó bik'ijį' 
In the late afternoon	 hííłch'į'go 
To become late afternoon	 hiiłch'įįh 
To become mid-afternoon	 yaa 'adi'aah
To be against	 dooda nisin 
To be against it	 bits'ą́ą́jí nishłį 
To be against it for him	 bąąh yish'į́ 
With mouths agape	 t'óó jaa' dijoolee
To die of old age	 są́ biiłhé 
For an on-going meeting	 baa hwiinít'ínígíí 
For a past meeting	 baa hwiiníst'įįdígíí
A long time ago	 'ałk'idą́ą́'  
I don't know how long ago	 hádą́ą́'anshą'  
Just a little while ago	 'áníídí yee' 
Long ago	 'ałk'idą́ą́' 
Quite a long time ago	 'adk'idídą́ą́' 
Quite a while ago	 'ałk'idídą́ą́' 
Some time ago	 hádą́ą́dą́ą́' shį́į́
To enter into an agreement with him or them	 bił 'ahadi'nisht'ash
To engage in agriculture	 k'i'dishłé
To run aground one after another	 dah ndaha'eeł
Ahead of self	 'ádítsi 
To get ahead	 náás dishtłíísh 
Box Alder	 sool
Cultivated alfalfa	 łį́į́' bitł'ohwaa'í
To be alike in appearance	 'ahinoolin 
To be alive	 hwííná 
To barely come out alive	 bikáa'jį' haleeh
All over me	 t'áá sézį́į́ ńt'éé' 
All of it	 t'áá si'ą́ą́ ńt'éé' 
To pay for it all at once	 t'áá hooshch'į' 'ałtso bik'é na'nishłe 
All day	 shábíighah 
All ears	 t'óó jaa'aa 
All night	 tł'éé' bíighah  
There are tracks all over	 tádabidíítiin  
To be all right	 doo 'ánísht'éhé da 
To be all right with him	 bił t'áá 'áko  
All together	 'ahióóltą'go 
At all times	 'áłahjį' 
That's all there was to it	 t'óó 'ákódzaaí silį́į́'  
To be on all four	 dah shishdloozh
To not allow it for him	 bits'ádi'nish'aah
To be alone	 t'ááłah dinisht'éhé
Along with it	 booshk'iizh ńt'i'go 
To get along well	 nizhónígo kééhasht'į́ 
How are you getting along	 haash yit'éego kééhót'į́?  
To get along with him	 bił 'ahídínéeshná-  
To be running along	 yishwoł  
To be getting along well with them	 yá'át'éehgo bił deíníshkááh 
Up along the river	 tát'áá góde  
Down along the river	 tát'áá góyaa  
Along this line	 kwiidí
Alongside self	 'ádąąh 
They alternate with each other	 'ałta'neets'ee'
To be ambidextrous	 shíla' t'áá 'ałch'ishjí bee na'ashch'id
Deer ambush	 bįįh hadádí 
Horse ambush	 łį́į́ hadádí 
Rabbit ambush	 gah hadádí
To be amended	 łahgo 'ánálnééh 
Among the pines	 ńdíshchíítah 
Among the rocks	 tsétah 
Among the Mexicans	 Naakaiitah 
Among the Japanese	 Nááts'ózítah  
Among one another	 'ałtah 
Among	 'atah 
Among them	 bitah 
To be among them	 bił 'anishtah
A reasonable amount	 le'dółt'éii 
To be amputated	 k'égéésh
And how	 jó t'áá 'aaníí!
Local anesthesia	 'ats'ooz naaztseed
To anesthetize oneself	 'ádi'iishgháásh
To be angry about it	 bik'ee shishch'íí' 
To make him angry	 bá háshchįįh 
To become angry at him	 bich'į' 'ádáháshchįįh  
First Angry One	 'Átsé Hashké 
In an angry manner	 hashkéhee
Day animal	 jį́ naaldeehii 
Night animal	 tł'ée'go naaldeehii  
Domesticated animal	 łį́į́' 
Game animal	 dini'
Ankle joint	 'akétsíín 'ahądit'ání 
Around the ankle	 'akétsį́į́ gónaa
To be annihilated by disease	 naałniih 'ábíłdįįh  
To be annihilated by famine	 dichin 'ábíłdįįh
To annoy each other	 bił 'ahé'ésts'ih  
To get	 bił nííłch'iih  
To be greatly annoyed over it	 bik'ee ńdiishchxǫǫh  
To become annoyed at him	 bá hodoonih  
Quit annoying me	 t'áadoo shaa nánít'íní!
In an annoying manner	 t'áá 'ádíláahee
To anoint him	 yishtłah 
To anoint him with it	 béshtłoh
Another day	 náánáyiską́ 
From another place	 náánáłahdę́ę́' 
Another two	 nináánáki  
Another three	 náánátáá'  
Another four	 náánádį́į́'  
Another five	 náá'ashdla' 
Another six	 nááhastą́ą́h  
Another seven	 náátsosts'id  
Another eight	 náátseebíí  
Another nine	 náánáhást'éí  
Another ten	 nááneeznáá  
Another twenty	 náánaadiin
Its antenna	 bidee'
To be anticipated	 bił naólní
Elk antlers	 dzééh bidee'  
Stalking antlers	 beedé
Red ant	 wóláchíí'  
Black ant	 wólázhíní  
Listening ant	 wólá ná'iilts'ą'ii  
Little red ant	 wóláchíí' yázhí  
Little black ant	 wólázhiní yázhí  
Flying red ant	 wóláchíí' naat'agí 
Flying black ant	 wólázhíní naat'agí  
Half and half red ant	 wóláchíí' 'ahéédiní'ahí  
Any time	 t'áá bíhólníihgi
Anytime soon after	 t'áá biyaahahgo
Anywhere in our vicinity	 t'áá haa'ída nihit'áagi
Jicarilla Apache	 Beehai  
White Mountain Apache	 Dziłghą́'í
To bite it apart	 'aháníshháásh  
To break it apart	 'aháníshtííh  
To cut it apart	 'aháníshgéésh  
To file it apart	 'aháníshch'iish  
To flex it apart	 'aháníshheed  
To kick it. apart.	 'ahábízhníshtaał  
To chop it apart	 'aháníshne'  
To pull it apart	 'ahánísts'ǫǫd  
To rip it apart	 'aháníshdlaad  
To saw it apart	 'aháníshch'iish  
To rake it apart	 'aháníssííd  
To twist it apart	 'ahánísgéés  
To tear it apart	 'aháníssǫ́ǫ́s
To appear	 'áásht'eeł 
To appear	 haasááł  
To appear as a white dot of light	 dah yigááh  
To appear	 dah yideeł
To be similar in appearance	 'ahiniidlin 
To have a large appetite	 dinishbid  
To have no appetite	 doo 'anissin da
To applaud him	 bá 'ahéshkad  
To start to applaud	 'ahíbi'niishkad
To apply it to him	 bąąh 'áshłééh  
To apply it to oneself	 'ádą́ą́h 'áshnééh 
To apply oneself to it	 bidiishkaal
To be appointed	 'ábi'dilnééh
To be approaching	 bíyoołkááł  
To receive the stamp of approval	 bee lą́ 'aleeh  
To be approved	 bee lą́ 'aleeh  
To be approved unanimously	 t'áadoo ła' dooda daaníní bee lą́ 'aleeh
To have an aquiline nose	 bíchį́į́h haak'ąął
To arch up	 hahíílá 
Arch of the foot	 'akéníí'
Family use area	 diné t'áá bił nahaz'ą́ągi 
To engage in a heated argument with them	 bił 'ahińdiijeeh
To arise at daybreak	 yikáííhdą́ą́' ńdiish'nééh  
To arise	 bił ńdiidááh  
To arise	 nisihwiinideeł
Upper arm bone	 'agaan bita' sitání  
Upper arm	 'agaan nats'iníta'á  
From the front of the arm	 'agaandááhdę́ę́'  
To double one's arm back	 'ahandinishnííh 
To have one's arms outstretched	 k'ídadéshnii'  
To reach	 'adishchííd  
To fold one's arms	 'ałnándinishnííh 
To pull in one's arm	 'ahandinishnííh 
To put one's arms around oneself	 'ádináshchid  
To be moving one's arm	 deeshnih  
To hold one's arm up	 dah deeshnih
One-armed	 gąąk'isí 
Stump-armed	 gąą'agodí  
Around	 gónaa 
Around the corner or bend	 bizánághah  
To get around	 t'áá honishyóí  
Around here	 kóoní 
Around there	 'ákóoní
To place him under arrest	 beehaz'áanii bik'ehgo yiistsóód  
To be placed under arrest	 beehaz'áanii bik'ehgo bi'diiltsóód
To arrive	 yíldlóósh  
To arrive hopping	 hinishchééh  
To arrive in a swarm	 'asool  
To arrive with it	 nishłóós 
To arrive pushing it	 bíníshhííł  
To arrive	 daniibááh  
To arrive as a member of a war party	 'atah nishbááh  
To arrive with it	 nisdzįįs  
Arrow	 k'aatsoh yist'ání  
Arrow poisoning	 'ak'aasda'
To shoot an arrow	 'ajisht'ooh 
To shoot arrows	 'adisht'oh  
To shoot arrows at each other	 'ahííníilt'óoh  
To shoot arrows at each other with him	 bił 'ahíínísht'óóh
Flint arrowhead	 béésh 'est'ogii
Edge of the arroyo	 cháshk'ehdáá'  
There are twisting arroyos	 dahozdeeltas
The art of making	 'ál'į́įgi
Just as	 t'áá biłgo  
As far back as I can remember	 t'áá ńléídę́ę́'  
As far as	 t'áá bíhoneel'ą́ągo 
As far as that place	 'áajį'  
To ascend it one after another	 bąąh hahiikááh  
His trail ascends	 habikée'  
On the ash heap	 łeeshch'itahdi  
Inside the ashes	 łee' 
Into the ashes	 łeeh
To go ashore one after another	 tsíłts'áhiikááh
To ask him	 nabídíshkid 
To ask him	 bí'dííníshkeed 
To ask him for it	 bííníshkeed
To become askew	 diigéés
To be asleep	 yiisíí' 
To pretend to be asleep	 'áhodishwosh
To be assaulted	 bik'i'iilyeed
To assemble again	 yah 'anáánéiijeeh  
To be assembled	 'áłah niidlį́  
To assemble at it	 baa 'ahanini'iildeeh  
To assemble them	 'áłah 'áshłééh
To assist at a birth	 'awéé' haasdzį́į́s
To assume leadership	 'atsi ni'ádinishteeh
At such and such a place	 'ákóhoolyéedi 
At this point	 kwe'íígi
To attach it with nails	 bił 'e'eshkaał  
To attach it with screws or bolts	 bił 'e'esgéés  
To attach it to it	 bidiishkaad  
To attack him with a weapon	 binahashłé  
To be attacked with a weapon	 binahaalyeeh  
To be attacked	 baa tii 'aldééh  
To pay attention to him	 baa ná'áhodisht'įįh  
To be attired in it	 bee hadínísht'é
To attract it	 'abíyáshtééh
To place him under one's authority	 'áyaa 'iishteeh 
On his authority	 binahjį'
To perform an autopsy	 'iisxíinii bíká na'ashgizh
It is not readily available	 baa hóchį'  
To become available	 ch'íhinidééh
To avoid looking at him	 bínii'oh daashhal
To be awake	 bináá' dah łizhin
To awaken him	 ch'ééníssííd
Without my being aware of it	 t'áadoo baa 'áhonissiní
In a direction away from it	 bits'ą́ąjigo  
Away off	 ńléí 'ánízáágóó  
He wants to get away from it	 bits'ábíni'  
Not far away	 'adiyooghání  
Right away	 haneetehee 
To conceal it from him	 bits'ąą ńdínísh'įįh  
To hide from him	 bits'ąą ńdínísht'įįh  
